[PAN_DIAG] LEADER | world=(538,160) effZoom=2.215 desiredEffZoom=2.215 | camX=249 idealCamX=249 camXMax=702 clampedX=true | screenX_tgt=640 screenX_act=541 (center=640) | screenY_tgt=355 screenY_act=165 (center=360) | lerpLag=(-538,0) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(593,166) effZoom=2.215 desiredEffZoom=2.215 | camX=304 idealCamX=304 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=655 (center=640) | screenY_tgt=360 screenY_act=302 (center=360) | lerpLag=(-243,-5) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(647,176) effZoom=2.215 desiredEffZoom=2.215 | camX=358 idealCamX=358 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=708 (center=640) | screenY_tgt=360 screenY_act=354 (center=360) | lerpLag=(-148,-16) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(699,196) effZoom=2.215 desiredEffZoom=2.215 | camX=410 idealCamX=410 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=724 (center=640) | screenY_tgt=360 screenY_act=384 (center=360) | lerpLag=(-111,-32) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(748,229) effZoom=2.215 desiredEffZoom=2.215 | camX=459 idealCamX=459 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=728 (center=640) | screenY_tgt=360 screenY_act=411 (center=360) | lerpLag=(-96,-53) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(691,528) effZoom=2.215 desiredEffZoom=2.215 | camX=402 idealCamX=402 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=522 (center=640) | screenY_tgt=360 screenY_act=447 (center=360) | lerpLag=(864,482) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(639,546) effZoom=2.215 desiredEffZoom=2.215 | camX=350 idealCamX=350 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=536 (center=640) | screenY_tgt=360 screenY_act=406 (center=360) | lerpLag=(282,105) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(588,555) effZoom=2.215 desiredEffZoom=2.215 | camX=299 idealCamX=299 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=556 (center=640) | screenY_tgt=360 screenY_act=381 (center=360) | lerpLag=(123,16) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(540,560) effZoom=2.215 desiredEffZoom=2.215 | camX=251 idealCamX=251 camXMax=702 clampedX=true | screenX_tgt=640 screenX_act=560 (center=640) | screenY_tgt=365 screenY_act=373 (center=360) | lerpLag=(90,2) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(492,562) effZoom=2.215 desiredEffZoom=2.215 | camX=204 idealCamX=204 camXMax=702 clampedX=true | screenX_tgt=640 screenX_act=556 (center=640) | screenY_tgt=370 screenY_act=373 (center=360) | lerpLag=(87,1) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(441,562) effZoom=2.215 desiredEffZoom=2.215 | camX=152 idealCamX=152 camXMax=702 clampedX=true | screenX_tgt=640 screenX_act=549 (center=640) | screenY_tgt=371 screenY_act=372 (center=360) | lerpLag=(92,0) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(389,560) effZoom=2.215 desiredEffZoom=2.215 | camX=101 idealCamX=101 camXMax=702 clampedX=true | screenX_tgt=640 screenX_act=554 (center=640) | screenY_tgt=366 screenY_act=366 (center=360) | lerpLag=(87,0) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(342,556) effZoom=2.215 desiredEffZoom=2.215 | camX=53 idealCamX=53 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=558 (center=640) | screenY_tgt=360 screenY_act=357 (center=360) | lerpLag=(82,3) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(287,548) effZoom=2.215 desiredEffZoom=2.215 | camX=0 idealCamX=-2 camXMax=702 clampedX=true | screenX_tgt=635 screenX_act=552 (center=640) | screenY_tgt=360 screenY_act=347 (center=360) | lerpLag=(83,13) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(235,530) effZoom=2.215 desiredEffZoom=2.215 | camX=0 idealCamX=-54 camXMax=702 clampedX=true | screenX_tgt=520 screenX_act=499 (center=640) | screenY_tgt=360 screenY_act=335 (center=360) | lerpLag=(21,25) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(185,219) effZoom=2.215 desiredEffZoom=2.215 | camX=0 idealCamX=-104 camXMax=702 clampedX=true | screenX_tgt=410 screenX_act=610 (center=640) | screenY_tgt=360 screenY_act=205 (center=360) | lerpLag=(0,391) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(236,189) effZoom=2.215 desiredEffZoom=2.215 | camX=0 idealCamX=-53 camXMax=702 clampedX=true | screenX_tgt=523 screenX_act=597 (center=640) | screenY_tgt=360 screenY_act=270 (center=360) | lerpLag=(0,149) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(281,174) effZoom=2.215 desiredEffZoom=2.215 | camX=0 idealCamX=-8 camXMax=702 clampedX=true | screenX_tgt=623 screenX_act=647 (center=640) | screenY_tgt=360 screenY_act=319 (center=360) | lerpLag=(0,56) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(296,171) effZoom=2.215 desiredEffZoom=2.215 | camX=7 idealCamX=7 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=661 (center=640) | screenY_tgt=360 screenY_act=341 (center=360) | lerpLag=(-11,25) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(299,170) effZoom=2.215 desiredEffZoom=2.215 | camX=10 idealCamX=10 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=652 (center=640) | screenY_tgt=360 screenY_act=351 (center=360) | lerpLag=(-8,12) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(304,166) effZoom=2.215 desiredEffZoom=2.215 | camX=15 idealCamX=15 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=651 (center=640) | screenY_tgt=360 screenY_act=351 (center=360) | lerpLag=(-10,9) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
[PAN_DIAG] LEADER | world=(304,166) effZoom=2.215 desiredEffZoom=2.215 | camX=15 idealCamX=15 camXMax=702 clampedX=false | screenX_tgt=640 screenX_act=643 (center=640) | screenY_tgt=360 screenY_act=358 (center=360) | lerpLag=(-3,2) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1280,720) bsX=1.000 bsY=1.000
