[PAN_DIAG] LEADER | world=(840,243) effZoom=2.215 desiredEffZoom=2.215 | camX=551 idealCamX=551 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=561 (center=640) | screenY_tgt=360 screenY_act=167 (center=360) | lerpLag=(-1190,-175) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(917,253) effZoom=2.215 desiredEffZoom=2.215 | camX=628 idealCamX=628 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=658 (center=640) | screenY_tgt=360 screenY_act=261 (center=360) | lerpLag=(-786,-113) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(992,271) effZoom=2.215 desiredEffZoom=2.215 | camX=703 idealCamX=703 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=734 (center=640) | screenY_tgt=360 screenY_act=333 (center=360) | lerpLag=(-500,-83) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(1067,305) effZoom=2.215 desiredEffZoom=2.215 | camX=778 idealCamX=778 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=785 (center=640) | screenY_tgt=360 screenY_act=395 (center=360) | lerpLag=(-354,-94) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(1130,350) effZoom=2.215 desiredEffZoom=2.215 | camX=841 idealCamX=841 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=804 (center=640) | screenY_tgt=360 screenY_act=445 (center=360) | lerpLag=(-274,-119) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(1016,801) effZoom=2.215 desiredEffZoom=2.215 | camX=727 idealCamX=727 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=359 (center=640) | screenY_tgt=360 screenY_act=555 (center=360) | lerpLag=(1370,663) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(936,823) effZoom=2.215 desiredEffZoom=2.215 | camX=648 idealCamX=648 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=355 (center=640) | screenY_tgt=360 screenY_act=492 (center=360) | lerpLag=(739,268) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(865,834) effZoom=2.215 desiredEffZoom=2.215 | camX=577 idealCamX=577 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=322 (center=640) | screenY_tgt=360 screenY_act=463 (center=360) | lerpLag=(577,146) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(783,841) effZoom=2.215 desiredEffZoom=2.215 | camX=494 idealCamX=494 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=316 (center=640) | screenY_tgt=360 screenY_act=429 (center=360) | lerpLag=(454,70) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(694,844) effZoom=2.215 desiredEffZoom=2.215 | camX=406 idealCamX=406 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=326 (center=640) | screenY_tgt=360 screenY_act=399 (center=360) | lerpLag=(373,33) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(601,841) effZoom=2.215 desiredEffZoom=2.215 | camX=312 idealCamX=312 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=334 (center=640) | screenY_tgt=360 screenY_act=375 (center=360) | lerpLag=(331,20) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
