arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A0-GR,dirt-oval,1,0,0,0,0,,0,0,,,0.9727,2,1,0.5184,1,25.264
A0-GR,dirt-oval,2,0,0,0,0,,0,0,,,1.6175,2,1,0.8749,0.2676,6.112
A0-GR,dirt-oval,3,0,1,0,0,,0,0,,,4.6399,2,1,0.972,0.3238,7.376
A0-GR,dirt-oval,4,0,0,0,0,,0,0,,,3.4951,3,2,0.6921,0.7462,9.648
A0-GR,dirt-oval,5,0,0,0,0,,0,0,,,4.6888,2,1,0.7783,0.7625,16.88
A0-GR,dirt-oval,6,0,0,0,0,,0,0,,,0.7236,3,2,0.3896,0.8402,19.584
A0-GR,dirt-oval,7,0,0,0,0,,0,0,,,2.6782,2,1,0.8859,0.278,6.848
A0-GR,dirt-oval,8,0,0,0,0,,0,0,,,1.185,2,1,0.6642,1,23.328
A0-GR,dirt-oval,9,0,0,0,0,,0,0,,,1.8496,1,0,1,1,23.584
A0-GR,dirt-oval,10,0,0,0,0,,0,0,,,1.2767,3,2,0.6992,1,22.8
A0-GR,dirt-oval,11,0,0,0,0,,0,0,,,4.5107,1,0,1,0.4611,10.496
A0-GR,dirt-oval,12,0,0,0,0,,0,0,,,4.2328,1,0,1,0.2899,6.432
A0-GR,dirt-oval,13,0,0,1,0,,0,0,,,1.4524,5,4,0.4787,1,24.352
A0-GR,dirt-oval,14,0,0,0,0,,0,0,,,7.2184,2,1,0.8815,0.3065,4.928
A0-GR,dirt-oval,15,0,0,0,0,,0,0,,,0.9823,1,0,1,0.7784,11.04
A0-GR,dirt-oval,16,0,0,0,0,,0,0,,,0.9444,3,3,0.8817,1,22.576
A0-GR,dirt-oval,17,0,0,0,0,,0,0,,,1.576,2,1,0.8762,0.5992,14.624
A0-GR,dirt-oval,18,0,0,0,0,,0,0,,,0.3516,3,2,0.594,0.6834,16.736
A0-GR,dirt-oval,19,0,0,0,0,,0,0,,,1.3442,1,0,1,1,23.968
A0-GR,dirt-oval,20,0,0,0,0,,0,0,,,1.2784,2,1,0.881,0.5406,6.688
A0-GR,dirt-oval,21,0,0,0,0,,0,0,,,6.8512,1,0,1,0.0779,1.808
A0-GR,dirt-oval,22,0,0,0,0,,0,0,,,2.9151,2,1,0.5506,0.9672,22.88
A0-GR,dirt-oval,23,0,0,0,0,,0,0,,,5.5789,2,1,0.6206,0.3197,6.752
A0-GR,dirt-oval,24,0,0,0,0,,0,0,,,3.5536,2,1,0.6889,0.7295,16.64
A0-GR,dirt-oval,25,0,0,0,0,,0,0,,,1.8852,2,1,0.5481,0.9419,19.904
A0-GR,dirt-oval,26,0,0,0,0,,0,0,,,0.2031,2,1,0.863,1,24.512
A0-GR,dirt-oval,27,0,0,0,0,,0,0,,,4.4089,1,0,1,0.2058,3.216
A0-GR,dirt-oval,28,0,0,0,0,,0,0,,,0.9199,1,0,1,1,23.696
A0-GR,dirt-oval,29,0,0,0,0,,0,0,,,4.5093,2,1,0.6788,0.7551,16.608
A0-GR,dirt-oval,30,0,0,0,0,,0,0,,,2.5652,1,0,1,0.9554,23.312
A0-GR,dirt-oval,31,0,0,0,0,,0,0,,,5.5052,2,1,0.5446,0.4533,10.464
A0-GR,dirt-oval,32,0,0,0,0,,0,0,,,1.5192,3,2,0.7044,1,22.336
A0-GR,dirt-oval,33,0,0,0,0,,0,0,,,2.2346,2,1,0.5963,0.7968,19.056
A0-GR,dirt-oval,34,0,0,0,0,,0,0,,,1.7222,1,0,1,0.7809,18.064
A0-GR,dirt-oval,35,0,0,0,0,,0,0,,,6.5435,1,0,1,0.3937,8.128
A0-GR,dirt-oval,36,0,0,0,0,,0,0,,,9.5994,1,0,1,0.2399,5.232
A0-GR,dirt-oval,37,0,0,0,0,,0,0,,,3.4445,2,1,0.8431,0.4135,8.464
A0-GR,dirt-oval,38,0,0,0,0,,0,0,,,3.8297,1,0,1,0.2401,5.44
A0-GR,dirt-oval,39,0,0,0,0,,0,0,,,4.146,1,0,1,0.517,11.68
A0-GR,dirt-oval,40,0,0,0,0,,0,0,,,0.5191,4,3,0.8158,1,22.912
A0-GR,dirt-oval,41,0,0,0,0,,0,0,,,2.125,2,1,0.6962,0.719,14.192
A0-GR,dirt-oval,42,0,0,0,0,,0,0,,,0.6742,2,1,0.908,1,22.768
A0-GR,dirt-oval,43,0,0,0,0,,0,0,,,1.5581,1,0,1,1,21.904
A0-GR,dirt-oval,44,0,0,0,0,,0,0,,,1.7372,2,2,0.7268,0.7613,13.264
A0-GR,dirt-oval,45,0,0,1,0,,0,0,,,0.3858,3,5,0.439,1,23.312
A0-GR,dirt-oval,46,0,0,0,0,,0,0,,,4.4502,2,1,0.5055,0.4842,11.248
A0-GR,dirt-oval,47,0,0,0,0,,0,0,,,2.2615,1,0,1,1,22.56
A0-GR,dirt-oval,48,0,0,0,0,,0,0,,,2.6737,3,2,0.707,0.584,13.504
A0-GR,dirt-oval,49,0,0,0,0,,0,0,,,2.9241,2,1,0.795,1,23.008
A0-GR,dirt-oval,50,0,0,0,0,,0,0,,,1.1211,1,0,1,0.2422,5.84
A0-GR,dirt-oval,51,0,0,0,0,,0,0,,,0.4234,1,0,1,0.4505,8.816
A0-GR,dirt-oval,52,0,0,0,0,,0,0,,,3.099,2,1,0.5613,0.9906,23.504
A0-GR,dirt-oval,53,0,1,0,0,,0,0,,,0.3798,1,0,1,0.9168,16.576
A0-GR,dirt-oval,54,0,0,0,0,,0,0,,,2.178,1,0,1,1,23.04
A0-GR,dirt-oval,55,0,0,0,0,,0,0,,,5.0116,2,1,0.6142,0.6149,13.984
A0-GR,dirt-oval,56,0,0,0,0,,0,0,,,4.4535,3,2,0.4796,0.8156,18.24
A0-GR,dirt-oval,57,0,0,0,0,,0,0,,,2.4484,3,2,0.7368,0.4166,9.936
A0-GR,dirt-oval,58,0,0,0,0,,0,0,,,3.9115,2,1,0.5795,0.6194,13.392
A0-GR,dirt-oval,59,0,0,0,0,,0,0,,,3.0631,1,0,1,0.5973,13.344
A0-GR,dirt-oval,60,0,0,0,0,,0,0,,,1.1452,2,1,0.5792,0.8893,21.184
A0-GR,dirt-oval,61,0,0,0,0,,0,0,,,2.4218,2,1,0.8439,1,23.664
A0-GR,dirt-oval,62,0,0,0,0,,0,0,,,0.562,2,1,0.7621,0.5351,11.936
A0-GR,dirt-oval,63,0,0,0,0,,0,0,,,1.2445,2,1,0.9335,0.3174,7.616
A0-GR,dirt-oval,64,0,0,1,0,,0,0,,,0.8975,4,4,0.6989,1,22.784
A0-GR,dirt-oval,65,0,0,0,0,,0,0,,,0.7116,3,3,0.8198,0.635,15.264
A0-GR,dirt-oval,66,0,0,0,0,,0,0,,,0.6605,2,1,0.8438,1,23.44
A0-GR,dirt-oval,67,0,0,0,0,,0,0,,,2.8698,2,1,0.95,0.4645,7.568
A0-GR,dirt-oval,68,0,0,0,0,,0,0,,,1.8652,1,0,1,1,24.144
A0-GR,dirt-oval,69,0,0,0,0,,0,0,,,4.1634,1,0,1,0.4104,9.184
A0-GR,dirt-oval,70,0,0,0,0,,0,0,,,1.5574,2,1,0.7718,0.7252,13.232
A0-GR,dirt-oval,71,0,0,0,0,,0,0,,,6.7728,2,1,0.5561,0.3854,8.832
