arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A0-GR,luger-hill,1,0,0,0,0,,0,0,,,1.4963,1,0,1,1,11.232
A0-GR,luger-hill,2,0,0,0,0,,0,0,,,1.7014,1,0,1,1,10.48
A0-GR,luger-hill,3,0,0,0,0,,0,0,,,2.4328,2,1,0.7284,0.5265,6.032
A0-GR,luger-hill,4,0,0,0,0,,0,0,,,3.3926,2,1,0.8567,0.0358,0.4
A0-GR,luger-hill,5,0,0,0,0,,0,0,,,3.0961,1,0,1,0.6068,6.528
A0-GR,luger-hill,6,0,0,0,0,,0,0,,,3.1567,1,0,1,0.4103,4.336
A0-GR,luger-hill,7,0,0,1,0,,0,0,,,1.4985,4,3,0.4837,1,10.768
A0-GR,luger-hill,8,1,0,0,0,,0,0,,,2.5309,1,0,1,0.1487,1.616
A0-GR,luger-hill,9,0,0,0,0,,0,0,,,3.1113,2,1,0.7033,0.9777,10.528
A0-GR,luger-hill,10,1,0,0,0,,0,0,,,7.9649,1,0,1,0,0
A0-GR,luger-hill,11,0,0,0,0,,0,0,,,3.478,1,0,1,0.8688,9.2
A0-GR,luger-hill,12,0,0,0,0,,0,0,,,2.9079,1,0,1,0.3718,3.696
A0-GR,luger-hill,13,0,0,0,0,,0,0,,,1.5512,3,2,0.5435,1,11.376
A0-GR,luger-hill,14,0,0,0,0,,0,0,,,1.1299,3,2,0.5065,1,11.136
A0-GR,luger-hill,15,0,0,0,0,,0,0,,,0.5313,2,1,0.9957,1,11.12
A0-GR,luger-hill,16,0,0,0,0,,0,0,,,4.7788,1,0,1,0,0
A0-GR,luger-hill,17,0,0,0,0,,0,0,,,2.1339,2,1,0.9055,1,10.992
A0-GR,luger-hill,18,0,0,0,0,,0,0,,,2.899,1,0,1,1,11.488
A0-GR,luger-hill,19,0,0,0,0,,0,0,,,2.7715,1,0,1,1,10.672
A0-GR,luger-hill,20,0,0,0,0,,0,0,,,0.8161,1,0,1,1,11.12
A0-GR,luger-hill,21,0,0,0,0,,0,0,,,1.8987,1,0,1,1,10.88
A0-GR,luger-hill,22,0,0,1,0,,0,0,,,0.5694,4,3,0.6719,1,11.104
A0-GR,luger-hill,23,0,0,0,0,,0,0,,,2.4386,2,1,0.5378,1,10.784
A0-GR,luger-hill,24,0,0,0,0,,0,0,,,2.137,2,1,0.8549,0.4181,5.008
A0-GR,luger-hill,25,1,0,0,0,,0,0,,,5.3117,1,0,1,0.0524,0.512
A0-GR,luger-hill,26,1,0,0,0,,0,0,,,5.7057,1,0,1,0,0
A0-GR,luger-hill,27,0,0,0,0,,0,0,,,1.7154,2,1,0.5286,1,11.184
A0-GR,luger-hill,28,0,0,0,0,,0,0,,,0.9652,2,1,0.6849,1,10.496
A0-GR,luger-hill,29,0,0,0,0,,0,0,,,2.2675,2,1,0.584,1,10.56
A0-GR,luger-hill,30,0,0,0,0,,0,0,,,1.0269,2,1,0.8579,1,11.696
A0-GR,luger-hill,31,0,0,0,0,,0,0,,,2.4857,3,2,0.7519,1,10.432
A0-GR,luger-hill,32,0,0,0,0,,0,0,,,0.3336,3,3,0.7902,1,11.728
A0-GR,luger-hill,33,1,0,0,0,,0,0,,,5.0962,1,0,1,0,0
