arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A0-GR,mountainstreet,1,1,0,0,0,,0,0,,,3.8207,1,0,1,0,0
A0-GR,mountainstreet,2,0,0,0,0,,0,0,,,5.5476,3,2,0.7124,0.6549,7.088
A0-GR,mountainstreet,3,0,0,0,0,,0,0,,,5.1582,2,1,0.533,0.5698,6.192
A0-GR,mountainstreet,4,0,0,0,0,,0,0,,,1.8916,2,1,0.9032,1,10.4
A0-GR,mountainstreet,5,0,0,0,0,,0,0,,,1.6697,3,2,0.5635,1,11.2
A0-GR,mountainstreet,6,0,0,0,0,,0,0,,,0.5619,2,1,0.9971,0.3734,4.112
A0-GR,mountainstreet,7,0,0,0,0,,0,0,,,1.2029,2,1,0.8465,0.3538,3.856
A0-GR,mountainstreet,8,0,0,0,0,,0,0,,,1.4179,1,0,1,1,10.544
A0-GR,mountainstreet,9,0,0,0,0,,0,0,,,4.7608,1,0,1,0,0
A0-GR,mountainstreet,10,0,0,0,0,,0,0,,,0.6646,2,2,0.8745,1,10.944
A0-GR,mountainstreet,11,1,0,0,0,,0,0,,,4.3822,1,0,1,0.0247,0.272
A0-GR,mountainstreet,12,0,0,0,0,,0,0,,,3.6363,1,0,1,0.0143,0.144
A0-GR,mountainstreet,13,0,0,0,0,,0,0,,,2.7358,2,1,0.5494,1,10.672
A0-GR,mountainstreet,14,1,0,0,0,,0,0,,,5.9546,1,0,1,0,0
A0-GR,mountainstreet,15,0,0,1,0,,0,0,,,1.0982,4,3,0.6138,1,11.376
A0-GR,mountainstreet,16,0,0,0,0,,0,0,,,2.1503,2,1,0.6662,1,11.872
A0-GR,mountainstreet,17,0,0,0,0,,0,0,,,0.4149,3,2,0.4593,1,10.784
A0-GR,mountainstreet,18,0,0,0,0,,0,0,,,1.1208,2,1,0.9844,1,11.232
A0-GR,mountainstreet,19,0,0,0,0,,0,0,,,2.0222,3,2,0.7607,1,11.616
A0-GR,mountainstreet,20,0,0,0,0,,0,0,,,1.0067,2,1,0.9206,0.6378,4.352
A0-GR,mountainstreet,21,0,0,0,0,,0,0,,,4.8689,1,0,1,0.5251,5.68
A0-GR,mountainstreet,22,0,0,0,0,,0,0,,,3.3185,2,1,0.8127,0.8204,8.464
A0-GR,mountainstreet,23,0,0,1,0,,0,0,,,1.0415,3,3,0.6137,1,11.168
A0-GR,mountainstreet,24,0,0,0,0,,0,0,,,3.7243,1,0,1,0.7921,7.584
A0-GR,mountainstreet,25,0,0,0,0,,0,0,,,2.6144,2,1,0.5114,0.8864,9.968
A0-GR,mountainstreet,26,0,0,0,0,,0,0,,,1.9997,2,1,0.9971,1,10.88
A0-GR,mountainstreet,27,0,0,0,0,,0,0,,,1.6807,1,0,1,1,11.776
A0-GR,mountainstreet,28,0,0,0,0,,0,0,,,2.572,1,0,1,0.1377,1.504
A0-GR,mountainstreet,29,0,0,0,0,,0,0,,,7.2416,2,1,0.6698,0.5798,5.856
A0-GR,mountainstreet,30,0,0,1,0,,0,0,,,1.2046,4,3,0.5251,1,11.44
A0-GR,mountainstreet,31,0,0,0,0,,0,0,,,5.9666,3,2,0.6376,0.3698,3.984
A0-GR,mountainstreet,32,0,0,0,0,,0,0,,,5.4527,1,0,1,0.1577,1.632
A0-GR,mountainstreet,33,0,1,0,0,,0,0,,,4.1799,2,1,0.9753,0.1543,1.68
A0-GR,mountainstreet,34,0,0,0,0,,0,0,,,1.9562,1,0,1,1,10.688
A0-GR,mountainstreet,35,0,0,0,0,,0,0,,,3.0603,2,2,0.8555,0,0
A0-GR,mountainstreet,36,0,0,1,0,,0,0,,,1.6194,4,3,0.6801,1,11.488
A0-GR,mountainstreet,37,0,0,0,0,,0,0,,,1.7176,2,2,0.8743,0.7337,7.92
A0-GR,mountainstreet,38,0,0,0,0,,0,0,,,4.6501,2,1,0.6593,0.3518,4.048
A0-GR,mountainstreet,39,0,0,1,0,,0,0,,,2.673,4,3,0.5344,1,10.912
A0-GR,mountainstreet,40,0,0,0,0,,0,0,,,3.7004,1,0,1,0,0
A0-GR,mountainstreet,41,0,0,0,0,,0,0,,,3.8834,2,1,0.5935,0.9161,9.936
A0-GR,mountainstreet,42,0,0,0,0,,0,0,,,5.698,2,1,0.6577,0,0
A0-GR,mountainstreet,43,0,0,0,0,,0,0,,,2.0418,2,1,0.8557,0.7085,6.416
A0-GR,mountainstreet,44,0,0,0,0,,0,0,,,2.3828,2,1,0.9327,0.284,2.368
A0-GR,mountainstreet,45,0,0,0,0,,0,0,,,2.2444,2,1,0.6797,0.4551,5.008
A0-GR,mountainstreet,46,0,0,0,0,,0,0,,,1.9379,2,1,0.6327,1,11.136
A0-GR,mountainstreet,47,0,0,0,0,,0,0,,,2.8046,1,0,1,1,10.768
A0-GR,mountainstreet,48,0,0,0,0,,0,0,,,2.2206,1,0,1,1,11.344
A0-GR,mountainstreet,49,0,0,0,0,,0,0,,,0.8439,3,2,0.7523,1,10.576
A0-GR,mountainstreet,50,0,0,0,0,,0,0,,,0.5149,3,2,0.5731,0.5832,6.432
A0-GR,mountainstreet,51,0,0,0,0,,0,0,,,2.9026,1,0,1,1,10.88
A0-GR,mountainstreet,52,0,0,0,0,,0,0,,,2.9761,3,2,0.4609,0.7539,8.464
A0-GR,mountainstreet,53,0,0,0,0,,0,0,,,0.9014,4,3,0.8003,1,11.76
A0-GR,mountainstreet,54,0,0,0,0,,0,0,,,2.1132,1,0,1,0.6912,4.768
A0-GR,mountainstreet,55,1,0,0,0,,0,0,,,9.2223,1,0,1,0.1234,1.216
A0-GR,mountainstreet,56,0,0,1,0,,0,0,,,0.3833,4,3,0.5783,1,11.328
A0-GR,mountainstreet,57,0,0,0,0,,0,0,,,0.6448,2,2,0.7325,0.7167,4.672
A0-GR,mountainstreet,58,0,0,0,0,,0,0,,,2.2299,1,0,1,0.1437,1.584
