arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A0-GR,searound,1,0,0,0,0,,0,0,,,1.1896,1,0,1,0.2244,4.304
A0-GR,searound,2,0,0,0,0,,0,0,,,4.1191,2,1,0.7359,0.516,8.768
A0-GR,searound,3,0,0,0,0,,0,0,,,4.5499,2,1,0.6385,0.5396,9.584
A0-GR,searound,4,0,0,0,0,,0,0,,,2.3434,2,1,0.9132,0.2662,5.04
A0-GR,searound,5,0,0,0,0,,0,0,,,0.5539,2,1,0.8304,0.3705,7.008
A0-GR,searound,6,1,0,0,0,,0,0,,,6.3886,1,0,1,0,0
A0-GR,searound,7,0,0,0,0,,0,0,,,2.966,2,1,0.5277,0.8218,15.408
A0-GR,searound,8,0,0,0,0,,0,0,,,2.4141,2,1,0.7489,0.3822,7.072
A0-GR,searound,9,0,0,0,0,,0,0,,,1.6568,3,2,0.4359,1,19.072
A0-GR,searound,10,0,0,0,0,,0,0,,,2.6165,2,1,0.5424,0.806,14.272
A0-GR,searound,11,0,0,0,0,,0,0,,,2.3803,1,0,1,0.2901,5.856
A0-GR,searound,12,1,0,0,0,,0,0,,,4.5612,1,0,1,0.0827,1.488
A0-GR,searound,13,0,1,0,0,,0,0,,,4.017,3,2,0.6681,0.882,16.016
A0-GR,searound,14,0,0,0,0,,0,0,,,3.5382,3,2,0.4241,0.8669,15.616
A0-GR,searound,15,1,0,0,0,,0,0,,,6.3646,1,0,1,0,0
A0-GR,searound,16,0,0,0,0,,0,0,,,3.7468,3,2,0.6133,0.9431,16.96
A0-GR,searound,17,0,0,0,0,,0,0,,,3.1045,2,1,0.8278,0.2706,5.088
A0-GR,searound,18,1,0,0,0,,0,0,,,5.8473,1,0,1,0,0
A0-GR,searound,19,0,0,0,0,,0,0,,,6.7488,1,0,1,0,0
A0-GR,searound,20,0,0,0,0,,0,0,,,1.6352,1,0,1,0.2315,3.568
A0-GR,searound,21,0,0,0,0,,0,0,,,5.5692,1,0,1,0.5968,10.048
A0-GR,searound,22,0,0,0,0,,0,0,,,2.9719,1,0,1,0.3843,5.744
A0-GR,searound,23,0,0,0,0,,0,0,,,0.6726,1,0,1,0.3575,7.232
A0-GR,searound,24,0,0,1,0,,0,0,,,4.0999,4,3,0.3839,0.8446,15.12
A0-GR,searound,25,0,0,0,0,,0,0,,,1.1972,1,0,1,0.5844,5.696
A0-GR,searound,26,0,0,0,0,,0,0,,,3.1534,3,2,0.5361,0.8755,14.72
A0-GR,searound,27,0,0,0,0,,0,0,,,3.7191,1,0,1,0.1679,2.72
A0-GR,searound,28,0,0,0,0,,0,0,,,3.8453,2,1,0.7486,0.6802,13.36
A0-GR,searound,29,0,0,0,0,,0,0,,,4.9222,1,0,1,0.4388,7.616
A0-GR,searound,30,1,0,0,0,,0,0,,,2.8655,1,0,1,0.1368,2.56
A0-GR,searound,31,1,0,0,0,,0,0,,,5.639,1,0,1,0.0978,1.856
A0-GR,searound,32,0,0,0,0,,0,0,,,2.8612,3,2,0.5616,1,18.816
A0-GR,searound,33,0,0,0,0,,0,0,,,1.8073,1,0,1,1,17.792
A0-GR,searound,34,0,0,0,0,,0,0,,,1.6351,2,1,0.6749,0.653,11.456
A0-GR,searound,35,0,0,0,0,,0,0,,,1.7648,1,0,1,1,17.296
A0-GR,searound,36,0,0,0,0,,0,0,,,1.1698,2,1,0.9479,0.4089,6.864
A0-GR,searound,37,0,0,0,0,,0,0,,,3.2818,1,0,1,0,0
A0-GR,searound,38,0,0,0,0,,0,0,,,2.9277,1,0,1,0.461,7.872
A0-GR,searound,39,0,0,0,0,,0,0,,,2.1207,3,2,0.6148,1,18.592
A0-GR,searound,40,0,0,0,0,,0,0,,,1.1762,2,1,0.715,0.6327,11.92
A0-GR,searound,41,0,0,0,0,,0,0,,,1.6831,2,1,0.5768,1,18.624
A0-GR,searound,42,0,0,0,0,,0,0,,,0.7375,2,2,0.685,1,19.488
A0-GR,searound,43,0,0,1,0,,0,0,,,3.6799,4,3,0.4516,0.7356,13.248
A0-GR,searound,44,0,0,0,0,,0,0,,,1.3209,2,1,0.6987,0.8087,10.768
A0-GR,searound,45,0,0,0,0,,0,0,,,2.841,2,1,0.6798,1,17.024
A0-GR,searound,46,0,0,0,0,,0,0,,,7.3668,2,1,0.5784,0.5004,9.232
A0-GR,searound,47,0,0,0,0,,0,0,,,2.8737,1,0,1,0.0103,0.176
A0-GR,searound,48,0,0,0,0,,0,0,,,1.5267,2,1,0.8397,0.6958,12.832
A0-GR,searound,49,0,0,0,0,,0,0,,,0.9385,2,2,0.8865,1,17.888
A0-GR,searound,50,0,0,0,0,,0,0,,,3.1227,2,1,0.8201,0.9561,17.76
A0-GR,searound,51,0,0,0,0,,0,0,,,1.4281,3,2,0.4727,1,17.888
A0-GR,searound,52,0,0,0,0,,0,0,,,4.7905,2,1,0.5909,0.6867,12.256
A0-GR,searound,53,0,0,0,0,,0,0,,,5.0053,3,2,0.603,0.6431,11.776
A0-GR,searound,54,0,0,0,0,,0,0,,,3.141,1,0,1,0,0
A0-GR,searound,55,1,0,0,0,,0,0,,,6.0998,1,0,1,0.1237,2.256
A0-GR,searound,56,0,0,0,0,,0,0,,,2.58,2,1,0.9296,0.4397,8.384
A0-GR,searound,57,1,0,0,0,,0,0,,,3.2182,1,0,1,0,0
A0-GR,searound,58,0,0,0,0,,0,0,,,1.0179,2,2,0.7027,1,18.496
A0-GR,searound,59,0,0,0,0,,0,0,,,1.501,1,0,1,0.3713,5.504
A0-GR,searound,60,0,0,0,0,,0,0,,,4.9375,2,1,0.7791,0.7595,13.68
A0-GR,searound,61,0,0,0,0,,0,0,,,0.3761,2,1,0.9949,0.4379,7.28
A0-GR,searound,62,0,0,0,0,,0,0,,,1.8996,3,3,0.8109,1,18.768
A0-GR,searound,63,0,0,0,0,,0,0,,,7.3697,1,0,1,0,0
A0-GR,searound,64,0,0,0,0,,0,0,,,3.0548,2,1,0.8091,0.3998,7.424
A0-GR,searound,65,0,0,1,0,,0,0,,,2.3312,3,3,0.466,1,18.32
A0-GR,searound,66,1,0,0,0,,0,0,,,5.6024,1,0,1,0,0
A0-GR,searound,67,0,0,0,0,,0,0,,,8.3061,1,0,1,0.194,1.76
A0-GR,searound,68,0,0,0,0,,0,0,,,7.0797,2,1,0.5996,0.3303,5.712
A0-GR,searound,69,0,0,0,0,,0,0,,,1.7215,3,2,0.487,0.9152,11.904
A0-GR,searound,70,0,0,0,0,,0,0,,,0.299,1,0,1,0.5516,11.104
A0-GR,searound,71,0,0,0,0,,0,0,,,1.5269,3,2,0.427,0.6216,11.84
A0-GR,searound,72,0,0,0,0,,0,0,,,2.3043,1,0,1,0.1323,2.624
A0-GR,searound,73,0,0,0,0,,0,0,,,6.8852,3,2,0.7502,0.425,7.28
A0-GR,searound,74,0,0,0,0,,0,0,,,1.4577,2,1,0.9288,0.5206,5.584
A0-GR,searound,75,1,0,0,0,,0,0,,,11.5943,1,0,1,0,0
A0-GR,searound,76,0,0,0,0,,0,0,,,3.8695,2,1,0.8974,0.8219,13.568
A0-GR,searound,77,1,0,0,0,,0,0,,,5.8039,1,0,1,0.1502,2.512
A0-GR,searound,78,0,0,0,0,,0,0,,,0.8582,1,0,1,0.9037,17.216
A0-GR,searound,79,0,0,0,0,,0,0,,,0.9353,2,2,0.8222,0.8929,8.976
A0-GR,searound,80,0,0,0,0,,0,0,,,2.7999,1,0,1,1,19.088
A0-GR,searound,81,0,0,0,0,,0,0,,,6.7018,2,1,0.5847,0.3567,6.416
A0-GR,searound,82,0,0,0,0,,0,0,,,5.284,2,1,0.7829,0.3841,7.088
A0-GR,searound,83,0,0,0,0,,0,0,,,0.5214,1,0,1,1,16.864
A0-GR,searound,84,0,0,0,0,,0,0,,,1.0778,1,0,1,1,18.256
A0-GR,searound,85,0,0,0,0,,0,0,,,3.5723,2,1,0.6861,0.3492,6.32
A0-GR,searound,86,0,0,0,0,,0,0,,,3.5122,3,2,0.4527,0.9238,16.864
A0-GR,searound,87,0,0,0,0,,0,0,,,4.794,1,0,1,0.4701,7.92
A0-GR,searound,88,0,0,0,0,,0,0,,,1.515,1,0,1,0.6667,12.816
A0-GR,searound,89,0,0,0,0,,0,0,,,2.0173,2,1,0.9413,0.804,8.976
A0-GR,searound,90,0,0,0,0,,0,0,,,4.2217,2,1,0.8578,0.777,13.36
A0-GR,searound,91,0,0,1,0,,0,0,,,2.7786,4,3,0.3985,1,18.976
A0-GR,searound,92,0,0,0,0,,0,0,,,4.3269,2,1,0.5198,0.5849,9.904
A0-GR,searound,93,0,0,0,0,,0,0,,,4.4012,2,2,0.657,0.8504,15.536
A0-GR,searound,94,0,0,0,0,,0,0,,,1.0367,3,2,0.7488,0.7962,11.632
A0-GR,searound,95,1,0,0,0,,0,0,,,3.0826,1,0,1,0,0
A0-GR,searound,96,0,0,0,0,,0,0,,,3.487,2,1,0.6556,0.7439,12.72
A0-GR,searound,97,0,0,0,0,,0,0,,,1.5501,1,0,1,1,18.576
A0-GR,searound,98,0,0,0,0,,0,0,,,7.2645,2,1,0.6186,0.2713,4.832
A0-GR,searound,99,0,0,0,0,,0,0,,,3.4676,3,2,0.6527,0.6242,11.2
A0-GR,searound,100,1,0,0,0,,0,0,,,1.2433,1,0,1,0.14,2.768
