arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A1-V0,dirt-oval,1,1,0,0,0,,0,0,,,6.518,1,0,1,0,0
A1-V0,dirt-oval,2,0,0,0,0,,0,0,,,1.2799,3,2,0.4112,1,23.216
A1-V0,dirt-oval,3,0,0,0,0,,0,0,,,5.3364,3,2,0.7562,0.5752,12.896
A1-V0,dirt-oval,4,0,0,0,0,,0,0,,,2.8003,1,0,1,0.4451,4.944
A1-V0,dirt-oval,5,0,0,0,0,,0,0,,,5.467,2,1,0.7108,0.4653,10.384
A1-V0,dirt-oval,6,0,0,0,0,,0,0,,,0.7935,2,1,0.9387,0.4202,10.512
A1-V0,dirt-oval,7,1,0,0,0,,0,0,,,4.7062,1,0,1,0,0
A1-V0,dirt-oval,8,0,0,0,0,,0,0,,,1.19,2,1,0.7538,1,23.248
A1-V0,dirt-oval,9,0,0,0,0,,0,0,,,1.7642,1,0,1,1,23.584
A1-V0,dirt-oval,10,0,0,0,0,,0,0,,,1.802,2,1,0.8006,0.9749,22.352
A1-V0,dirt-oval,11,0,0,0,0,,0,0,,,4.7127,2,2,0.6055,0.5231,11.568
A1-V0,dirt-oval,12,0,0,0,0,,0,0,,,2.3184,2,1,0.9466,1,22.448
A1-V0,dirt-oval,13,1,0,0,0,,0,0,,,10.8752,1,0,1,0,0
A1-V0,dirt-oval,14,0,0,0,0,,0,0,,,3.7897,2,1,0.9238,0.3098,4.928
A1-V0,dirt-oval,15,0,0,0,0,,0,0,,,1.0815,2,1,0.9222,1,22.208
A1-V0,dirt-oval,16,0,0,0,0,,0,0,,,0.9657,1,0,1,1,22.512
A1-V0,dirt-oval,17,1,0,0,0,,0,0,,,7.6806,1,0,1,0,0
A1-V0,dirt-oval,18,0,0,0,0,,0,0,,,1.0266,2,1,0.9968,0.2783,6.912
A1-V0,dirt-oval,19,0,0,0,0,,0,0,,,0.9306,3,2,0.5559,1,24.016
A1-V0,dirt-oval,20,0,0,0,0,,0,0,,,5.6389,1,0,1,0.2016,4.416
A1-V0,dirt-oval,21,0,0,0,0,,0,0,,,4.4082,1,0,1,0.0937,2.192
A1-V0,dirt-oval,22,0,0,0,0,,0,0,,,1.0966,2,1,0.519,1,24
A1-V0,dirt-oval,23,0,0,0,0,,0,0,,,6.3691,2,1,0.6213,0.3265,6.896
A1-V0,dirt-oval,24,0,0,0,0,,0,0,,,1.3387,2,1,0.7051,0.7492,17.952
A1-V0,dirt-oval,25,1,0,0,0,,0,0,,,3.1514,1,0,1,0.0835,1.824
A1-V0,dirt-oval,26,1,0,0,0,,0,0,,,10.0633,1,0,1,0,0
