arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A1-V0,luger-hill,1,0,0,0,0,,0,0,,,1.4963,1,0,1,1,11.232
A1-V0,luger-hill,2,0,0,0,0,,0,0,,,2.2952,1,0,1,1,10.304
A1-V0,luger-hill,3,1,0,0,0,,0,0,,,2.5086,1,0,1,0.1215,1.376
A1-V0,luger-hill,4,0,0,0,0,,0,0,,,6.4618,2,2,0.7012,0.039,0.4
A1-V0,luger-hill,5,0,0,0,0,,0,0,,,3.6379,2,1,0.9757,0,0
A1-V0,luger-hill,6,0,0,0,0,,0,0,,,3.314,1,0,1,0.4103,4.336
A1-V0,luger-hill,7,0,0,1,0,,0,0,,,1.6176,4,3,0.4714,1,10.88
A1-V0,luger-hill,8,1,0,0,0,,0,0,,,5.5566,1,0,1,0,0
A1-V0,luger-hill,9,0,0,0,0,,0,0,,,3.1113,2,1,0.7033,0.9777,10.528
A1-V0,luger-hill,10,1,0,0,0,,0,0,,,9.2411,1,0,1,0,0
A1-V0,luger-hill,11,0,0,0,0,,0,0,,,3.0597,1,0,1,0.9412,9.968
A1-V0,luger-hill,12,0,0,0,0,,0,0,,,3.9148,1,0,1,0.3545,3.648
A1-V0,luger-hill,13,0,0,0,0,,0,0,,,1.1987,1,0,1,1,11.056
A1-V0,luger-hill,14,0,0,0,0,,0,0,,,1.1299,3,2,0.5065,1,11.136
A1-V0,luger-hill,15,0,0,0,0,,0,0,,,0.5225,2,1,0.9957,1,11.12
A1-V0,luger-hill,16,1,0,0,0,,0,0,,,6.6127,1,0,1,0,0
A1-V0,luger-hill,17,0,0,0,0,,0,0,,,2.7506,2,1,0.9247,1,11.04
A1-V0,luger-hill,18,0,0,0,0,,0,0,,,3.2755,1,0,1,0.8298,9.424
A1-V0,luger-hill,19,0,0,0,0,,0,0,,,2.855,1,0,1,1,10.64
A1-V0,luger-hill,20,0,0,0,0,,0,0,,,0.8161,1,0,1,1,11.12
A1-V0,luger-hill,21,0,0,0,0,,0,0,,,2.7328,1,0,1,0.5867,3.952
A1-V0,luger-hill,22,0,0,1,0,,0,0,,,0.5694,4,3,0.6719,1,11.104
A1-V0,luger-hill,23,0,0,0,0,,0,0,,,2.4354,2,1,0.5378,1,10.784
A1-V0,luger-hill,24,1,0,0,0,,0,0,,,4.8824,1,0,1,0,0
A1-V0,luger-hill,25,1,0,0,0,,0,0,,,5.6465,1,0,1,0.0527,0.512
A1-V0,luger-hill,26,1,0,0,0,,0,0,,,6.2603,1,0,1,0,0
A1-V0,luger-hill,27,0,0,0,0,,0,0,,,1.7154,2,1,0.5286,1,11.184
A1-V0,luger-hill,28,0,0,0,0,,0,0,,,0.9652,2,1,0.6849,1,10.496
A1-V0,luger-hill,29,0,0,0,0,,0,0,,,1.7402,2,1,0.584,1,10.56
A1-V0,luger-hill,30,0,0,0,0,,0,0,,,1.5311,2,1,0.8077,1,11.632
A1-V0,luger-hill,31,0,0,0,0,,0,0,,,2.4857,3,2,0.7519,1,10.432
A1-V0,luger-hill,32,0,0,0,0,,0,0,,,0.3336,3,3,0.7902,1,11.728
A1-V0,luger-hill,33,1,0,0,0,,0,0,,,6.8711,1,0,1,0,0
A1-V0,luger-hill,34,0,0,0,0,,0,0,,,0.7348,1,0,1,1,11.104
A1-V0,luger-hill,35,0,0,0,0,,0,0,,,0.767,2,1,0.6371,1,11.36
A1-V0,luger-hill,36,0,0,0,0,,0,0,,,1.045,1,0,1,1,11.552
A1-V0,luger-hill,37,0,0,0,0,,0,0,,,5.4097,1,0,1,0.419,4.208
A1-V0,luger-hill,38,0,0,0,0,,0,0,,,6.1392,1,0,1,0,0
A1-V0,luger-hill,39,0,0,0,0,,0,0,,,2.6416,1,0,1,0.9304,7.296
A1-V0,luger-hill,40,0,0,0,0,,0,0,,,3.1291,1,0,1,0.4864,4.864
A1-V0,luger-hill,41,0,0,0,0,,0,0,,,0.0278,2,3,0.9027,1,11.328
A1-V0,luger-hill,42,0,0,0,0,,0,0,,,3.5963,1,0,1,0,0
A1-V0,luger-hill,43,0,0,0,0,,0,0,,,3.4764,1,0,1,0,0
A1-V0,luger-hill,44,0,0,0,0,,0,0,,,1.2868,1,0,1,1,11.072
A1-V0,luger-hill,45,1,0,0,0,,0,0,,,4.8923,1,0,1,0.1166,1.2
A1-V0,luger-hill,46,0,0,0,0,,0,0,,,2.3136,2,1,0.8471,1,10.448
A1-V0,luger-hill,47,0,0,0,0,,0,0,,,1.4721,3,2,0.4441,1,11.872
A1-V0,luger-hill,48,0,0,0,0,,0,0,,,7.2063,1,0,1,0,0
A1-V0,luger-hill,49,0,0,0,0,,0,0,,,4.9503,1,0,1,0.1752,1.728
A1-V0,luger-hill,50,0,0,0,0,,0,0,,,1.0861,2,1,0.6921,1,10.896
A1-V0,luger-hill,51,0,0,0,0,,0,0,,,2.1944,1,0,1,0.9475,6.4
A1-V0,luger-hill,52,0,0,0,0,,0,0,,,0.7501,2,1,0.7361,1,11.504
A1-V0,luger-hill,53,0,0,0,0,,0,0,,,2.4988,3,2,0.5719,1,10.56
A1-V0,luger-hill,54,1,0,0,0,,0,0,,,7.2319,1,0,1,0.0292,0.272
A1-V0,luger-hill,55,0,0,1,0,,0,0,,,2.2108,3,3,0.5515,1,10.544
A1-V0,luger-hill,56,0,0,0,0,,0,0,,,3.5685,2,1,0.6171,0.8956,9.04
A1-V0,luger-hill,57,0,0,0,0,,0,0,,,0.4823,2,1,0.8565,1,11.136
A1-V0,luger-hill,58,0,0,0,0,,0,0,,,1.2767,2,1,0.5877,1,11.472
A1-V0,luger-hill,59,0,0,1,0,,0,0,,,0.1922,4,4,0.6357,1,11.712
A1-V0,luger-hill,60,0,0,0,0,,0,0,,,0.5664,3,2,0.561,1,11.792
A1-V0,luger-hill,61,0,0,0,0,,0,0,,,3.2622,1,0,1,0.4431,4.592
A1-V0,luger-hill,62,0,0,0,0,,0,0,,,5.9236,2,1,0.5527,0.1476,1.552
A1-V0,luger-hill,63,0,0,0,0,,0,0,,,2.0215,1,0,1,0.7594,8.672
A1-V0,luger-hill,64,0,0,0,0,,0,0,,,0.985,2,1,0.9933,0.2446,2.896
A1-V0,luger-hill,65,0,0,0,0,,0,0,,,4.3165,1,0,1,0.1939,2.016
A1-V0,luger-hill,66,0,0,0,0,,0,0,,,1.452,1,0,1,1,11.28
A1-V0,luger-hill,67,0,0,0,0,,0,0,,,2.083,1,0,1,1,10.752
A1-V0,luger-hill,68,0,0,0,0,,0,0,,,0.8434,2,2,0.7908,1,11.072
A1-V0,luger-hill,69,1,0,0,0,,0,0,,,4.9785,1,0,1,0,0
A1-V0,luger-hill,70,0,0,1,0,,0,0,,,0.4837,3,3,0.4534,1,11.84
A1-V0,luger-hill,71,0,0,0,0,,0,0,,,2.4146,2,1,0.8929,1,11.04
A1-V0,luger-hill,72,0,0,0,0,,0,0,,,2.4827,1,0,1,0.919,9.6
A1-V0,luger-hill,73,0,0,0,0,,0,0,,,2.3548,3,2,0.6018,1,10.432
A1-V0,luger-hill,74,0,0,0,0,,0,0,,,0.764,3,2,0.629,1,11.888
A1-V0,luger-hill,75,1,0,0,0,,0,0,,,7.5,1,0,1,0,0
A1-V0,luger-hill,76,0,0,0,0,,0,0,,,8.1677,1,0,1,0,0
A1-V0,luger-hill,77,0,0,0,0,,0,0,,,2.0761,1,0,1,1,10.88
A1-V0,luger-hill,78,0,0,0,0,,0,0,,,3.323,1,0,1,0.6867,7.312
A1-V0,luger-hill,79,0,0,0,0,,0,0,,,1.6426,3,2,0.6513,1,10.72
A1-V0,luger-hill,80,0,0,0,0,,0,0,,,2.1586,1,0,1,0.3048,3.344
A1-V0,luger-hill,81,0,0,0,0,,0,0,,,1.1793,1,0,1,0.3971,4.4
A1-V0,luger-hill,82,0,1,0,0,,0,0,,,5.7145,1,0,1,0.0564,0.576
A1-V0,luger-hill,83,0,0,0,0,,0,0,,,3.6764,2,1,0.7294,0.8364,8.736
A1-V0,luger-hill,84,0,0,0,0,,0,0,,,1.7157,2,1,0.8389,0.6762,7.168
A1-V0,luger-hill,85,0,0,0,0,,0,0,,,2.4614,2,1,0.6724,0.7888,8.112
A1-V0,luger-hill,86,1,0,0,0,,0,0,,,4.5766,1,0,1,0.2813,2.752
A1-V0,luger-hill,87,0,0,0,0,,0,0,,,2.8113,1,0,1,1,9.792
A1-V0,luger-hill,88,0,0,0,0,,0,0,,,1.0401,2,1,0.5907,1,10.304
A1-V0,luger-hill,89,1,0,0,0,,0,0,,,6.3004,1,0,1,0.0202,0.192
A1-V0,luger-hill,90,0,0,0,0,,0,0,,,3.4593,1,0,1,0.879,8.704
A1-V0,luger-hill,91,1,0,0,0,,0,0,,,8.0046,1,0,1,0,0
A1-V0,luger-hill,92,0,0,0,0,,0,0,,,5.1031,1,0,1,0,0
A1-V0,luger-hill,93,1,0,0,0,,0,0,,,4.4254,1,0,1,0.4037,4.176
A1-V0,luger-hill,94,0,0,0,0,,0,0,,,3.8137,1,0,1,0.0032,0.016
A1-V0,luger-hill,95,0,0,0,0,,0,0,,,5.3983,2,1,0.6934,0.6132,6.224
A1-V0,luger-hill,96,0,0,0,0,,0,0,,,2.5812,2,1,0.6288,1,10.416
A1-V0,luger-hill,97,1,0,0,0,,0,0,,,6.8483,1,0,1,0.1487,1.44
A1-V0,luger-hill,98,0,0,0,0,,0,0,,,2.0243,2,1,0.6716,1,10.704
A1-V0,luger-hill,99,1,0,0,0,,0,0,,,6.1051,1,0,1,0,0
A1-V0,luger-hill,100,0,0,0,0,,0,0,,,1.824,2,1,0.9837,1,10.784
