arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A1-V0,mountainstreet,1,1,0,0,0,,0,0,,,5.3478,1,0,1,0,0
A1-V0,mountainstreet,2,0,0,0,0,,0,0,,,5.4739,3,2,0.7124,0.6549,7.088
A1-V0,mountainstreet,3,0,1,0,0,,0,0,,,5.7415,2,1,0.533,0.4229,4.592
A1-V0,mountainstreet,4,0,0,0,0,,0,0,,,1.8161,2,1,0.9032,1,10.4
A1-V0,mountainstreet,5,0,0,0,0,,0,0,,,1.3787,3,2,0.5635,1,11.2
A1-V0,mountainstreet,6,1,0,0,0,,0,0,,,1.8314,1,0,1,0.1838,1.984
A1-V0,mountainstreet,7,1,0,0,0,,0,0,,,1.856,1,0,1,0.1973,2.08
A1-V0,mountainstreet,8,0,0,0,0,,0,0,,,1.4167,1,0,1,1,10.544
A1-V0,mountainstreet,9,0,0,0,0,,0,0,,,4.7608,1,0,1,0,0
A1-V0,mountainstreet,10,0,0,0,0,,0,0,,,0.7831,2,1,0.9455,1,10.544
A1-V0,mountainstreet,11,1,0,0,0,,0,0,,,8.2961,1,0,1,0.0264,0.272
A1-V0,mountainstreet,12,0,0,0,0,,0,0,,,2.7897,1,0,1,0.0343,0.208
A1-V0,mountainstreet,13,0,0,0,0,,0,0,,,2.7358,2,1,0.5494,1,10.672
A1-V0,mountainstreet,14,1,0,0,0,,0,0,,,10.4141,1,0,1,0,0
A1-V0,mountainstreet,15,0,0,0,0,,0,0,,,1.7127,3,2,0.5567,1,11.136
A1-V0,mountainstreet,16,0,0,0,0,,0,0,,,4.1202,2,1,0.657,0.8285,9.568
A1-V0,mountainstreet,17,0,0,1,0,,0,0,,,1.2815,4,3,0.3674,1,10.784
A1-V0,mountainstreet,18,0,0,0,0,,0,0,,,1.2649,2,1,0.9844,1,11.232
A1-V0,mountainstreet,19,0,0,1,0,,0,0,,,0.6918,4,4,0.4849,1,11.664
A1-V0,mountainstreet,20,0,0,0,0,,0,0,,,3.2626,1,0,1,0.5192,5.392
A1-V0,mountainstreet,21,0,0,0,0,,0,0,,,5.456,1,0,1,0.4955,5.312
A1-V0,mountainstreet,22,0,0,0,0,,0,0,,,2.6431,2,1,0.8127,1,10.32
A1-V0,mountainstreet,23,0,0,0,0,,0,0,,,3.8036,1,0,1,0,0
A1-V0,mountainstreet,24,0,0,0,0,,0,0,,,3.6533,1,0,1,0.7876,7.536
