arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A1-V0,searound,1,1,0,0,0,,0,0,,,10.1075,1,0,1,0,0
A1-V0,searound,2,0,0,0,0,,0,0,,,3.642,2,1,0.5829,0.907,15.744
A1-V0,searound,3,0,0,0,0,,0,0,,,3.1007,2,1,0.666,0.469,8.096
A1-V0,searound,4,1,0,0,0,,0,0,,,3.8314,1,0,1,0,0
A1-V0,searound,5,0,0,0,0,,0,0,,,1.5779,2,2,0.6347,0.3903,7.216
A1-V0,searound,6,1,0,0,0,,0,0,,,14.2865,1,0,1,0,0
A1-V0,searound,7,0,0,0,0,,0,0,,,1.4981,2,1,0.8585,0.7093,13.296
A1-V0,searound,8,1,0,0,0,,0,0,,,5.8085,1,0,1,0,0
A1-V0,searound,9,0,0,0,0,,0,0,,,2.1058,2,1,0.7076,1,19.136
A1-V0,searound,10,0,0,0,0,,0,0,,,1.7314,2,1,0.8679,0.549,9.76
A1-V0,searound,11,0,0,0,0,,0,0,,,4.9441,1,0,1,0,0
A1-V0,searound,12,1,0,0,0,,0,0,,,10.7361,1,0,1,0.09,1.488
A1-V0,searound,13,0,0,0,0,,0,0,,,4.5028,1,0,1,0.8111,14.688
A1-V0,searound,14,0,0,0,0,,0,0,,,2.8169,3,2,0.506,1,18.608
A1-V0,searound,15,1,0,0,0,,0,0,,,17.0116,1,0,1,0,0
A1-V0,searound,16,0,0,0,0,,0,0,,,1.8121,1,0,1,0.4069,7.744
A1-V0,searound,17,1,0,0,0,,0,0,,,12.3717,1,0,1,0,0
A1-V0,searound,18,1,0,0,0,,0,0,,,12.6573,1,0,1,0.0873,1.488
A1-V0,searound,19,0,0,0,0,,0,0,,,9.9135,1,0,1,0,0
A1-V0,searound,20,1,0,0,0,,0,0,,,8.0538,1,0,1,0.1847,3.12
A1-V0,searound,21,0,0,0,0,,0,0,,,5.4471,1,0,1,0,0
A1-V0,searound,22,0,0,0,0,,0,0,,,1.4265,2,1,0.781,0.8456,15.056
A1-V0,searound,23,0,0,0,0,,0,0,,,3.1973,1,0,1,0,0
A1-V0,searound,24,0,0,0,0,,0,0,,,1.0068,2,1,0.672,1,18.96
A1-V0,searound,25,0,0,0,0,,0,0,,,3.5585,1,0,1,0.6793,7.424
A1-V0,searound,26,0,0,0,0,,0,0,,,2.5225,3,2,0.6633,0.6624,6.72
A1-V0,searound,27,0,0,0,0,,0,0,,,5.5019,1,0,1,0,0
A1-V0,searound,28,0,0,0,0,,0,0,,,1.306,1,0,1,1,18.624
A1-V0,searound,29,0,0,0,0,,0,0,,,1.279,2,1,0.6085,1,17.232
A1-V0,searound,30,1,0,0,0,,0,0,,,10.945,1,0,1,0,0
A1-V0,searound,31,1,0,0,0,,0,0,,,12.7244,1,0,1,0,0
A1-V0,searound,32,0,0,0,0,,0,0,,,2.2822,3,2,0.6328,1,18.592
A1-V0,searound,33,0,0,0,0,,0,0,,,1.804,1,0,1,1,17.792
A1-V0,searound,34,1,0,0,0,,0,0,,,5.0297,1,0,1,0,0
A1-V0,searound,35,0,0,0,0,,0,0,,,1.1883,2,1,0.526,1,17.2
A1-V0,searound,36,0,1,0,0,,0,0,,,6.7771,1,0,1,0,0
A1-V0,searound,37,0,0,0,0,,0,0,,,2.8345,1,0,1,0.3162,5.632
A1-V0,searound,38,0,0,0,0,,0,0,,,4.2036,1,0,1,0.4429,7.872
A1-V0,searound,39,0,0,1,0,,0,0,,,0.9652,4,3,0.4449,1,18.576
A1-V0,searound,40,1,0,0,0,,0,0,,,7.2484,1,0,1,0,0
A1-V0,searound,41,0,0,0,0,,0,0,,,2.398,2,1,0.5113,1,18.384
A1-V0,searound,42,0,0,0,0,,0,0,,,0.8131,2,2,0.6762,1,19.504
A1-V0,searound,43,0,0,1,0,,0,0,,,3.816,4,4,0.4255,0.818,14.656
A1-V0,searound,44,0,0,0,0,,0,0,,,1.0047,2,1,0.7352,0.7587,9.536
A1-V0,searound,45,0,0,0,0,,0,0,,,1.8937,2,1,0.5563,1,17.04
A1-V0,searound,46,0,0,0,0,,0,0,,,7.6688,2,1,0.553,0,0
A1-V0,searound,47,1,0,0,0,,0,0,,,12.3413,1,0,1,0,0
A1-V0,searound,48,0,0,0,0,,0,0,,,0.8102,1,0,1,0.6405,11.872
A1-V0,searound,49,0,0,0,0,,0,0,,,0.9385,2,2,0.8865,1,17.888
A1-V0,searound,50,0,0,0,0,,0,0,,,1.3611,2,1,0.8941,1,18.576
A1-V0,searound,51,0,0,0,0,,0,0,,,1.5405,2,1,0.8097,1,17.392
A1-V0,searound,52,1,0,0,0,,0,0,,,7.5409,2,1,0.8065,0.3622,6.272
A1-V0,searound,53,1,0,0,0,,0,0,,,5.6655,1,0,1,0,0
A1-V0,searound,54,0,0,0,0,,0,0,,,6.6671,1,0,1,0,0
A1-V0,searound,55,1,0,0,0,,0,0,,,11.5992,1,0,1,0.0184,0.304
A1-V0,searound,56,0,0,0,0,,0,0,,,5.9385,2,1,0.5604,0,0
A1-V0,searound,57,1,0,0,0,,0,0,,,4.6599,1,0,1,0,0
A1-V0,searound,58,0,0,0,0,,0,0,,,0.2483,2,2,0.7951,1,18.416
A1-V0,searound,59,0,0,0,0,,0,0,,,6.0438,3,2,0.873,0.3793,6.72
A1-V0,searound,60,0,0,0,0,,0,0,,,7.2131,2,1,0.9944,0.3675,6.288
A1-V0,searound,61,0,0,0,0,,0,0,,,5.8167,2,1,0.5766,0,0
A1-V0,searound,62,0,0,0,0,,0,0,,,3.9534,3,2,0.6794,0.929,16.72
A1-V0,searound,63,1,0,0,0,,0,0,,,12.4077,1,0,1,0,0
A1-V0,searound,64,0,0,0,0,,0,0,,,2.725,2,2,0.6786,0.2881,5.248
A1-V0,searound,65,0,0,0,0,,0,0,,,2.4173,3,2,0.5764,1,18.416
A1-V0,searound,66,0,0,0,0,,0,0,,,10.7671,1,0,1,0,0
A1-V0,searound,67,0,0,0,0,,0,0,,,10.014,2,1,0.628,0.2274,3.936
A1-V0,searound,68,1,0,0,0,,0,0,,,9.521,1,0,1,0,0
A1-V0,searound,69,0,0,1,0,,0,0,,,1.5118,4,3,0.2687,1,18.976
A1-V0,searound,70,1,0,0,0,,0,0,,,7.8197,1,0,1,0,0
A1-V0,searound,71,0,0,0,0,,0,0,,,0.4419,2,2,0.5954,0.7447,14.032
A1-V0,searound,72,0,0,0,0,,0,0,,,3.8248,1,0,1,0,0
A1-V0,searound,73,0,0,0,0,,0,0,,,2.205,3,2,0.6419,1,17.232
A1-V0,searound,74,0,0,0,0,,0,0,,,3.0112,1,0,1,0.4714,8.544
A1-V0,searound,75,1,0,0,0,,0,0,,,14.0908,1,0,1,0,0
A1-V0,searound,76,0,0,0,0,,0,0,,,5.4817,1,0,1,0.2006,3.264
A1-V0,searound,77,1,0,0,0,,0,0,,,6.5345,1,0,1,0.1502,2.512
A1-V0,searound,78,0,0,0,0,,0,0,,,0.4597,2,1,0.8282,1,19.728
A1-V0,searound,79,0,0,0,0,,0,0,,,0.9646,2,2,0.8941,0.8804,8.816
A1-V0,searound,80,0,0,0,0,,0,0,,,6.8502,1,0,1,0.1324,2.288
A1-V0,searound,81,1,0,0,0,,0,0,,,10.1232,1,0,1,0,0
A1-V0,searound,82,0,0,0,0,,0,0,,,4.6015,2,1,0.7829,0.3849,7.104
A1-V0,searound,83,0,0,0,0,,0,0,,,1.5629,1,0,1,1,16.864
A1-V0,searound,84,0,0,0,0,,0,0,,,1.8111,1,0,1,1,18.256
A1-V0,searound,85,1,0,0,0,,0,0,,,6.5895,1,0,1,0,0
A1-V0,searound,86,0,0,0,0,,0,0,,,3.119,3,2,0.3852,0.9859,17.92
A1-V0,searound,87,0,0,0,0,,0,0,,,5.5804,1,0,1,0.4922,8.112
A1-V0,searound,88,1,0,0,0,,0,0,,,7.0674,1,0,1,0,0
A1-V0,searound,89,1,0,0,0,,0,0,,,8.752,1,0,1,0,0
A1-V0,searound,90,0,0,0,0,,0,0,,,2.481,2,1,0.8867,1,17.216
A1-V0,searound,91,0,0,0,0,,0,0,,,2.7629,3,2,0.6002,0.8834,17.2
A1-V0,searound,92,0,0,0,0,,0,0,,,4.1716,2,1,0.5104,0.6023,10.16
A1-V0,searound,93,0,0,0,0,,0,0,,,4.4096,2,2,0.6561,0.6729,12.16
A1-V0,searound,94,1,0,0,0,,0,0,,,11.3188,1,0,1,0,0
A1-V0,searound,95,1,0,0,0,,0,0,,,9.3405,1,0,1,0,0
A1-V0,searound,96,0,0,0,0,,0,0,,,1.161,2,1,0.8823,0.5765,11.264
A1-V0,searound,97,0,0,0,0,,0,0,,,1.6942,1,0,1,1,18.384
A1-V0,searound,98,0,0,0,0,,0,0,,,4.7035,2,1,0.5257,0.4275,7.584
A1-V0,searound,99,0,0,0,0,,0,0,,,3.9401,2,1,0.5655,0.4626,8.688
A1-V0,searound,100,1,0,0,0,,0,0,,,9.4107,1,0,1,0,0
