arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2-CAR-w62,dirt-oval,1,0,0,0,1,,2,0,1,0.2529,4.1034,1,0,1,0.0772,3.28
A2-CAR-w62,dirt-oval,2,0,0,0,1,,2,1,1,0.0002,1.9289,3,2,0.4741,1,42.848
A2-CAR-w62,dirt-oval,3,0,0,0,1,,2,0,1,0.0669,5.9052,4,4,0.7267,0.5432,23.024
A2-CAR-w62,dirt-oval,4,1,0,0,1,,2,1,2,0.3532,4.8785,2,2,0.6233,0.5373,21.664
A2-CAR-w62,dirt-oval,5,0,0,0,1,,2,1,2,0.1444,1.4705,3,2,0.6384,1,42.688
A2-CAR-w62,dirt-oval,6,0,0,0,1,,2,1,2,0.0248,5.6979,2,1,0.8681,0.2254,9.472
A2-CAR-w62,dirt-oval,7,1,0,0,0,lead-in-too-steep,0,0,,,4.7062,2,1,0.8839,0.1969,8.608
A2-CAR-w62,dirt-oval,8,0,0,0,1,,2,1,1,0.066,1.0665,3,2,0.7955,1,42.224
A2-CAR-w62,dirt-oval,9,0,0,1,0,lead-in-too-steep,0,0,,,0.7995,6,17,0.2748,1,46.512
A2-CAR-w62,dirt-oval,10,0,0,0,1,,2,1,2,0.0935,0.7723,3,2,0.8666,0.4368,9.744
A2-CAR-w62,dirt-oval,11,0,0,1,0,lead-in-too-steep,0,0,,,2.6163,3,3,0.5097,0.9341,31.408
A2-CAR-w62,dirt-oval,12,0,0,0,1,,2,1,2,0.1046,1.7559,2,1,0.7217,0.4989,17.28
A2-CAR-w62,dirt-oval,13,1,0,0,0,lead-in-too-steep,0,0,,,10.8752,1,0,1,0.1412,6.032
A2-CAR-w62,dirt-oval,14,0,0,1,0,lead-in-too-steep,0,0,,,3.7897,5,5,0.5978,0.6437,26.368
A2-CAR-w62,dirt-oval,15,0,0,0,0,lead-in-too-steep,0,0,,,1.2486,2,1,0.6552,1,43.28
A2-CAR-w62,dirt-oval,16,0,0,0,1,,2,0,1,0.2081,2.8535,3,2,0.5034,0.3648,12.848
A2-CAR-w62,dirt-oval,17,1,0,0,0,lead-in-too-steep,0,0,,,7.6806,2,1,0.7874,0.2999,12.848
A2-CAR-w62,dirt-oval,18,0,0,1,1,,2,1,1,0.1432,5.7418,3,3,0.6223,0.8326,34.448
A2-CAR-w62,dirt-oval,19,0,0,0,1,,2,1,2,0.0077,1.5711,2,1,0.5867,0.4452,10.144
A2-CAR-w62,dirt-oval,20,0,0,0,1,,2,1,2,0.0783,2.8096,3,2,0.7276,0.6687,22.224
A2-CAR-w62,dirt-oval,21,0,0,0,0,lead-in-too-steep,0,0,,,4.4082,2,1,0.6267,0.5051,12.768
A2-CAR-w62,dirt-oval,22,0,0,0,1,,2,0,1,0,1.2327,2,1,0.6136,0.312,7.136
A2-CAR-w62,dirt-oval,23,0,0,1,1,,2,1,2,0.0257,1.5758,4,3,0.4373,1,40.448
A2-CAR-w62,dirt-oval,24,0,0,0,1,,2,0,1,0.0977,2.0757,3,2,0.5295,1,41.984
A2-CAR-w62,dirt-oval,25,0,0,0,1,,2,0,1,0.2926,1.1275,1,0,1,0.9949,38.256
A2-CAR-w62,dirt-oval,26,1,0,0,0,lead-in-too-steep,0,0,,,10.0633,2,1,0.973,0.1728,7.248
A2-CAR-w62,dirt-oval,27,0,0,0,0,rotation-torn-by-feasibility,0,0,,,4.9137,3,2,0.7022,0.5994,25.36
A2-CAR-w62,dirt-oval,28,0,0,0,1,,2,1,2,0.3014,2.3712,3,2,0.6559,0.3113,9.008
A2-CAR-w62,dirt-oval,29,0,0,0,1,,2,0,1,0.1575,2.729,3,2,0.8013,0.4113,14.496
A2-CAR-w62,dirt-oval,30,0,0,0,1,,2,1,1,0.0924,11.0481,3,2,0.8497,0.3743,11.232
A2-CAR-w62,dirt-oval,31,1,0,0,0,lead-in-too-steep,0,0,,,9.5517,2,1,0.9663,0.4656,20.128
A2-CAR-w62,dirt-oval,32,0,0,0,1,,2,1,2,0.0786,1.8926,3,2,0.7643,0.4733,10.352
A2-CAR-w62,dirt-oval,33,1,0,0,1,,2,0,1,0,8.311,1,0,1,0.0412,1.68
A2-CAR-w62,dirt-oval,34,0,0,0,1,,2,1,2,0,0.9024,3,2,0.865,0.3697,10.176
A2-CAR-w62,dirt-oval,35,0,0,0,0,lead-in-too-steep,0,0,,,9.7119,2,1,0.7039,0.4228,17.12
A2-CAR-w62,dirt-oval,36,0,0,0,0,lead-in-too-steep,0,0,,,7.1805,2,1,0.9032,0.619,26.992
A2-CAR-w62,dirt-oval,37,0,0,0,1,,2,1,1,0.1354,1.6554,2,1,0.636,1,40.56
A2-CAR-w62,dirt-oval,38,1,0,0,1,,2,1,2,0.0405,4.8314,2,1,0.9468,0.1873,7.808
A2-CAR-w62,dirt-oval,39,0,0,0,1,,2,1,1,0.2899,7.537,2,1,0.808,0.2215,9.104
A2-CAR-w62,dirt-oval,40,0,0,1,0,lead-in-too-steep,0,0,,,0.5079,5,10,0.2789,1,45.472
A2-CAR-w62,dirt-oval,41,1,0,0,0,lead-in-too-steep,0,0,,,6.4725,2,1,0.9156,0.4017,17.792
A2-CAR-w62,dirt-oval,42,0,0,1,0,lead-in-too-steep,0,0,,,0.719,4,4,0.3468,1,44.048
A2-CAR-w62,dirt-oval,43,0,0,0,0,lead-in-too-steep,0,0,,,1.4962,2,1,0.7191,1,43.792
A2-CAR-w62,dirt-oval,44,0,0,1,1,,2,1,2,0.2661,1.9969,4,4,0.5212,0.8643,16.864
A2-CAR-w62,dirt-oval,45,0,0,0,0,lead-in-too-steep,0,0,,,3.9246,1,0,1,0.0942,3.872
A2-CAR-w62,dirt-oval,46,0,0,0,1,,2,1,1,0.1388,0.9805,2,2,0.8484,0.9696,33.824
A2-CAR-w62,dirt-oval,47,1,0,0,1,,2,1,2,0.2083,6.0704,4,3,0.9279,0.2229,9.04
A2-CAR-w62,dirt-oval,48,0,0,0,1,,2,0,1,0.0946,2.768,1,0,1,0.1843,6.064
A2-CAR-w62,dirt-oval,49,0,0,0,1,,2,0,1,0.0215,1.2501,1,0,1,0.5985,23.792
A2-CAR-w62,dirt-oval,50,1,0,0,1,,2,1,2,0,14.6159,2,1,0.6823,0.2332,9.664
A2-CAR-w62,dirt-oval,51,1,0,0,1,,2,1,2,0.0619,2.8965,3,2,0.7535,0.528,17.776
