arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2-CAR-w62,luger-hill,1,0,0,1,0,lead-in-too-steep,0,0,,,2.7473,4,5,0.3923,1,21.6
A2-CAR-w62,luger-hill,2,0,1,0,0,lead-in-too-steep,0,0,,,0.6396,3,2,0.4725,1,20.912
A2-CAR-w62,luger-hill,3,1,0,0,0,lead-in-too-steep,0,0,,,2.5086,1,0,1,0.3131,5.184
A2-CAR-w62,luger-hill,4,0,0,0,1,,2,0,1,0.4164,4.5111,2,1,0.9862,0.3149,6.176
A2-CAR-w62,luger-hill,5,0,0,0,0,lead-in-too-steep,0,0,,,1.3722,3,2,0.6224,1,20.704
A2-CAR-w62,luger-hill,6,0,0,0,1,,2,2,,0.1227,4.6245,4,4,0.7048,0.8119,15.872
A2-CAR-w62,luger-hill,7,0,0,0,1,,2,0,1,0,1.2158,2,1,0.6651,0.9028,12.928
A2-CAR-w62,luger-hill,8,0,0,0,1,,2,0,1,0.0048,1.468,3,2,0.7578,0.7069,10.944
A2-CAR-w62,luger-hill,9,0,0,1,1,,2,0,1,0.0151,3.0291,5,5,0.3409,0.9951,19.504
A2-CAR-w62,luger-hill,10,1,0,0,1,,2,0,1,0.4618,6.3564,4,3,0.8777,0.325,6.192
A2-CAR-w62,luger-hill,11,0,0,0,1,,2,0,1,0,2.2131,2,1,0.8176,1,19.456
A2-CAR-w62,luger-hill,12,0,0,0,0,lead-in-too-steep,0,0,,,3.9148,3,2,0.8251,0.664,13.168
A2-CAR-w62,luger-hill,13,1,0,0,1,,2,0,1,0.2509,4.9127,2,1,0.9674,0.2298,4.272
A2-CAR-w62,luger-hill,14,0,0,1,1,,2,1,2,0.2474,2.5865,4,3,0.3816,1,20.736
A2-CAR-w62,luger-hill,15,1,0,0,0,lead-in-too-steep,0,0,,,2.4672,2,1,0.6767,0.6283,11.968
A2-CAR-w62,luger-hill,16,0,0,0,1,,2,0,1,0.5411,4.5709,3,2,0.8313,0.3289,6.72
A2-CAR-w62,luger-hill,17,0,0,0,0,lead-in-too-steep,0,0,,,2.7506,3,2,0.5648,1,21.456
A2-CAR-w62,luger-hill,18,1,0,0,1,,2,1,2,0.084,6.9406,2,1,0.9572,0.2393,4.64
A2-CAR-w62,luger-hill,19,0,0,0,1,,2,0,1,0.1098,1.9511,2,1,0.6394,1,19.152
A2-CAR-w62,luger-hill,20,0,0,0,0,lead-in-too-steep,0,0,,,4.1356,3,2,0.5171,0.6375,13.376
A2-CAR-w62,luger-hill,21,0,0,1,0,lead-in-too-steep,0,0,,,0.4006,4,6,0.432,1,21.168
A2-CAR-w62,luger-hill,22,0,0,0,1,,2,1,1,0.1238,0.601,2,1,0.9718,1,20.416
A2-CAR-w62,luger-hill,23,0,0,1,1,,2,1,2,0.2785,1.5115,6,5,0.2875,1,21.184
