arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2-CAR-w62,mountainstreet,1,1,0,0,0,lead-in-too-steep,0,0,,,6.6491,5,6,0.7508,0.3467,7.04
A2-CAR-w62,mountainstreet,2,0,0,0,0,lead-in-too-steep,0,0,,,5.4739,3,2,0.5158,0.8238,17.488
A2-CAR-w62,mountainstreet,3,0,0,0,0,lead-in-too-steep,0,0,,,3.2765,3,2,0.5979,0.9184,19.424
A2-CAR-w62,mountainstreet,4,0,0,0,1,,2,0,1,0.1199,1.23,3,2,0.5255,1,18.8
A2-CAR-w62,mountainstreet,5,1,0,0,0,lead-in-too-steep,0,0,,,6.1829,2,1,0.8626,0.408,7.968
A2-CAR-w62,mountainstreet,6,0,0,0,1,,2,1,1,0.2085,5.9407,3,4,0.6904,0.4341,8.464
A2-CAR-w62,mountainstreet,7,1,0,0,0,lead-in-too-steep,0,0,,,1.856,5,4,0.7306,0.5621,9.04
A2-CAR-w62,mountainstreet,8,1,0,0,1,,2,1,2,0.0361,7.9077,2,1,0.8557,0.5013,9.264
A2-CAR-w62,mountainstreet,9,0,0,0,0,lead-in-too-steep,0,0,,,7.7759,3,2,0.6055,0.4236,8.592
A2-CAR-w62,mountainstreet,10,0,0,1,1,,2,0,1,0.415,0.5745,4,3,0.519,1,19.344
A2-CAR-w62,mountainstreet,11,1,0,0,0,lead-in-too-steep,0,0,,,8.2961,2,1,0.7875,0.4996,10.592
A2-CAR-w62,mountainstreet,12,0,0,0,1,,2,1,1,0.2484,7.6675,2,1,0.6359,0.2127,3.92
A2-CAR-w62,mountainstreet,13,0,0,0,1,,2,1,1,0,4.5865,2,1,0.812,0.304,5.728
A2-CAR-w62,mountainstreet,14,0,0,0,1,,2,0,1,0.0104,2.9302,1,0,1,0.3979,7.904
A2-CAR-w62,mountainstreet,15,0,0,0,1,,2,0,1,0.2986,1.968,3,2,0.636,0.5993,11.76
A2-CAR-w62,mountainstreet,16,1,0,0,0,lead-in-too-steep,0,0,,,8.6289,2,1,0.7337,0.4914,10.464
A2-CAR-w62,mountainstreet,17,0,0,0,1,,2,2,,0.1346,1.4971,2,1,0.6343,0.1571,2.24
A2-CAR-w62,mountainstreet,18,1,0,0,1,,2,1,2,0.4428,8.1796,1,0,1,0.0622,1.28
A2-CAR-w62,mountainstreet,19,0,0,1,0,lead-in-too-steep,0,0,,,0.6918,6,6,0.4291,1,22.096
A2-CAR-w62,mountainstreet,20,0,0,1,1,,2,2,,0.0042,3.6669,3,3,0.5519,0.9445,18.768
A2-CAR-w62,mountainstreet,21,0,0,1,1,,2,0,1,0.0937,4.6402,4,3,0.5,0.8163,16.128
A2-CAR-w62,mountainstreet,22,0,0,0,1,,2,1,1,0.0088,2.7792,2,1,0.5926,0.3834,6.016
A2-CAR-w62,mountainstreet,23,0,0,0,0,lead-in-too-steep,0,0,,,3.8036,3,2,0.9173,0.2443,4.992
A2-CAR-w62,mountainstreet,24,1,0,0,1,,2,1,1,0.3352,9.1586,4,3,0.8492,0.2517,4.816
A2-CAR-w62,mountainstreet,25,0,0,0,1,,2,1,1,0.0831,1.498,3,2,0.9034,0.4038,4.576
A2-CAR-w62,mountainstreet,26,0,1,0,1,,2,1,2,0.1287,0.1519,2,2,0.9295,1,18.832
A2-CAR-w62,mountainstreet,27,0,0,0,0,lead-in-too-steep,0,0,,,2.6703,2,1,0.7536,0.5973,11.36
A2-CAR-w62,mountainstreet,28,0,0,1,1,,2,1,2,0.2913,3.7716,4,4,0.5982,0.9295,17.712
A2-CAR-w62,mountainstreet,29,0,0,1,0,lead-in-too-steep,0,0,,,6.5794,3,3,0.5883,0.8036,16.224
A2-CAR-w62,mountainstreet,30,0,0,0,1,,2,0,1,0.3855,1.6295,3,2,0.4476,0.8363,16.8
A2-CAR-w62,mountainstreet,31,1,0,0,0,lead-in-too-steep,0,0,,,4.8868,3,2,0.7296,0.3813,7.744
A2-CAR-w62,mountainstreet,32,1,0,0,0,lead-in-too-steep,0,0,,,9.9188,2,1,0.9564,0.3002,5.936
A2-CAR-w62,mountainstreet,33,1,0,0,0,lead-in-too-steep,0,0,,,7.4579,3,2,0.9654,0.574,12.208
A2-CAR-w62,mountainstreet,34,0,0,0,0,lead-in-too-steep,0,0,,,1.3567,3,3,0.8173,0.966,7.088
A2-CAR-w62,mountainstreet,35,0,0,0,0,lead-in-too-steep,0,0,,,4.7585,4,4,0.6105,0.3408,7.04
A2-CAR-w62,mountainstreet,36,1,0,0,1,,2,1,1,0.1638,3.6452,3,3,0.4947,0.489,6.208
A2-CAR-w62,mountainstreet,37,0,0,1,0,lead-in-too-steep,0,0,,,0.301,5,4,0.5486,1,21.216
A2-CAR-w62,mountainstreet,38,1,0,0,0,lead-in-too-steep,0,0,,,10.3735,2,1,0.8983,0.1801,3.696
A2-CAR-w62,mountainstreet,39,0,0,1,1,,2,0,1,0.2457,0.5445,4,4,0.49,0.8897,11.504
A2-CAR-w62,mountainstreet,40,1,0,0,0,lead-in-too-steep,0,0,,,11.0985,2,1,0.789,0.1063,1.36
A2-CAR-w62,mountainstreet,41,0,0,0,1,,2,1,1,0.0859,3.5344,3,2,0.8518,0.6096,6.656
A2-CAR-w62,mountainstreet,42,0,0,0,0,lead-in-too-steep,0,0,,,8.9626,3,2,0.5932,0.3001,6.24
A2-CAR-w62,mountainstreet,43,0,0,1,0,lead-in-too-steep,0,0,,,1.7926,4,3,0.6482,0.8206,10.944
A2-CAR-w62,mountainstreet,44,0,0,0,1,,2,0,1,0.1699,2.4253,3,2,0.7666,0.9509,10.208
A2-CAR-w62,mountainstreet,45,0,0,1,0,lead-in-too-steep,0,0,,,1.1673,3,3,0.4954,0.9703,12.4
A2-CAR-w62,mountainstreet,46,0,0,0,0,lead-in-too-steep,0,0,,,1.1467,2,1,0.6599,0.298,4.528
A2-CAR-w62,mountainstreet,47,0,0,0,0,lead-in-too-steep,0,0,,,3.5017,5,4,0.8123,0.8708,15.728
A2-CAR-w62,mountainstreet,48,0,0,0,1,,2,0,1,0,2.9681,1,0,1,1,19.952
A2-CAR-w62,mountainstreet,49,0,0,0,1,,2,1,1,0.0097,1.4959,4,4,0.7143,1,18.576
A2-CAR-w62,mountainstreet,50,0,0,0,0,lead-in-too-steep,0,0,,,1.1985,2,1,0.7994,0.4059,5.44
A2-CAR-w62,mountainstreet,51,0,0,0,1,,2,1,1,0.2488,1.4166,3,2,0.9929,0.5118,7.088
A2-CAR-w62,mountainstreet,52,0,0,0,1,,2,0,1,0.0536,8.792,2,1,0.8918,0.078,1.552
A2-CAR-w62,mountainstreet,53,0,0,0,0,lead-in-too-steep,0,0,,,10.0458,2,1,0.7914,0.2846,5.68
A2-CAR-w62,mountainstreet,54,0,0,0,1,,2,1,1,0,2.7436,2,1,0.6128,0.8416,16.224
