arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2-CAR-w62,searound,1,0,0,1,1,,2,0,1,0.1244,2.3508,4,4,0.5155,1,33.04
A2-CAR-w62,searound,2,0,0,0,0,lead-in-too-steep,0,0,,,3.642,3,2,0.4297,0.8832,30.512
A2-CAR-w62,searound,3,0,0,0,1,,2,1,2,0.0694,8.0937,3,2,0.5841,0.3799,12.16
A2-CAR-w62,searound,4,0,0,0,1,,2,1,2,0.3345,1.6126,3,2,0.6996,0.9046,24.448
A2-CAR-w62,searound,5,0,0,1,0,lead-in-too-steep,0,0,,,1.5779,3,3,0.6225,0.5407,11.568
A2-CAR-w62,searound,6,1,0,0,0,lead-in-too-steep,0,0,,,14.2865,2,1,0.8551,0.2283,7.648
A2-CAR-w62,searound,7,0,0,0,1,,2,1,1,0.0191,5.6223,2,1,0.6514,0.2538,8.208
A2-CAR-w62,searound,8,1,0,0,1,,2,1,2,0.0372,8.5313,2,1,0.9756,0.0799,2.496
A2-CAR-w62,searound,9,0,0,0,1,,2,1,1,0.0157,2.5908,3,2,0.7239,0.4583,14.304
A2-CAR-w62,searound,10,0,0,0,1,,2,1,2,0.0048,6.6604,3,2,0.6467,0.181,5.648
A2-CAR-w62,searound,11,0,0,0,0,lead-in-too-steep,0,0,,,4.9441,3,2,0.8114,0.2033,7.088
A2-CAR-w62,searound,12,1,0,0,0,lead-in-too-steep,0,0,,,10.7361,3,2,0.5772,0.5452,18.224
A2-CAR-w62,searound,13,0,0,0,0,lead-in-too-steep,0,0,,,4.5028,3,2,0.5524,0.6773,22.864
A2-CAR-w62,searound,14,0,0,1,0,lead-in-too-steep,0,0,,,2.8169,4,3,0.4111,0.8515,31.536
A2-CAR-w62,searound,15,0,0,0,0,lead-in-too-steep,0,0,,,7.1689,2,1,0.509,0.0456,1.472
A2-CAR-w62,searound,16,0,0,0,0,lead-in-too-steep,0,0,,,3.784,3,2,0.5364,0.9431,33.376
A2-CAR-w62,searound,17,1,0,0,0,lead-in-too-steep,0,0,,,8.5377,4,3,0.7894,0.2726,9.472
A2-CAR-w62,searound,18,1,0,0,0,lead-in-too-steep,0,0,,,11.9619,3,2,0.6759,0.3692,12.288
A2-CAR-w62,searound,19,1,0,0,1,,2,0,1,0.312,10.5066,2,1,0.8949,0.1572,5.008
A2-CAR-w62,searound,20,0,0,1,0,lead-in-too-steep,0,0,,,10.5103,4,3,0.4296,0.595,20.128
A2-CAR-w62,searound,21,0,0,0,1,,2,0,1,0.1929,2.3655,3,2,0.8408,0.7059,13.312
A2-CAR-w62,searound,22,0,0,0,1,,2,0,1,0.096,0.0694,2,1,0.6026,0.9182,25.36
A2-CAR-w62,searound,23,0,0,0,0,lead-in-too-steep,0,0,,,3.1973,3,2,0.8195,0.2934,10.592
A2-CAR-w62,searound,24,0,0,0,1,,2,1,1,0.301,1.7258,3,2,0.7925,0.4486,11.728
A2-CAR-w62,searound,25,0,0,0,1,,2,1,1,0.0451,9.3737,2,1,0.5147,0.5806,19.568
A2-CAR-w62,searound,26,0,0,1,0,lead-in-too-steep,0,0,,,2.5225,4,3,0.3364,0.8287,23.616
A2-CAR-w62,searound,27,0,0,0,1,,2,1,1,0.293,11.7212,2,1,0.7687,0.3312,10.592
A2-CAR-w62,searound,28,0,0,0,0,lead-in-too-steep,0,0,,,1.306,3,2,0.5669,0.8188,29.632
A2-CAR-w62,searound,29,0,0,1,1,,2,0,1,0.0143,1.2014,4,3,0.5714,1,30.816
A2-CAR-w62,searound,30,1,0,0,0,lead-in-too-steep,0,0,,,10.945,2,1,0.6534,0.4126,13.888
A2-CAR-w62,searound,31,1,0,0,0,lead-in-too-steep,0,0,,,10.5891,1,0,1,0.1601,5.312
A2-CAR-w62,searound,32,0,0,0,0,lead-in-too-steep,0,0,,,2.2822,3,2,0.6041,0.8431,24.64
A2-CAR-w62,searound,33,0,0,0,0,lead-in-too-steep,0,0,,,2.9148,3,2,0.3916,1,34.832
A2-CAR-w62,searound,34,0,0,0,1,,2,1,2,0.0227,10.9202,2,1,0.8746,0.2233,7.248
A2-CAR-w62,searound,35,0,0,1,1,,2,1,1,0.0062,0.9198,3,3,0.4893,1,31.376
A2-CAR-w62,searound,36,0,1,0,0,lead-in-too-steep,0,0,,,6.7771,2,1,0.6616,0.4072,14.192
A2-CAR-w62,searound,37,0,0,0,1,,2,0,1,0.0207,1.3957,3,2,0.652,0.2492,4.416
A2-CAR-w62,searound,38,1,0,1,1,,2,0,1,0.0972,6.4881,3,3,0.6597,0.6815,22.48
A2-CAR-w62,searound,39,0,0,0,1,,2,0,1,0.2943,1.5842,1,0,1,0.1373,4.496
A2-CAR-w62,searound,40,0,0,0,1,,2,1,2,0.0455,7.0422,3,2,0.6879,0.5682,18.512
A2-CAR-w62,searound,41,1,0,0,1,,2,1,2,0.0876,4.3163,3,3,0.915,0.4476,15.072
A2-CAR-w62,searound,42,0,0,0,0,lead-in-too-steep,0,0,,,0.8131,2,2,0.8286,1,36.848
A2-CAR-w62,searound,43,0,0,1,0,lead-in-too-steep,0,0,,,2.7382,3,3,0.5792,1,36.336
A2-CAR-w62,searound,44,0,0,1,0,lead-in-too-steep,0,0,,,1.0047,4,3,0.4021,0.8769,22.112
A2-CAR-w62,searound,45,1,0,0,0,lead-in-too-steep,0,0,,,6.779,2,1,0.8308,0.2022,6.64
A2-CAR-w62,searound,46,0,0,0,0,lead-in-too-steep,0,0,,,7.6688,3,2,0.6477,0.2615,9.104
A2-CAR-w62,searound,47,1,0,0,0,lead-in-too-steep,0,0,,,13.6453,2,1,0.7801,0.2517,4.544
A2-CAR-w62,searound,48,0,0,0,0,lead-in-too-steep,0,0,,,0.8102,3,2,0.7628,0.7714,15.152
A2-CAR-w62,searound,49,0,0,0,1,,2,1,2,0,2.2557,3,2,0.8017,1,31.536
A2-CAR-w62,searound,50,0,0,0,1,,2,1,1,0.0171,2.0124,3,2,0.6039,0.6555,18.336
A2-CAR-w62,searound,51,0,0,0,1,,2,0,1,0.0193,1.2778,1,0,1,0.2383,5.088
A2-CAR-w62,searound,52,0,0,0,0,lead-in-too-steep,0,0,,,5.403,2,1,0.6756,0.7627,27.296
A2-CAR-w62,searound,53,1,0,0,1,,2,0,1,0.0809,7.6924,1,0,1,0.0911,2.864
A2-CAR-w62,searound,54,0,0,0,1,,2,0,1,0.3775,3.2522,2,1,0.5994,0.2095,6.912
A2-CAR-w62,searound,55,0,0,0,1,,2,1,1,0.3432,6.6874,3,2,0.5728,0.4569,9.536
