arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2b-CAR-w70,dirt-oval,1,0,0,0,0,window-too-short-for-rotation,0,0,,,1.0595,2,1,0.7618,0.1771,6.432
A2b-CAR-w70,dirt-oval,2,0,0,1,0,window-too-short-for-rotation,0,0,,,1.2799,4,3,0.3299,1,35.488
A2b-CAR-w70,dirt-oval,3,1,0,0,0,window-too-short-for-rotation,0,0,,,6.4608,4,5,0.7119,0.5205,17.616
A2b-CAR-w70,dirt-oval,4,0,0,0,0,window-too-short-for-rotation,0,0,,,6.2067,2,1,0.8946,0.1395,4.432
A2b-CAR-w70,dirt-oval,5,0,0,1,0,window-too-short-for-rotation,0,0,,,3.352,4,4,0.533,0.9617,33.296
A2b-CAR-w70,dirt-oval,6,0,0,0,0,window-too-short-for-rotation,0,0,,,3.7124,4,3,0.5516,0.4915,8.048
A2b-CAR-w70,dirt-oval,7,1,0,0,0,window-too-short-for-rotation,0,0,,,4.7062,1,0,1,0,0
A2b-CAR-w70,dirt-oval,8,0,0,0,0,window-too-short-for-rotation,0,0,,,1.19,2,2,0.5167,1,35.472
A2b-CAR-w70,dirt-oval,9,0,0,1,0,window-too-short-for-rotation,0,0,,,0.7995,6,17,0.3341,1,36.384
A2b-CAR-w70,dirt-oval,10,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3413,2,1,0.5455,0.951,30.752
A2b-CAR-w70,dirt-oval,11,0,0,0,0,window-too-short-for-rotation,0,0,,,2.6163,2,2,0.6513,0.9143,21.504
A2b-CAR-w70,dirt-oval,12,0,0,0,0,window-too-short-for-rotation,0,0,,,2.3184,2,1,0.6139,1,34.624
A2b-CAR-w70,dirt-oval,13,1,0,0,0,window-too-short-for-rotation,0,0,,,10.8752,1,0,1,0,0
A2b-CAR-w70,dirt-oval,14,0,0,0,0,window-too-short-for-rotation,0,0,,,3.7897,4,3,0.7544,0.5503,17.168
A2b-CAR-w70,dirt-oval,15,0,0,0,0,window-too-short-for-rotation,0,0,,,1.2486,2,1,0.8528,1,33.248
A2b-CAR-w70,dirt-oval,16,0,0,0,0,window-too-short-for-rotation,0,0,,,0.9657,2,1,0.8076,1,33.824
A2b-CAR-w70,dirt-oval,17,1,0,0,0,window-too-short-for-rotation,0,0,,,7.6806,1,0,1,0.091,2.992
A2b-CAR-w70,dirt-oval,18,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7013,4,3,0.7157,0.5787,14.864
A2b-CAR-w70,dirt-oval,19,0,0,1,0,window-too-short-for-rotation,0,0,,,0.9306,3,3,0.6562,0.8589,28.992
A2b-CAR-w70,dirt-oval,20,0,0,0,0,window-too-short-for-rotation,0,0,,,1.0479,2,1,0.9255,0.3282,11.392
A2b-CAR-w70,dirt-oval,21,0,0,0,0,window-too-short-for-rotation,0,0,,,4.4082,2,1,0.7923,0.3743,12.768
A2b-CAR-w70,dirt-oval,22,0,0,0,0,window-too-short-for-rotation,0,0,,,1.0966,2,1,0.6802,0.7547,24.336
A2b-CAR-w70,dirt-oval,23,0,0,0,0,window-too-short-for-rotation,0,0,,,2.421,2,1,0.5955,0.3383,5.504
A2b-CAR-w70,dirt-oval,24,0,0,0,0,window-too-short-for-rotation,0,0,,,8.0221,2,1,0.9579,0.1898,6.336
A2b-CAR-w70,dirt-oval,25,1,0,0,0,window-too-short-for-rotation,0,0,,,3.1514,2,1,0.9349,0.3823,12.48
A2b-CAR-w70,dirt-oval,26,1,0,0,0,window-too-short-for-rotation,0,0,,,10.0633,1,0,1,0,0
A2b-CAR-w70,dirt-oval,27,0,0,0,0,window-too-short-for-rotation,0,0,,,4.9137,3,2,0.8946,0.4896,16.256
A2b-CAR-w70,dirt-oval,28,0,0,0,0,window-too-short-for-rotation,0,0,,,1.338,3,3,0.7624,1,35.408
A2b-CAR-w70,dirt-oval,29,0,0,0,0,window-too-short-for-rotation,0,0,,,6.6015,1,0,1,0,0
A2b-CAR-w70,dirt-oval,30,1,0,0,0,window-too-short-for-rotation,0,0,,,10.5746,2,1,0.9233,0.3332,11.04
A2b-CAR-w70,dirt-oval,31,1,0,0,0,window-too-short-for-rotation,0,0,,,9.5517,1,0,1,0.3106,10.4
A2b-CAR-w70,dirt-oval,32,0,0,1,0,window-too-short-for-rotation,0,0,,,1.2397,5,7,0.3171,0.8432,30.192
A2b-CAR-w70,dirt-oval,33,1,0,0,0,window-too-short-for-rotation,0,0,,,9.4163,1,0,1,0,0
A2b-CAR-w70,dirt-oval,34,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1666,3,2,0.7842,1,34.24
A2b-CAR-w70,dirt-oval,35,0,0,0,0,window-too-short-for-rotation,0,0,,,9.7119,2,1,0.9051,0.2579,8.112
A2b-CAR-w70,dirt-oval,36,0,0,0,0,window-too-short-for-rotation,0,0,,,7.1805,1,0,1,0.5071,17.088
A2b-CAR-w70,dirt-oval,37,0,0,0,0,window-too-short-for-rotation,0,0,,,1.8712,2,1,0.7392,1,32.928
A2b-CAR-w70,dirt-oval,38,0,0,0,0,window-too-short-for-rotation,0,0,,,1.0455,3,2,0.4685,0.9526,33.136
A2b-CAR-w70,dirt-oval,39,0,0,0,0,window-too-short-for-rotation,0,0,,,4.6069,1,0,1,0.6642,22.736
A2b-CAR-w70,dirt-oval,40,0,0,1,0,window-too-short-for-rotation,0,0,,,0.5079,5,6,0.3561,1,35.616
A2b-CAR-w70,dirt-oval,41,1,0,0,0,window-too-short-for-rotation,0,0,,,6.4725,1,0,1,0.246,8.64
A2b-CAR-w70,dirt-oval,42,0,0,1,0,window-too-short-for-rotation,0,0,,,0.719,3,3,0.4434,1,34.448
A2b-CAR-w70,dirt-oval,43,0,0,0,0,window-too-short-for-rotation,0,0,,,1.4962,2,1,0.9319,1,33.792
A2b-CAR-w70,dirt-oval,44,0,0,0,0,window-too-short-for-rotation,0,0,,,1.2715,2,1,0.5529,0.8776,24.8
A2b-CAR-w70,dirt-oval,45,0,0,0,0,window-too-short-for-rotation,0,0,,,3.9246,1,0,1,0.0047,0.144
A2b-CAR-w70,dirt-oval,46,1,0,0,0,window-too-short-for-rotation,0,0,,,4.7445,2,1,0.9526,0.225,7.2
A2b-CAR-w70,dirt-oval,47,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1857,3,2,0.9747,0.9245,17.056
A2b-CAR-w70,dirt-oval,48,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1986,1,0,1,1,33.408
A2b-CAR-w70,dirt-oval,49,0,0,0,0,window-too-short-for-rotation,0,0,,,3.658,2,1,0.9574,0.2661,5.344
A2b-CAR-w70,dirt-oval,50,1,0,0,0,window-too-short-for-rotation,0,0,,,15.8872,1,0,1,0,0
A2b-CAR-w70,dirt-oval,51,1,0,0,0,window-too-short-for-rotation,0,0,,,8.211,3,2,0.8577,0.2511,8.144
A2b-CAR-w70,dirt-oval,52,0,0,0,0,window-too-short-for-rotation,0,0,,,6.8604,1,0,1,0.5234,17.872
A2b-CAR-w70,dirt-oval,53,0,0,0,0,window-too-short-for-rotation,0,0,,,2.75,3,2,0.4525,0.6797,24.16
A2b-CAR-w70,dirt-oval,54,0,0,0,0,window-too-short-for-rotation,0,0,,,5.8938,2,1,0.9894,0.4099,14.208
A2b-CAR-w70,dirt-oval,55,0,0,0,0,window-too-short-for-rotation,0,0,,,5.172,3,2,0.488,0.7079,24.496
A2b-CAR-w70,dirt-oval,56,0,0,1,0,window-too-short-for-rotation,0,0,,,5.8237,5,7,0.3496,0.809,27.904
A2b-CAR-w70,dirt-oval,57,0,0,1,0,window-too-short-for-rotation,0,0,,,5.5272,4,4,0.5202,0.7195,24.24
A2b-CAR-w70,dirt-oval,58,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1596,2,1,0.7012,0.8936,29.936
A2b-CAR-w70,dirt-oval,59,0,1,0,0,window-too-short-for-rotation,0,0,,,8.424,2,1,0.9076,0.3481,11.68
A2b-CAR-w70,dirt-oval,60,1,0,0,0,window-too-short-for-rotation,0,0,,,13.2152,1,0,1,0,0
A2b-CAR-w70,dirt-oval,61,1,0,0,0,window-too-short-for-rotation,0,0,,,11.4868,1,0,1,0,0
A2b-CAR-w70,dirt-oval,62,1,0,0,0,window-too-short-for-rotation,0,0,,,7.2143,1,0,1,0.2747,9.296
A2b-CAR-w70,dirt-oval,63,1,0,0,0,window-too-short-for-rotation,0,0,,,6.7014,1,0,1,0,0
A2b-CAR-w70,dirt-oval,64,1,0,0,0,window-too-short-for-rotation,0,0,,,4.2514,2,1,0.6306,0.0971,3.2
A2b-CAR-w70,dirt-oval,65,0,0,0,0,window-too-short-for-rotation,0,0,,,1.2784,1,0,1,0.4346,11.408
A2b-CAR-w70,dirt-oval,66,1,0,0,0,window-too-short-for-rotation,0,0,,,5.7867,2,1,0.826,0.3438,11.552
A2b-CAR-w70,dirt-oval,67,1,0,0,0,window-too-short-for-rotation,0,0,,,7.9648,2,1,0.7885,0.5457,18.432
A2b-CAR-w70,dirt-oval,68,0,0,0,0,window-too-short-for-rotation,0,0,,,1.4865,3,2,0.6354,1,34.832
A2b-CAR-w70,dirt-oval,69,0,0,0,0,window-too-short-for-rotation,0,0,,,1.4923,3,2,0.804,1,34.192
A2b-CAR-w70,dirt-oval,70,0,0,1,0,window-too-short-for-rotation,0,0,,,0.758,3,3,0.637,1,34.544
A2b-CAR-w70,dirt-oval,71,1,0,0,0,window-too-short-for-rotation,0,0,,,9.9806,1,0,1,0.0137,0.448
A2b-CAR-w70,dirt-oval,72,0,0,0,0,window-too-short-for-rotation,0,0,,,4.1741,2,1,0.8595,0.5795,20.048
A2b-CAR-w70,dirt-oval,73,1,0,0,0,window-too-short-for-rotation,0,0,,,8.4263,1,0,1,0.056,1.792
A2b-CAR-w70,dirt-oval,74,0,0,1,0,window-too-short-for-rotation,0,0,,,1.2441,3,8,0.4192,1,35.52
A2b-CAR-w70,dirt-oval,75,0,0,0,0,window-too-short-for-rotation,0,0,,,2.3401,1,0,1,0.4116,8.688
A2b-CAR-w70,dirt-oval,76,0,0,0,0,window-too-short-for-rotation,0,0,,,4.2669,3,2,0.7907,0.8299,23.12
A2b-CAR-w70,dirt-oval,77,1,0,0,0,window-too-short-for-rotation,0,0,,,8.0965,1,0,1,0.2279,7.728
A2b-CAR-w70,dirt-oval,78,0,0,1,0,window-too-short-for-rotation,0,0,,,2.1558,3,3,0.6745,1,34.096
A2b-CAR-w70,dirt-oval,79,1,0,0,0,window-too-short-for-rotation,0,0,,,8.5454,2,1,0.93,0.1386,4.64
A2b-CAR-w70,dirt-oval,80,0,0,0,0,window-too-short-for-rotation,0,0,,,3.9468,2,1,0.6876,0.5759,13.088
A2b-CAR-w70,dirt-oval,81,0,0,0,0,window-too-short-for-rotation,0,0,,,10.1888,2,1,0.8977,0.3745,12.928
A2b-CAR-w70,dirt-oval,82,0,0,0,0,window-too-short-for-rotation,0,0,,,6.8134,3,2,0.805,0.6498,21.36
A2b-CAR-w70,dirt-oval,83,0,0,0,0,window-too-short-for-rotation,0,0,,,1.5974,2,1,0.939,0.3116,9.408
A2b-CAR-w70,dirt-oval,84,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1697,1,0,1,0.6052,18.944
A2b-CAR-w70,dirt-oval,85,0,0,0,0,window-too-short-for-rotation,0,0,,,4.7308,2,1,0.6904,0.576,19.392
A2b-CAR-w70,dirt-oval,86,0,0,0,0,window-too-short-for-rotation,0,0,,,6.7764,1,0,1,0.0177,0.576
A2b-CAR-w70,dirt-oval,87,1,0,0,0,window-too-short-for-rotation,0,0,,,9.7881,1,0,1,0,0
A2b-CAR-w70,dirt-oval,88,1,0,0,0,window-too-short-for-rotation,0,0,,,8.4574,1,0,1,0,0
A2b-CAR-w70,dirt-oval,89,0,0,1,0,window-too-short-for-rotation,0,0,,,1.6101,3,3,0.5629,1,33.184
A2b-CAR-w70,dirt-oval,90,0,0,0,0,window-too-short-for-rotation,0,0,,,3.4706,2,2,0.5102,0.9384,33.152
A2b-CAR-w70,dirt-oval,91,0,0,1,0,window-too-short-for-rotation,0,0,,,1.0044,3,4,0.6526,1,33.792
A2b-CAR-w70,dirt-oval,92,1,0,0,0,window-too-short-for-rotation,0,0,,,6.5528,1,0,1,0.0672,2.192
A2b-CAR-w70,dirt-oval,93,1,0,0,0,window-too-short-for-rotation,0,0,,,8.5209,2,1,0.9113,0.2945,9.92
A2b-CAR-w70,dirt-oval,94,0,0,0,0,window-too-short-for-rotation,0,0,,,1.2561,2,1,0.8375,1,34.256
A2b-CAR-w70,dirt-oval,95,0,0,0,0,window-too-short-for-rotation,0,0,,,1.9856,2,1,0.8847,0.7451,15.648
A2b-CAR-w70,dirt-oval,96,0,0,0,0,window-too-short-for-rotation,0,0,,,2.5237,2,1,0.5616,1,33.488
A2b-CAR-w70,dirt-oval,97,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3862,3,2,0.3969,1,35.616
A2b-CAR-w70,dirt-oval,98,0,0,0,0,window-too-short-for-rotation,0,0,,,5.68,3,2,0.7666,0.5217,18.224
