arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2b-CAR-w70,luger-hill,1,0,0,0,0,window-too-short-for-rotation,0,0,,,2.7473,3,2,0.4161,1,16.864
A2b-CAR-w70,luger-hill,2,0,1,0,0,window-too-short-for-rotation,0,0,,,0.6396,2,1,0.5165,1,16.032
A2b-CAR-w70,luger-hill,3,1,0,0,0,window-too-short-for-rotation,0,0,,,2.5086,1,0,1,0.1431,1.376
A2b-CAR-w70,luger-hill,4,0,0,0,0,window-too-short-for-rotation,0,0,,,6.4618,2,2,0.8016,0.3619,5.792
A2b-CAR-w70,luger-hill,5,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3722,3,2,0.806,1,15.984
A2b-CAR-w70,luger-hill,6,0,0,0,0,window-too-short-for-rotation,0,0,,,4.1812,2,2,0.8707,0.7275,11.776
A2b-CAR-w70,luger-hill,7,0,0,1,0,window-too-short-for-rotation,0,0,,,1.6176,4,3,0.5878,1,16.56
A2b-CAR-w70,luger-hill,8,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3825,1,0,1,1,16.48
A2b-CAR-w70,luger-hill,9,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3906,1,0,1,1,16.672
A2b-CAR-w70,luger-hill,10,1,0,0,0,window-too-short-for-rotation,0,0,,,4.9948,1,0,1,0.2021,3.024
A2b-CAR-w70,luger-hill,11,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7866,1,0,1,1,15.68
A2b-CAR-w70,luger-hill,12,0,0,0,0,window-too-short-for-rotation,0,0,,,3.9148,1,0,1,0.571,8.864
A2b-CAR-w70,luger-hill,13,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1987,1,0,1,1,16.704
A2b-CAR-w70,luger-hill,14,0,0,1,0,window-too-short-for-rotation,0,0,,,1.1299,4,3,0.5507,1,16.864
A2b-CAR-w70,luger-hill,15,1,0,0,0,window-too-short-for-rotation,0,0,,,2.4672,2,1,0.8749,0.5194,7.248
A2b-CAR-w70,luger-hill,16,0,0,0,0,window-too-short-for-rotation,0,0,,,6.3783,2,1,0.968,0.1622,2.496
A2b-CAR-w70,luger-hill,17,0,0,0,0,window-too-short-for-rotation,0,0,,,2.7506,3,2,0.7254,1,16.704
A2b-CAR-w70,luger-hill,18,0,0,0,0,window-too-short-for-rotation,0,0,,,2.6689,2,1,0.7551,1,17.232
A2b-CAR-w70,luger-hill,19,1,0,0,0,window-too-short-for-rotation,0,0,,,5.9187,1,0,1,0.0809,1.216
A2b-CAR-w70,luger-hill,20,0,0,0,0,window-too-short-for-rotation,0,0,,,4.1356,3,2,0.669,0.531,8.608
A2b-CAR-w70,luger-hill,21,0,0,1,0,window-too-short-for-rotation,0,0,,,0.4006,3,4,0.4783,1,16.544
A2b-CAR-w70,luger-hill,22,0,0,1,0,window-too-short-for-rotation,0,0,,,0.2086,6,6,0.3308,1,17.056
A2b-CAR-w70,luger-hill,23,0,0,1,0,window-too-short-for-rotation,0,0,,,2.4354,4,3,0.3902,1,16.88
A2b-CAR-w70,luger-hill,24,1,0,0,0,window-too-short-for-rotation,0,0,,,4.8824,1,0,1,0.0715,1.136
A2b-CAR-w70,luger-hill,25,1,0,0,0,window-too-short-for-rotation,0,0,,,5.6465,2,1,0.7595,0.3905,6.064
A2b-CAR-w70,luger-hill,26,1,0,0,0,window-too-short-for-rotation,0,0,,,6.2603,1,0,1,0.1832,2.672
A2b-CAR-w70,luger-hill,27,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7154,2,2,0.5607,1,16.992
A2b-CAR-w70,luger-hill,28,0,0,1,0,window-too-short-for-rotation,0,0,,,0.9652,4,4,0.5741,1,15.952
A2b-CAR-w70,luger-hill,29,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7402,2,1,0.6045,0.8658,10.832
A2b-CAR-w70,luger-hill,30,0,0,0,0,window-too-short-for-rotation,0,0,,,1.4653,2,1,0.7216,0.8782,14.816
A2b-CAR-w70,luger-hill,31,0,0,0,0,window-too-short-for-rotation,0,0,,,2.8696,3,2,0.4253,1,16.16
A2b-CAR-w70,luger-hill,32,0,0,1,0,window-too-short-for-rotation,0,0,,,1.348,4,4,0.4735,1,16.912
