arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2b-CAR-w70,mountainstreet,1,1,0,0,0,window-too-short-for-rotation,0,0,,,6.6491,3,2,0.9845,0.1433,2.208
A2b-CAR-w70,mountainstreet,2,0,0,0,0,window-too-short-for-rotation,0,0,,,5.4739,3,2,0.4578,0.7782,13.12
A2b-CAR-w70,mountainstreet,3,0,0,0,0,window-too-short-for-rotation,0,0,,,3.2765,2,1,0.5647,0.8958,14.832
A2b-CAR-w70,mountainstreet,4,0,0,0,0,window-too-short-for-rotation,0,0,,,6.7909,3,3,0.7264,0.3883,6.048
A2b-CAR-w70,mountainstreet,5,1,0,0,0,window-too-short-for-rotation,0,0,,,6.1829,1,0,1,0.2505,3.856
A2b-CAR-w70,mountainstreet,6,0,0,1,0,window-too-short-for-rotation,0,0,,,1.2908,4,3,0.5663,0.8207,7.824
A2b-CAR-w70,mountainstreet,7,1,0,0,0,window-too-short-for-rotation,0,0,,,1.856,2,1,0.9389,0.4373,4.64
A2b-CAR-w70,mountainstreet,8,0,0,0,0,window-too-short-for-rotation,0,0,,,0.7419,2,1,0.9721,0.3965,6.576
A2b-CAR-w70,mountainstreet,9,0,0,0,0,window-too-short-for-rotation,0,0,,,7.7759,2,1,0.7752,0.2621,4.144
A2b-CAR-w70,mountainstreet,10,1,0,0,0,window-too-short-for-rotation,0,0,,,3.4258,3,2,0.9364,0.2002,3.008
A2b-CAR-w70,mountainstreet,11,1,0,0,0,window-too-short-for-rotation,0,0,,,8.2961,1,0,1,0.3535,5.792
A2b-CAR-w70,mountainstreet,12,0,0,0,0,window-too-short-for-rotation,0,0,,,2.7897,2,1,0.784,0.3091,5.072
A2b-CAR-w70,mountainstreet,13,0,0,0,0,window-too-short-for-rotation,0,0,,,2.7358,2,1,0.6323,1,15.952
A2b-CAR-w70,mountainstreet,14,0,0,0,0,window-too-short-for-rotation,0,0,,,1.0634,1,0,1,1,16.72
A2b-CAR-w70,mountainstreet,15,0,0,1,0,window-too-short-for-rotation,0,0,,,0.5538,3,6,0.5457,1,17.312
A2b-CAR-w70,mountainstreet,16,1,0,0,0,window-too-short-for-rotation,0,0,,,8.6289,2,1,0.9486,0.3424,5.632
A2b-CAR-w70,mountainstreet,17,0,0,1,0,window-too-short-for-rotation,0,0,,,1.5276,4,4,0.4955,1,15.936
A2b-CAR-w70,mountainstreet,18,0,0,1,0,window-too-short-for-rotation,0,0,,,0.7182,4,4,0.5729,1,16.992
A2b-CAR-w70,mountainstreet,19,0,0,1,0,window-too-short-for-rotation,0,0,,,0.6918,5,5,0.3345,1,17.728
A2b-CAR-w70,mountainstreet,20,0,0,0,0,window-too-short-for-rotation,0,0,,,3.6222,1,0,1,0.2104,3.28
A2b-CAR-w70,mountainstreet,21,0,0,0,0,window-too-short-for-rotation,0,0,,,5.456,3,2,0.7685,0.6702,11.008
A2b-CAR-w70,mountainstreet,22,0,0,0,0,window-too-short-for-rotation,0,0,,,2.6431,3,2,0.5526,1,15.184
A2b-CAR-w70,mountainstreet,23,0,0,0,0,window-too-short-for-rotation,0,0,,,3.8036,1,0,1,0.0425,0.672
A2b-CAR-w70,mountainstreet,24,0,0,0,0,window-too-short-for-rotation,0,0,,,8.193,1,0,1,0.2089,3.28
A2b-CAR-w70,mountainstreet,25,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1991,2,2,0.5237,0.6907,9.712
A2b-CAR-w70,mountainstreet,26,0,0,0,0,window-too-short-for-rotation,0,0,,,2.3045,3,2,0.463,1,15.568
A2b-CAR-w70,mountainstreet,27,0,0,0,0,window-too-short-for-rotation,0,0,,,2.6703,2,1,0.9667,0.4834,6.736
A2b-CAR-w70,mountainstreet,28,0,0,0,0,window-too-short-for-rotation,0,0,,,2.5792,2,1,0.8898,0.3555,4.208
A2b-CAR-w70,mountainstreet,29,0,0,0,0,window-too-short-for-rotation,0,0,,,6.5794,2,2,0.514,0.7435,11.488
A2b-CAR-w70,mountainstreet,30,0,0,0,0,window-too-short-for-rotation,0,0,,,1.6663,2,1,0.7819,1,17.52
A2b-CAR-w70,mountainstreet,31,1,0,0,0,window-too-short-for-rotation,0,0,,,4.8868,3,2,0.9687,0.1785,2.72
A2b-CAR-w70,mountainstreet,32,1,0,0,0,window-too-short-for-rotation,0,0,,,9.9188,1,0,1,0.1144,1.776
A2b-CAR-w70,mountainstreet,33,1,0,0,0,window-too-short-for-rotation,0,0,,,7.4579,1,0,1,0.4532,7.504
A2b-CAR-w70,mountainstreet,34,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3567,2,2,0.9072,0.9567,7.088
A2b-CAR-w70,mountainstreet,35,0,0,0,0,window-too-short-for-rotation,0,0,,,4.7585,2,2,0.7237,0.1521,2.432
A2b-CAR-w70,mountainstreet,36,0,0,0,0,window-too-short-for-rotation,0,0,,,1.5433,3,2,0.7805,1,17.184
A2b-CAR-w70,mountainstreet,37,0,0,1,0,window-too-short-for-rotation,0,0,,,0.301,4,3,0.6855,1,16.976
A2b-CAR-w70,mountainstreet,38,1,0,0,0,window-too-short-for-rotation,0,0,,,10.3735,1,0,1,0,0
A2b-CAR-w70,mountainstreet,39,0,0,1,0,window-too-short-for-rotation,0,0,,,2.1008,3,4,0.4523,1,17.104
A2b-CAR-w70,mountainstreet,40,1,0,0,0,window-too-short-for-rotation,0,0,,,11.0985,1,0,1,0,0
A2b-CAR-w70,mountainstreet,41,0,0,0,0,window-too-short-for-rotation,0,0,,,3.8835,3,2,0.4482,0.9453,15.744
A2b-CAR-w70,mountainstreet,42,0,0,0,0,window-too-short-for-rotation,0,0,,,8.9626,2,1,0.7195,0.1024,1.648
A2b-CAR-w70,mountainstreet,43,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7926,2,1,0.8285,0.7707,6.48
A2b-CAR-w70,mountainstreet,44,0,0,0,0,window-too-short-for-rotation,0,0,,,0.4166,4,3,0.7661,0.6272,7.312
A2b-CAR-w70,mountainstreet,45,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1673,3,2,0.5335,0.9627,12.4
A2b-CAR-w70,mountainstreet,46,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1467,2,1,0.8266,0.3233,4.528
