arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A2b-CAR-w70,searound,1,1,0,0,0,window-too-short-for-rotation,0,0,,,11.8308,1,0,1,0,0
A2b-CAR-w70,searound,2,0,0,0,0,window-too-short-for-rotation,0,0,,,3.642,3,2,0.5537,0.9413,25.904
A2b-CAR-w70,searound,3,0,0,0,0,window-too-short-for-rotation,0,0,,,2.6207,3,2,0.5429,0.6626,18.144
A2b-CAR-w70,searound,4,0,0,0,0,window-too-short-for-rotation,0,0,,,5.5546,2,1,0.8458,0.1969,5.008
A2b-CAR-w70,searound,5,0,0,0,0,window-too-short-for-rotation,0,0,,,1.5779,2,2,0.5727,0.4192,7.216
A2b-CAR-w70,searound,6,1,0,0,0,window-too-short-for-rotation,0,0,,,14.2865,1,0,1,0.0194,0.496
A2b-CAR-w70,searound,7,0,0,0,0,window-too-short-for-rotation,0,0,,,5.0089,2,1,0.5492,0,0
A2b-CAR-w70,searound,8,1,0,0,0,window-too-short-for-rotation,0,0,,,6.4715,2,1,0.7926,0.4091,10.464
A2b-CAR-w70,searound,9,0,0,1,0,window-too-short-for-rotation,0,0,,,2.8127,4,4,0.4784,1,28.144
A2b-CAR-w70,searound,10,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3772,2,1,0.9241,0.5498,9.264
A2b-CAR-w70,searound,11,0,0,0,0,window-too-short-for-rotation,0,0,,,4.9441,1,0,1,0.0034,0.08
A2b-CAR-w70,searound,12,1,0,0,0,window-too-short-for-rotation,0,0,,,10.7361,2,1,0.7464,0.4119,10.64
A2b-CAR-w70,searound,13,0,0,0,0,window-too-short-for-rotation,0,0,,,4.5028,2,1,0.7092,0.8252,22.864
A2b-CAR-w70,searound,14,0,0,1,0,window-too-short-for-rotation,0,0,,,2.8169,4,3,0.4354,1,28.976
A2b-CAR-w70,searound,15,0,0,0,0,window-too-short-for-rotation,0,0,,,7.1689,2,1,0.6492,0,0
A2b-CAR-w70,searound,16,0,0,0,0,window-too-short-for-rotation,0,0,,,3.784,3,2,0.409,0.9274,25.744
A2b-CAR-w70,searound,17,1,0,0,0,window-too-short-for-rotation,0,0,,,8.5377,1,0,1,0.0683,1.84
A2b-CAR-w70,searound,18,1,0,0,0,window-too-short-for-rotation,0,0,,,11.9619,2,1,0.8718,0.1864,4.8
A2b-CAR-w70,searound,19,0,0,0,0,window-too-short-for-rotation,0,0,,,9.9135,1,0,1,0.0511,1.328
A2b-CAR-w70,searound,20,0,0,0,0,window-too-short-for-rotation,0,0,,,10.5103,4,3,0.5577,0.4742,12.352
A2b-CAR-w70,searound,21,0,0,0,0,window-too-short-for-rotation,0,0,,,3.0281,2,1,0.8115,0.242,5.264
A2b-CAR-w70,searound,22,0,0,1,0,window-too-short-for-rotation,0,0,,,1.7078,4,4,0.404,1,26.08
A2b-CAR-w70,searound,23,0,0,0,0,window-too-short-for-rotation,0,0,,,3.1973,1,0,1,0.1133,3.248
A2b-CAR-w70,searound,24,0,0,1,0,window-too-short-for-rotation,0,0,,,1.3173,4,3,0.5621,0.9049,22.144
A2b-CAR-w70,searound,25,0,0,0,0,window-too-short-for-rotation,0,0,,,3.5585,2,1,0.6986,0.7905,14.576
A2b-CAR-w70,searound,26,0,0,1,0,window-too-short-for-rotation,0,0,,,2.5225,4,3,0.4341,0.779,15.904
A2b-CAR-w70,searound,27,0,0,0,0,window-too-short-for-rotation,0,0,,,1.8015,3,2,0.7137,0.9184,16.208
A2b-CAR-w70,searound,28,0,0,0,0,window-too-short-for-rotation,0,0,,,1.306,3,2,0.7269,1,28.224
A2b-CAR-w70,searound,29,0,0,0,0,window-too-short-for-rotation,0,0,,,1.2633,2,1,0.9526,0.8591,22.032
A2b-CAR-w70,searound,30,1,0,0,0,window-too-short-for-rotation,0,0,,,10.945,2,1,0.8525,0.2336,6.016
A2b-CAR-w70,searound,31,1,0,0,0,window-too-short-for-rotation,0,0,,,10.5891,1,0,1,0,0
A2b-CAR-w70,searound,32,0,0,0,0,window-too-short-for-rotation,0,0,,,2.2822,3,2,0.4955,0.8677,24.64
A2b-CAR-w70,searound,33,0,0,0,0,window-too-short-for-rotation,0,0,,,2.9148,3,2,0.5012,1,27.216
A2b-CAR-w70,searound,34,0,0,0,0,window-too-short-for-rotation,0,0,,,3.5152,3,2,0.5227,0.5634,15.056
A2b-CAR-w70,searound,35,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1883,2,1,0.6482,1,25.728
A2b-CAR-w70,searound,36,0,1,0,0,window-too-short-for-rotation,0,0,,,6.7771,2,1,0.8518,0.2367,6.4
A2b-CAR-w70,searound,37,0,0,0,0,window-too-short-for-rotation,0,0,,,4.2969,2,1,0.7299,0.4234,12.048
A2b-CAR-w70,searound,38,0,0,0,0,window-too-short-for-rotation,0,0,,,3.0501,2,2,0.5927,0.8809,19.92
A2b-CAR-w70,searound,39,0,0,1,0,window-too-short-for-rotation,0,0,,,0.8661,4,4,0.5121,1,27.008
A2b-CAR-w70,searound,40,1,0,0,0,window-too-short-for-rotation,0,0,,,7.2484,1,0,1,0.0693,1.744
A2b-CAR-w70,searound,41,0,0,1,0,window-too-short-for-rotation,0,0,,,0.3452,4,5,0.4287,1,28.496
A2b-CAR-w70,searound,42,0,0,0,0,window-too-short-for-rotation,0,0,,,0.8131,2,2,0.7832,1,29.136
A2b-CAR-w70,searound,43,0,0,1,0,window-too-short-for-rotation,0,0,,,2.7382,3,3,0.465,1,28.576
A2b-CAR-w70,searound,44,0,0,0,0,window-too-short-for-rotation,0,0,,,1.0047,3,2,0.518,0.8414,14.032
A2b-CAR-w70,searound,45,1,0,0,0,window-too-short-for-rotation,0,0,,,6.779,1,0,1,0,0
A2b-CAR-w70,searound,46,0,0,0,0,window-too-short-for-rotation,0,0,,,7.6688,2,1,0.7019,0.0661,1.808
A2b-CAR-w70,searound,47,1,0,0,0,window-too-short-for-rotation,0,0,,,13.6453,1,0,1,0.0573,1.44
A2b-CAR-w70,searound,48,0,0,0,0,window-too-short-for-rotation,0,0,,,0.8102,2,1,0.9812,0.706,11.872
A2b-CAR-w70,searound,49,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7978,2,1,0.5848,1,26.96
A2b-CAR-w70,searound,50,0,0,0,0,window-too-short-for-rotation,0,0,,,1.3611,2,1,0.9284,0.8399,19.488
A2b-CAR-w70,searound,51,0,0,0,0,window-too-short-for-rotation,0,0,,,1.7277,2,1,0.7969,0.9458,24.064
A2b-CAR-w70,searound,52,0,0,0,0,window-too-short-for-rotation,0,0,,,5.403,2,1,0.5854,0.6967,19.504
A2b-CAR-w70,searound,53,1,0,0,0,window-too-short-for-rotation,0,0,,,7.7378,1,0,1,0.2346,6.208
A2b-CAR-w70,searound,54,0,0,0,0,window-too-short-for-rotation,0,0,,,9.1233,2,1,0.9588,0.2915,7.456
A2b-CAR-w70,searound,55,1,0,0,0,window-too-short-for-rotation,0,0,,,11.5992,2,1,0.7509,0.3635,9.744
A2b-CAR-w70,searound,56,0,0,0,0,window-too-short-for-rotation,0,0,,,5.9385,3,2,0.5849,0.1067,2.72
A2b-CAR-w70,searound,57,0,0,0,0,window-too-short-for-rotation,0,0,,,1.9505,2,2,0.5809,1,26.176
A2b-CAR-w70,searound,58,0,0,1,0,window-too-short-for-rotation,0,0,,,2.7302,5,4,0.3416,1,26.304
A2b-CAR-w70,searound,59,0,0,1,0,window-too-short-for-rotation,0,0,,,2.6481,3,3,0.4549,0.8371,24.656
A2b-CAR-w70,searound,60,0,0,0,0,window-too-short-for-rotation,0,0,,,7.2131,3,2,0.6406,0.5925,15.76
A2b-CAR-w70,searound,61,0,0,0,0,window-too-short-for-rotation,0,0,,,6.1454,2,1,0.5117,0.6344,15.84
A2b-CAR-w70,searound,62,0,0,0,0,window-too-short-for-rotation,0,0,,,1.822,3,2,0.458,0.8243,23.856
A2b-CAR-w70,searound,63,1,0,0,0,window-too-short-for-rotation,0,0,,,12.4077,2,1,0.9968,0.1527,3.776
A2b-CAR-w70,searound,64,0,1,0,0,window-too-short-for-rotation,0,0,,,0.4264,2,3,0.8218,0.4376,12.048
A2b-CAR-w70,searound,65,0,0,1,0,window-too-short-for-rotation,0,0,,,0.9039,3,3,0.4761,1,28.112
A2b-CAR-w70,searound,66,0,0,0,0,window-too-short-for-rotation,0,0,,,6.4035,2,2,0.5268,0.4676,11.984
A2b-CAR-w70,searound,67,0,0,0,0,window-too-short-for-rotation,0,0,,,10.014,2,1,0.7604,0.5024,13.536
A2b-CAR-w70,searound,68,1,0,0,0,window-too-short-for-rotation,0,0,,,9.521,1,0,1,0.27,7.152
A2b-CAR-w70,searound,69,0,0,1,0,window-too-short-for-rotation,0,0,,,1.5118,5,4,0.4116,0.952,25.552
A2b-CAR-w70,searound,70,1,0,0,0,window-too-short-for-rotation,0,0,,,7.1788,1,0,1,0.0257,0.672
A2b-CAR-w70,searound,71,0,0,0,0,window-too-short-for-rotation,0,0,,,2.2906,3,2,0.4408,1,27.168
A2b-CAR-w70,searound,72,0,0,0,0,window-too-short-for-rotation,0,0,,,9.8024,1,0,1,0,0
A2b-CAR-w70,searound,73,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1481,3,2,0.8173,0.9862,26.24
A2b-CAR-w70,searound,74,0,0,1,0,window-too-short-for-rotation,0,0,,,1.1772,4,3,0.4447,1,28.336
A2b-CAR-w70,searound,75,1,0,0,0,window-too-short-for-rotation,0,0,,,14.0908,1,0,1,0,0
A2b-CAR-w70,searound,76,0,0,0,0,window-too-short-for-rotation,0,0,,,2.6679,3,2,0.7574,1,25.44
A2b-CAR-w70,searound,77,1,0,0,0,window-too-short-for-rotation,0,0,,,9.618,2,1,0.8364,0.2856,7.36
A2b-CAR-w70,searound,78,0,0,0,0,window-too-short-for-rotation,0,0,,,0.4597,3,2,0.769,1,29.28
A2b-CAR-w70,searound,79,0,0,1,0,window-too-short-for-rotation,0,0,,,0.9646,3,3,0.5752,0.923,16.288
A2b-CAR-w70,searound,80,1,0,0,0,window-too-short-for-rotation,0,0,,,7.6989,2,1,0.9502,0.4278,11.264
A2b-CAR-w70,searound,81,1,0,0,0,window-too-short-for-rotation,0,0,,,5.5534,1,0,1,0,0
A2b-CAR-w70,searound,82,1,0,0,0,window-too-short-for-rotation,0,0,,,13.2382,2,1,0.7901,0,0
A2b-CAR-w70,searound,83,1,0,0,0,window-too-short-for-rotation,0,0,,,6.8967,1,0,1,0,0
A2b-CAR-w70,searound,84,0,0,0,0,window-too-short-for-rotation,0,0,,,1.8111,1,0,1,0.7671,18.304
A2b-CAR-w70,searound,85,1,0,0,0,window-too-short-for-rotation,0,0,,,4.8305,3,2,0.7623,0.428,11.392
A2b-CAR-w70,searound,86,0,0,1,0,window-too-short-for-rotation,0,0,,,3.119,4,3,0.3409,0.9909,27.984
A2b-CAR-w70,searound,87,0,0,0,0,window-too-short-for-rotation,0,0,,,5.5804,3,2,0.8931,0.6667,16.752
A2b-CAR-w70,searound,88,1,0,0,0,window-too-short-for-rotation,0,0,,,6.1148,1,0,1,0.0177,0.432
A2b-CAR-w70,searound,89,0,0,0,0,window-too-short-for-rotation,0,0,,,2.8195,3,2,0.464,1,28.848
A2b-CAR-w70,searound,90,1,0,0,0,window-too-short-for-rotation,0,0,,,7.856,1,0,1,0.3066,7.92
A2b-CAR-w70,searound,91,0,0,0,0,window-too-short-for-rotation,0,0,,,2.7629,3,2,0.7393,0.576,17.2
A2b-CAR-w70,searound,92,0,0,1,0,window-too-short-for-rotation,0,0,,,1.7387,5,4,0.426,0.9534,26.16
A2b-CAR-w70,searound,93,0,0,0,0,window-too-short-for-rotation,0,0,,,1.1865,1,0,1,0.4319,6.816
A2b-CAR-w70,searound,94,1,0,0,0,window-too-short-for-rotation,0,0,,,11.3188,1,0,1,0.0123,0.304
A2b-CAR-w70,searound,95,1,0,0,0,window-too-short-for-rotation,0,0,,,9.3405,1,0,1,0,0
A2b-CAR-w70,searound,96,0,0,0,0,window-too-short-for-rotation,0,0,,,1.161,2,1,0.9204,0.3897,11.264
A2b-CAR-w70,searound,97,0,0,0,0,window-too-short-for-rotation,0,0,,,1.6942,2,1,0.9971,1,27.536
A2b-CAR-w70,searound,98,0,0,0,0,window-too-short-for-rotation,0,0,,,3.4605,3,2,0.438,0.5534,7.808
A2b-CAR-w70,searound,99,0,0,1,0,window-too-short-for-rotation,0,0,,,3.7278,4,3,0.5012,0.7867,21.232
A2b-CAR-w70,searound,100,1,0,0,0,window-too-short-for-rotation,0,0,,,5.5552,1,0,1,0.055,1.456
