arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A3-CAR-GR,dirt-oval,1,0,0,0,1,,2,0,1,0.1622,2.4386,3,2,0.6345,0.4581,17.264
A3-CAR-GR,dirt-oval,2,0,0,0,1,,2,1,1,0.0002,1.6418,3,2,0.4303,1,42.928
A3-CAR-GR,dirt-oval,3,0,0,0,1,,2,0,1,0.1705,3.097,4,4,0.7294,0.5824,23.248
A3-CAR-GR,dirt-oval,4,0,0,0,1,,2,1,2,0.4306,1.6049,2,3,0.526,0.7589,21.248
A3-CAR-GR,dirt-oval,5,0,0,1,1,,2,1,2,0.1427,1.2164,4,3,0.6683,1,43.104
A3-CAR-GR,dirt-oval,6,0,0,0,1,,2,1,2,0.0251,0.7799,4,3,0.7236,0.5137,12.352
A3-CAR-GR,dirt-oval,7,0,0,0,0,lead-in-too-steep,0,0,,,2.6782,3,2,0.823,0.3468,8.608
A3-CAR-GR,dirt-oval,8,0,0,0,1,,2,1,1,0.066,1.0665,3,2,0.7955,1,42.224
A3-CAR-GR,dirt-oval,9,0,0,1,0,lead-in-too-steep,0,0,,,0.8479,6,12,0.3289,1,47.216
A3-CAR-GR,dirt-oval,10,0,0,0,1,,2,1,2,0.0917,3.0841,3,2,0.5768,0.6938,20.704
A3-CAR-GR,dirt-oval,11,0,0,1,0,lead-in-too-steep,0,0,,,2.6064,3,3,0.5097,1,42.928
A3-CAR-GR,dirt-oval,12,0,0,0,1,,2,1,2,0.1035,3.1112,3,2,0.5045,0.6892,17.408
A3-CAR-GR,dirt-oval,13,0,0,0,0,lead-in-too-steep,0,0,,,1.4524,5,4,0.7225,0.6763,24.896
A3-CAR-GR,dirt-oval,14,0,0,1,0,lead-in-too-steep,0,0,,,7.2184,5,5,0.5756,0.6424,26.368
A3-CAR-GR,dirt-oval,15,0,0,0,0,lead-in-too-steep,0,0,,,1.3677,2,1,0.6563,1,43.744
A3-CAR-GR,dirt-oval,16,0,0,1,1,,2,0,1,0.2189,2.952,4,3,0.4589,0.6881,18.016
A3-CAR-GR,dirt-oval,17,0,0,0,0,lead-in-too-steep,0,0,,,1.576,3,2,0.7339,0.5922,14.624
A3-CAR-GR,dirt-oval,18,0,0,1,1,,2,1,1,0.0626,5.6639,3,3,0.6223,0.821,33.968
A3-CAR-GR,dirt-oval,19,0,0,0,1,,2,0,1,0.0813,1.6958,3,2,0.5291,0.7533,17.504
A3-CAR-GR,dirt-oval,20,0,0,0,1,,2,1,2,0.0765,3.0933,3,2,0.703,0.6729,22.992
A3-CAR-GR,dirt-oval,21,0,0,0,0,lead-in-too-steep,0,0,,,6.8512,2,1,0.6298,0.523,23.648
A3-CAR-GR,dirt-oval,22,0,0,0,1,,2,0,1,0.0329,3.7077,3,2,0.5371,0.4449,19.312
A3-CAR-GR,dirt-oval,23,0,0,0,1,,2,1,2,0.0255,3.0941,3,2,0.6815,0.7926,30.016
A3-CAR-GR,dirt-oval,24,0,0,0,1,,2,0,1,0.097,1.8619,3,2,0.5273,1,42.16
A3-CAR-GR,dirt-oval,25,0,0,0,1,,2,0,1,0.2896,4.1445,1,0,1,0.9163,35.024
A3-CAR-GR,dirt-oval,26,0,0,0,0,lead-in-too-steep,0,0,,,0.2031,3,2,0.5122,0.7309,26.144
A3-CAR-GR,dirt-oval,27,0,0,0,0,rotation-torn-by-feasibility,0,0,,,4.7591,3,2,0.701,0.6882,25.872
A3-CAR-GR,dirt-oval,28,0,0,0,1,,2,1,2,0.1511,4.5924,4,3,0.3729,0.4652,10.4
A3-CAR-GR,dirt-oval,29,0,0,0,1,,2,1,1,0.2017,4.6017,3,3,0.5312,0.4922,18.272
A3-CAR-GR,dirt-oval,30,0,0,0,1,,2,1,1,0.093,8.6084,3,2,0.8511,0.3707,11.232
A3-CAR-GR,dirt-oval,31,0,0,0,0,lead-in-too-steep,0,0,,,5.5052,3,2,0.7305,0.6887,20.128
A3-CAR-GR,dirt-oval,32,0,0,1,1,,2,2,,0.0761,4.9983,4,3,0.5369,0.6034,15.552
A3-CAR-GR,dirt-oval,33,0,0,0,1,,2,1,1,0,0.4553,3,2,0.5338,0.5613,23.12
A3-CAR-GR,dirt-oval,34,0,0,0,1,,2,1,2,0,0.8972,3,2,0.6349,0.6689,18.4
A3-CAR-GR,dirt-oval,35,0,0,0,0,lead-in-too-steep,0,0,,,5.7824,2,1,0.7318,0.3477,14.816
A3-CAR-GR,dirt-oval,36,0,0,0,0,lead-in-too-steep,0,0,,,9.5994,2,1,0.9032,0.619,26.992
A3-CAR-GR,dirt-oval,37,0,0,0,1,,2,1,1,0.1356,3.1477,2,1,0.636,0.9886,40.096
A3-CAR-GR,dirt-oval,38,0,0,0,1,,2,2,,0.0881,3.3195,3,2,0.5666,0.4434,11.072
A3-CAR-GR,dirt-oval,39,0,0,0,1,,2,1,1,0.1862,1.9115,2,1,0.8487,0.5825,15.968
A3-CAR-GR,dirt-oval,40,0,0,1,0,lead-in-too-steep,0,0,,,0.5191,5,10,0.4129,1,45.28
A3-CAR-GR,dirt-oval,41,0,0,0,0,lead-in-too-steep,0,0,,,2.125,3,2,0.551,0.8521,35.664
A3-CAR-GR,dirt-oval,42,0,0,1,0,lead-in-too-steep,0,0,,,1.5814,5,4,0.3681,1,43.456
A3-CAR-GR,dirt-oval,43,0,0,0,0,lead-in-too-steep,0,0,,,1.5581,2,1,0.7191,1,43.792
A3-CAR-GR,dirt-oval,44,0,0,1,1,,2,1,2,0.2185,1.1196,4,3,0.3866,0.9257,22.96
A3-CAR-GR,dirt-oval,45,0,0,1,0,lead-in-too-steep,0,0,,,0.3858,3,5,0.6598,0.7169,28.064
A3-CAR-GR,dirt-oval,46,0,0,0,1,,2,1,1,0.1362,3.2413,2,1,0.9163,0.366,8.048
A3-CAR-GR,dirt-oval,47,0,0,0,1,,2,1,2,0.192,3.6914,5,4,0.712,0.4426,9.248
A3-CAR-GR,dirt-oval,48,0,0,0,1,,2,1,1,0.0521,5.0331,2,1,0.5191,0.852,35.248
A3-CAR-GR,dirt-oval,49,0,0,0,1,,2,1,2,0.0223,2.6862,2,2,0.5106,0.3348,11.2
A3-CAR-GR,dirt-oval,50,0,0,0,1,,2,1,2,0,6.5438,2,1,0.6324,0.1564,6.976
A3-CAR-GR,dirt-oval,51,0,0,1,1,,2,1,2,0.0624,2.405,4,3,0.5805,0.6767,17.792
A3-CAR-GR,dirt-oval,52,0,0,0,1,,2,0,1,0,3.0299,2,2,0.6154,0.6239,10.832
A3-CAR-GR,dirt-oval,53,0,0,1,1,,2,1,2,0.0342,2.5806,4,6,0.651,1,43.952
A3-CAR-GR,dirt-oval,54,0,0,1,1,,2,2,,0.0858,1.8426,5,10,0.4654,0.9857,33.168
A3-CAR-GR,dirt-oval,55,0,0,1,0,lead-in-too-steep,0,0,,,5.0116,5,4,0.345,0.8039,35.92
A3-CAR-GR,dirt-oval,56,0,0,1,0,lead-in-too-steep,0,0,,,4.0256,4,7,0.3143,0.83,37.168
A3-CAR-GR,dirt-oval,57,0,0,1,0,lead-in-too-steep,0,0,,,2.4484,4,5,0.6257,0.6154,17.728
A3-CAR-GR,dirt-oval,58,0,0,1,0,lead-in-too-steep,0,0,,,3.9115,4,3,0.3668,0.6721,23.36
A3-CAR-GR,dirt-oval,59,0,0,1,1,,2,0,1,0.4491,1.6286,3,3,0.631,0.6049,17.152
A3-CAR-GR,dirt-oval,60,0,0,0,0,lead-in-too-steep,0,0,,,1.1452,2,1,0.6957,0.5155,21.184
A3-CAR-GR,dirt-oval,61,0,0,0,1,,2,1,1,0.0319,3.0218,2,1,0.6016,0.5291,16.528
A3-CAR-GR,dirt-oval,62,0,0,0,0,rotation-torn-by-feasibility,0,0,,,3.1755,3,2,0.5776,0.8371,19.088
A3-CAR-GR,dirt-oval,63,0,0,0,1,,2,0,1,0.1174,1.1994,2,1,0.8122,0.6698,19.504
A3-CAR-GR,dirt-oval,64,0,0,1,1,,2,1,2,0.298,3.6965,3,3,0.5882,0.5792,23.632
A3-CAR-GR,dirt-oval,65,0,0,0,1,,2,0,1,0.1372,1.2685,2,1,0.5784,0.9501,21.536
A3-CAR-GR,dirt-oval,66,0,0,0,0,lead-in-too-steep,0,0,,,2.155,2,1,0.6375,0.8447,30.864
A3-CAR-GR,dirt-oval,67,0,0,0,1,,2,1,2,0.1124,4.4627,2,4,0.7734,0.7419,13.216
A3-CAR-GR,dirt-oval,68,0,0,0,1,,2,0,1,0.1781,5.6446,2,3,0.5594,0.5811,16.88
A3-CAR-GR,dirt-oval,69,0,0,1,1,,2,1,1,0.1221,1.7338,4,3,0.4568,0.5281,16.656
A3-CAR-GR,dirt-oval,70,0,0,0,1,,2,0,1,0,2.8144,3,2,0.5446,0.3235,5.856
A3-CAR-GR,dirt-oval,71,0,0,0,0,lead-in-too-steep,0,0,,,6.7728,3,2,0.587,0.4189,9.472
A3-CAR-GR,dirt-oval,72,0,0,0,0,lead-in-too-steep,0,0,,,2.7516,3,2,0.509,0.9138,30.48
A3-CAR-GR,dirt-oval,73,0,0,0,1,,2,1,2,0.092,3.1029,3,2,0.4502,0.6526,12.464
A3-CAR-GR,dirt-oval,74,0,0,1,1,,2,0,1,0.2311,2.0479,4,4,0.4445,0.6871,19.584
A3-CAR-GR,dirt-oval,75,0,0,1,1,,2,0,1,0.2823,2.1834,3,3,0.4129,1,41.568
A3-CAR-GR,dirt-oval,76,0,0,1,1,,2,1,2,0.2154,1.3458,4,3,0.5747,0.8347,19.056
A3-CAR-GR,dirt-oval,77,0,1,0,1,,2,0,1,0.0324,3.4563,2,1,0.9684,0.3255,7.952
A3-CAR-GR,dirt-oval,78,0,0,0,1,,2,0,1,0,5.5069,3,2,0.5571,0.8014,16.928
A3-CAR-GR,dirt-oval,79,0,0,0,0,rotation-torn-by-feasibility,0,0,,,3.2774,3,2,0.4274,0.594,14.368
A3-CAR-GR,dirt-oval,80,0,0,0,0,lead-in-too-steep,0,0,,,2.643,3,2,0.4743,0.694,13.84
A3-CAR-GR,dirt-oval,81,0,0,0,0,lead-in-too-steep,0,0,,,5.779,5,5,0.7703,0.493,22.48
A3-CAR-GR,dirt-oval,82,0,0,0,1,,2,1,2,0.1354,1.1219,3,2,0.8307,0.4616,14.128
A3-CAR-GR,dirt-oval,83,0,0,0,1,,2,1,2,0.3028,2.6874,3,2,0.9251,0.3229,7.792
A3-CAR-GR,dirt-oval,84,0,0,0,1,,2,0,1,0,3.4643,3,3,0.7618,0.6123,22.304
A3-CAR-GR,dirt-oval,85,0,0,1,1,,2,1,2,0.2815,1.9733,4,4,0.4045,1,42.112
A3-CAR-GR,dirt-oval,86,0,0,0,0,lead-in-too-steep,0,0,,,6.6577,2,1,0.5571,0.4109,9.6
A3-CAR-GR,dirt-oval,87,0,0,0,1,,2,0,1,0,0.6855,2,2,0.5045,0.381,7.888
A3-CAR-GR,dirt-oval,88,0,0,1,0,lead-in-too-steep,0,0,,,2.1194,4,4,0.5289,0.7538,14.496
A3-CAR-GR,dirt-oval,89,0,0,0,1,,2,1,2,0.0365,2.8596,3,2,0.8163,0.6676,23.68
