arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A3-CAR-GR,luger-hill,1,0,0,1,0,lead-in-too-steep,0,0,,,2.7473,4,5,0.3923,1,21.6
A3-CAR-GR,luger-hill,2,0,0,0,0,lead-in-too-steep,0,0,,,1.1268,3,2,0.4725,1,20.912
A3-CAR-GR,luger-hill,3,0,0,0,0,lead-in-too-steep,0,0,,,2.4328,2,1,0.8531,0.5298,6.032
A3-CAR-GR,luger-hill,4,0,0,0,1,,2,0,1,0.4172,3.1876,3,2,0.9228,0.4236,6.176
A3-CAR-GR,luger-hill,5,0,0,0,0,lead-in-too-steep,0,0,,,1.2346,2,1,0.6818,1,20.752
A3-CAR-GR,luger-hill,6,0,0,0,1,,2,2,,0.1225,4.1987,4,4,0.7067,0.8091,15.92
A3-CAR-GR,luger-hill,7,0,0,0,1,,2,0,1,0,2.4576,2,1,0.5821,0.9455,13.328
A3-CAR-GR,luger-hill,8,0,0,0,1,,2,0,1,0.0047,0.7638,4,3,0.737,0.6672,9.008
A3-CAR-GR,luger-hill,9,0,0,1,1,,2,0,1,0.015,3.3657,5,5,0.3923,0.9617,18.848
A3-CAR-GR,luger-hill,10,1,0,0,1,,2,0,1,0.4807,3.9713,4,3,0.8808,0.3167,6.192
A3-CAR-GR,luger-hill,11,0,0,0,1,,2,0,1,0,2.2131,2,1,0.8176,1,19.456
A3-CAR-GR,luger-hill,12,0,0,0,0,lead-in-too-steep,0,0,,,2.9079,3,2,0.8281,0.668,13.216
A3-CAR-GR,luger-hill,13,0,0,0,1,,2,0,1,0.1256,1.0358,3,2,0.8077,0.5495,6.624
A3-CAR-GR,luger-hill,14,0,0,1,1,,2,1,2,0.2474,2.5865,4,3,0.3816,1,20.736
A3-CAR-GR,luger-hill,15,0,0,0,0,lead-in-too-steep,0,0,,,2.232,2,1,0.6776,0.6332,11.968
A3-CAR-GR,luger-hill,16,0,0,1,1,,2,0,1,0.5592,2.6945,3,3,0.5656,0.8044,10.224
A3-CAR-GR,luger-hill,17,0,0,0,0,lead-in-too-steep,0,0,,,2.1339,3,2,0.5541,1,21.408
A3-CAR-GR,luger-hill,18,0,0,0,1,,2,1,2,0.0828,4.9158,3,2,0.7226,0.2347,4.64
A3-CAR-GR,luger-hill,19,0,0,0,1,,2,0,1,0.1097,1.9511,2,1,0.6394,1,19.152
A3-CAR-GR,luger-hill,20,0,0,0,0,lead-in-too-steep,0,0,,,4.0086,3,2,0.5171,0.6375,13.376
A3-CAR-GR,luger-hill,21,0,0,1,0,lead-in-too-steep,0,0,,,0.4006,4,6,0.432,1,21.168
A3-CAR-GR,luger-hill,22,0,0,0,1,,2,1,1,0.1238,0.6256,2,1,0.9718,1,20.416
A3-CAR-GR,luger-hill,23,0,0,1,1,,2,1,2,0.2785,1.5115,6,5,0.2875,1,21.184
A3-CAR-GR,luger-hill,24,0,0,0,1,,2,0,1,0.2985,3.8053,2,1,0.9464,0.142,2.992
A3-CAR-GR,luger-hill,25,1,0,0,0,lead-in-too-steep,0,0,,,5.3117,3,2,0.5827,0.5318,10.832
A3-CAR-GR,luger-hill,26,1,0,0,0,lead-in-too-steep,0,0,,,5.7057,3,2,0.761,0.3789,7.392
A3-CAR-GR,luger-hill,27,0,0,1,0,lead-in-too-steep,0,0,,,1.7154,4,4,0.4643,1,21.696
A3-CAR-GR,luger-hill,28,0,0,1,0,lead-in-too-steep,0,0,,,0.9652,5,6,0.4435,1,20.656
A3-CAR-GR,luger-hill,29,1,0,0,1,,2,1,2,0.2838,2.7891,2,1,0.9323,0.3434,6.224
A3-CAR-GR,luger-hill,30,0,0,1,1,,2,0,1,0.193,1.9079,4,3,0.427,1,20.816
A3-CAR-GR,luger-hill,31,0,0,0,0,lead-in-too-steep,0,0,,,2.8696,3,2,0.5521,1,21.024
A3-CAR-GR,luger-hill,32,0,0,1,1,,2,1,1,0.2858,1.5493,4,6,0.4849,1,20.608
A3-CAR-GR,luger-hill,33,1,0,0,0,lead-in-too-steep,0,0,,,5.0962,3,2,0.7898,0.4021,8.4
A3-CAR-GR,luger-hill,34,0,0,0,1,,2,0,1,0.0064,5.2696,2,1,0.8316,0.5758,10.928
A3-CAR-GR,luger-hill,35,0,0,1,1,,2,1,2,0.0093,0.2855,5,4,0.6389,1,20.944
A3-CAR-GR,luger-hill,36,0,0,0,1,,2,1,2,0.2991,1.8194,3,2,0.8853,0.6096,9.424
A3-CAR-GR,luger-hill,37,1,0,0,0,lead-in-too-steep,0,0,,,6.646,3,2,0.538,0.5586,5.728
A3-CAR-GR,luger-hill,38,0,0,0,1,,2,1,1,0.0472,4.4406,3,2,0.5859,0.7534,14.016
A3-CAR-GR,luger-hill,39,0,0,0,1,,2,0,1,0.312,1.2565,4,4,0.7667,0.7496,8.864
A3-CAR-GR,luger-hill,40,0,0,0,1,,2,1,1,0.0538,3.5111,2,1,0.866,0.8897,16.24
A3-CAR-GR,luger-hill,41,0,0,0,0,lead-in-too-steep,0,0,,,0.8018,3,2,0.7238,1,20.896
A3-CAR-GR,luger-hill,42,0,0,0,1,,2,1,2,0.0917,2.0145,2,1,0.8907,0.8864,12.976
A3-CAR-GR,luger-hill,43,0,0,0,1,,2,0,1,0.0074,4.7415,3,2,0.9648,0.3224,6.288
A3-CAR-GR,luger-hill,44,0,0,0,1,,2,0,1,0.008,1.1692,1,0,1,1,19.792
A3-CAR-GR,luger-hill,45,0,0,0,1,,2,1,1,0.1314,2.3489,4,4,0.7709,1,20.24
A3-CAR-GR,luger-hill,46,0,0,1,0,lead-in-too-steep,0,0,,,2.3136,4,4,0.4223,1,20.976
A3-CAR-GR,luger-hill,47,0,0,0,1,,2,0,1,0.0206,1.6439,2,1,0.8685,0.3797,5.568
A3-CAR-GR,luger-hill,48,0,0,0,1,,2,1,2,0.015,1.9521,2,1,0.8653,1,18.864
A3-CAR-GR,luger-hill,49,0,0,0,1,,2,1,2,0.3125,2.7979,2,1,0.8627,0.4351,7.344
A3-CAR-GR,luger-hill,50,0,0,0,0,lead-in-too-steep,0,0,,,1.1563,3,2,0.8388,1,20.624
