arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A3-CAR-GR,mountainstreet,1,0,0,0,0,lead-in-too-steep,0,0,,,2.3351,5,6,0.7556,0.3655,7.04
A3-CAR-GR,mountainstreet,2,0,0,0,0,lead-in-too-steep,0,0,,,5.5476,3,2,0.5158,0.8238,17.488
A3-CAR-GR,mountainstreet,3,0,0,0,0,lead-in-too-steep,0,0,,,1.8806,3,2,0.591,1,21.424
A3-CAR-GR,mountainstreet,4,0,0,0,1,,2,0,1,0.1199,1.23,3,2,0.5255,1,18.8
A3-CAR-GR,mountainstreet,5,0,0,0,0,lead-in-too-steep,0,0,,,4.5561,2,2,0.7973,0.3935,7.968
A3-CAR-GR,mountainstreet,6,0,0,0,1,,2,1,1,0.2104,4.6881,3,4,0.6904,0.4341,8.464
A3-CAR-GR,mountainstreet,7,0,0,1,0,lead-in-too-steep,0,0,,,1.2029,6,5,0.6516,0.6413,9.04
A3-CAR-GR,mountainstreet,8,1,0,0,1,,2,1,2,0.0434,3.916,2,1,0.8595,0.4878,9.264
A3-CAR-GR,mountainstreet,9,0,0,0,0,lead-in-too-steep,0,0,,,4.5925,3,2,0.6055,0.4236,8.592
A3-CAR-GR,mountainstreet,10,0,0,1,1,,2,0,1,0.4135,0.5745,4,3,0.519,1,19.344
A3-CAR-GR,mountainstreet,11,1,0,0,0,lead-in-too-steep,0,0,,,4.3822,2,1,0.7949,0.4822,10.592
A3-CAR-GR,mountainstreet,12,0,0,0,1,,2,1,1,0.2508,4.6373,2,1,0.6359,0.5785,11.264
A3-CAR-GR,mountainstreet,13,0,0,0,1,,2,1,1,0,1.2214,2,1,0.8228,0.4796,6.352
A3-CAR-GR,mountainstreet,14,0,0,0,1,,2,0,1,0.0025,2.7837,3,2,0.8066,1,20.496
A3-CAR-GR,mountainstreet,15,1,0,0,1,,2,0,1,0.2905,6.6125,3,2,0.4928,0.1506,2.976
A3-CAR-GR,mountainstreet,16,0,0,0,0,lead-in-too-steep,0,0,,,5.6332,2,1,0.7395,0.4806,10.464
A3-CAR-GR,mountainstreet,17,0,0,0,1,,2,1,2,0.1312,3.3272,2,2,0.8896,0.2575,4.192
A3-CAR-GR,mountainstreet,18,0,0,0,1,,2,1,2,0.3461,4.7522,1,0,1,0.0616,1.28
A3-CAR-GR,mountainstreet,19,0,0,1,0,lead-in-too-steep,0,0,,,2.0222,4,3,0.4663,1,22.08
A3-CAR-GR,mountainstreet,20,0,0,1,1,,2,2,,0.0042,3.2544,3,3,0.5501,0.9751,19.44
A3-CAR-GR,mountainstreet,21,0,0,1,1,,2,0,1,0.0937,4.6402,4,3,0.5,0.8163,16.128
A3-CAR-GR,mountainstreet,22,0,0,0,1,,2,1,1,0.0131,3.74,3,2,0.3868,0.5814,6.016
A3-CAR-GR,mountainstreet,23,0,0,0,0,lead-in-too-steep,0,0,,,1.0415,5,5,0.713,0.8008,11.744
A3-CAR-GR,mountainstreet,24,0,0,0,1,,2,1,1,0.3858,1.356,5,4,0.8011,0.4376,4.816
A3-CAR-GR,mountainstreet,25,0,0,0,1,,2,1,1,0.077,2.4269,3,2,0.7423,0.4869,6.24
A3-CAR-GR,mountainstreet,26,0,0,0,1,,2,1,2,0.1262,1.2004,2,1,0.9468,1,18.928
A3-CAR-GR,mountainstreet,27,0,0,0,0,lead-in-too-steep,0,0,,,6.7286,2,1,0.7502,0.4009,8.304
A3-CAR-GR,mountainstreet,28,0,0,1,1,,2,1,2,0.3039,0.9571,4,4,0.6024,1,19.984
A3-CAR-GR,mountainstreet,29,0,0,1,0,lead-in-too-steep,0,0,,,7.2416,3,3,0.5894,0.7896,15.952
A3-CAR-GR,mountainstreet,30,0,0,0,1,,2,0,1,0.3866,1.7457,3,2,0.5274,0.841,16.832
A3-CAR-GR,mountainstreet,31,0,0,1,0,lead-in-too-steep,0,0,,,1.8934,4,3,0.6616,0.5363,7.744
A3-CAR-GR,mountainstreet,32,0,0,0,0,lead-in-too-steep,0,0,,,5.4527,2,1,0.9564,0.3834,5.936
A3-CAR-GR,mountainstreet,33,1,0,0,0,lead-in-too-steep,0,0,,,4.5754,3,2,0.9663,0.5601,12.208
A3-CAR-GR,mountainstreet,34,0,0,0,0,lead-in-too-steep,0,0,,,1.9562,3,2,0.6921,0.9897,13.28
A3-CAR-GR,mountainstreet,35,0,0,0,0,lead-in-too-steep,0,0,,,3.0603,4,4,0.7498,0.3395,7.04
A3-CAR-GR,mountainstreet,36,0,0,1,1,,2,1,1,0.1639,2.2985,4,4,0.4666,0.8964,11.328
A3-CAR-GR,mountainstreet,37,0,0,1,0,lead-in-too-steep,0,0,,,0.301,5,4,0.5486,1,21.216
A3-CAR-GR,mountainstreet,38,0,0,0,0,lead-in-too-steep,0,0,,,4.6501,3,2,0.7193,0.3619,4.048
A3-CAR-GR,mountainstreet,39,0,0,1,1,,2,0,1,0.2459,0.6825,4,5,0.4958,0.8898,11.504
A3-CAR-GR,mountainstreet,40,0,1,0,0,lead-in-too-steep,0,0,,,6.9267,3,2,0.7963,0.1007,1.36
A3-CAR-GR,mountainstreet,41,0,0,0,1,,2,1,1,0.085,4.5158,3,2,0.852,0.3317,6.656
A3-CAR-GR,mountainstreet,42,0,0,0,0,lead-in-too-steep,0,0,,,5.698,3,2,0.6269,0.2918,6.24
A3-CAR-GR,mountainstreet,43,0,0,1,0,lead-in-too-steep,0,0,,,2.0418,4,4,0.5726,0.8446,10.944
A3-CAR-GR,mountainstreet,44,0,0,0,1,,2,0,1,0.1694,1.9517,3,2,0.7679,0.9512,10.208
A3-CAR-GR,mountainstreet,45,0,0,1,0,lead-in-too-steep,0,0,,,3.6629,4,4,0.4881,0.7356,7.968
A3-CAR-GR,mountainstreet,46,0,0,0,0,lead-in-too-steep,0,0,,,1.9379,3,2,0.344,0.7306,14.8
A3-CAR-GR,mountainstreet,47,0,0,0,0,lead-in-too-steep,0,0,,,1.4995,5,4,0.8123,1,20.784
A3-CAR-GR,mountainstreet,48,0,0,0,1,,2,0,1,0,2.9681,1,0,1,1,19.952
A3-CAR-GR,mountainstreet,49,0,0,0,1,,2,1,1,0.0095,2.6986,4,4,0.7143,0.7866,12
A3-CAR-GR,mountainstreet,50,0,0,1,0,lead-in-too-steep,0,0,,,0.5149,4,3,0.5689,0.5805,6.432
A3-CAR-GR,mountainstreet,51,0,0,0,1,,2,0,1,0.326,2.1314,3,2,0.5144,0.452,3.264
A3-CAR-GR,mountainstreet,52,0,0,0,1,,2,1,1,0.052,2.5523,3,2,0.6611,0.382,6.496
A3-CAR-GR,mountainstreet,53,0,0,0,0,lead-in-too-steep,0,0,,,4.3339,3,2,0.457,0.2758,5.68
A3-CAR-GR,mountainstreet,54,0,0,0,1,,2,1,1,0,3.4678,2,1,0.6108,0.8179,16.224
A3-CAR-GR,mountainstreet,55,1,0,1,0,lead-in-too-steep,0,0,,,9.2223,4,3,0.5353,0.5556,10.928
A3-CAR-GR,mountainstreet,56,0,0,1,0,lead-in-too-steep,0,0,,,1.0664,7,10,0.5262,1,22
A3-CAR-GR,mountainstreet,57,0,0,1,0,lead-in-too-steep,0,0,,,0.6448,4,5,0.3815,0.8525,13.6
A3-CAR-GR,mountainstreet,58,0,0,0,0,lead-in-too-steep,0,0,,,2.2299,2,1,0.6823,0.3661,3.536
A3-CAR-GR,mountainstreet,59,0,0,0,0,lead-in-too-steep,0,0,,,2.337,3,2,0.6006,0.6692,5.632
A3-CAR-GR,mountainstreet,60,0,0,0,0,lead-in-too-steep,0,0,,,3.4607,3,2,0.4826,0.5422,11.2
A3-CAR-GR,mountainstreet,61,0,0,0,1,,2,2,,0.137,1.2672,3,2,0.6974,0.5674,8.736
A3-CAR-GR,mountainstreet,62,0,0,0,1,,2,0,1,0.0489,3.7793,2,1,0.671,0.359,4.896
A3-CAR-GR,mountainstreet,63,0,0,1,0,lead-in-too-steep,0,0,,,3.604,5,4,0.6633,0.9615,21.136
A3-CAR-GR,mountainstreet,64,0,0,0,1,,2,1,1,0.3008,5.1917,2,2,0.6643,0.8164,16.208
A3-CAR-GR,mountainstreet,65,0,0,0,0,lead-in-too-steep,0,0,,,2.8997,4,3,0.7748,0.5385,6.368
A3-CAR-GR,mountainstreet,66,0,0,1,0,lead-in-too-steep,0,0,,,5.6457,4,3,0.4437,0.5941,7.136
A3-CAR-GR,mountainstreet,67,0,0,1,0,rotation-torn-by-feasibility,0,0,,,1.2955,7,9,0.4138,1,21.984
A3-CAR-GR,mountainstreet,68,0,0,1,1,,2,1,1,0.0168,0.9874,4,6,0.3802,1,19.216
A3-CAR-GR,mountainstreet,69,0,1,0,0,lead-in-too-steep,0,0,,,5.5617,3,2,0.5636,0.5394,6.016
A3-CAR-GR,mountainstreet,70,0,0,0,1,,2,1,2,0.0359,3.8311,2,1,0.8247,0.428,5.152
A3-CAR-GR,mountainstreet,71,0,0,0,1,,2,2,,0.1594,2.8828,2,2,0.6134,0.8149,15.52
A3-CAR-GR,mountainstreet,72,0,0,1,0,lead-in-too-steep,0,0,,,2.5763,4,3,0.587,0.637,7.728
A3-CAR-GR,mountainstreet,73,0,0,0,0,lead-in-too-steep,0,0,,,4.0961,3,2,0.8345,0.4492,5.408
A3-CAR-GR,mountainstreet,74,0,0,0,1,,2,1,1,0,2.4163,2,2,0.7273,1,21.168
A3-CAR-GR,mountainstreet,75,0,0,1,1,,2,1,1,0.0257,5.2932,3,3,0.6543,0.8478,16.384
A3-CAR-GR,mountainstreet,76,0,0,0,1,,2,0,1,0.2954,3.1632,2,1,0.76,0.6102,10.544
A3-CAR-GR,mountainstreet,77,0,0,1,1,,2,1,2,0.0339,4.0341,4,3,0.5413,0.6815,13.2
A3-CAR-GR,mountainstreet,78,0,0,0,0,lead-in-too-steep,0,0,,,2.3445,3,2,0.814,1,21.408
A3-CAR-GR,mountainstreet,79,0,0,0,1,,2,0,1,0.1864,3.3439,3,2,0.5562,0.5506,7.328
A3-CAR-GR,mountainstreet,80,0,0,1,1,,2,0,1,0.0946,6.8576,4,4,0.5998,0.513,6.816
A3-CAR-GR,mountainstreet,81,0,0,0,1,,2,1,2,0.6033,2.1008,3,2,0.7065,0.2813,3.296
A3-CAR-GR,mountainstreet,82,0,0,0,1,,2,0,1,0.0013,2.1307,2,1,0.553,0.9378,14.64
A3-CAR-GR,mountainstreet,83,0,0,1,0,lead-in-too-steep,0,0,,,1.0484,5,9,0.4387,1,21.136
A3-CAR-GR,mountainstreet,84,0,0,1,0,lead-in-too-steep,0,0,,,4.5534,4,5,0.6233,0.8967,19.296
A3-CAR-GR,mountainstreet,85,0,0,0,1,,2,1,2,0.057,1.5191,3,2,0.8875,1,19.328
A3-CAR-GR,mountainstreet,86,0,0,0,0,lead-in-too-steep,0,0,,,1.2479,3,2,0.3932,1,22
A3-CAR-GR,mountainstreet,87,0,0,1,0,lead-in-too-steep,0,0,,,3.843,5,4,0.4636,0.7207,12.4
A3-CAR-GR,mountainstreet,88,0,0,1,0,lead-in-too-steep,0,0,,,2.5392,3,4,0.5104,0.922,11.984
A3-CAR-GR,mountainstreet,89,1,0,0,0,lead-in-too-steep,0,0,,,2.444,3,2,0.6312,0.2843,5.088
A3-CAR-GR,mountainstreet,90,0,0,1,0,lead-in-too-steep,0,0,,,1.1979,5,4,0.2617,1,19.856
A3-CAR-GR,mountainstreet,91,0,0,0,0,lead-in-too-steep,0,0,,,7.8855,3,2,0.4402,0.516,8.272
A3-CAR-GR,mountainstreet,92,0,0,1,1,,2,0,1,0.3043,1.2026,4,3,0.4536,0.8711,10.336
A3-CAR-GR,mountainstreet,93,0,0,1,0,lead-in-too-steep,0,0,,,3.1275,4,3,0.4233,0.9877,20.48
A3-CAR-GR,mountainstreet,94,1,0,0,1,,2,1,2,0,7.2004,2,1,0.8555,0.1372,2.72
A3-CAR-GR,mountainstreet,95,0,0,1,1,,2,1,2,0.3881,1.2982,5,5,0.59,1,21.68
A3-CAR-GR,mountainstreet,96,0,1,0,0,lead-in-too-steep,0,0,,,3.7937,5,4,0.7446,0.4298,8.896
A3-CAR-GR,mountainstreet,97,0,0,0,1,,2,1,1,0.0031,2.088,4,3,0.7589,1,20.288
A3-CAR-GR,mountainstreet,98,0,0,1,0,lead-in-too-steep,0,0,,,1.1023,5,4,0.426,1,21.616
A3-CAR-GR,mountainstreet,99,0,0,1,0,lead-in-too-steep,0,0,,,1.6821,3,3,0.3672,1,20.64
A3-CAR-GR,mountainstreet,100,0,0,0,1,,2,1,2,0.2907,3.2682,2,1,0.6989,0.5013,9.52
