arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A3-CAR-GR,searound,1,0,0,0,1,,2,0,1,0.2302,2.7051,3,3,0.7069,1,33.616
A3-CAR-GR,searound,2,0,0,0,0,lead-in-too-steep,0,0,,,4.1191,3,2,0.3864,0.6986,23.872
A3-CAR-GR,searound,3,0,1,0,1,,2,1,2,0.1584,0.6506,2,1,0.7487,0.4768,12.096
A3-CAR-GR,searound,4,0,0,0,1,,2,1,1,0.3316,1.1627,3,2,0.5039,0.9083,25.712
A3-CAR-GR,searound,5,0,0,0,0,lead-in-too-steep,0,0,,,0.5539,3,2,0.5141,0.5277,11.552
A3-CAR-GR,searound,6,1,0,0,0,lead-in-too-steep,0,0,,,6.3886,2,1,0.8624,0.2167,7.648
A3-CAR-GR,searound,7,0,0,0,1,,2,1,1,0.1018,4.4574,2,1,0.6568,0.1926,6.352
A3-CAR-GR,searound,8,0,0,0,1,,2,1,2,0.036,3.5013,3,2,0.6735,0.4952,14.144
A3-CAR-GR,searound,9,0,0,1,1,,2,1,1,0.0157,1.033,4,3,0.6474,0.6574,14.304
A3-CAR-GR,searound,10,0,0,0,1,,2,1,2,0.0046,2.4285,2,1,0.877,0.2586,5.648
A3-CAR-GR,searound,11,0,0,0,0,lead-in-too-steep,0,0,,,2.3803,3,2,0.8174,0.3595,7.088
A3-CAR-GR,searound,12,1,0,0,0,lead-in-too-steep,0,0,,,4.5612,3,2,0.5949,0.5225,18.224
A3-CAR-GR,searound,13,0,1,1,0,lead-in-too-steep,0,0,,,4.017,4,3,0.4834,0.8157,27.856
A3-CAR-GR,searound,14,0,0,1,0,lead-in-too-steep,0,0,,,3.5382,4,3,0.4682,0.7848,28.816
A3-CAR-GR,searound,15,0,0,0,0,lead-in-too-steep,0,0,,,1.7364,2,1,0.7879,0.4402,14.576
A3-CAR-GR,searound,16,0,0,0,0,lead-in-too-steep,0,0,,,3.0094,3,2,0.6156,0.9991,36
A3-CAR-GR,searound,17,0,0,0,0,lead-in-too-steep,0,0,,,1.7537,5,4,0.6876,0.3904,9.472
A3-CAR-GR,searound,18,1,0,0,0,lead-in-too-steep,0,0,,,7.0388,3,2,0.6909,0.3521,12.288
A3-CAR-GR,searound,19,0,0,0,1,,2,1,1,0.353,1.2046,3,2,0.5354,0.6887,19.248
A3-CAR-GR,searound,20,0,0,0,0,lead-in-too-steep,0,0,,,10.2279,3,2,0.5409,0.6427,22.112
A3-CAR-GR,searound,21,0,0,0,1,,2,0,1,0.1379,2.7226,4,4,0.8057,0.7926,16.592
