arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A4-CAR-GR-RB,dirt-oval,1,0,0,0,1,,2,0,1,0.1662,2.2463,3,3,0.5808,0.3405,11.648
A4-CAR-GR-RB,dirt-oval,2,0,0,1,1,,2,0,1,0.0166,2.051,4,3,0.3409,0.8834,19.28
A4-CAR-GR-RB,dirt-oval,3,0,0,1,1,,2,0,1,0.2158,3.1321,6,7,0.3172,0.8964,24.592
A4-CAR-GR-RB,dirt-oval,4,0,0,0,1,,2,1,2,0.3592,1.9329,2,3,0.5286,0.7503,21.104
A4-CAR-GR-RB,dirt-oval,5,0,0,0,1,,2,2,,0.2882,3.9881,3,2,0.5613,0.8368,35.264
A4-CAR-GR-RB,dirt-oval,6,0,0,0,1,,2,1,2,0.0253,1.0037,3,2,0.8527,0.4767,10.64
A4-CAR-GR-RB,dirt-oval,7,0,0,0,0,lead-in-too-steep,0,0,,,2.6782,3,2,0.823,0.3468,8.608
A4-CAR-GR-RB,dirt-oval,8,0,0,1,1,,2,2,,0.0663,3.9175,4,4,0.5169,0.817,33.92
A4-CAR-GR-RB,dirt-oval,9,0,0,1,0,lead-in-too-steep,0,0,,,0.8479,6,12,0.3289,1,47.216
A4-CAR-GR-RB,dirt-oval,10,0,0,0,1,,2,1,2,0.0929,2.6836,3,2,0.649,0.3759,8.304
A4-CAR-GR-RB,dirt-oval,11,0,0,1,0,lead-in-too-steep,0,0,,,2.6064,3,3,0.5097,1,42.928
A4-CAR-GR-RB,dirt-oval,12,0,0,0,1,,2,1,2,0.1027,4.9936,3,2,0.5071,0.5906,17.376
A4-CAR-GR-RB,dirt-oval,13,0,0,0,0,lead-in-too-steep,0,0,,,1.4524,5,4,0.7225,0.6763,24.896
A4-CAR-GR-RB,dirt-oval,14,0,0,1,0,lead-in-too-steep,0,0,,,7.2184,5,5,0.5756,0.6424,26.368
A4-CAR-GR-RB,dirt-oval,15,0,0,0,0,lead-in-too-steep,0,0,,,1.3677,2,1,0.6563,1,43.744
A4-CAR-GR-RB,dirt-oval,16,0,0,1,1,,2,1,1,0.1391,1.0074,4,3,0.3226,0.7291,23.04
A4-CAR-GR-RB,dirt-oval,17,0,0,0,0,lead-in-too-steep,0,0,,,1.576,3,2,0.7339,0.5922,14.624
A4-CAR-GR-RB,dirt-oval,18,0,0,1,1,,2,1,1,0.0626,5.6639,3,3,0.6223,0.821,33.968
A4-CAR-GR-RB,dirt-oval,19,0,0,1,1,,2,1,2,0.0681,5.1197,4,3,0.4022,0.5866,10.096
A4-CAR-GR-RB,dirt-oval,20,0,0,0,1,,2,1,2,0.0765,1.316,3,2,0.7484,0.2427,5.904
A4-CAR-GR-RB,dirt-oval,21,0,0,0,0,lead-in-too-steep,0,0,,,6.8512,2,1,0.6298,0.523,23.648
A4-CAR-GR-RB,dirt-oval,22,0,0,0,1,,2,1,2,0,5.2574,3,2,0.4392,0.1936,8.064
A4-CAR-GR-RB,dirt-oval,23,0,0,0,1,,2,2,,0.0255,3.8524,3,2,0.613,0.7501,30.528
A4-CAR-GR-RB,dirt-oval,24,0,0,0,1,,2,1,1,0.0985,3.0465,3,2,0.5383,0.9783,40.4
A4-CAR-GR-RB,dirt-oval,25,0,0,0,1,,2,0,1,0.2993,4.1445,1,0,1,0.9163,35.024
A4-CAR-GR-RB,dirt-oval,26,0,0,0,0,lead-in-too-steep,0,0,,,0.2031,3,2,0.5122,0.7309,26.144
A4-CAR-GR-RB,dirt-oval,27,0,0,0,0,rotation-torn-by-feasibility,0,0,,,4.7591,3,2,0.701,0.6882,25.872
A4-CAR-GR-RB,dirt-oval,28,0,0,1,1,,2,1,2,0.1494,3.7345,4,3,0.4046,0.6078,13.856
A4-CAR-GR-RB,dirt-oval,29,0,0,0,1,,2,2,,0.0744,4.2172,3,2,0.4653,0.3889,8.416
A4-CAR-GR-RB,dirt-oval,30,0,0,0,1,,2,1,1,0.093,8.6084,3,2,0.8511,0.3707,11.232
A4-CAR-GR-RB,dirt-oval,31,0,0,0,0,lead-in-too-steep,0,0,,,5.5052,3,2,0.7305,0.6887,20.128
A4-CAR-GR-RB,dirt-oval,32,0,0,0,1,,2,1,2,0.0774,3.5636,3,2,0.6837,0.4515,9.808
A4-CAR-GR-RB,dirt-oval,33,0,0,0,1,,2,1,1,0.0267,2.1884,4,3,0.5363,0.4873,11.36
A4-CAR-GR-RB,dirt-oval,34,0,0,0,1,,2,1,2,0,1.133,4,3,0.7205,0.4873,10.656
A4-CAR-GR-RB,dirt-oval,35,0,0,0,0,lead-in-too-steep,0,0,,,5.7824,2,1,0.7318,0.3477,14.816
A4-CAR-GR-RB,dirt-oval,36,0,0,0,0,lead-in-too-steep,0,0,,,9.5994,2,1,0.9032,0.619,26.992
A4-CAR-GR-RB,dirt-oval,37,0,0,1,1,,2,1,2,0.1214,2.8303,4,3,0.4074,1,40.864
A4-CAR-GR-RB,dirt-oval,38,0,0,0,1,,2,2,,0.0425,2.3003,3,2,0.6378,0.5546,10.992
A4-CAR-GR-RB,dirt-oval,39,0,1,1,1,,2,1,1,0.1805,0.7599,4,4,0.5859,0.6482,18.432
A4-CAR-GR-RB,dirt-oval,40,0,0,1,0,lead-in-too-steep,0,0,,,0.5191,5,10,0.4129,1,45.28
A4-CAR-GR-RB,dirt-oval,41,0,0,0,0,lead-in-too-steep,0,0,,,2.125,3,2,0.551,0.8521,35.664
A4-CAR-GR-RB,dirt-oval,42,0,0,1,0,lead-in-too-steep,0,0,,,1.5814,5,4,0.3681,1,43.456
A4-CAR-GR-RB,dirt-oval,43,0,0,0,0,lead-in-too-steep,0,0,,,1.5581,2,1,0.7191,1,43.792
A4-CAR-GR-RB,dirt-oval,44,0,0,1,1,,2,1,2,0.2925,5.0993,3,3,0.5543,0.5825,15.28
A4-CAR-GR-RB,dirt-oval,45,0,0,1,0,lead-in-too-steep,0,0,,,0.3858,3,5,0.6598,0.7169,28.064
A4-CAR-GR-RB,dirt-oval,46,1,0,0,1,,2,1,1,0.1349,2.5398,2,1,0.9163,0.3733,8.048
A4-CAR-GR-RB,dirt-oval,47,0,0,0,1,,2,1,2,0.1234,1.2347,5,4,0.7796,0.4707,10.608
A4-CAR-GR-RB,dirt-oval,48,0,0,0,1,,2,1,2,0.0508,1.5147,3,2,0.427,0.8026,22.832
A4-CAR-GR-RB,dirt-oval,49,0,0,0,1,,2,1,2,0.0222,2.3361,3,3,0.5068,0.3446,11.664
A4-CAR-GR-RB,dirt-oval,50,0,0,0,1,,2,1,2,0,8.8799,2,1,0.6571,0.1594,6.976
A4-CAR-GR-RB,dirt-oval,51,0,0,1,1,,2,1,2,0.099,2.523,4,3,0.5917,0.662,17.728
A4-CAR-GR-RB,dirt-oval,52,0,0,1,1,,2,0,1,0,3.7694,3,3,0.6997,0.562,15.536
A4-CAR-GR-RB,dirt-oval,53,0,0,1,1,,2,1,2,0.028,3.7363,4,8,0.5916,0.8285,19.776
A4-CAR-GR-RB,dirt-oval,54,0,0,1,1,,2,2,,0.0911,3.8978,4,6,0.6563,0.7964,34.352
A4-CAR-GR-RB,dirt-oval,55,0,0,1,0,lead-in-too-steep,0,0,,,5.0116,5,4,0.345,0.8039,35.92
A4-CAR-GR-RB,dirt-oval,56,0,0,1,0,lead-in-too-steep,0,0,,,4.0256,4,7,0.3143,0.83,37.168
A4-CAR-GR-RB,dirt-oval,57,0,0,1,0,lead-in-too-steep,0,0,,,2.4484,4,5,0.6257,0.6154,17.728
