arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A4-CAR-GR-RB,luger-hill,1,0,0,1,0,lead-in-too-steep,0,0,,,2.7473,4,5,0.3923,1,21.6
A4-CAR-GR-RB,luger-hill,2,0,0,0,0,lead-in-too-steep,0,0,,,1.1268,3,2,0.4725,1,20.912
A4-CAR-GR-RB,luger-hill,3,0,0,0,0,lead-in-too-steep,0,0,,,2.4328,2,1,0.8531,0.5298,6.032
A4-CAR-GR-RB,luger-hill,4,0,0,0,1,,2,0,1,0.4306,2.166,3,2,0.9228,0.4425,6.176
A4-CAR-GR-RB,luger-hill,5,0,0,0,0,lead-in-too-steep,0,0,,,1.2346,2,1,0.6818,1,20.752
A4-CAR-GR-RB,luger-hill,6,0,0,1,1,,2,1,2,0.1265,3.4568,4,3,0.6642,0.7786,15.008
A4-CAR-GR-RB,luger-hill,7,0,0,0,1,,2,0,1,0,2.4576,2,1,0.5821,0.9455,13.328
A4-CAR-GR-RB,luger-hill,8,0,0,0,1,,2,0,1,0.0045,0.6867,3,2,0.7619,0.9653,11.488
A4-CAR-GR-RB,luger-hill,9,0,0,1,1,,2,0,1,0.079,2.4362,5,4,0.5044,0.7454,12.736
A4-CAR-GR-RB,luger-hill,10,1,0,0,1,,2,0,1,0.4787,3.9713,4,3,0.8808,0.3167,6.192
A4-CAR-GR-RB,luger-hill,11,0,0,0,1,,2,1,2,0,2.1306,3,2,0.5897,0.7641,11.2
A4-CAR-GR-RB,luger-hill,12,0,0,0,0,lead-in-too-steep,0,0,,,2.9079,3,2,0.8281,0.668,13.216
A4-CAR-GR-RB,luger-hill,13,0,0,0,1,,2,0,1,0.1239,1.425,3,2,0.8071,0.4727,5.104
A4-CAR-GR-RB,luger-hill,14,0,0,1,1,,2,1,2,0.2472,2.5935,4,3,0.3816,1,20.736
A4-CAR-GR-RB,luger-hill,15,0,0,0,0,lead-in-too-steep,0,0,,,2.232,2,1,0.6776,0.6332,11.968
A4-CAR-GR-RB,luger-hill,16,0,0,1,1,,2,0,1,0.4752,1.5949,4,4,0.5205,0.8245,10.608
A4-CAR-GR-RB,luger-hill,17,0,0,0,0,lead-in-too-steep,0,0,,,2.1339,3,2,0.5541,1,21.408
A4-CAR-GR-RB,luger-hill,18,1,0,0,1,,2,1,2,0.0859,7.4723,2,1,0.9565,0.2433,4.64
