arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A4-CAR-GR-RB,mountainstreet,1,0,0,0,0,lead-in-too-steep,0,0,,,2.3351,5,6,0.7556,0.3655,7.04
A4-CAR-GR-RB,mountainstreet,2,0,0,0,0,lead-in-too-steep,0,0,,,5.5476,3,2,0.5158,0.8238,17.488
A4-CAR-GR-RB,mountainstreet,3,0,0,0,0,lead-in-too-steep,0,0,,,1.8806,3,2,0.591,1,21.424
A4-CAR-GR-RB,mountainstreet,4,0,0,0,1,,2,0,1,0.12,1.2335,3,2,0.5255,1,18.8
A4-CAR-GR-RB,mountainstreet,5,0,0,0,0,lead-in-too-steep,0,0,,,4.5561,2,2,0.7973,0.3935,7.968
A4-CAR-GR-RB,mountainstreet,6,1,0,0,1,,2,1,1,0.2076,5.4351,3,4,0.7007,0.4196,8.464
A4-CAR-GR-RB,mountainstreet,7,0,0,1,0,lead-in-too-steep,0,0,,,1.2029,6,5,0.6516,0.6413,9.04
A4-CAR-GR-RB,mountainstreet,8,1,0,0,1,,2,1,2,0.0989,6.2716,2,1,0.8595,0.4306,8.176
A4-CAR-GR-RB,mountainstreet,9,0,0,0,0,lead-in-too-steep,0,0,,,4.5925,3,2,0.6055,0.4236,8.592
A4-CAR-GR-RB,mountainstreet,10,0,0,0,1,,2,1,1,0.3687,1.5871,3,2,0.9051,1,19.712
A4-CAR-GR-RB,mountainstreet,11,1,0,0,0,lead-in-too-steep,0,0,,,4.3822,2,1,0.7949,0.4822,10.592
A4-CAR-GR-RB,mountainstreet,12,0,0,1,1,,2,1,1,0.2498,2.9428,3,3,0.359,0.5931,9.344
A4-CAR-GR-RB,mountainstreet,13,0,0,0,1,,2,1,1,0,1.2214,2,1,0.8228,0.4796,6.352
A4-CAR-GR-RB,mountainstreet,14,0,0,0,1,,2,0,1,0.0025,2.7837,3,2,0.8066,1,20.496
A4-CAR-GR-RB,mountainstreet,15,1,0,0,1,,2,0,1,0.2905,6.6125,3,2,0.4928,0.1506,2.976
A4-CAR-GR-RB,mountainstreet,16,0,0,0,0,lead-in-too-steep,0,0,,,5.6332,2,1,0.7395,0.4806,10.464
A4-CAR-GR-RB,mountainstreet,17,0,0,0,1,,2,1,2,0.2151,1.5217,2,2,0.8919,0.2383,2.384
A4-CAR-GR-RB,mountainstreet,18,1,0,0,1,,2,1,2,0.3582,15.0216,1,0,1,0.0676,1.28
A4-CAR-GR-RB,mountainstreet,19,0,0,1,0,lead-in-too-steep,0,0,,,2.0222,4,3,0.4663,1,22.08
A4-CAR-GR-RB,mountainstreet,20,0,0,1,1,,2,2,,0.0042,3.2544,3,3,0.5501,0.9751,19.44
A4-CAR-GR-RB,mountainstreet,21,0,0,1,1,,2,0,1,0.0947,3.6201,4,4,0.47,0.961,18.928
A4-CAR-GR-RB,mountainstreet,22,0,0,0,1,,2,1,1,0.0131,3.74,3,2,0.3868,0.5814,6.016
A4-CAR-GR-RB,mountainstreet,23,0,0,0,0,lead-in-too-steep,0,0,,,1.0415,5,5,0.713,0.8008,11.744
A4-CAR-GR-RB,mountainstreet,24,0,0,0,1,,2,1,1,0.3858,1.356,5,4,0.8011,0.4376,4.816
A4-CAR-GR-RB,mountainstreet,25,1,0,0,1,,2,1,1,0.0721,11.5962,2,1,0.9309,0.1735,3.28
A4-CAR-GR-RB,mountainstreet,26,0,0,0,1,,2,1,2,0.1248,1.4399,2,1,0.9466,1,18.848
A4-CAR-GR-RB,mountainstreet,27,0,0,0,0,lead-in-too-steep,0,0,,,6.7286,2,1,0.7502,0.4009,8.304
A4-CAR-GR-RB,mountainstreet,28,0,0,0,1,,2,1,2,0.296,5.0387,3,2,0.9823,0.4903,9.296
A4-CAR-GR-RB,mountainstreet,29,0,0,1,0,lead-in-too-steep,0,0,,,7.2416,3,3,0.5894,0.7896,15.952
A4-CAR-GR-RB,mountainstreet,30,1,0,0,1,,2,0,1,0.4603,1.5056,3,2,0.5068,0.5076,7.552
A4-CAR-GR-RB,mountainstreet,31,0,0,1,0,lead-in-too-steep,0,0,,,1.8934,4,3,0.6616,0.5363,7.744
A4-CAR-GR-RB,mountainstreet,32,0,0,0,0,lead-in-too-steep,0,0,,,5.4527,2,1,0.9564,0.3834,5.936
A4-CAR-GR-RB,mountainstreet,33,1,0,0,0,lead-in-too-steep,0,0,,,4.5754,3,2,0.9663,0.5601,12.208
A4-CAR-GR-RB,mountainstreet,34,0,0,0,0,lead-in-too-steep,0,0,,,1.9562,3,2,0.6921,0.9897,13.28
A4-CAR-GR-RB,mountainstreet,35,0,0,0,0,lead-in-too-steep,0,0,,,3.0603,4,4,0.7498,0.3395,7.04
A4-CAR-GR-RB,mountainstreet,36,0,0,1,1,,2,1,1,0.1639,2.2985,4,4,0.4666,0.8964,11.328
A4-CAR-GR-RB,mountainstreet,37,0,0,1,0,lead-in-too-steep,0,0,,,0.301,5,4,0.5486,1,21.216
A4-CAR-GR-RB,mountainstreet,38,0,0,0,0,lead-in-too-steep,0,0,,,4.6501,3,2,0.7193,0.3619,4.048
A4-CAR-GR-RB,mountainstreet,39,0,0,1,1,,2,0,1,0.2459,0.6825,4,5,0.4958,0.8898,11.504
A4-CAR-GR-RB,mountainstreet,40,0,1,0,0,lead-in-too-steep,0,0,,,6.9267,3,2,0.7963,0.1007,1.36
A4-CAR-GR-RB,mountainstreet,41,0,0,0,1,,2,1,1,0.0854,4.0871,3,2,0.8518,0.6096,6.656
A4-CAR-GR-RB,mountainstreet,42,0,0,0,0,lead-in-too-steep,0,0,,,5.698,3,2,0.6269,0.2918,6.24
A4-CAR-GR-RB,mountainstreet,43,0,0,1,0,lead-in-too-steep,0,0,,,2.0418,4,4,0.5726,0.8446,10.944
A4-CAR-GR-RB,mountainstreet,44,0,0,0,1,,2,0,1,0.1694,1.9517,3,2,0.7679,0.9512,10.208
