arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A4-CAR-GR-RB,searound,1,0,0,1,1,,2,0,1,0.1037,4.3354,4,4,0.5734,0.9287,30.64
A4-CAR-GR-RB,searound,2,0,0,0,0,lead-in-too-steep,0,0,,,4.1191,3,2,0.3864,0.6986,23.872
A4-CAR-GR-RB,searound,3,0,1,0,1,,2,1,2,0.1584,0.6506,2,1,0.7487,0.4768,12.096
A4-CAR-GR-RB,searound,4,0,0,0,1,,2,1,1,0.3342,1.4842,3,2,0.5039,0.9083,25.712
A4-CAR-GR-RB,searound,5,0,0,0,0,lead-in-too-steep,0,0,,,0.5539,3,2,0.5141,0.5277,11.552
A4-CAR-GR-RB,searound,6,1,0,0,0,lead-in-too-steep,0,0,,,6.3886,2,1,0.8624,0.2167,7.648
A4-CAR-GR-RB,searound,7,0,0,0,1,,2,1,1,0.1018,4.4574,2,1,0.6568,0.1926,6.352
A4-CAR-GR-RB,searound,8,0,0,0,1,,2,1,2,0.0784,6.5248,2,2,0.7344,0.2813,6.496
A4-CAR-GR-RB,searound,9,1,0,0,1,,2,1,1,0.0164,2.6917,3,2,0.7126,0.4418,14.288
A4-CAR-GR-RB,searound,10,0,0,0,1,,2,1,2,0.0047,5.8097,3,2,0.754,0.1766,5.648
A4-CAR-GR-RB,searound,11,0,0,0,0,lead-in-too-steep,0,0,,,2.3803,3,2,0.8174,0.3595,7.088
A4-CAR-GR-RB,searound,12,1,0,0,0,lead-in-too-steep,0,0,,,4.5612,3,2,0.5949,0.5225,18.224
A4-CAR-GR-RB,searound,13,0,1,1,0,lead-in-too-steep,0,0,,,4.017,4,3,0.4834,0.8157,27.856
A4-CAR-GR-RB,searound,14,0,0,1,0,lead-in-too-steep,0,0,,,3.5382,4,3,0.4682,0.7848,28.816
A4-CAR-GR-RB,searound,15,0,0,0,0,lead-in-too-steep,0,0,,,1.7364,2,1,0.7879,0.4402,14.576
A4-CAR-GR-RB,searound,16,0,0,0,0,lead-in-too-steep,0,0,,,3.0094,3,2,0.6156,0.9991,36
A4-CAR-GR-RB,searound,17,0,0,0,0,lead-in-too-steep,0,0,,,1.7537,5,4,0.6876,0.3904,9.472
A4-CAR-GR-RB,searound,18,1,0,0,0,lead-in-too-steep,0,0,,,7.0388,3,2,0.6909,0.3521,12.288
A4-CAR-GR-RB,searound,19,0,0,0,1,,2,1,1,0.3478,6.2692,3,2,0.5635,0.4389,9.664
A4-CAR-GR-RB,searound,20,0,0,0,0,lead-in-too-steep,0,0,,,10.2279,3,2,0.5409,0.6427,22.112
A4-CAR-GR-RB,searound,21,0,0,0,1,,2,0,1,0.1379,2.7226,4,4,0.8057,0.7926,16.592
A4-CAR-GR-RB,searound,22,0,0,1,1,,2,0,1,0.0415,0.9819,4,4,0.347,0.9151,26.832
A4-CAR-GR-RB,searound,23,0,0,0,0,lead-in-too-steep,0,0,,,0.6726,3,2,0.8218,0.4875,10.592
A4-CAR-GR-RB,searound,24,0,0,0,1,,2,1,1,0.296,6.5637,3,2,0.7853,0.5479,11.392
A4-CAR-GR-RB,searound,25,0,0,0,1,,2,1,1,0.1389,5.3549,2,1,0.5364,0.6068,21.616
A4-CAR-GR-RB,searound,26,0,0,1,0,lead-in-too-steep,0,0,,,3.1534,4,3,0.3207,0.9379,31.616
A4-CAR-GR-RB,searound,27,1,0,0,1,,2,1,1,0.3568,7.7185,2,1,0.7688,0.331,10.592
A4-CAR-GR-RB,searound,28,0,0,0,0,lead-in-too-steep,0,0,,,3.8453,3,2,0.6289,0.4998,13.36
A4-CAR-GR-RB,searound,29,0,0,0,1,,2,0,1,0.0172,2.3878,5,5,0.7332,1,31.344
A4-CAR-GR-RB,searound,30,1,0,0,0,lead-in-too-steep,0,0,,,2.8655,2,1,0.6713,0.4635,13.856
A4-CAR-GR-RB,searound,31,0,0,0,0,lead-in-too-steep,0,0,,,2.2365,1,0,1,0.3122,5.84
A4-CAR-GR-RB,searound,32,0,0,0,0,lead-in-too-steep,0,0,,,2.8612,3,2,0.6358,0.8183,22.8
A4-CAR-GR-RB,searound,33,0,0,1,0,lead-in-too-steep,0,0,,,3.3688,4,3,0.4644,0.8265,28.8
A4-CAR-GR-RB,searound,34,1,0,0,1,,2,2,,0.0009,13.8265,2,1,0.6173,0.3488,7.52
A4-CAR-GR-RB,searound,35,1,0,0,1,,2,1,1,0.006,5.342,3,2,0.4891,0.7316,23.056
A4-CAR-GR-RB,searound,36,0,0,0,0,lead-in-too-steep,0,0,,,1.1698,3,2,0.5957,0.6948,17.904
A4-CAR-GR-RB,searound,37,0,0,1,1,,2,0,1,0.021,3.3057,4,3,0.3606,0.7232,18.08
A4-CAR-GR-RB,searound,38,0,0,1,1,,2,0,1,0.0268,6.6683,4,4,0.4539,0.7676,24.88
A4-CAR-GR-RB,searound,39,0,0,0,1,,2,1,1,0.2071,3.7081,2,1,0.6418,0.0475,1.552
A4-CAR-GR-RB,searound,40,0,1,1,1,,2,1,2,0.0447,0.4612,5,4,0.5959,0.6599,15.536
A4-CAR-GR-RB,searound,41,0,0,0,1,,2,1,2,0.0872,3.153,3,4,0.7546,0.7065,15.008
A4-CAR-GR-RB,searound,42,0,0,0,0,lead-in-too-steep,0,0,,,0.7375,2,2,0.8333,1,36.832
A4-CAR-GR-RB,searound,43,0,0,1,0,lead-in-too-steep,0,0,,,2.4346,3,4,0.5771,1,36.384
A4-CAR-GR-RB,searound,44,0,0,1,0,lead-in-too-steep,0,0,,,1.3209,4,3,0.3881,0.9022,21.824
A4-CAR-GR-RB,searound,45,0,0,1,0,lead-in-too-steep,0,0,,,2.7075,4,3,0.4796,0.6984,17.12
A4-CAR-GR-RB,searound,46,0,0,0,0,lead-in-too-steep,0,0,,,7.3668,3,2,0.5809,0.5655,10.768
A4-CAR-GR-RB,searound,47,0,0,0,0,lead-in-too-steep,0,0,,,8.124,2,1,0.7954,0.2506,4.992
A4-CAR-GR-RB,searound,48,0,0,1,0,lead-in-too-steep,0,0,,,1.5267,4,3,0.6775,0.801,15.152
A4-CAR-GR-RB,searound,49,0,0,0,1,,2,1,2,0,0.7758,3,2,0.8327,0.579,13.104
A4-CAR-GR-RB,searound,50,0,0,0,1,,2,0,1,0,3.1104,4,3,0.4508,0.3838,6.416
A4-CAR-GR-RB,searound,51,0,0,0,1,,2,0,1,0.0191,3.8625,1,0,1,0.0776,2.448
A4-CAR-GR-RB,searound,52,0,0,0,0,lead-in-too-steep,0,0,,,6.6267,3,2,0.6205,0.7315,25.92
A4-CAR-GR-RB,searound,53,0,0,0,1,,2,0,1,0.1316,1.2295,1,0,1,0.1831,3.088
A4-CAR-GR-RB,searound,54,0,0,0,1,,2,1,2,0.3829,2.6857,2,2,0.5575,0.5214,6.96
A4-CAR-GR-RB,searound,55,0,0,0,1,,2,1,1,0.3501,8.4868,3,2,0.5748,0.4544,9.536
A4-CAR-GR-RB,searound,56,0,0,0,0,lead-in-too-steep,0,0,,,2.58,3,2,0.7063,0.5434,10.912
A4-CAR-GR-RB,searound,57,0,0,1,0,lead-in-too-steep,0,0,,,3.5559,3,3,0.4486,0.5602,19.184
