arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A5-CAR-G075-RB,dirt-oval,1,0,0,0,1,,2,1,2,0.2131,1.9582,3,3,0.5075,0.354,11.504
A5-CAR-G075-RB,dirt-oval,2,0,0,1,1,,2,0,1,0.0685,1.834,4,3,0.336,0.902,25.152
A5-CAR-G075-RB,dirt-oval,3,0,0,1,1,,2,0,1,0.113,5.0834,6,8,0.2878,0.868,36.272
A5-CAR-G075-RB,dirt-oval,4,0,0,0,1,,2,1,2,0.3574,2.309,2,3,0.5732,0.6777,19.568
A5-CAR-G075-RB,dirt-oval,5,0,0,0,1,,2,2,,0.2821,3.8343,3,2,0.5422,0.8257,34.704
A5-CAR-G075-RB,dirt-oval,6,0,0,0,1,,2,1,2,0.0251,1.313,4,3,0.814,0.4326,9.472
A5-CAR-G075-RB,dirt-oval,7,0,0,0,0,lead-in-too-steep,0,0,,,2.1958,3,2,0.8205,0.3496,9.056
A5-CAR-G075-RB,dirt-oval,8,0,0,1,1,,2,2,,0.0656,3.457,4,4,0.5175,0.8825,37.008
A5-CAR-G075-RB,dirt-oval,9,0,0,1,0,lead-in-too-steep,0,0,,,0.0461,7,14,0.5003,0.9688,30.768
A5-CAR-G075-RB,dirt-oval,10,0,0,1,1,,2,1,2,0.0943,2.8628,4,3,0.6613,0.5338,13.296
A5-CAR-G075-RB,dirt-oval,11,0,0,1,0,lead-in-too-steep,0,0,,,4.5999,4,4,0.5845,0.7565,32.992
A5-CAR-G075-RB,dirt-oval,12,0,0,1,1,,2,1,2,0.1049,2.7472,4,4,0.3517,0.7916,21.872
A5-CAR-G075-RB,dirt-oval,13,0,0,0,0,lead-in-too-steep,0,0,,,2.6673,3,2,0.6532,0.6861,25.024
A5-CAR-G075-RB,dirt-oval,14,0,0,1,0,lead-in-too-steep,0,0,,,1.5372,5,5,0.6166,0.7119,22.016
A5-CAR-G075-RB,dirt-oval,15,0,0,1,0,lead-in-too-steep,0,0,,,1.8118,3,3,0.4321,0.8929,21.648
A5-CAR-G075-RB,dirt-oval,16,0,0,1,1,,2,0,1,0.2177,2.2048,4,5,0.4012,0.8489,33.248
A5-CAR-G075-RB,dirt-oval,17,0,0,0,0,lead-in-too-steep,0,0,,,4.6779,3,2,0.7366,0.3886,10.64
A5-CAR-G075-RB,dirt-oval,18,0,0,1,1,,2,1,1,0.0872,2.8718,3,3,0.6517,0.9959,32.16
A5-CAR-G075-RB,dirt-oval,19,0,0,0,1,,2,1,2,0.0529,2.5577,3,2,0.3981,0.5821,14.784
A5-CAR-G075-RB,dirt-oval,20,0,0,0,1,,2,1,2,0.0684,5.4279,3,2,0.7524,0.2427,5.568
A5-CAR-G075-RB,dirt-oval,21,0,0,0,0,lead-in-too-steep,0,0,,,3.2036,3,2,0.6587,0.3675,15.76
A5-CAR-G075-RB,dirt-oval,22,0,0,0,1,,2,1,2,0,5.1942,3,2,0.4392,0.1974,8.224
A5-CAR-G075-RB,dirt-oval,23,0,0,1,1,,2,2,,0.0826,1.9266,4,3,0.6918,0.8396,19.12
A5-CAR-G075-RB,dirt-oval,24,0,0,0,1,,2,1,1,0.0939,2.3527,2,1,0.5236,0.94,34.64
A5-CAR-G075-RB,dirt-oval,25,0,0,0,1,,2,0,1,0.3028,3.3545,2,2,0.7054,0.8217,12.032
A5-CAR-G075-RB,dirt-oval,26,0,0,0,0,lead-in-too-steep,0,0,,,1.4995,3,3,0.7629,0.7153,24.96
