arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A5-CAR-G075-RB,luger-hill,1,0,0,1,0,lead-in-too-steep,0,0,,,2.7113,4,5,0.3909,1,21.552
A5-CAR-G075-RB,luger-hill,2,0,1,1,0,lead-in-too-steep,0,0,,,0.7397,4,3,0.475,1,20.8
A5-CAR-G075-RB,luger-hill,3,0,0,0,0,lead-in-too-steep,0,0,,,1.008,2,1,0.9201,0.5839,7.536
A5-CAR-G075-RB,luger-hill,4,0,0,0,1,,2,0,1,0.4312,2.3158,3,2,0.9228,0.4425,6.176
A5-CAR-G075-RB,luger-hill,5,0,0,0,0,lead-in-too-steep,0,0,,,1.7645,2,1,0.6825,1,20.848
A5-CAR-G075-RB,luger-hill,6,0,0,1,1,,2,1,2,0.1255,3.0017,4,3,0.6658,0.7748,15.008
A5-CAR-G075-RB,luger-hill,7,0,0,0,1,,2,0,1,0.055,1.1341,3,2,0.5023,0.9678,14.352
A5-CAR-G075-RB,luger-hill,8,0,0,1,1,,2,0,1,0.0046,0.8595,3,4,0.4967,1,19.568
A5-CAR-G075-RB,luger-hill,9,0,0,1,1,,2,0,1,0.0152,4.7845,5,4,0.4805,0.7772,14.944
A5-CAR-G075-RB,luger-hill,10,1,0,0,1,,2,0,1,0.4727,3.9458,4,3,0.8808,0.3167,6.192
A5-CAR-G075-RB,luger-hill,11,0,0,0,1,,2,1,2,0,1.7483,2,1,0.6158,0.7749,11.2
A5-CAR-G075-RB,luger-hill,12,0,0,1,0,lead-in-too-steep,0,0,,,1.7434,4,3,0.5798,1,20.736
A5-CAR-G075-RB,luger-hill,13,0,0,0,1,,2,0,1,0.1251,1.3225,3,2,0.8077,0.5189,6.016
A5-CAR-G075-RB,luger-hill,14,0,0,1,1,,2,1,2,0.3343,1.7195,4,3,0.4923,1,20.848
A5-CAR-G075-RB,luger-hill,15,0,0,1,0,lead-in-too-steep,0,0,,,1.3021,4,3,0.4058,1,21.12
A5-CAR-G075-RB,luger-hill,16,0,0,1,1,,2,0,1,0.4692,2.846,4,3,0.5275,0.8192,10.144
A5-CAR-G075-RB,luger-hill,17,0,0,0,0,lead-in-too-steep,0,0,,,1.9553,3,2,0.4985,1,21.392
A5-CAR-G075-RB,luger-hill,18,1,0,0,1,,2,1,2,0.0859,7.4723,2,1,0.9565,0.2433,4.64
A5-CAR-G075-RB,luger-hill,19,0,0,0,1,,2,0,1,0,1.3489,2,1,0.5893,1,19.344
A5-CAR-G075-RB,luger-hill,20,0,0,1,0,lead-in-too-steep,0,0,,,3.9332,4,3,0.5113,0.5861,12.4
A5-CAR-G075-RB,luger-hill,21,0,0,1,0,lead-in-too-steep,0,0,,,0.5154,4,3,0.4291,1,21.2
A5-CAR-G075-RB,luger-hill,22,0,0,0,1,,2,1,1,0.0735,1.2524,3,3,0.9223,1,20.576
A5-CAR-G075-RB,luger-hill,23,0,0,1,1,,2,1,2,0.318,0.6617,5,5,0.409,1,21.264
A5-CAR-G075-RB,luger-hill,24,0,0,0,1,,2,0,1,0.2934,4.3776,2,1,0.631,0.1597,3.28
A5-CAR-G075-RB,luger-hill,25,0,0,0,0,lead-in-too-steep,0,0,,,5.4274,3,2,0.5827,0.5318,10.832
A5-CAR-G075-RB,luger-hill,26,1,0,0,0,lead-in-too-steep,0,0,,,5.5535,3,2,0.761,0.3805,7.424
A5-CAR-G075-RB,luger-hill,27,0,0,1,0,lead-in-too-steep,0,0,,,0.7163,4,3,0.6396,1,21.872
A5-CAR-G075-RB,luger-hill,28,0,0,1,0,lead-in-too-steep,0,0,,,1.5818,5,6,0.3885,1,20.944
A5-CAR-G075-RB,luger-hill,29,0,0,0,1,,2,1,2,0.2966,1.4179,2,2,0.8261,0.5062,6.928
A5-CAR-G075-RB,luger-hill,30,0,0,1,1,,2,0,1,0.2092,2.0008,5,4,0.5053,1,21.264
A5-CAR-G075-RB,luger-hill,31,0,0,0,0,lead-in-too-steep,0,0,,,2.7743,3,2,0.4715,0.9453,13.968
A5-CAR-G075-RB,luger-hill,32,0,0,1,1,,2,0,1,0.2137,1.1482,4,5,0.4594,1,21.056
A5-CAR-G075-RB,luger-hill,33,1,0,0,0,lead-in-too-steep,0,0,,,4.3705,3,2,0.7914,0.4014,8.448
A5-CAR-G075-RB,luger-hill,34,0,0,0,1,,2,0,1,0.0073,1.7561,2,1,0.837,1,19.616
A5-CAR-G075-RB,luger-hill,35,0,0,1,1,,2,1,2,0.0763,1.6492,4,3,0.6539,0.8348,13.728
A5-CAR-G075-RB,luger-hill,36,0,0,0,1,,2,1,2,0.2957,2.4411,3,2,0.8849,0.5436,9.2
A5-CAR-G075-RB,luger-hill,37,1,0,0,0,lead-in-too-steep,0,0,,,6.7542,3,2,0.538,0.5586,5.728
A5-CAR-G075-RB,luger-hill,38,0,0,0,1,,2,1,1,0.0481,2.2553,3,2,0.4742,1,18.576
A5-CAR-G075-RB,luger-hill,39,0,0,1,1,,2,0,1,0.2662,0.4272,6,6,0.525,0.9515,9.632
A5-CAR-G075-RB,luger-hill,40,0,0,0,1,,2,1,1,0.0555,2.1677,3,2,0.4577,1,18.72
A5-CAR-G075-RB,luger-hill,41,0,0,0,0,lead-in-too-steep,0,0,,,1.1988,3,2,0.6988,1,20.912
A5-CAR-G075-RB,luger-hill,42,0,0,0,1,,2,1,2,0.091,1.804,2,1,0.8914,0.8872,13.296
