arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A5-CAR-G075-RB,mountainstreet,1,0,0,0,0,lead-in-too-steep,0,0,,,4.6584,5,6,0.754,0.34,7.04
A5-CAR-G075-RB,mountainstreet,2,0,0,0,0,lead-in-too-steep,0,0,,,5.496,3,2,0.4738,0.7752,16.32
A5-CAR-G075-RB,mountainstreet,3,0,0,1,0,lead-in-too-steep,0,0,,,1.3113,4,4,0.6392,1,22.16
A5-CAR-G075-RB,mountainstreet,4,0,0,0,1,,2,0,1,0.1195,1.2285,3,2,0.5355,1,18.928
A5-CAR-G075-RB,mountainstreet,5,0,0,0,0,lead-in-too-steep,0,0,,,5.0095,2,2,0.795,0.3904,7.904
A5-CAR-G075-RB,mountainstreet,6,0,0,0,1,,2,1,1,0.2248,5.6701,3,4,0.7007,0.4196,8.464
A5-CAR-G075-RB,mountainstreet,7,0,0,1,0,lead-in-too-steep,0,0,,,1.0403,6,5,0.6516,0.6397,9.04
A5-CAR-G075-RB,mountainstreet,8,1,0,0,1,,2,1,2,0.1,5.1829,2,1,0.8595,0.4256,8.08
A5-CAR-G075-RB,mountainstreet,9,0,0,1,0,lead-in-too-steep,0,0,,,2.0899,4,3,0.5885,0.6815,8.592
A5-CAR-G075-RB,mountainstreet,10,0,0,1,1,,2,0,1,0.3699,1.3976,4,4,0.5531,1,19.856
A5-CAR-G075-RB,mountainstreet,11,1,0,0,0,lead-in-too-steep,0,0,,,3.4487,2,1,0.7949,0.4822,10.592
A5-CAR-G075-RB,mountainstreet,12,0,0,0,1,,2,0,1,0.2499,1.9396,3,2,0.459,0.5545,7.2
A5-CAR-G075-RB,mountainstreet,13,1,0,0,1,,2,0,1,0.0302,8.0449,3,2,0.4811,0.3647,7.248
A5-CAR-G075-RB,mountainstreet,14,0,0,0,1,,2,1,1,0.0161,0.0696,2,2,0.6168,1,20.736
A5-CAR-G075-RB,mountainstreet,15,1,0,0,1,,2,0,1,0.2904,7.548,3,2,0.5008,0.1506,2.976
A5-CAR-G075-RB,mountainstreet,16,1,0,0,0,lead-in-too-steep,0,0,,,5.6694,2,1,0.7401,0.5898,12.912
A5-CAR-G075-RB,mountainstreet,17,0,0,0,1,,2,1,2,0.2152,4.2044,2,2,0.893,0.1588,2.4
A5-CAR-G075-RB,mountainstreet,18,1,0,0,1,,2,1,2,0.3247,14.8438,1,0,1,0.0667,1.264
A5-CAR-G075-RB,mountainstreet,19,0,0,1,0,lead-in-too-steep,0,0,,,3.0486,4,3,0.4399,0.7332,15.904
A5-CAR-G075-RB,mountainstreet,20,0,1,1,1,,2,2,,0.0134,3.7428,3,3,0.527,0.722,14.32
A5-CAR-G075-RB,mountainstreet,21,0,0,1,1,,2,0,1,0.0944,4.2038,4,4,0.47,0.944,18.592
A5-CAR-G075-RB,mountainstreet,22,0,0,0,1,,2,1,1,0.0132,1.4051,3,2,0.3828,0.6624,6.016
A5-CAR-G075-RB,mountainstreet,23,0,0,1,0,lead-in-too-steep,0,0,,,3.0857,4,4,0.4808,0.7506,5.472
A5-CAR-G075-RB,mountainstreet,24,0,0,0,1,,2,1,1,0.3928,1.4509,5,5,0.7784,0.4683,4.816
A5-CAR-G075-RB,mountainstreet,25,1,0,0,1,,2,1,1,0.0717,11.7514,2,1,0.9309,0.1735,3.28
A5-CAR-G075-RB,mountainstreet,26,0,0,0,1,,2,1,2,0.1242,4.1048,2,1,0.9469,0.6832,12.96
A5-CAR-G075-RB,mountainstreet,27,0,0,0,0,lead-in-too-steep,0,0,,,1.9294,3,2,0.7225,0.675,8.08
A5-CAR-G075-RB,mountainstreet,28,0,0,0,1,,2,1,2,0.2961,5.0286,3,2,0.9823,0.4912,9.312
A5-CAR-G075-RB,mountainstreet,29,0,0,1,0,lead-in-too-steep,0,0,,,4.2071,4,3,0.4394,0.837,17.232
A5-CAR-G075-RB,mountainstreet,30,0,0,1,1,,2,1,2,0.4501,4.0871,4,3,0.3931,0.6147,7.872
A5-CAR-G075-RB,mountainstreet,31,0,0,1,0,lead-in-too-steep,0,0,,,2.287,4,3,0.6307,0.5841,7.888
