arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A5-CAR-G075-RB,searound,1,0,0,1,1,,2,1,1,0.1029,5.9386,4,4,0.3788,0.8227,27.088
A5-CAR-G075-RB,searound,2,0,0,1,0,lead-in-too-steep,0,0,,,4.4158,4,3,0.4611,0.7238,24.784
A5-CAR-G075-RB,searound,3,0,0,0,1,,2,1,2,0.1276,5.0107,3,2,0.6001,0.4818,9.952
A5-CAR-G075-RB,searound,4,0,0,0,1,,2,1,1,0.3458,1.4991,3,2,0.5462,0.9429,26.992
A5-CAR-G075-RB,searound,5,0,0,1,0,lead-in-too-steep,0,0,,,1.4634,5,5,0.5451,0.6739,19.44
A5-CAR-G075-RB,searound,6,1,0,0,0,lead-in-too-steep,0,0,,,5.3179,2,1,0.8624,0.214,7.552
A5-CAR-G075-RB,searound,7,0,0,0,1,,2,1,1,0.0226,1.117,2,1,0.6664,0.4033,7.392
A5-CAR-G075-RB,searound,8,0,0,0,1,,2,1,2,0.0956,1.2584,3,2,0.7113,0.3914,7.28
A5-CAR-G075-RB,searound,9,0,0,1,1,,2,1,1,0.0152,1.9351,3,3,0.5251,0.7069,16.624
A5-CAR-G075-RB,searound,10,0,0,0,1,,2,1,2,0.0088,6.7711,3,2,0.6527,0.2382,7.36
A5-CAR-G075-RB,searound,11,0,0,0,0,lead-in-too-steep,0,0,,,0.4589,3,2,0.8222,0.4344,9.728
A5-CAR-G075-RB,searound,12,1,0,0,0,lead-in-too-steep,0,0,,,3.0571,3,2,0.676,0.4239,15.056
A5-CAR-G075-RB,searound,13,0,0,1,0,lead-in-too-steep,0,0,,,3.9977,4,3,0.5535,0.8173,28.096
A5-CAR-G075-RB,searound,14,0,0,1,0,lead-in-too-steep,0,0,,,2.7572,4,3,0.4338,0.8053,19.888
A5-CAR-G075-RB,searound,15,0,0,0,0,lead-in-too-steep,0,0,,,1.0782,4,3,0.7836,0.4847,15.648
A5-CAR-G075-RB,searound,16,0,0,0,0,lead-in-too-steep,0,0,,,2.6332,3,2,0.6661,1,36.736
A5-CAR-G075-RB,searound,17,0,0,0,0,lead-in-too-steep,0,0,,,5.4247,5,4,0.5956,0.373,9.488
A5-CAR-G075-RB,searound,18,1,0,0,0,lead-in-too-steep,0,0,,,5.6517,2,1,0.735,0.3441,12.096
A5-CAR-G075-RB,searound,19,0,0,0,1,,2,1,2,0.1593,5.3635,4,3,0.365,0.3546,5.936
A5-CAR-G075-RB,searound,20,0,0,0,0,lead-in-too-steep,0,0,,,6.3227,3,2,0.4822,0.5829,20.176
A5-CAR-G075-RB,searound,21,0,0,0,1,,2,0,1,0.173,6.3183,4,3,0.5652,0.4802,9.424
A5-CAR-G075-RB,searound,22,0,0,1,1,,2,0,1,0.1279,3.7225,4,3,0.2919,0.7765,23.296
A5-CAR-G075-RB,searound,23,0,0,0,0,lead-in-too-steep,0,0,,,2.7896,4,3,0.7508,0.5029,10.592
A5-CAR-G075-RB,searound,24,0,0,1,1,,2,1,1,0.3035,3.3167,4,5,0.4892,0.7083,15.088
A5-CAR-G075-RB,searound,25,0,0,1,1,,2,0,1,0.0488,3.6095,5,4,0.3084,0.5648,19.792
A5-CAR-G075-RB,searound,26,0,0,1,0,lead-in-too-steep,0,0,,,2.6984,4,3,0.3389,0.8308,23.792
A5-CAR-G075-RB,searound,27,1,0,0,1,,2,1,1,0.3414,12.665,2,1,0.7338,0.3197,10.224
A5-CAR-G075-RB,searound,28,0,0,1,0,lead-in-too-steep,0,0,,,2.3908,4,4,0.3333,0.7179,20.272
A5-CAR-G075-RB,searound,29,0,0,1,1,,2,0,1,0,1.5079,4,3,0.5753,1,31.664
A5-CAR-G075-RB,searound,30,0,0,0,0,lead-in-too-steep,0,0,,,1.1161,3,2,0.6879,0.7575,14.72
A5-CAR-G075-RB,searound,31,0,0,0,0,lead-in-too-steep,0,0,,,1.1237,2,1,0.9832,0.35,7.344
A5-CAR-G075-RB,searound,32,0,0,0,0,lead-in-too-steep,0,0,,,1.7038,3,2,0.5026,0.8752,25.904
A5-CAR-G075-RB,searound,33,0,0,1,0,lead-in-too-steep,0,0,,,2.2958,4,3,0.647,1,35.472
A5-CAR-G075-RB,searound,34,1,0,0,1,,2,2,,0.0002,14.1502,2,1,0.6169,0.3574,7.584
A5-CAR-G075-RB,searound,35,0,0,0,1,,2,1,2,0.0524,5.9606,3,2,0.4451,0.8225,26.448
A5-CAR-G075-RB,searound,36,0,0,1,0,lead-in-too-steep,0,0,,,3.4631,5,4,0.6729,0.809,28.592
A5-CAR-G075-RB,searound,37,0,0,1,1,,2,0,1,0.0544,4.2406,4,4,0.3711,0.6078,15.648
A5-CAR-G075-RB,searound,38,0,0,1,1,,2,1,1,0.0264,7.9382,4,3,0.4677,0.818,26.736
A5-CAR-G075-RB,searound,39,1,0,0,1,,2,1,1,0.1931,5.4049,2,1,0.5209,0.0772,2.496
A5-CAR-G075-RB,searound,40,0,0,1,1,,2,0,1,0.0502,1.1061,4,3,0.5075,0.5321,13.84
A5-CAR-G075-RB,searound,41,0,0,1,1,,2,1,2,0.0917,2.0541,3,3,0.6492,0.7933,18.24
A5-CAR-G075-RB,searound,42,0,0,1,0,lead-in-too-steep,0,0,,,1.9583,4,4,0.5929,1,37.088
A5-CAR-G075-RB,searound,43,0,0,1,0,lead-in-too-steep,0,0,,,1.876,4,3,0.5802,1,36.912
A5-CAR-G075-RB,searound,44,0,0,1,0,lead-in-too-steep,0,0,,,1.8835,5,6,0.4308,1,36.416
A5-CAR-G075-RB,searound,45,0,0,1,0,lead-in-too-steep,0,0,,,3.9782,4,3,0.4797,0.5773,13.104
A5-CAR-G075-RB,searound,46,0,0,0,0,lead-in-too-steep,0,0,,,6.4286,3,3,0.5633,0.4353,8.112
A5-CAR-G075-RB,searound,47,1,0,0,0,lead-in-too-steep,0,0,,,5.5639,2,1,0.7709,0.3164,7.424
A5-CAR-G075-RB,searound,48,0,0,1,0,lead-in-too-steep,0,0,,,6.4668,4,3,0.4757,0.5758,15.328
A5-CAR-G075-RB,searound,49,0,0,0,1,,2,1,2,0,1.0175,4,3,0.84,0.5883,13.104
A5-CAR-G075-RB,searound,50,0,0,0,1,,2,0,1,0,5.4053,4,3,0.4976,0.2813,6.544
A5-CAR-G075-RB,searound,51,0,0,0,1,,2,0,1,0.0253,1.5731,3,2,0.6175,0.7814,22.688
A5-CAR-G075-RB,searound,52,0,0,1,0,lead-in-too-steep,0,0,,,2.6745,5,4,0.3947,0.912,17.376
A5-CAR-G075-RB,searound,53,0,0,0,1,,2,1,2,0.0448,0.9189,3,2,0.5201,0.2689,6.32
A5-CAR-G075-RB,searound,54,0,0,0,1,,2,1,2,0.2612,2.0369,3,2,0.468,0.6863,8.592
A5-CAR-G075-RB,searound,55,0,0,0,1,,2,1,1,0.4151,10.458,3,2,0.5779,0.4696,9.536
A5-CAR-G075-RB,searound,56,0,0,0,0,lead-in-too-steep,0,0,,,1.9143,3,2,0.7238,0.5183,10.224
A5-CAR-G075-RB,searound,57,0,0,1,0,lead-in-too-steep,0,0,,,0.6853,4,3,0.6902,0.6427,14.656
A5-CAR-G075-RB,searound,58,0,0,1,1,,2,0,1,0.3518,1.8005,4,5,0.3145,0.7225,20.096
A5-CAR-G075-RB,searound,59,0,0,0,1,,2,1,1,0.1537,7.5534,2,1,0.6853,0.1542,4.672
A5-CAR-G075-RB,searound,60,0,0,0,0,lead-in-too-steep,0,0,,,5.3012,2,1,0.5165,0.8729,30.08
A5-CAR-G075-RB,searound,61,1,0,0,1,,2,1,1,0.2069,7.8756,2,1,0.5754,0.1315,4.336
A5-CAR-G075-RB,searound,62,0,0,0,1,,2,1,1,0.256,3.2391,3,3,0.359,0.4694,6.736
A5-CAR-G075-RB,searound,63,0,0,0,1,,2,0,1,0.081,7.6206,3,4,0.5005,0.4725,9.408
A5-CAR-G075-RB,searound,64,0,0,0,0,lead-in-too-steep,0,0,,,6.7808,3,2,0.404,0.3015,9.024
A5-CAR-G075-RB,searound,65,0,0,1,1,,2,1,1,0.2079,5.7242,4,3,0.598,0.6527,12.912
A5-CAR-G075-RB,searound,66,0,0,1,1,,2,0,1,0.0976,1.4177,4,5,0.4288,0.5751,8.608
A5-CAR-G075-RB,searound,67,1,0,1,0,lead-in-too-steep,0,0,,,7.962,3,3,0.6479,0.6361,22.528
A5-CAR-G075-RB,searound,68,0,0,0,0,lead-in-too-steep,0,0,,,4.2484,3,2,0.4246,0.8092,14.752
A5-CAR-G075-RB,searound,69,0,0,1,0,lead-in-too-steep,0,0,,,1.7748,4,3,0.5042,0.7715,19.104
A5-CAR-G075-RB,searound,70,0,0,0,0,lead-in-too-steep,0,0,,,0.7966,4,3,0.8503,0.9254,20.096
A5-CAR-G075-RB,searound,71,0,0,1,1,,2,1,2,0.3583,0.6267,4,3,0.5262,0.9433,24.272
A5-CAR-G075-RB,searound,72,0,0,0,0,lead-in-too-steep,0,0,,,5.0385,3,2,0.9363,0.0574,2.016
A5-CAR-G075-RB,searound,73,0,0,1,1,,2,0,1,0.0548,5.5701,5,4,0.3233,0.9015,28.672
A5-CAR-G075-RB,searound,74,0,0,1,0,lead-in-too-steep,0,0,,,1.4371,5,6,0.3577,1,36.128
A5-CAR-G075-RB,searound,75,1,0,0,0,lead-in-too-steep,0,0,,,9.6536,2,1,0.9417,0.0823,2.832
A5-CAR-G075-RB,searound,76,0,0,0,0,lead-in-too-steep,0,0,,,1.1923,3,2,0.7228,0.3393,8.032
A5-CAR-G075-RB,searound,77,0,0,1,1,,2,0,1,0.4133,4.6491,5,4,0.3031,0.7513,17.04
A5-CAR-G075-RB,searound,78,0,0,0,0,lead-in-too-steep,0,0,,,0.837,2,1,0.7256,0.8292,18.16
A5-CAR-G075-RB,searound,79,0,0,1,1,,2,1,1,0.206,1.5701,4,3,0.5014,0.8488,17.152
A5-CAR-G075-RB,searound,80,0,0,0,0,lead-in-too-steep,0,0,,,4.989,2,1,0.7444,0.8293,29.056
A5-CAR-G075-RB,searound,81,0,0,0,1,,2,0,1,0.3056,2.9599,2,2,0.5884,0.0691,2.448
A5-CAR-G075-RB,searound,82,0,0,0,1,,2,1,2,0.2278,1.6993,2,1,0.8756,0.939,20.08
A5-CAR-G075-RB,searound,83,1,0,0,1,,2,1,1,0.0258,6.685,2,1,0.7265,0.3557,11.616
A5-CAR-G075-RB,searound,84,0,0,1,1,,2,0,1,0.0761,3.1565,6,7,0.5352,0.8232,14.528
