arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A6-CTL-w62,dirt-oval,1,1,0,0,0,,0,0,,,6.518,1,0,1,0.0927,4.096
A6-CTL-w62,dirt-oval,2,0,0,1,0,,0,0,,,1.2799,4,3,0.4788,0.9821,42.4
A6-CTL-w62,dirt-oval,3,0,0,1,0,,0,0,,,5.3364,4,4,0.5214,0.7857,34.944
A6-CTL-w62,dirt-oval,4,0,0,0,0,,0,0,,,2.8003,3,2,0.5659,0.7115,24.992
A6-CTL-w62,dirt-oval,5,0,0,1,0,,0,0,,,5.467,4,4,0.4009,0.729,32.128
A6-CTL-w62,dirt-oval,6,0,0,0,0,,0,0,,,0.7935,3,2,0.8636,0.4833,11.232
A6-CTL-w62,dirt-oval,7,1,0,0,0,,0,0,,,4.7062,2,1,0.8839,0.1969,8.608
A6-CTL-w62,dirt-oval,8,0,0,1,0,,0,0,,,1.19,3,3,0.4264,1,44.976
A6-CTL-w62,dirt-oval,9,0,0,1,0,,0,0,,,1.7642,4,7,0.5306,1,46.064
A6-CTL-w62,dirt-oval,10,0,0,1,0,,0,0,,,1.802,3,3,0.6674,0.8508,22.352
A6-CTL-w62,dirt-oval,11,0,0,1,0,,0,0,,,4.7127,3,4,0.4589,0.7132,17.52
A6-CTL-w62,dirt-oval,12,0,0,0,0,,0,0,,,2.3184,2,1,0.5207,1,44.352
A6-CTL-w62,dirt-oval,13,1,0,0,0,,0,0,,,10.8752,1,0,1,0.1412,6.032
A6-CTL-w62,dirt-oval,14,0,0,1,0,,0,0,,,3.7897,5,5,0.5978,0.6437,26.368
A6-CTL-w62,dirt-oval,15,0,0,1,0,,0,0,,,1.0815,3,3,0.5024,1,44.064
A6-CTL-w62,dirt-oval,16,0,0,0,0,,0,0,,,0.9657,3,3,0.7195,1,43.216
A6-CTL-w62,dirt-oval,17,1,0,0,0,,0,0,,,7.6806,2,1,0.7874,0.2999,12.848
A6-CTL-w62,dirt-oval,18,0,0,0,0,,0,0,,,1.0266,4,3,0.8195,0.3922,10.576
A6-CTL-w62,dirt-oval,19,0,0,1,0,,0,0,,,0.9306,4,4,0.5265,0.8868,28.992
A6-CTL-w62,dirt-oval,20,0,0,0,0,,0,0,,,5.6389,3,2,0.5909,0.6004,26.352
A6-CTL-w62,dirt-oval,21,0,0,0,0,,0,0,,,4.4082,2,1,0.6267,0.5051,12.768
A6-CTL-w62,dirt-oval,22,0,0,0,0,,0,0,,,1.0966,2,1,0.7429,0.7885,24.336
A6-CTL-w62,dirt-oval,23,0,0,1,0,,0,0,,,6.3691,4,3,0.3181,0.6552,27.072
A6-CTL-w62,dirt-oval,24,0,0,0,0,,0,0,,,1.3387,3,2,0.7534,0.5857,17.952
A6-CTL-w62,dirt-oval,25,1,0,0,0,,0,0,,,3.1514,3,2,0.7282,0.5189,21.76
A6-CTL-w62,dirt-oval,26,1,0,0,0,,0,0,,,10.0633,2,1,0.973,0.1728,7.248
A6-CTL-w62,dirt-oval,27,0,0,0,0,,0,0,,,5.0245,3,2,0.6453,0.5693,24.096
A6-CTL-w62,dirt-oval,28,0,0,1,0,,0,0,,,1.338,4,5,0.6337,1,45.232
A6-CTL-w62,dirt-oval,29,0,1,0,0,,0,0,,,9.0715,1,0,1,0.176,7.712
A6-CTL-w62,dirt-oval,30,1,0,0,0,,0,0,,,10.9695,3,2,0.7704,0.4143,17.648
A6-CTL-w62,dirt-oval,31,1,0,0,0,,0,0,,,9.5517,2,1,0.9663,0.4656,20.128
A6-CTL-w62,dirt-oval,32,0,0,0,0,,0,0,,,1.3313,3,2,0.3784,0.5598,16.736
A6-CTL-w62,dirt-oval,33,1,0,0,0,,0,0,,,9.4163,2,1,0.9195,0.2096,8.608
A6-CTL-w62,dirt-oval,34,0,0,1,0,,0,0,,,1.3927,4,4,0.6985,0.7899,17.328
A6-CTL-w62,dirt-oval,35,1,0,0,0,,0,0,,,6.3813,2,1,0.5985,0.7087,24.528
A6-CTL-w62,dirt-oval,36,0,0,0,0,,0,0,,,7.1805,2,1,0.9032,0.619,26.992
A6-CTL-w62,dirt-oval,37,0,0,0,0,,0,0,,,3.6255,2,1,0.9338,0.4482,9.36
A6-CTL-w62,dirt-oval,38,0,0,1,0,,0,0,,,2.7637,4,3,0.5393,0.6444,18.016
A6-CTL-w62,dirt-oval,39,0,0,0,0,,0,0,,,4.6069,3,3,0.8208,0.7343,31.776
A6-CTL-w62,dirt-oval,40,0,0,1,0,,0,0,,,0.5079,5,10,0.2789,1,45.472
A6-CTL-w62,dirt-oval,41,1,0,0,0,,0,0,,,6.4725,2,1,0.9156,0.4017,17.792
A6-CTL-w62,dirt-oval,42,0,0,0,0,,0,0,,,1.0609,3,2,0.8991,1,44.368
A6-CTL-w62,dirt-oval,43,0,0,0,0,,0,0,,,1.4962,2,1,0.7191,1,43.792
A6-CTL-w62,dirt-oval,44,0,0,0,0,,0,0,,,1.9958,2,1,0.9158,0.8497,23.696
A6-CTL-w62,dirt-oval,45,0,0,0,0,,0,0,,,3.9246,1,0,1,0.0942,3.872
A6-CTL-w62,dirt-oval,46,0,0,0,0,,0,0,,,3.3765,2,1,0.5034,0.8235,27.008
A6-CTL-w62,dirt-oval,47,0,0,0,0,,0,0,,,3.9526,3,2,0.5108,0.7392,13.456
A6-CTL-w62,dirt-oval,48,0,1,0,0,,0,0,,,3.6655,3,3,0.805,0.2548,10.688
A6-CTL-w62,dirt-oval,49,0,0,0,0,,0,0,,,1.4919,3,2,0.8896,1,45.504
