arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A6-CTL-w62,luger-hill,1,0,0,1,0,,0,0,,,1.4963,4,3,0.5319,1,22.064
A6-CTL-w62,luger-hill,2,0,0,0,0,,0,0,,,2.2952,2,1,0.5949,1,21.152
A6-CTL-w62,luger-hill,3,1,0,0,0,,0,0,,,2.5086,1,0,1,0.3131,5.184
A6-CTL-w62,luger-hill,4,0,0,0,0,,0,0,,,6.4618,3,3,0.8283,0.5004,10.24
A6-CTL-w62,luger-hill,5,0,0,0,0,,0,0,,,3.6379,3,2,0.5107,0.4407,8.848
A6-CTL-w62,luger-hill,6,0,0,0,0,,0,0,,,3.314,2,1,0.9807,0.6983,14.464
A6-CTL-w62,luger-hill,7,0,0,1,0,,0,0,,,1.6176,4,3,0.6713,1,20.768
A6-CTL-w62,luger-hill,8,1,0,0,0,,0,0,,,5.5566,3,2,0.7826,0.3623,7.264
A6-CTL-w62,luger-hill,9,0,0,1,0,,0,0,,,3.1113,5,5,0.3663,0.9884,20.448
A6-CTL-w62,luger-hill,10,1,0,0,0,,0,0,,,9.2411,2,1,0.8705,0.3011,5.712
A6-CTL-w62,luger-hill,11,0,0,0,0,,0,0,,,3.0597,2,1,0.9229,0.8774,9.968
A6-CTL-w62,luger-hill,12,0,0,0,0,,0,0,,,3.9148,3,2,0.8251,0.664,13.168
A6-CTL-w62,luger-hill,13,0,0,0,0,,0,0,,,1.1987,2,1,0.9396,1,21.168
A6-CTL-w62,luger-hill,14,0,0,1,0,,0,0,,,1.1299,4,3,0.4285,1,21.68
A6-CTL-w62,luger-hill,15,0,0,0,0,,0,0,,,0.5225,3,2,0.6816,1,21.44
A6-CTL-w62,luger-hill,16,1,0,0,0,,0,0,,,6.6127,2,1,0.7716,0.3688,7.424
A6-CTL-w62,luger-hill,17,0,0,0,0,,0,0,,,2.7506,3,2,0.5648,1,21.456
A6-CTL-w62,luger-hill,18,0,0,0,0,,0,0,,,3.2755,3,2,0.6227,0.9119,20.016
A6-CTL-w62,luger-hill,19,0,0,0,0,,0,0,,,2.855,6,6,0.7329,1,20.768
A6-CTL-w62,luger-hill,20,0,0,0,0,,0,0,,,0.8161,3,2,0.5586,1,21.552
A6-CTL-w62,luger-hill,21,0,0,0,0,,0,0,,,2.7328,1,0,1,0.7784,13.296
