arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A6-CTL-w62,mountainstreet,1,1,0,0,0,,0,0,,,5.3478,5,4,0.69,0.3737,7.68
A6-CTL-w62,mountainstreet,2,0,0,0,0,,0,0,,,5.4739,3,2,0.5158,0.8238,17.488
A6-CTL-w62,mountainstreet,3,0,1,1,0,,0,0,,,5.7415,5,4,0.3699,0.7104,15.408
A6-CTL-w62,mountainstreet,4,0,0,0,0,,0,0,,,1.8161,3,3,0.7756,1,19.52
A6-CTL-w62,mountainstreet,5,0,0,1,0,,0,0,,,1.3787,3,4,0.4801,0.9922,13.44
A6-CTL-w62,mountainstreet,6,1,0,0,0,,0,0,,,1.8314,3,2,0.6992,0.4961,8.064
A6-CTL-w62,mountainstreet,7,1,0,0,0,,0,0,,,1.856,5,4,0.7306,0.5621,9.04
A6-CTL-w62,mountainstreet,8,0,0,0,0,,0,0,,,1.4167,3,2,0.59,1,19.888
A6-CTL-w62,mountainstreet,9,0,0,0,0,,0,0,,,4.7608,4,3,0.7002,0.3811,7.856
A6-CTL-w62,mountainstreet,10,0,0,0,0,,0,0,,,0.7831,3,2,0.491,0.9079,15.536
A6-CTL-w62,mountainstreet,11,1,0,0,0,,0,0,,,8.2961,2,1,0.7875,0.4996,10.592
A6-CTL-w62,mountainstreet,12,0,0,0,0,,0,0,,,2.7897,2,1,0.636,0.3233,5.072
A6-CTL-w62,mountainstreet,13,0,0,0,0,,0,0,,,2.7358,3,2,0.5722,1,20.368
A6-CTL-w62,mountainstreet,14,1,0,0,0,,0,0,,,10.4141,3,2,0.8471,0.301,6
A6-CTL-w62,mountainstreet,15,0,0,1,0,,0,0,,,1.7127,4,3,0.3597,0.9384,16.368
A6-CTL-w62,mountainstreet,16,0,0,0,0,,0,0,,,4.1202,3,2,0.463,0.9092,19.84
A6-CTL-w62,mountainstreet,17,0,0,1,0,,0,0,,,1.2815,4,3,0.6667,0.9836,15.2
A6-CTL-w62,mountainstreet,18,0,0,1,0,,0,0,,,1.2649,6,5,0.5118,1,21.616
A6-CTL-w62,mountainstreet,19,0,0,1,0,,0,0,,,0.6918,6,6,0.4291,1,22.096
A6-CTL-w62,mountainstreet,20,0,0,0,0,,0,0,,,3.2626,2,1,0.9267,0.5066,5.392
A6-CTL-w62,mountainstreet,21,0,0,0,0,,0,0,,,5.456,3,3,0.7347,0.7438,15.728
A6-CTL-w62,mountainstreet,22,0,0,1,0,,0,0,,,2.6431,4,4,0.4431,1,19.664
A6-CTL-w62,mountainstreet,23,0,0,0,0,,0,0,,,3.8036,3,2,0.9173,0.2443,4.992
A6-CTL-w62,mountainstreet,24,0,0,0,0,,0,0,,,3.6533,1,0,1,0.8879,10.176
A6-CTL-w62,mountainstreet,25,0,0,1,0,,0,0,,,1.1991,3,3,0.5361,0.7568,9.712
A6-CTL-w62,mountainstreet,26,0,0,0,0,,0,0,,,0.6857,3,3,0.7867,0.9609,14.736
A6-CTL-w62,mountainstreet,27,1,0,0,0,,0,0,,,7.1664,1,0,1,0.4718,7.984
A6-CTL-w62,mountainstreet,28,0,0,0,0,,0,0,,,2.5792,3,2,0.6914,0.4992,8.832
A6-CTL-w62,mountainstreet,29,0,0,1,0,,0,0,,,6.5794,3,3,0.5883,0.8036,16.224
A6-CTL-w62,mountainstreet,30,0,0,1,0,,0,0,,,1.2046,6,6,0.4235,1,22.16
A6-CTL-w62,mountainstreet,31,0,0,1,0,,0,0,,,1.1176,4,3,0.6956,0.5926,6.864
A6-CTL-w62,mountainstreet,32,1,0,0,0,,0,0,,,9.9188,2,1,0.9564,0.3002,5.936
A6-CTL-w62,mountainstreet,33,0,0,1,0,,0,0,,,7.1842,4,5,0.6237,0.5822,12.336
A6-CTL-w62,mountainstreet,34,0,0,0,0,,0,0,,,1.3567,3,3,0.8173,0.966,7.088
A6-CTL-w62,mountainstreet,35,0,0,0,0,,0,0,,,4.7585,4,4,0.6105,0.3408,7.04
A6-CTL-w62,mountainstreet,36,0,0,1,0,,0,0,,,1.4236,5,7,0.4522,1,21.392
A6-CTL-w62,mountainstreet,37,0,0,0,0,,0,0,,,1.1993,2,1,0.8082,0.8987,9.712
A6-CTL-w62,mountainstreet,38,1,0,0,0,,0,0,,,10.3735,2,1,0.8983,0.1801,3.696
