arm,track,seed,runaway,parade,contest,cast,reason,authored,completed,tearAt,sat,span13,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec
A6-CTL-w62,searound,1,1,0,0,0,,0,0,,,10.1075,2,1,0.85,0.2431,7.92
A6-CTL-w62,searound,2,0,0,0,0,,0,0,,,3.642,3,2,0.4297,0.8832,30.512
A6-CTL-w62,searound,3,0,0,0,0,,0,0,,,3.1007,3,2,0.4647,0.3845,12.48
A6-CTL-w62,searound,4,1,0,0,0,,0,0,,,3.8314,2,1,0.6883,0.2964,6.8
A6-CTL-w62,searound,5,0,0,1,0,,0,0,,,1.5779,3,3,0.6225,0.5407,11.568
A6-CTL-w62,searound,6,1,0,0,0,,0,0,,,14.2865,2,1,0.8551,0.2283,7.648
A6-CTL-w62,searound,7,0,0,0,0,,0,0,,,1.4981,2,1,0.923,0.4536,13.296
A6-CTL-w62,searound,8,1,0,0,0,,0,0,,,5.8085,3,2,0.7155,0.3707,12.368
A6-CTL-w62,searound,9,0,0,1,0,,0,0,,,2.1058,4,3,0.462,0.983,34.72
A6-CTL-w62,searound,10,0,0,0,0,,0,0,,,1.7314,2,2,0.7489,0.5255,9.76
A6-CTL-w62,searound,11,0,0,0,0,,0,0,,,4.9441,3,2,0.8114,0.2033,7.088
A6-CTL-w62,searound,12,1,0,0,0,,0,0,,,10.7361,3,2,0.5772,0.5452,18.224
A6-CTL-w62,searound,13,0,0,0,0,,0,0,,,4.5028,3,2,0.5524,0.6773,22.864
A6-CTL-w62,searound,14,0,0,1,0,,0,0,,,2.8169,4,3,0.4111,0.8515,31.536
A6-CTL-w62,searound,15,1,0,0,0,,0,0,,,17.0116,2,1,0.7092,0.0451,1.472
A6-CTL-w62,searound,16,0,0,0,0,,0,0,,,1.8121,1,0,1,0.355,7.744
A6-CTL-w62,searound,17,1,0,0,0,,0,0,,,12.3717,4,3,0.7481,0.3233,10.992
A6-CTL-w62,searound,18,1,0,0,0,,0,0,,,12.6573,3,2,0.5665,0.5383,18.32
A6-CTL-w62,searound,19,0,0,0,0,,0,0,,,9.9135,2,1,0.8037,0.2608,8.784
A6-CTL-w62,searound,20,1,0,0,0,,0,0,,,8.0538,2,1,0.5301,0.5995,20.704
A6-CTL-w62,searound,21,0,0,0,0,,0,0,,,5.4471,4,3,0.7389,0.3699,12.224
A6-CTL-w62,searound,22,0,0,1,0,,0,0,,,1.4265,3,3,0.6097,0.7558,15.056
A6-CTL-w62,searound,23,0,0,0,0,,0,0,,,3.1973,3,2,0.8195,0.2934,10.592
A6-CTL-w62,searound,24,0,0,0,0,,0,0,,,1.0068,2,1,0.6467,1,36.08
A6-CTL-w62,searound,25,0,0,0,0,,0,0,,,3.5585,2,1,0.5423,0.8373,22.608
A6-CTL-w62,searound,26,0,0,1,0,,0,0,,,2.5225,4,3,0.3364,0.8287,23.616
A6-CTL-w62,searound,27,0,0,0,0,,0,0,,,5.5019,2,1,0.7663,0.4132,10.432
A6-CTL-w62,searound,28,0,0,0,0,,0,0,,,1.306,3,2,0.5669,0.8188,29.632
A6-CTL-w62,searound,29,0,0,1,0,,0,0,,,1.279,4,4,0.5307,1,32.816
A6-CTL-w62,searound,30,1,0,0,0,,0,0,,,10.945,2,1,0.6534,0.4126,13.888
A6-CTL-w62,searound,31,1,0,0,0,,0,0,,,12.7244,1,0,1,0.0654,2.16
A6-CTL-w62,searound,32,0,0,0,0,,0,0,,,2.2822,3,2,0.6041,0.8431,24.64
A6-CTL-w62,searound,33,0,0,1,0,,0,0,,,1.804,4,3,0.5615,1,34.688
A6-CTL-w62,searound,34,1,0,0,0,,0,0,,,5.0297,2,1,0.6951,0.4079,13.664
A6-CTL-w62,searound,35,0,0,1,0,,0,0,,,1.1883,3,3,0.594,1,32.416
A6-CTL-w62,searound,36,0,1,0,0,,0,0,,,6.7771,2,1,0.6616,0.4072,14.192
A6-CTL-w62,searound,37,0,0,0,0,,0,0,,,2.8345,2,1,0.6424,0.5263,15.376
A6-CTL-w62,searound,38,0,0,0,0,,0,0,,,4.2036,2,1,0.8194,0.7077,24
A6-CTL-w62,searound,39,0,0,1,0,,0,0,,,0.9652,4,3,0.6177,0.6574,23.536
A6-CTL-w62,searound,40,1,0,0,0,,0,0,,,7.2484,3,2,0.8077,0.286,9.456
A6-CTL-w62,searound,41,0,0,1,0,,0,0,,,2.398,3,3,0.381,1,36.016
A6-CTL-w62,searound,42,0,0,0,0,,0,0,,,0.8131,2,2,0.8286,1,36.848
A6-CTL-w62,searound,43,0,0,1,0,,0,0,,,3.816,4,4,0.5032,0.9081,32.24
A6-CTL-w62,searound,44,0,0,1,0,,0,0,,,1.0047,4,3,0.4021,0.8769,22.112
A6-CTL-w62,searound,45,0,0,0,0,,0,0,,,1.8937,3,2,0.4017,1,33.6
A6-CTL-w62,searound,46,0,0,0,0,,0,0,,,7.6688,3,2,0.6477,0.2615,9.104
A6-CTL-w62,searound,47,1,0,0,0,,0,0,,,12.3413,2,1,0.7165,0.3729,12.592
A6-CTL-w62,searound,48,0,0,0,0,,0,0,,,0.8102,3,2,0.7628,0.7714,15.152
A6-CTL-w62,searound,49,0,0,1,0,,0,0,,,0.9385,3,3,0.5959,1,34.784
A6-CTL-w62,searound,50,0,0,0,0,,0,0,,,1.3611,3,2,0.7784,0.8739,19.488
A6-CTL-w62,searound,51,0,0,0,0,,0,0,,,1.5405,3,2,0.8465,0.7634,17.488
A6-CTL-w62,searound,52,1,0,0,0,,0,0,,,7.5409,3,2,0.481,0.4801,15.056
A6-CTL-w62,searound,53,1,0,0,0,,0,0,,,5.6655,2,1,0.8908,0.3039,10.224
A6-CTL-w62,searound,54,0,0,0,0,,0,0,,,6.6671,2,1,0.7985,0.38,12.656
A6-CTL-w62,searound,55,1,0,0,0,,0,0,,,11.5992,3,2,0.5831,0.5058,17.472
A6-CTL-w62,searound,56,0,0,0,0,,0,0,,,5.9385,3,2,0.4432,0.3231,10.912
A6-CTL-w62,searound,57,1,0,0,0,,0,0,,,4.6599,3,2,0.7731,0.2117,5.52
A6-CTL-w62,searound,58,0,0,1,0,,0,0,,,0.2483,3,4,0.6132,1,34.976
A6-CTL-w62,searound,59,0,0,0,0,,0,0,,,6.0438,3,2,0.5405,0.4127,13.568
A6-CTL-w62,searound,60,0,0,0,0,,0,0,,,7.2131,3,2,0.4981,0.6832,23.376
A6-CTL-w62,searound,61,0,0,0,0,,0,0,,,5.8167,2,1,0.7048,0.3298,7.936
A6-CTL-w62,searound,62,0,0,0,0,,0,0,,,3.9534,3,2,0.5599,0.5741,20.624
A6-CTL-w62,searound,63,1,0,0,0,,0,0,,,12.4077,2,1,0.7647,0.35,11.312
