arm,track,type,n,runaway,runawayRate,paradeRate,within3Med,b1,b2,holmUnfair,top5Action,gapWindowRolls,gapBiasedRolls,gapLeaderDutyCycle
V0,dirt-oval,closed,200,46,0.23,0.02,2,0.775,0.76,false,40.565,0,0,0
V0,river-run,open,200,35,0.175,0.01,2,0.77,0.7305,false,32.87,0,0,0
V0,space-sprint,open,200,37,0.185,0.015,2,0.767,0.7385,false,36.31,0,0,0
V0,garden-path,closed,200,49,0.245,0.02,1,0.759,0.731,false,36.84,0,0,0
V0,city-circuit,closed,200,58,0.29,0.025,1,0.751,0.73,false,39.52,0,0,0
V0,luger-hill,open,200,32,0.16,0.02,2,0.746,0.7155,true,31.965,0,0,0
V0,ice-track,closed,200,53,0.265,0.02,1,0.762,0.733,false,38.485,0,0,0
V0,mountainstreet,open,200,46,0.23,0.02,2,0.765,0.7505,false,37.38,0,0,0
V0,searound,closed,200,58,0.29,0.025,1,0.718,0.6985,true,30.35,0,0,0
V0,seatrack,open,200,46,0.23,0.015,2,0.784,0.7475,false,36.86,0,0,0
SYM-1.5-s075,dirt-oval,closed,200,4,0.02,0.015,2,0.756,0.754,false,41.065,157.555,16.71,0.6036
SYM-1.5-s075,river-run,open,200,21,0.105,0.015,2,0.765,0.7275,false,32.51,88.31,7.19,0.6892
SYM-1.5-s075,space-sprint,open,200,22,0.11,0.005,2,0.764,0.7375,false,36.64,89.28,7.16,0.6858
SYM-1.5-s075,garden-path,closed,200,20,0.1,0.01,2,0.752,0.728,false,37.98,112.575,16.315,0.7667
SYM-1.5-s075,city-circuit,closed,200,18,0.09,0.015,3,0.742,0.7325,false,39.785,138.84,14.535,0.6429
SYM-1.5-s075,luger-hill,open,200,16,0.08,0.005,2,0.746,0.712,true,31.97,95.36,5.36,0.605
SYM-1.5-s075,ice-track,closed,200,13,0.065,0.015,2,0.746,0.727,false,38.5,138.82,16.975,0.6902
SYM-1.5-s075,mountainstreet,open,200,15,0.075,0,2,0.763,0.742,false,37.96,88.395,10.35,0.7992
SYM-1.5-s075,searound,closed,200,32,0.16,0.01,2,0.699,0.697,true,30.975,109.735,13.56,0.7321
SYM-1.5-s075,seatrack,open,200,15,0.075,0.01,2,0.779,0.7455,true,37.58,89.7,10.065,0.785
SYM-1.5-s10,dirt-oval,closed,200,8,0.04,0.025,3,0.753,0.747,false,40.06,157.555,16.64,0.6016
SYM-1.5-s10,river-run,open,200,18,0.09,0.01,2,0.766,0.722,false,32.57,88.31,7.065,0.6875
SYM-1.5-s10,space-sprint,open,200,21,0.105,0.005,2,0.761,0.737,false,36.87,89.265,7.2,0.6925
SYM-1.5-s10,garden-path,closed,200,16,0.08,0.005,2,0.746,0.7335,false,38.195,112.575,15.8,0.7613
SYM-1.5-s10,city-circuit,closed,200,12,0.06,0.02,3,0.751,0.735,false,40.19,138.84,14.48,0.6375
SYM-1.5-s10,luger-hill,open,200,17,0.085,0.005,2,0.756,0.7195,true,31.935,95.375,5.175,0.6042
SYM-1.5-s10,ice-track,closed,200,15,0.075,0.015,2,0.749,0.7355,false,39.78,138.82,16.59,0.6767
SYM-1.5-s10,mountainstreet,open,200,12,0.06,0.015,2,0.765,0.7465,false,37.845,88.38,10.51,0.795
SYM-1.5-s10,searound,closed,200,31,0.155,0.01,2,0.712,0.703,true,31.58,109.735,13.31,0.7242
SYM-1.5-s10,seatrack,open,200,17,0.085,0,2,0.774,0.7445,true,37.44,89.7,9.88,0.7808
