arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s075,city-circuit,1,0,0,4,0.337,32
SYM-1.5-s075,city-circuit,2,0,0,3,2.042,7
SYM-1.5-s075,city-circuit,3,0,0,9,0.6873,22
SYM-1.5-s075,city-circuit,4,0,0,3,1.1969,3
SYM-1.5-s075,city-circuit,5,0,0,3,1.6135,9
SYM-1.5-s075,city-circuit,6,0,0,3,1.1966,29
SYM-1.5-s075,city-circuit,7,0,0,1,2.8454,18
SYM-1.5-s075,city-circuit,8,0,0,3,2.2021,27
SYM-1.5-s075,city-circuit,9,1,0,0,4.4911,5
SYM-1.5-s075,city-circuit,10,0,0,3,1.0483,5
SYM-1.5-s075,city-circuit,11,0,0,5,0.2646,31
SYM-1.5-s075,city-circuit,12,0,0,1,1.0145,39
SYM-1.5-s075,city-circuit,13,0,0,1,1.7885,16
SYM-1.5-s075,city-circuit,14,0,0,1,0.928,27
SYM-1.5-s075,city-circuit,15,0,0,4,0.455,19
SYM-1.5-s075,city-circuit,16,0,0,2,0.9227,30
SYM-1.5-s075,city-circuit,17,0,0,1,2.0433,4
SYM-1.5-s075,city-circuit,18,0,0,1,1.3307,25
SYM-1.5-s075,city-circuit,19,0,0,11,0.0609,30
SYM-1.5-s075,city-circuit,20,0,0,4,1.0189,36
SYM-1.5-s075,city-circuit,21,0,0,2,0.1157,28
SYM-1.5-s075,city-circuit,22,0,0,8,1.5658,23
SYM-1.5-s075,city-circuit,23,0,0,4,1.6183,6
SYM-1.5-s075,city-circuit,24,0,0,7,1.2013,32
SYM-1.5-s075,city-circuit,25,0,0,2,1.4332,39
SYM-1.5-s075,city-circuit,26,0,0,2,1.3394,22
SYM-1.5-s075,city-circuit,27,1,0,0,3.2007,33
SYM-1.5-s075,city-circuit,28,0,0,2,1.5571,31
SYM-1.5-s075,city-circuit,29,1,0,0,3.7137,38
SYM-1.5-s075,city-circuit,30,0,0,8,0.4194,31
SYM-1.5-s075,city-circuit,31,0,0,5,1.4166,22
SYM-1.5-s075,city-circuit,32,0,0,3,1.0555,38
SYM-1.5-s075,city-circuit,33,0,0,0,3.5366,11
SYM-1.5-s075,city-circuit,34,0,0,2,0.9299,32
SYM-1.5-s075,city-circuit,35,0,0,2,0.8877,39
SYM-1.5-s075,city-circuit,36,1,0,0,5.9592,19
SYM-1.5-s075,city-circuit,37,0,0,3,0.3336,36
SYM-1.5-s075,city-circuit,38,0,0,6,1.288,35
SYM-1.5-s075,city-circuit,39,0,0,7,1.1981,12
SYM-1.5-s075,city-circuit,40,0,0,3,1.3119,19
