arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s075,luger-hill,1,0,0,12,0.7074,39
SYM-1.5-s075,luger-hill,2,0,0,2,2.3349,32
SYM-1.5-s075,luger-hill,3,0,0,1,2.933,11
SYM-1.5-s075,luger-hill,4,0,0,1,0.3821,12
SYM-1.5-s075,luger-hill,5,0,0,1,1.9134,10
SYM-1.5-s075,luger-hill,6,0,0,1,1.1971,11
SYM-1.5-s075,luger-hill,7,0,0,6,0.2294,8
SYM-1.5-s075,luger-hill,8,1,0,0,4.2187,32
SYM-1.5-s075,luger-hill,9,0,0,4,0.6631,10
SYM-1.5-s075,luger-hill,10,1,0,0,4.9355,10
SYM-1.5-s075,luger-hill,11,0,0,2,1.1998,33
SYM-1.5-s075,luger-hill,12,0,0,1,2.6654,11
SYM-1.5-s075,luger-hill,13,0,0,6,0.3642,29
SYM-1.5-s075,luger-hill,14,0,0,11,0.0321,37
SYM-1.5-s075,luger-hill,15,0,0,3,1.1386,23
SYM-1.5-s075,luger-hill,16,1,0,0,3.0692,29
SYM-1.5-s075,luger-hill,17,0,0,2,2.1077,31
SYM-1.5-s075,luger-hill,18,0,0,4,2.1611,38
SYM-1.5-s075,luger-hill,19,0,0,6,1.6823,30
SYM-1.5-s075,luger-hill,20,0,0,6,0.9206,36
SYM-1.5-s075,luger-hill,21,0,0,2,1.8698,32
SYM-1.5-s075,luger-hill,22,0,0,12,0.6328,28
SYM-1.5-s075,luger-hill,23,0,0,8,0.5233,39
SYM-1.5-s075,luger-hill,24,0,0,0,3.1572,12
SYM-1.5-s075,luger-hill,25,1,0,0,3.2519,7
SYM-1.5-s075,luger-hill,26,1,0,0,5.1275,7
SYM-1.5-s075,luger-hill,27,0,0,7,0.1985,2
SYM-1.5-s075,luger-hill,28,0,0,3,0.5177,13
SYM-1.5-s075,luger-hill,29,0,0,2,0.2689,37
SYM-1.5-s075,luger-hill,30,0,0,3,1.2362,19
SYM-1.5-s075,luger-hill,31,0,0,16,1.2258,12
SYM-1.5-s075,luger-hill,32,0,0,7,0.2911,22
SYM-1.5-s075,luger-hill,33,1,0,0,4.7309,12
SYM-1.5-s075,luger-hill,34,0,0,5,0.5745,16
SYM-1.5-s075,luger-hill,35,0,0,9,0.5821,21
SYM-1.5-s075,luger-hill,36,0,0,6,0.3845,23
SYM-1.5-s075,luger-hill,37,0,0,1,2.3679,31
SYM-1.5-s075,luger-hill,38,0,0,1,1.8667,19
SYM-1.5-s075,luger-hill,39,0,0,2,1.6658,12
SYM-1.5-s075,luger-hill,40,0,0,3,0.8531,25
SYM-1.5-s075,luger-hill,41,0,0,2,0.3643,23
SYM-1.5-s075,luger-hill,42,0,0,1,2.4319,18
SYM-1.5-s075,luger-hill,43,0,0,1,1.8487,22
SYM-1.5-s075,luger-hill,44,0,0,5,1.3373,37
SYM-1.5-s075,luger-hill,45,1,0,0,3.2894,8
SYM-1.5-s075,luger-hill,46,0,0,4,0.9854,8
SYM-1.5-s075,luger-hill,47,0,0,4,0.0219,37
