arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s075,mountainstreet,1,1,0,0,7.316,38
SYM-1.5-s075,mountainstreet,2,0,0,6,2.031,29
SYM-1.5-s075,mountainstreet,3,0,0,1,0.0861,31
SYM-1.5-s075,mountainstreet,4,0,0,2,0.496,16
SYM-1.5-s075,mountainstreet,5,0,0,2,0.2282,15
SYM-1.5-s075,mountainstreet,6,0,0,1,2.1319,28
SYM-1.5-s075,mountainstreet,7,0,0,0,3.2336,14
SYM-1.5-s075,mountainstreet,8,0,0,2,1.4792,5
SYM-1.5-s075,mountainstreet,9,0,0,1,1.5149,4
SYM-1.5-s075,mountainstreet,10,0,0,3,1.257,5
SYM-1.5-s075,mountainstreet,11,1,0,0,4.8481,5
SYM-1.5-s075,mountainstreet,12,0,0,1,1.1019,6
SYM-1.5-s075,mountainstreet,13,0,0,4,0.0987,17
SYM-1.5-s075,mountainstreet,14,1,0,0,9.3499,38
SYM-1.5-s075,mountainstreet,15,0,0,4,1.0038,1
SYM-1.5-s075,mountainstreet,16,0,0,2,1.616,21
SYM-1.5-s075,mountainstreet,17,0,0,5,0.3111,15
SYM-1.5-s075,mountainstreet,18,0,0,4,1.8353,21
SYM-1.5-s075,mountainstreet,19,0,0,6,0.6419,16
SYM-1.5-s075,mountainstreet,20,0,0,1,1.1172,25
SYM-1.5-s075,mountainstreet,21,0,0,2,2.0318,35
SYM-1.5-s075,mountainstreet,22,0,0,2,1.3361,20
SYM-1.5-s075,mountainstreet,23,0,0,3,0.3752,30
SYM-1.5-s075,mountainstreet,24,0,0,2,1.5001,36
SYM-1.5-s075,mountainstreet,25,0,0,3,0.2617,37
SYM-1.5-s075,mountainstreet,26,0,0,3,0.2822,22
SYM-1.5-s075,mountainstreet,27,0,0,2,1.6293,2
SYM-1.5-s075,mountainstreet,28,0,0,1,1.0527,13
SYM-1.5-s075,mountainstreet,29,0,0,2,1.6245,37
SYM-1.5-s075,mountainstreet,30,0,0,11,0.1735,34
SYM-1.5-s075,mountainstreet,31,0,0,2,1.7762,21
SYM-1.5-s075,mountainstreet,32,0,0,1,2.6409,23
SYM-1.5-s075,mountainstreet,33,0,0,1,2.8222,19
SYM-1.5-s075,mountainstreet,34,0,0,1,1.6257,29
SYM-1.5-s075,mountainstreet,35,0,0,1,0.0469,13
SYM-1.5-s075,mountainstreet,36,0,0,3,1.2756,18
SYM-1.5-s075,mountainstreet,37,0,0,2,1.7873,35
SYM-1.5-s075,mountainstreet,38,0,0,1,2.4832,26
SYM-1.5-s075,mountainstreet,39,0,0,5,0.8524,8
SYM-1.5-s075,mountainstreet,40,0,0,0,4.1957,2
SYM-1.5-s075,mountainstreet,41,0,0,6,0.4427,27
SYM-1.5-s075,mountainstreet,42,0,0,1,0.3548,7
SYM-1.5-s075,mountainstreet,43,0,0,2,1.1868,21
SYM-1.5-s075,mountainstreet,44,0,0,1,2.9764,26
SYM-1.5-s075,mountainstreet,45,0,0,0,3.1676,17
SYM-1.5-s075,mountainstreet,46,0,0,6,0.434,14
SYM-1.5-s075,mountainstreet,47,0,0,3,1.2624,24
SYM-1.5-s075,mountainstreet,48,0,0,5,1.1955,27
SYM-1.5-s075,mountainstreet,49,0,0,4,0.6048,21
SYM-1.5-s075,mountainstreet,50,0,0,1,1.2094,30
SYM-1.5-s075,mountainstreet,51,0,0,5,0.9849,11
SYM-1.5-s075,mountainstreet,52,0,0,3,0.5388,21
SYM-1.5-s075,mountainstreet,53,0,0,9,0.0449,5
SYM-1.5-s075,mountainstreet,54,1,0,0,3.7211,32
SYM-1.5-s075,mountainstreet,55,1,0,0,3.145,34
SYM-1.5-s075,mountainstreet,56,0,0,8,0.2548,9
SYM-1.5-s075,mountainstreet,57,0,0,1,1.9443,7
SYM-1.5-s075,mountainstreet,58,0,0,1,1.2,31
SYM-1.5-s075,mountainstreet,59,0,0,4,0.9773,20
SYM-1.5-s075,mountainstreet,60,0,0,2,1.3635,37
SYM-1.5-s075,mountainstreet,61,0,0,2,0.787,4
SYM-1.5-s075,mountainstreet,62,0,0,2,1.3691,38
SYM-1.5-s075,mountainstreet,63,0,0,14,0.0001,30
SYM-1.5-s075,mountainstreet,64,0,0,8,0.3428,0
SYM-1.5-s075,mountainstreet,65,0,0,1,2.8648,16
SYM-1.5-s075,mountainstreet,66,0,0,1,1.0359,34
SYM-1.5-s075,mountainstreet,67,0,0,9,0.0111,34
SYM-1.5-s075,mountainstreet,68,0,0,6,0.5999,26
SYM-1.5-s075,mountainstreet,69,0,0,3,1.7583,7
SYM-1.5-s075,mountainstreet,70,0,0,4,0.8312,4
SYM-1.5-s075,mountainstreet,71,0,0,5,0.4413,33
SYM-1.5-s075,mountainstreet,72,0,0,2,1.2054,23
SYM-1.5-s075,mountainstreet,73,0,0,4,1.0928,18
SYM-1.5-s075,mountainstreet,74,0,0,1,2.3111,10
SYM-1.5-s075,mountainstreet,75,0,0,1,2.5624,31
SYM-1.5-s075,mountainstreet,76,0,0,6,1.9162,11
SYM-1.5-s075,mountainstreet,77,0,0,9,0.2758,0
SYM-1.5-s075,mountainstreet,78,0,0,4,1.2108,33
SYM-1.5-s075,mountainstreet,79,0,0,8,0.1638,25
SYM-1.5-s075,mountainstreet,80,1,0,0,4.4067,24
SYM-1.5-s075,mountainstreet,81,0,0,2,0.9233,32
SYM-1.5-s075,mountainstreet,82,0,0,9,0.1566,21
SYM-1.5-s075,mountainstreet,83,0,0,6,0.5953,24
SYM-1.5-s075,mountainstreet,84,0,0,2,0.165,38
SYM-1.5-s075,mountainstreet,85,0,0,4,0.7938,10
SYM-1.5-s075,mountainstreet,86,0,0,6,0.694,3
SYM-1.5-s075,mountainstreet,87,0,0,1,2.501,7
SYM-1.5-s075,mountainstreet,88,0,0,5,1.5725,32
SYM-1.5-s075,mountainstreet,89,0,0,1,1.2475,1
SYM-1.5-s075,mountainstreet,90,0,0,3,0.0715,38
SYM-1.5-s075,mountainstreet,91,0,0,1,1.2566,30
SYM-1.5-s075,mountainstreet,92,0,0,3,1.4755,19
SYM-1.5-s075,mountainstreet,93,0,0,0,3.6187,25
SYM-1.5-s075,mountainstreet,94,0,0,2,0.5012,13
SYM-1.5-s075,mountainstreet,95,0,0,2,1.8365,3
SYM-1.5-s075,mountainstreet,96,1,0,0,4.7994,12
SYM-1.5-s075,mountainstreet,97,0,0,1,1.5514,35
SYM-1.5-s075,mountainstreet,98,0,0,2,1.8943,39
SYM-1.5-s075,mountainstreet,99,0,0,1,1.6117,26
SYM-1.5-s075,mountainstreet,100,0,0,2,0.4023,17
SYM-1.5-s075,mountainstreet,101,0,0,6,1.3116,35
SYM-1.5-s075,mountainstreet,102,0,0,1,2.2743,16
SYM-1.5-s075,mountainstreet,103,0,0,2,2.1155,26
SYM-1.5-s075,mountainstreet,104,0,0,1,1.4901,38
SYM-1.5-s075,mountainstreet,105,1,0,0,3.8,36
SYM-1.5-s075,mountainstreet,106,0,0,2,1.467,20
SYM-1.5-s075,mountainstreet,107,0,0,2,1.0978,32
SYM-1.5-s075,mountainstreet,108,0,0,3,1.2777,36
SYM-1.5-s075,mountainstreet,109,1,0,0,3.1901,11
SYM-1.5-s075,mountainstreet,110,0,0,5,0.5916,18
SYM-1.5-s075,mountainstreet,111,0,0,3,1.2307,4
SYM-1.5-s075,mountainstreet,112,0,0,3,0.3179,12
SYM-1.5-s075,mountainstreet,113,0,0,4,1.4759,35
SYM-1.5-s075,mountainstreet,114,0,0,3,0.7337,23
SYM-1.5-s075,mountainstreet,115,0,0,3,0.3236,36
SYM-1.5-s075,mountainstreet,116,1,0,0,5.6219,6
SYM-1.5-s075,mountainstreet,117,0,0,0,3.7969,3
SYM-1.5-s075,mountainstreet,118,0,0,1,0.6994,29
SYM-1.5-s075,mountainstreet,119,0,0,0,5.3102,39
SYM-1.5-s075,mountainstreet,120,0,0,4,0.1301,18
SYM-1.5-s075,mountainstreet,121,1,0,0,3.2251,6
SYM-1.5-s075,mountainstreet,122,0,0,3,1.0883,37
SYM-1.5-s075,mountainstreet,123,0,0,1,1.4895,13
SYM-1.5-s075,mountainstreet,124,0,0,5,2.0675,26
SYM-1.5-s075,mountainstreet,125,0,0,2,1.7125,23
SYM-1.5-s075,mountainstreet,126,0,0,1,2.6803,31
SYM-1.5-s075,mountainstreet,127,1,0,0,3.9214,16
SYM-1.5-s075,mountainstreet,128,0,0,6,0.851,0
SYM-1.5-s075,mountainstreet,129,0,0,3,0.6774,39
SYM-1.5-s075,mountainstreet,130,0,0,3,1.1535,20
SYM-1.5-s075,mountainstreet,131,0,0,1,1.9144,5
SYM-1.5-s075,mountainstreet,132,0,0,2,1.1974,22
SYM-1.5-s075,mountainstreet,133,0,0,2,1.3735,20
SYM-1.5-s075,mountainstreet,134,0,0,5,1.1995,12
SYM-1.5-s075,mountainstreet,135,0,0,2,1.4715,15
SYM-1.5-s075,mountainstreet,136,0,0,2,2.1993,21
SYM-1.5-s075,mountainstreet,137,0,0,3,1.3867,20
SYM-1.5-s075,mountainstreet,138,0,0,1,1.5577,19
SYM-1.5-s075,mountainstreet,139,0,0,1,0.9295,10
SYM-1.5-s075,mountainstreet,140,0,0,4,0.8178,17
SYM-1.5-s075,mountainstreet,141,0,0,1,1.4192,0
SYM-1.5-s075,mountainstreet,142,0,0,1,2.2311,11
SYM-1.5-s075,mountainstreet,143,0,0,2,1.0683,33
SYM-1.5-s075,mountainstreet,144,0,0,1,2.3883,17
SYM-1.5-s075,mountainstreet,145,0,0,11,0.1447,9
SYM-1.5-s075,mountainstreet,146,0,0,2,2.2442,27
SYM-1.5-s075,mountainstreet,147,1,0,0,5.8578,19
SYM-1.5-s075,mountainstreet,148,0,0,2,0.5534,31
SYM-1.5-s075,mountainstreet,149,1,0,0,7.1252,0
SYM-1.5-s075,mountainstreet,150,0,0,2,1.3245,17
SYM-1.5-s075,mountainstreet,151,0,0,10,0.368,35
SYM-1.5-s075,mountainstreet,152,0,0,1,0.7289,22
SYM-1.5-s075,mountainstreet,153,0,0,4,0.7861,39
SYM-1.5-s075,mountainstreet,154,0,0,2,0.0452,31
SYM-1.5-s075,mountainstreet,155,0,0,2,1.4843,20
SYM-1.5-s075,mountainstreet,156,0,0,4,0.1103,9
SYM-1.5-s075,mountainstreet,157,0,0,2,1.3887,20
SYM-1.5-s075,mountainstreet,158,0,0,3,1.5006,14
SYM-1.5-s075,mountainstreet,159,0,0,4,0.7959,0
SYM-1.5-s075,mountainstreet,160,0,0,7,0.3713,0
SYM-1.5-s075,mountainstreet,161,0,0,0,3.1343,16
SYM-1.5-s075,mountainstreet,162,0,0,0,3.3662,27
SYM-1.5-s075,mountainstreet,163,0,0,2,1.8469,34
SYM-1.5-s075,mountainstreet,164,0,0,5,0.0907,7
SYM-1.5-s075,mountainstreet,165,0,0,3,1.548,32
SYM-1.5-s075,mountainstreet,166,0,0,2,0.4038,30
SYM-1.5-s075,mountainstreet,167,0,0,6,0.4927,20
SYM-1.5-s075,mountainstreet,168,0,0,0,3.851,23
SYM-1.5-s075,mountainstreet,169,0,0,1,1.1526,23
SYM-1.5-s075,mountainstreet,170,0,0,0,3.7531,20
SYM-1.5-s075,mountainstreet,171,0,0,1,1.1979,12
SYM-1.5-s075,mountainstreet,172,0,0,0,4.8925,30
SYM-1.5-s075,mountainstreet,173,0,0,5,0.6451,34
SYM-1.5-s075,mountainstreet,174,0,0,4,1.2574,23
SYM-1.5-s075,mountainstreet,175,0,0,0,4.1536,31
SYM-1.5-s075,mountainstreet,176,0,0,2,1.4988,27
SYM-1.5-s075,mountainstreet,177,0,0,5,0.2903,24
SYM-1.5-s075,mountainstreet,178,0,0,5,1.3497,17
SYM-1.5-s075,mountainstreet,179,0,0,9,1.0354,35
SYM-1.5-s075,mountainstreet,180,0,0,3,0.8826,21
SYM-1.5-s075,mountainstreet,181,0,0,2,0.9367,25
SYM-1.5-s075,mountainstreet,182,0,0,6,0.9974,4
SYM-1.5-s075,mountainstreet,183,0,0,1,2.0052,34
SYM-1.5-s075,mountainstreet,184,0,0,1,0.774,33
SYM-1.5-s075,mountainstreet,185,0,0,2,0.6151,15
SYM-1.5-s075,mountainstreet,186,0,0,0,4.9089,19
SYM-1.5-s075,mountainstreet,187,0,0,1,1.4804,22
SYM-1.5-s075,mountainstreet,188,0,0,2,0.2237,12
SYM-1.5-s075,mountainstreet,189,0,0,1,0.6748,33
SYM-1.5-s075,mountainstreet,190,0,0,9,0.0516,7
SYM-1.5-s075,mountainstreet,191,0,0,1,2.7456,12
SYM-1.5-s075,mountainstreet,192,0,0,3,1.241,12
SYM-1.5-s075,mountainstreet,193,1,0,0,4.3085,18
SYM-1.5-s075,mountainstreet,194,0,0,1,2.0556,18
SYM-1.5-s075,mountainstreet,195,0,0,2,1.7814,25
SYM-1.5-s075,mountainstreet,196,0,0,3,0.2712,29
SYM-1.5-s075,mountainstreet,197,0,0,3,0.9557,18
SYM-1.5-s075,mountainstreet,198,0,0,1,1.1023,39
SYM-1.5-s075,mountainstreet,199,0,0,5,1.4247,9
SYM-1.5-s075,mountainstreet,200,0,0,3,2.1767,5
