arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s075,seatrack,1,0,0,2,0.624,25
SYM-1.5-s075,seatrack,2,0,0,5,1.2463,8
SYM-1.5-s075,seatrack,3,1,0,0,3.2827,5
SYM-1.5-s075,seatrack,4,0,0,2,0.1093,29
SYM-1.5-s075,seatrack,5,0,0,7,0.567,39
SYM-1.5-s075,seatrack,6,0,0,1,2.3525,7
SYM-1.5-s075,seatrack,7,0,0,2,0.6182,34
SYM-1.5-s075,seatrack,8,0,0,1,0.0586,11
SYM-1.5-s075,seatrack,9,0,0,3,1.8882,35
SYM-1.5-s075,seatrack,10,0,0,3,1.4255,18
SYM-1.5-s075,seatrack,11,0,0,3,0.1457,29
SYM-1.5-s075,seatrack,12,0,0,2,1.0197,7
SYM-1.5-s075,seatrack,13,0,0,5,0.9309,29
SYM-1.5-s075,seatrack,14,0,0,6,0.5267,25
SYM-1.5-s075,seatrack,15,0,0,1,2.16,33
SYM-1.5-s075,seatrack,16,0,0,4,0.2053,20
SYM-1.5-s075,seatrack,17,0,0,2,2.4818,2
SYM-1.5-s075,seatrack,18,0,0,2,2.0564,22
SYM-1.5-s075,seatrack,19,0,0,1,1.2932,13
SYM-1.5-s075,seatrack,20,0,0,2,0.0507,15
SYM-1.5-s075,seatrack,21,1,0,0,3.109,30
SYM-1.5-s075,seatrack,22,0,0,2,1.2566,11
SYM-1.5-s075,seatrack,23,0,1,0,3.9932,12
SYM-1.5-s075,seatrack,24,0,0,2,1.1566,36
SYM-1.5-s075,seatrack,25,0,0,6,0.597,7
SYM-1.5-s075,seatrack,26,0,0,1,0.7407,34
SYM-1.5-s075,seatrack,27,0,0,2,0.7333,3
SYM-1.5-s075,seatrack,28,0,0,2,1.5548,17
SYM-1.5-s075,seatrack,29,0,0,3,0.5559,18
SYM-1.5-s075,seatrack,30,0,0,1,2.1478,23
SYM-1.5-s075,seatrack,31,0,0,1,1.9484,5
SYM-1.5-s075,seatrack,32,1,0,0,7.398,34
SYM-1.5-s075,seatrack,33,1,0,0,6.1799,12
SYM-1.5-s075,seatrack,34,0,0,1,2.9933,32
SYM-1.5-s075,seatrack,35,0,0,1,1.7474,13
SYM-1.5-s075,seatrack,36,0,0,4,0.7861,26
SYM-1.5-s075,seatrack,37,0,0,1,2.4387,26
SYM-1.5-s075,seatrack,38,0,0,2,0.0846,3
SYM-1.5-s075,seatrack,39,0,0,1,2.4627,29
SYM-1.5-s075,seatrack,40,0,0,3,0.5421,25
SYM-1.5-s075,seatrack,41,0,0,2,2.0335,25
SYM-1.5-s075,seatrack,42,0,0,3,0.1015,19
SYM-1.5-s075,seatrack,43,0,0,2,0.0767,16
SYM-1.5-s075,seatrack,44,0,0,8,0.0891,34
SYM-1.5-s075,seatrack,45,0,0,1,1.4436,29
SYM-1.5-s075,seatrack,46,0,0,3,0.6664,13
SYM-1.5-s075,seatrack,47,0,0,7,0.4192,34
SYM-1.5-s075,seatrack,48,0,0,6,0.4456,5
SYM-1.5-s075,seatrack,49,0,0,2,1.678,28
SYM-1.5-s075,seatrack,50,0,0,2,1.1831,33
SYM-1.5-s075,seatrack,51,0,0,3,0.9835,19
SYM-1.5-s075,seatrack,52,0,0,3,0.8008,37
SYM-1.5-s075,seatrack,53,0,0,1,2.1854,18
SYM-1.5-s075,seatrack,54,1,0,0,4.0277,35
SYM-1.5-s075,seatrack,55,0,0,2,1.9498,1
SYM-1.5-s075,seatrack,56,0,0,3,0.9492,30
SYM-1.5-s075,seatrack,57,0,0,5,1.5,1
SYM-1.5-s075,seatrack,58,0,0,6,1.9478,17
SYM-1.5-s075,seatrack,59,0,0,4,1.4526,11
SYM-1.5-s075,seatrack,60,0,0,1,0.7781,27
SYM-1.5-s075,seatrack,61,0,0,2,2.0105,26
SYM-1.5-s075,seatrack,62,0,0,2,1.812,39
SYM-1.5-s075,seatrack,63,1,0,0,4.5822,34
SYM-1.5-s075,seatrack,64,0,0,7,0.888,22
SYM-1.5-s075,seatrack,65,0,0,2,1.5312,35
SYM-1.5-s075,seatrack,66,0,0,2,1.4315,29
SYM-1.5-s075,seatrack,67,0,0,2,0.8693,22
SYM-1.5-s075,seatrack,68,0,0,3,2.4301,20
SYM-1.5-s075,seatrack,69,0,0,3,0.2209,9
SYM-1.5-s075,seatrack,70,0,0,2,2.1558,8
SYM-1.5-s075,seatrack,71,1,0,0,3.841,4
SYM-1.5-s075,seatrack,72,0,0,2,0.719,26
SYM-1.5-s075,seatrack,73,0,0,5,0.5587,9
SYM-1.5-s075,seatrack,74,0,0,1,1.1975,10
SYM-1.5-s075,seatrack,75,0,0,9,0.8112,11
SYM-1.5-s075,seatrack,76,0,0,2,0.4879,37
SYM-1.5-s075,seatrack,77,0,0,0,3.9507,25
SYM-1.5-s075,seatrack,78,0,0,2,2.8702,36
SYM-1.5-s075,seatrack,79,0,0,4,0.9414,14
SYM-1.5-s075,seatrack,80,0,0,3,0.1402,22
SYM-1.5-s075,seatrack,81,0,0,6,0.525,36
SYM-1.5-s075,seatrack,82,0,0,1,1.8195,1
SYM-1.5-s075,seatrack,83,0,0,1,0.7321,28
SYM-1.5-s075,seatrack,84,0,0,2,1.2777,23
SYM-1.5-s075,seatrack,85,0,0,2,1.5128,10
SYM-1.5-s075,seatrack,86,0,0,4,0.8226,37
SYM-1.5-s075,seatrack,87,0,0,5,1.6161,13
SYM-1.5-s075,seatrack,88,0,0,2,0.3143,37
SYM-1.5-s075,seatrack,89,0,0,1,0.3765,9
SYM-1.5-s075,seatrack,90,0,0,5,0.6395,10
SYM-1.5-s075,seatrack,91,0,0,7,0.4696,17
SYM-1.5-s075,seatrack,92,0,0,3,0.6461,0
SYM-1.5-s075,seatrack,93,0,0,5,0.9018,8
SYM-1.5-s075,seatrack,94,0,0,1,2.724,18
SYM-1.5-s075,seatrack,95,0,0,1,0.7979,36
SYM-1.5-s075,seatrack,96,0,0,3,0.0178,13
SYM-1.5-s075,seatrack,97,0,0,1,1.6585,17
SYM-1.5-s075,seatrack,98,0,0,3,0.8796,38
SYM-1.5-s075,seatrack,99,0,0,1,2.2092,34
SYM-1.5-s075,seatrack,100,0,0,0,3.2205,31
SYM-1.5-s075,seatrack,101,0,0,9,0.6025,2
SYM-1.5-s075,seatrack,102,0,0,6,0.3382,36
SYM-1.5-s075,seatrack,103,1,0,0,3.1997,27
SYM-1.5-s075,seatrack,104,1,0,0,6.1182,24
SYM-1.5-s075,seatrack,105,0,0,2,0.2347,9
SYM-1.5-s075,seatrack,106,0,0,2,1.6744,11
SYM-1.5-s075,seatrack,107,0,0,2,1.4995,23
SYM-1.5-s075,seatrack,108,0,0,0,3.1358,6
SYM-1.5-s075,seatrack,109,0,1,2,1.8378,19
SYM-1.5-s075,seatrack,110,0,0,2,1.2047,22
SYM-1.5-s075,seatrack,111,1,0,0,8.1304,8
SYM-1.5-s075,seatrack,112,0,0,5,0.9044,20
SYM-1.5-s075,seatrack,113,0,0,1,0.3737,7
SYM-1.5-s075,seatrack,114,0,0,3,1.9855,6
SYM-1.5-s075,seatrack,115,0,0,1,1.502,0
SYM-1.5-s075,seatrack,116,0,0,0,3.3567,7
SYM-1.5-s075,seatrack,117,0,0,0,3.8318,26
SYM-1.5-s075,seatrack,118,0,0,4,0.4484,8
SYM-1.5-s075,seatrack,119,0,0,3,1.071,37
SYM-1.5-s075,seatrack,120,0,0,2,1.1739,29
SYM-1.5-s075,seatrack,121,0,0,3,1.6911,28
SYM-1.5-s075,seatrack,122,0,0,1,1.707,11
SYM-1.5-s075,seatrack,123,0,0,1,2.7889,24
SYM-1.5-s075,seatrack,124,0,0,7,0.5498,34
SYM-1.5-s075,seatrack,125,0,0,5,0.5681,14
SYM-1.5-s075,seatrack,126,0,0,1,1.5006,18
SYM-1.5-s075,seatrack,127,0,0,4,0.7435,16
SYM-1.5-s075,seatrack,128,0,0,1,1.2162,38
SYM-1.5-s075,seatrack,129,0,0,3,0.3441,8
SYM-1.5-s075,seatrack,130,0,0,4,0.2468,32
SYM-1.5-s075,seatrack,131,0,0,6,1.2529,35
SYM-1.5-s075,seatrack,132,0,0,0,3.3018,2
SYM-1.5-s075,seatrack,133,0,0,1,1.4637,11
SYM-1.5-s075,seatrack,134,0,0,0,3.0735,39
SYM-1.5-s075,seatrack,135,0,0,1,0.2079,26
SYM-1.5-s075,seatrack,136,0,0,1,0.9509,9
SYM-1.5-s075,seatrack,137,1,0,0,4.9661,11
SYM-1.5-s075,seatrack,138,0,0,0,4.1302,8
SYM-1.5-s075,seatrack,139,0,0,1,1.197,23
SYM-1.5-s075,seatrack,140,1,0,0,6.8403,4
SYM-1.5-s075,seatrack,141,0,0,1,1.9666,34
SYM-1.5-s075,seatrack,142,1,0,0,3.5892,32
SYM-1.5-s075,seatrack,143,0,0,1,2.9508,2
SYM-1.5-s075,seatrack,144,0,0,5,0.8789,26
