arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s075,space-sprint,1,0,0,3,0.1531,27
SYM-1.5-s075,space-sprint,2,1,0,0,6.7187,18
SYM-1.5-s075,space-sprint,3,0,0,5,0.8487,6
SYM-1.5-s075,space-sprint,4,0,0,1,1.3261,36
SYM-1.5-s075,space-sprint,5,0,0,4,1.1049,24
SYM-1.5-s075,space-sprint,6,0,0,2,0.0417,4
SYM-1.5-s075,space-sprint,7,0,0,3,0.1529,32
SYM-1.5-s075,space-sprint,8,0,0,2,0.9574,24
SYM-1.5-s075,space-sprint,9,0,0,1,2.7005,24
SYM-1.5-s075,space-sprint,10,0,0,6,1.028,24
SYM-1.5-s075,space-sprint,11,0,0,7,0.6565,5
SYM-1.5-s075,space-sprint,12,0,0,0,3.7166,35
SYM-1.5-s075,space-sprint,13,0,0,0,4.4194,1
SYM-1.5-s075,space-sprint,14,0,0,2,0.8136,0
SYM-1.5-s075,space-sprint,15,0,0,1,2.4143,30
SYM-1.5-s075,space-sprint,16,0,0,11,0.1573,17
SYM-1.5-s075,space-sprint,17,0,0,2,1.1835,3
SYM-1.5-s075,space-sprint,18,0,0,2,0.9929,10
SYM-1.5-s075,space-sprint,19,0,0,1,2.5547,19
SYM-1.5-s075,space-sprint,20,0,0,2,0.6963,11
SYM-1.5-s075,space-sprint,21,0,0,4,1.4953,21
SYM-1.5-s075,space-sprint,22,0,0,6,0.0678,20
SYM-1.5-s075,space-sprint,23,0,0,4,0.7902,9
SYM-1.5-s075,space-sprint,24,0,0,4,0.5294,1
SYM-1.5-s075,space-sprint,25,0,0,3,0.8252,4
SYM-1.5-s075,space-sprint,26,0,0,1,2.3901,10
SYM-1.5-s075,space-sprint,27,0,0,2,1.9205,26
SYM-1.5-s075,space-sprint,28,0,0,5,0.0398,11
SYM-1.5-s075,space-sprint,29,0,0,2,1.1309,15
SYM-1.5-s075,space-sprint,30,0,0,2,1.5557,8
SYM-1.5-s075,space-sprint,31,0,0,4,0.6784,5
SYM-1.5-s075,space-sprint,32,0,0,1,0.3603,5
SYM-1.5-s075,space-sprint,33,0,0,1,2.1157,1
SYM-1.5-s075,space-sprint,34,1,0,0,3.396,37
SYM-1.5-s075,space-sprint,35,0,0,0,3.9152,3
SYM-1.5-s075,space-sprint,36,1,0,0,3.3437,23
SYM-1.5-s075,space-sprint,37,0,0,8,1.2422,34
SYM-1.5-s075,space-sprint,38,0,0,2,0.8524,10
SYM-1.5-s075,space-sprint,39,0,0,4,0.9953,5
SYM-1.5-s075,space-sprint,40,0,0,2,1.1317,33
SYM-1.5-s075,space-sprint,41,0,0,2,0.7844,31
SYM-1.5-s075,space-sprint,42,0,0,5,0.6655,22
SYM-1.5-s075,space-sprint,43,0,0,2,1.828,17
SYM-1.5-s075,space-sprint,44,0,0,8,0.1165,26
SYM-1.5-s075,space-sprint,45,0,0,2,0.9468,5
SYM-1.5-s075,space-sprint,46,0,0,2,1.7901,11
SYM-1.5-s075,space-sprint,47,1,0,0,4.2054,20
SYM-1.5-s075,space-sprint,48,1,0,0,4.6233,1
SYM-1.5-s075,space-sprint,49,0,0,2,0.6851,33
SYM-1.5-s075,space-sprint,50,0,0,4,1.2557,23
SYM-1.5-s075,space-sprint,51,0,0,1,2.5191,10
SYM-1.5-s075,space-sprint,52,0,0,4,0.6148,6
SYM-1.5-s075,space-sprint,53,0,0,5,0.6398,9
SYM-1.5-s075,space-sprint,54,0,0,1,2.5178,16
SYM-1.5-s075,space-sprint,55,0,0,2,0.8044,22
SYM-1.5-s075,space-sprint,56,0,0,3,0.7515,16
SYM-1.5-s075,space-sprint,57,0,0,1,2.4281,27
SYM-1.5-s075,space-sprint,58,0,0,1,2.0409,13
SYM-1.5-s075,space-sprint,59,0,0,2,1.201,37
SYM-1.5-s075,space-sprint,60,0,0,1,1.8557,11
SYM-1.5-s075,space-sprint,61,0,0,1,1.5151,35
SYM-1.5-s075,space-sprint,62,0,0,12,0.4302,4
SYM-1.5-s075,space-sprint,63,1,0,0,4.7456,1
SYM-1.5-s075,space-sprint,64,0,0,0,3.1695,23
