arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s10,dirt-oval,1,0,0,8,0.2109,34
SYM-1.5-s10,dirt-oval,2,0,0,0,3.1393,24
SYM-1.5-s10,dirt-oval,3,0,1,1,2.8347,0
SYM-1.5-s10,dirt-oval,4,0,0,0,3.4829,16
SYM-1.5-s10,dirt-oval,5,0,0,5,1.5211,38
SYM-1.5-s10,dirt-oval,6,0,0,2,0.6536,31
SYM-1.5-s10,dirt-oval,7,0,0,1,1.1974,20
SYM-1.5-s10,dirt-oval,8,0,0,3,1.1957,30
SYM-1.5-s10,dirt-oval,9,0,0,12,0.6922,26
SYM-1.5-s10,dirt-oval,10,0,0,6,1.7261,19
SYM-1.5-s10,dirt-oval,11,0,0,2,1.8155,4
SYM-1.5-s10,dirt-oval,12,0,0,1,1.1987,38
SYM-1.5-s10,dirt-oval,13,0,0,12,0.2458,31
SYM-1.5-s10,dirt-oval,14,0,0,2,2.3374,23
SYM-1.5-s10,dirt-oval,15,0,0,2,1.3252,26
SYM-1.5-s10,dirt-oval,16,0,0,6,1.112,31
SYM-1.5-s10,dirt-oval,17,0,0,6,1.9279,38
SYM-1.5-s10,dirt-oval,18,0,0,4,0.7748,28
SYM-1.5-s10,dirt-oval,19,0,0,3,0.8398,20
SYM-1.5-s10,dirt-oval,20,0,0,1,2.9741,36
SYM-1.5-s10,dirt-oval,21,0,0,1,1.3091,35
SYM-1.5-s10,dirt-oval,22,0,0,5,0.656,18
SYM-1.5-s10,dirt-oval,23,0,0,1,0.8448,0
SYM-1.5-s10,dirt-oval,24,0,0,4,1.0451,6
SYM-1.5-s10,dirt-oval,25,0,0,5,0.5752,5
SYM-1.5-s10,dirt-oval,26,0,0,6,0.7125,33
SYM-1.5-s10,dirt-oval,27,0,0,1,1.5005,17
SYM-1.5-s10,dirt-oval,28,0,0,6,0.9818,33
SYM-1.5-s10,dirt-oval,29,0,0,2,1.6935,30
SYM-1.5-s10,dirt-oval,30,0,0,7,1.5716,20
SYM-1.5-s10,dirt-oval,31,0,0,11,0.0957,23
SYM-1.5-s10,dirt-oval,32,0,0,3,1.4564,39
SYM-1.5-s10,dirt-oval,33,0,0,2,0.3328,12
SYM-1.5-s10,dirt-oval,34,0,0,2,1.0112,32
SYM-1.5-s10,dirt-oval,35,0,0,1,2.2825,37
SYM-1.5-s10,dirt-oval,36,0,0,1,2.6974,23
SYM-1.5-s10,dirt-oval,37,0,0,1,1.3685,39
SYM-1.5-s10,dirt-oval,38,0,0,1,1.404,28
SYM-1.5-s10,dirt-oval,39,0,0,2,1.511,11
SYM-1.5-s10,dirt-oval,40,0,0,4,1.503,17
SYM-1.5-s10,dirt-oval,41,0,0,6,1.5043,23
SYM-1.5-s10,dirt-oval,42,0,0,3,1.9124,13
SYM-1.5-s10,dirt-oval,43,0,0,2,1.2016,22
SYM-1.5-s10,dirt-oval,44,0,0,3,1.4163,17
SYM-1.5-s10,dirt-oval,45,0,0,8,0.0625,38
SYM-1.5-s10,dirt-oval,46,0,0,2,0.0799,33
SYM-1.5-s10,dirt-oval,47,0,0,3,1.1045,0
SYM-1.5-s10,dirt-oval,48,0,0,2,0.8096,6
SYM-1.5-s10,dirt-oval,49,0,0,8,0.5126,22
SYM-1.5-s10,dirt-oval,50,0,0,0,3.7995,35
SYM-1.5-s10,dirt-oval,51,0,0,0,4.2356,28
SYM-1.5-s10,dirt-oval,52,0,0,5,0.359,0
SYM-1.5-s10,dirt-oval,53,0,0,3,1.199,33
SYM-1.5-s10,dirt-oval,54,0,0,7,0.8125,7
SYM-1.5-s10,dirt-oval,55,0,0,3,1.454,34
SYM-1.5-s10,dirt-oval,56,0,0,6,0.6241,15
SYM-1.5-s10,dirt-oval,57,0,0,1,1.2188,1
SYM-1.5-s10,dirt-oval,58,0,0,2,0.4222,34
SYM-1.5-s10,dirt-oval,59,0,0,2,1.4853,22
SYM-1.5-s10,dirt-oval,60,0,0,4,0.4648,18
SYM-1.5-s10,dirt-oval,61,0,0,2,0.7009,3
SYM-1.5-s10,dirt-oval,62,0,0,1,1.9542,39
SYM-1.5-s10,dirt-oval,63,0,0,4,1.2413,19
SYM-1.5-s10,dirt-oval,64,0,0,4,0.5891,29
SYM-1.5-s10,dirt-oval,65,0,0,6,0.9802,8
SYM-1.5-s10,dirt-oval,66,0,0,9,0.7373,36
SYM-1.5-s10,dirt-oval,67,0,0,0,3.6829,13
SYM-1.5-s10,dirt-oval,68,0,0,3,1.5538,2
SYM-1.5-s10,dirt-oval,69,0,0,1,1.3466,23
SYM-1.5-s10,dirt-oval,70,0,0,2,0.852,32
SYM-1.5-s10,dirt-oval,71,0,0,2,1.2925,5
SYM-1.5-s10,dirt-oval,72,1,0,0,5.1514,39
SYM-1.5-s10,dirt-oval,73,0,0,4,1.499,9
SYM-1.5-s10,dirt-oval,74,0,0,3,0.9884,14
SYM-1.5-s10,dirt-oval,75,0,0,2,1.1977,30
SYM-1.5-s10,dirt-oval,76,0,0,2,0.987,10
SYM-1.5-s10,dirt-oval,77,0,0,5,0.6889,9
