arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s10,garden-path,1,0,0,2,0.9803,14
SYM-1.5-s10,garden-path,2,0,0,3,1.6627,15
SYM-1.5-s10,garden-path,3,0,0,2,0.2892,24
SYM-1.5-s10,garden-path,4,0,0,1,2.3395,34
SYM-1.5-s10,garden-path,5,0,0,8,0.1939,16
SYM-1.5-s10,garden-path,6,0,0,1,1.75,3
SYM-1.5-s10,garden-path,7,0,0,3,0.7754,23
SYM-1.5-s10,garden-path,8,0,0,9,1.331,22
SYM-1.5-s10,garden-path,9,0,0,2,0.9822,4
SYM-1.5-s10,garden-path,10,0,0,5,0.5064,26
SYM-1.5-s10,garden-path,11,0,0,1,1.2032,39
SYM-1.5-s10,garden-path,12,0,0,1,1.4363,2
SYM-1.5-s10,garden-path,13,0,0,2,0.671,0
SYM-1.5-s10,garden-path,14,0,0,1,2.1616,26
SYM-1.5-s10,garden-path,15,0,0,5,0.9035,38
SYM-1.5-s10,garden-path,16,0,0,6,0.9693,15
SYM-1.5-s10,garden-path,17,0,0,7,0.3988,16
SYM-1.5-s10,garden-path,18,0,0,1,2.2732,1
SYM-1.5-s10,garden-path,19,0,0,3,1.589,33
SYM-1.5-s10,garden-path,20,0,0,0,3.1061,11
SYM-1.5-s10,garden-path,21,0,0,4,0.0924,17
SYM-1.5-s10,garden-path,22,0,0,5,0.3624,5
SYM-1.5-s10,garden-path,23,0,0,2,0.8062,23
SYM-1.5-s10,garden-path,24,0,0,0,3.8019,6
SYM-1.5-s10,garden-path,25,0,0,3,0.6643,2
SYM-1.5-s10,garden-path,26,0,0,1,1.1995,24
SYM-1.5-s10,garden-path,27,0,0,0,4.1797,0
SYM-1.5-s10,garden-path,28,0,0,1,1.339,3
SYM-1.5-s10,garden-path,29,0,0,3,1.824,22
SYM-1.5-s10,garden-path,30,1,0,0,5.473,35
SYM-1.5-s10,garden-path,31,0,0,7,0.5557,39
SYM-1.5-s10,garden-path,32,0,0,5,0.3045,31
SYM-1.5-s10,garden-path,33,1,0,0,3.2517,25
SYM-1.5-s10,garden-path,34,1,0,0,3.85,17
SYM-1.5-s10,garden-path,35,0,0,8,0.2116,1
SYM-1.5-s10,garden-path,36,0,0,1,1.5255,38
SYM-1.5-s10,garden-path,37,0,0,4,0.0329,0
SYM-1.5-s10,garden-path,38,0,0,2,1.2364,35
SYM-1.5-s10,garden-path,39,0,0,1,1.6756,24
SYM-1.5-s10,garden-path,40,0,0,4,1.198,19
SYM-1.5-s10,garden-path,41,0,0,2,1.0969,14
SYM-1.5-s10,garden-path,42,0,0,1,1.4964,25
SYM-1.5-s10,garden-path,43,0,0,10,0.3572,39
SYM-1.5-s10,garden-path,44,0,0,1,1.3445,7
SYM-1.5-s10,garden-path,45,0,0,2,1.5406,3
SYM-1.5-s10,garden-path,46,0,0,13,1.1291,14
SYM-1.5-s10,garden-path,47,1,0,0,4.9779,19
SYM-1.5-s10,garden-path,48,0,0,2,0.3186,24
SYM-1.5-s10,garden-path,49,0,0,2,1.2019,30
SYM-1.5-s10,garden-path,50,0,0,0,3.8916,13
SYM-1.5-s10,garden-path,51,0,0,5,1.0789,8
SYM-1.5-s10,garden-path,52,0,0,1,2.5821,23
SYM-1.5-s10,garden-path,53,0,0,5,1.1246,9
SYM-1.5-s10,garden-path,54,0,0,2,0.6084,31
SYM-1.5-s10,garden-path,55,0,0,3,0.9204,35
SYM-1.5-s10,garden-path,56,0,0,6,1.4874,15
SYM-1.5-s10,garden-path,57,0,0,3,0.6982,3
SYM-1.5-s10,garden-path,58,0,0,4,0.3367,3
SYM-1.5-s10,garden-path,59,1,0,0,3.4248,33
SYM-1.5-s10,garden-path,60,0,0,3,2.1054,8
SYM-1.5-s10,garden-path,61,0,0,2,1.5643,11
SYM-1.5-s10,garden-path,62,0,0,1,2.2392,16
SYM-1.5-s10,garden-path,63,0,0,0,3.5796,24
SYM-1.5-s10,garden-path,64,0,0,5,0.1143,29
SYM-1.5-s10,garden-path,65,0,0,11,0.3869,4
