arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s10,ice-track,1,0,0,12,0.5435,16
SYM-1.5-s10,ice-track,2,0,1,1,1.5015,25
SYM-1.5-s10,ice-track,3,0,0,4,0.8006,9
SYM-1.5-s10,ice-track,4,0,0,1,1.2004,37
SYM-1.5-s10,ice-track,5,0,0,3,1.013,7
SYM-1.5-s10,ice-track,6,0,0,3,1.2004,3
SYM-1.5-s10,ice-track,7,0,0,3,1.2242,18
SYM-1.5-s10,ice-track,8,0,0,2,0.0238,1
SYM-1.5-s10,ice-track,9,0,0,9,0.0402,36
SYM-1.5-s10,ice-track,10,0,0,0,4.54,33
SYM-1.5-s10,ice-track,11,0,0,12,0.6125,17
SYM-1.5-s10,ice-track,12,0,0,2,2.2646,7
SYM-1.5-s10,ice-track,13,0,0,5,0.0625,12
SYM-1.5-s10,ice-track,14,0,0,1,2.208,1
SYM-1.5-s10,ice-track,15,0,1,1,1.9348,27
SYM-1.5-s10,ice-track,16,0,0,1,2.8517,22
SYM-1.5-s10,ice-track,17,0,0,4,0.2705,10
SYM-1.5-s10,ice-track,18,0,0,0,6.3725,6
SYM-1.5-s10,ice-track,19,1,0,0,3.3004,35
SYM-1.5-s10,ice-track,20,0,0,5,0.7046,11
SYM-1.5-s10,ice-track,21,0,0,1,0.6924,25
SYM-1.5-s10,ice-track,22,0,0,2,1.5013,30
SYM-1.5-s10,ice-track,23,0,0,1,1.1714,9
SYM-1.5-s10,ice-track,24,0,0,2,1.524,35
SYM-1.5-s10,ice-track,25,0,0,5,0.5264,7
SYM-1.5-s10,ice-track,26,0,0,14,0.0287,10
SYM-1.5-s10,ice-track,27,1,0,0,4.576,12
SYM-1.5-s10,ice-track,28,0,0,1,1.9712,11
SYM-1.5-s10,ice-track,29,0,0,1,2.0638,30
SYM-1.5-s10,ice-track,30,0,0,8,0.2636,2
SYM-1.5-s10,ice-track,31,0,0,2,2.1506,38
SYM-1.5-s10,ice-track,32,0,0,12,0.3216,26
SYM-1.5-s10,ice-track,33,0,0,8,0.4539,4
SYM-1.5-s10,ice-track,34,0,0,2,1.0827,16
SYM-1.5-s10,ice-track,35,0,0,3,0.4479,35
SYM-1.5-s10,ice-track,36,0,0,7,0.0141,8
SYM-1.5-s10,ice-track,37,0,0,0,3.9428,12
SYM-1.5-s10,ice-track,38,0,0,1,0.9439,1
SYM-1.5-s10,ice-track,39,0,0,1,1.3876,37
SYM-1.5-s10,ice-track,40,0,0,4,1.163,13
SYM-1.5-s10,ice-track,41,0,0,13,0.0642,38
SYM-1.5-s10,ice-track,42,0,0,2,1.1986,15
SYM-1.5-s10,ice-track,43,1,0,0,4.7707,4
SYM-1.5-s10,ice-track,44,1,0,0,4.0644,24
SYM-1.5-s10,ice-track,45,0,0,4,1.3804,18
SYM-1.5-s10,ice-track,46,0,0,2,1.776,18
SYM-1.5-s10,ice-track,47,1,0,0,3.2988,33
SYM-1.5-s10,ice-track,48,0,0,23,0.3434,11
SYM-1.5-s10,ice-track,49,0,0,2,0.0092,33
SYM-1.5-s10,ice-track,50,0,0,1,0.8355,4
SYM-1.5-s10,ice-track,51,0,0,0,3.7574,31
SYM-1.5-s10,ice-track,52,0,0,2,0.7894,37
SYM-1.5-s10,ice-track,53,0,0,6,1.165,15
SYM-1.5-s10,ice-track,54,1,0,0,4.5763,3
SYM-1.5-s10,ice-track,55,0,0,1,1.2825,10
SYM-1.5-s10,ice-track,56,0,1,1,0.3784,17
SYM-1.5-s10,ice-track,57,0,0,1,1.6121,28
SYM-1.5-s10,ice-track,58,0,0,1,1.9066,4
SYM-1.5-s10,ice-track,59,0,0,1,1.6938,2
SYM-1.5-s10,ice-track,60,0,0,10,0.0105,32
SYM-1.5-s10,ice-track,61,0,0,1,0.6817,10
SYM-1.5-s10,ice-track,62,0,0,1,2.6728,38
SYM-1.5-s10,ice-track,63,0,0,20,0.1329,1
SYM-1.5-s10,ice-track,64,0,0,1,2.0359,27
SYM-1.5-s10,ice-track,65,0,0,1,1.1903,24
SYM-1.5-s10,ice-track,66,0,0,4,0.3438,27
SYM-1.5-s10,ice-track,67,0,0,2,0.8804,19
SYM-1.5-s10,ice-track,68,0,0,4,2.0926,1
SYM-1.5-s10,ice-track,69,0,0,6,0.9328,26
SYM-1.5-s10,ice-track,70,0,0,7,0.5513,13
SYM-1.5-s10,ice-track,71,0,0,2,0.4016,23
SYM-1.5-s10,ice-track,72,0,0,2,0.9473,23
SYM-1.5-s10,ice-track,73,0,0,2,1.1958,29
