arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s10,river-run,1,0,0,1,2.4958,32
SYM-1.5-s10,river-run,2,0,0,2,0.293,11
SYM-1.5-s10,river-run,3,0,0,2,1.3251,9
SYM-1.5-s10,river-run,4,0,0,1,0.645,4
SYM-1.5-s10,river-run,5,0,0,1,2.9843,1
SYM-1.5-s10,river-run,6,0,0,2,1.4692,39
SYM-1.5-s10,river-run,7,0,0,3,1.6444,36
SYM-1.5-s10,river-run,8,0,0,11,0.0323,33
SYM-1.5-s10,river-run,9,0,0,5,2.5587,9
SYM-1.5-s10,river-run,10,0,0,4,0.1828,1
SYM-1.5-s10,river-run,11,0,0,0,3.4998,19
SYM-1.5-s10,river-run,12,0,0,3,0.2788,21
SYM-1.5-s10,river-run,13,0,0,3,0.553,39
SYM-1.5-s10,river-run,14,0,0,1,0.0719,36
SYM-1.5-s10,river-run,15,0,0,0,3.7968,18
SYM-1.5-s10,river-run,16,0,0,0,3.4655,1
SYM-1.5-s10,river-run,17,0,0,3,0.3414,22
SYM-1.5-s10,river-run,18,0,0,2,1.404,19
SYM-1.5-s10,river-run,19,1,0,0,4.1002,22
SYM-1.5-s10,river-run,20,0,0,1,1.0013,36
SYM-1.5-s10,river-run,21,0,0,4,0.3082,28
SYM-1.5-s10,river-run,22,0,0,1,1.4545,1
SYM-1.5-s10,river-run,23,0,0,1,2.8148,30
SYM-1.5-s10,river-run,24,0,0,1,2.1885,32
SYM-1.5-s10,river-run,25,0,0,2,2.3069,22
SYM-1.5-s10,river-run,26,0,0,3,2.1259,0
SYM-1.5-s10,river-run,27,0,0,4,0.1879,9
SYM-1.5-s10,river-run,28,0,0,3,0.9359,13
SYM-1.5-s10,river-run,29,0,0,5,1.0576,27
SYM-1.5-s10,river-run,30,0,0,1,1.1964,25
SYM-1.5-s10,river-run,31,0,0,2,1.9787,5
SYM-1.5-s10,river-run,32,1,0,0,3.5389,36
SYM-1.5-s10,river-run,33,0,0,1,1.2003,30
SYM-1.5-s10,river-run,34,0,0,1,2.8116,28
SYM-1.5-s10,river-run,35,0,0,1,0.5539,17
SYM-1.5-s10,river-run,36,0,1,1,1.3552,18
SYM-1.5-s10,river-run,37,0,0,5,0.7913,35
SYM-1.5-s10,river-run,38,0,0,3,0.4129,15
SYM-1.5-s10,river-run,39,0,0,4,0.2596,29
SYM-1.5-s10,river-run,40,0,0,2,0.3771,15
SYM-1.5-s10,river-run,41,0,0,3,0.248,18
SYM-1.5-s10,river-run,42,0,0,1,1.2791,3
SYM-1.5-s10,river-run,43,0,0,2,1.2061,8
SYM-1.5-s10,river-run,44,0,0,8,0.0632,9
SYM-1.5-s10,river-run,45,0,0,2,1.1365,29
SYM-1.5-s10,river-run,46,0,0,1,1.81,24
