arm,track,seed,runaway,parade,within3,gap090,leaderIdx
SYM-1.5-s10,searound,1,1,0,0,4.4821,11
SYM-1.5-s10,searound,2,0,0,1,1.617,19
SYM-1.5-s10,searound,3,0,0,2,1.7296,35
SYM-1.5-s10,searound,4,0,0,1,1.3346,20
SYM-1.5-s10,searound,5,0,0,1,1.0109,25
SYM-1.5-s10,searound,6,1,0,0,5.9339,11
SYM-1.5-s10,searound,7,0,0,7,0.1217,38
SYM-1.5-s10,searound,8,0,0,1,1.3041,13
SYM-1.5-s10,searound,9,0,0,6,0.7028,35
SYM-1.5-s10,searound,10,0,0,3,0.5726,25
SYM-1.5-s10,searound,11,0,0,1,1.5005,27
SYM-1.5-s10,searound,12,1,0,0,3.5091,11
SYM-1.5-s10,searound,13,0,1,5,0.4176,28
SYM-1.5-s10,searound,14,0,0,6,0.9214,22
SYM-1.5-s10,searound,15,1,0,0,4.1782,33
SYM-1.5-s10,searound,16,0,0,2,1.5642,15
SYM-1.5-s10,searound,17,0,0,0,3.995,32
SYM-1.5-s10,searound,18,1,0,0,3.7066,1
SYM-1.5-s10,searound,19,0,0,1,1.1335,23
SYM-1.5-s10,searound,20,1,0,0,4.4303,33
SYM-1.5-s10,searound,21,0,0,2,1.2016,15
SYM-1.5-s10,searound,22,0,0,1,1.641,19
SYM-1.5-s10,searound,23,0,0,1,2.0852,18
SYM-1.5-s10,searound,24,0,0,11,0.4108,2
SYM-1.5-s10,searound,25,0,0,1,2.1085,13
SYM-1.5-s10,searound,26,0,0,3,0.5583,36
SYM-1.5-s10,searound,27,0,0,1,0.9686,4
SYM-1.5-s10,searound,28,0,0,1,1.2005,5
SYM-1.5-s10,searound,29,0,0,1,1.4998,25
SYM-1.5-s10,searound,30,1,0,0,3.649,8
SYM-1.5-s10,searound,31,1,0,0,3.187,14
SYM-1.5-s10,searound,32,0,0,8,0.8375,34
SYM-1.5-s10,searound,33,0,0,2,1.0333,36
SYM-1.5-s10,searound,34,0,0,2,0.6328,19
SYM-1.5-s10,searound,35,0,0,2,1.1996,10
SYM-1.5-s10,searound,36,0,0,0,3.4709,2
SYM-1.5-s10,searound,37,0,0,0,5.2033,28
SYM-1.5-s10,searound,38,0,0,1,1.9136,13
SYM-1.5-s10,searound,39,0,0,9,0.8597,14
SYM-1.5-s10,searound,40,0,0,2,1.1981,3
SYM-1.5-s10,searound,41,0,0,9,0.4048,3
SYM-1.5-s10,searound,42,0,0,6,0.1332,28
SYM-1.5-s10,searound,43,0,0,8,0.2832,0
SYM-1.5-s10,searound,44,0,0,2,2.3182,39
SYM-1.5-s10,searound,45,0,0,4,0.299,14
SYM-1.5-s10,searound,46,0,0,1,1.4762,7
SYM-1.5-s10,searound,47,0,0,1,2.648,3
SYM-1.5-s10,searound,48,0,0,3,1.2568,38
SYM-1.5-s10,searound,49,0,0,7,0.4148,33
SYM-1.5-s10,searound,50,0,0,4,1.6658,33
SYM-1.5-s10,searound,51,0,0,8,0.2656,21
SYM-1.5-s10,searound,52,0,0,4,1.4325,11
SYM-1.5-s10,searound,53,0,0,2,0.9722,7
