arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,city-circuit,1,1,0,0,5.2417,6
V0,city-circuit,2,0,0,3,2.2231,7
V0,city-circuit,3,1,0,0,3.2433,24
V0,city-circuit,4,0,0,3,2.0153,3
V0,city-circuit,5,0,0,3,0.9456,9
V0,city-circuit,6,1,0,0,3.5416,29
V0,city-circuit,7,0,0,1,2.8454,18
V0,city-circuit,8,0,0,1,2.7231,27
V0,city-circuit,9,0,0,1,1.2979,5
V0,city-circuit,10,0,0,3,1.1596,5
V0,city-circuit,11,1,0,0,5.7997,5
V0,city-circuit,12,1,0,0,6.3443,39
V0,city-circuit,13,0,0,0,4.5474,16
V0,city-circuit,14,0,0,1,1.4783,38
V0,city-circuit,15,1,0,0,4.3474,17
V0,city-circuit,16,0,0,4,1.0733,30
V0,city-circuit,17,0,0,1,2.8653,4
V0,city-circuit,18,0,0,1,1.3244,25
V0,city-circuit,19,0,0,11,0.1176,21
V0,city-circuit,20,0,0,3,1.1453,36
V0,city-circuit,21,0,0,2,1.1005,28
V0,city-circuit,22,0,0,3,1.5053,23
V0,city-circuit,23,0,0,8,0.3385,6
V0,city-circuit,24,0,0,4,0.079,32
V0,city-circuit,25,0,0,2,0.1858,30
V0,city-circuit,26,0,0,2,1.3394,22
V0,city-circuit,27,1,0,0,3.8689,33
V0,city-circuit,28,0,0,2,2.033,31
V0,city-circuit,29,0,0,1,0.5418,38
V0,city-circuit,30,1,0,0,5.9223,26
V0,city-circuit,31,0,0,6,0.6266,22
V0,city-circuit,32,0,0,3,1.0555,38
V0,city-circuit,33,1,0,0,10.4751,11
V0,city-circuit,34,0,0,2,0.9299,32
V0,city-circuit,35,0,0,2,1.0033,35
V0,city-circuit,36,0,0,1,1.254,19
V0,city-circuit,37,0,0,3,0.3127,36
V0,city-circuit,38,1,0,0,6.7939,35
V0,city-circuit,39,0,0,7,1.1981,12
V0,city-circuit,40,0,0,3,1.3119,19
V0,city-circuit,41,0,0,7,0.2685,17
V0,city-circuit,42,0,0,2,1.5616,20
V0,city-circuit,43,1,0,0,5.7232,22
V0,city-circuit,44,1,0,0,8.6011,38
V0,city-circuit,45,0,0,1,1.1998,18
V0,city-circuit,46,0,0,2,1.4437,31
V0,city-circuit,47,0,0,2,0.8388,6
V0,city-circuit,48,0,0,2,1.3557,5
V0,city-circuit,49,0,0,2,2.4024,17
V0,city-circuit,50,1,0,0,11.0381,25
V0,city-circuit,51,0,0,10,0.088,22
V0,city-circuit,52,0,0,7,1.0797,0
V0,city-circuit,53,1,0,0,9.7272,5
V0,city-circuit,54,0,0,5,1.5351,29
V0,city-circuit,55,0,0,7,0.2138,18
V0,city-circuit,56,1,0,0,3.28,1
V0,city-circuit,57,1,0,0,3.5233,14
V0,city-circuit,58,0,0,1,1.5381,22
V0,city-circuit,59,0,0,2,1.4302,23
V0,city-circuit,60,0,0,3,2.4114,1
V0,city-circuit,61,0,0,0,3.3868,39
V0,city-circuit,62,0,1,1,1.4981,13
V0,city-circuit,63,0,0,2,0.9217,0
V0,city-circuit,64,0,0,1,0.3508,27
V0,city-circuit,65,1,0,0,3.2165,21
V0,city-circuit,66,0,1,3,0.8134,6
V0,city-circuit,67,0,0,1,0.8427,11
V0,city-circuit,68,0,0,1,1.5252,31
V0,city-circuit,69,1,0,0,6.5579,35
V0,city-circuit,70,0,0,2,0.2438,9
V0,city-circuit,71,1,0,0,4.7143,3
V0,city-circuit,72,1,0,0,6.1568,12
V0,city-circuit,73,0,0,2,0.0711,24
V0,city-circuit,74,1,0,0,4.5454,21
V0,city-circuit,75,1,0,0,7.3163,6
V0,city-circuit,76,1,0,0,6.2568,37
V0,city-circuit,77,1,0,0,4.737,3
V0,city-circuit,78,1,0,0,3.2117,38
V0,city-circuit,79,0,0,3,0.9057,21
V0,city-circuit,80,0,0,3,0.1027,12
V0,city-circuit,81,0,0,7,0.0836,28
V0,city-circuit,82,0,0,6,1.8844,37
V0,city-circuit,83,0,0,2,0.9777,27
V0,city-circuit,84,1,0,0,3.9503,8
V0,city-circuit,85,1,0,0,3.2304,35
V0,city-circuit,86,1,0,0,5.3853,30
V0,city-circuit,87,0,0,0,3.0826,27
V0,city-circuit,88,1,0,0,3.1559,0
V0,city-circuit,89,0,0,1,1.4518,0
V0,city-circuit,90,0,0,6,0.937,24
V0,city-circuit,91,1,0,0,10.3692,28
V0,city-circuit,92,1,0,0,4.8674,13
V0,city-circuit,93,0,1,1,0.2767,36
V0,city-circuit,94,1,0,0,3.4618,15
V0,city-circuit,95,1,0,0,6.4402,8
V0,city-circuit,96,0,0,1,0.8407,26
V0,city-circuit,97,0,0,2,0.8881,9
V0,city-circuit,98,1,0,0,4.7494,0
V0,city-circuit,99,0,0,5,1.2472,38
V0,city-circuit,100,0,0,3,0.1203,36
V0,city-circuit,101,1,0,0,8.9955,28
V0,city-circuit,102,0,0,0,3.8022,12
V0,city-circuit,103,0,0,2,1.6187,31
V0,city-circuit,104,0,0,9,0.6083,10
V0,city-circuit,105,0,0,1,1.5006,7
V0,city-circuit,106,0,0,3,0.5426,34
V0,city-circuit,107,0,0,4,1.0176,7
V0,city-circuit,108,0,0,4,0.7523,2
V0,city-circuit,109,0,0,1,1.6861,37
V0,city-circuit,110,0,0,2,0.0873,25
V0,city-circuit,111,0,0,1,2.47,11
V0,city-circuit,112,0,0,1,2.298,34
V0,city-circuit,113,0,0,3,1.1012,4
V0,city-circuit,114,1,0,0,3.4225,27
V0,city-circuit,115,0,0,4,0.8663,2
V0,city-circuit,116,1,0,0,5.5894,19
V0,city-circuit,117,0,0,1,1.8804,35
V0,city-circuit,118,0,0,4,0.0753,33
V0,city-circuit,119,0,0,8,1.1994,7
V0,city-circuit,120,0,0,2,0.0847,29
V0,city-circuit,121,0,0,1,1.0054,18
V0,city-circuit,122,0,0,1,2.0239,32
V0,city-circuit,123,1,0,0,4.8338,9
V0,city-circuit,124,0,0,1,1.1982,17
V0,city-circuit,125,1,0,0,7.7469,20
V0,city-circuit,126,0,0,8,0.1707,22
V0,city-circuit,127,0,0,4,1.2609,29
V0,city-circuit,128,1,0,0,4.1605,28
V0,city-circuit,129,0,0,0,5.2807,10
V0,city-circuit,130,1,0,0,5.301,23
V0,city-circuit,131,0,0,4,0.8862,33
V0,city-circuit,132,0,0,2,2.5529,39
V0,city-circuit,133,0,0,2,2.0075,34
V0,city-circuit,134,1,0,0,4.2672,34
V0,city-circuit,135,1,0,0,9.6405,8
V0,city-circuit,136,0,0,1,1.7663,17
V0,city-circuit,137,0,0,3,1.5098,14
V0,city-circuit,138,0,0,9,0.3664,10
V0,city-circuit,139,1,0,0,4.1674,24
V0,city-circuit,140,0,0,3,2.3328,10
V0,city-circuit,141,0,0,13,0.5583,2
V0,city-circuit,142,0,0,4,0.5681,32
V0,city-circuit,143,0,0,6,0.7432,36
V0,city-circuit,144,0,0,1,1.2001,18
V0,city-circuit,145,0,0,1,1.2008,25
V0,city-circuit,146,0,0,1,2.5679,7
V0,city-circuit,147,1,0,0,3.5828,11
V0,city-circuit,148,0,0,2,0.0939,9
V0,city-circuit,149,0,0,1,2.512,17
V0,city-circuit,150,0,0,1,1.3554,16
V0,city-circuit,151,1,0,0,3.5605,5
V0,city-circuit,152,0,0,6,1.9973,35
V0,city-circuit,153,0,0,9,0.0318,0
V0,city-circuit,154,0,0,4,0.0726,31
V0,city-circuit,155,1,0,0,5.7661,23
V0,city-circuit,156,0,0,3,1.7677,10
V0,city-circuit,157,1,0,0,10.3011,23
V0,city-circuit,158,1,0,0,3.7595,2
V0,city-circuit,159,1,0,0,3.7138,33
V0,city-circuit,160,0,0,9,0.1957,25
V0,city-circuit,161,0,0,2,2.0259,12
V0,city-circuit,162,0,0,4,0.7921,20
V0,city-circuit,163,0,0,8,1.3097,26
V0,city-circuit,164,0,0,5,0.547,14
V0,city-circuit,165,0,1,1,0.8336,1
V0,city-circuit,166,1,0,0,5.5279,17
V0,city-circuit,167,0,0,3,0.81,16
V0,city-circuit,168,0,0,7,0.9738,20
V0,city-circuit,169,0,0,2,1.4086,22
V0,city-circuit,170,0,0,4,0.6379,39
V0,city-circuit,171,0,0,4,1.3706,31
V0,city-circuit,172,0,0,9,0.6131,37
V0,city-circuit,173,0,0,4,0.3067,16
V0,city-circuit,174,1,0,0,4.9803,34
V0,city-circuit,175,0,0,1,0.976,19
V0,city-circuit,176,0,0,6,1.3267,7
V0,city-circuit,177,0,0,1,1.3129,34
V0,city-circuit,178,0,0,5,0.0085,16
V0,city-circuit,179,0,0,3,2.5478,27
V0,city-circuit,180,0,0,1,1.9355,5
V0,city-circuit,181,1,0,0,7.4049,13
V0,city-circuit,182,0,0,1,0.9782,32
V0,city-circuit,183,0,0,1,1.504,11
V0,city-circuit,184,0,0,2,1.2023,19
V0,city-circuit,185,0,0,3,0.5124,15
V0,city-circuit,186,0,0,2,0.3455,11
V0,city-circuit,187,1,0,0,3.2357,29
V0,city-circuit,188,0,0,10,0.3485,35
V0,city-circuit,189,0,0,3,0.8741,39
V0,city-circuit,190,0,0,4,1.5198,19
V0,city-circuit,191,1,0,0,9.8786,32
V0,city-circuit,192,0,0,5,2.1039,34
V0,city-circuit,193,1,0,0,7.0758,6
V0,city-circuit,194,1,0,0,4.0289,8
V0,city-circuit,195,0,0,3,1.4104,5
V0,city-circuit,196,0,0,2,1.2356,10
V0,city-circuit,197,0,1,0,4.8175,14
V0,city-circuit,198,1,0,0,7.1199,17
V0,city-circuit,199,0,0,2,0.1054,27
V0,city-circuit,200,0,0,3,0.716,5
