arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,dirt-oval,1,1,0,0,7.6255,10
V0,dirt-oval,2,0,0,3,1.2936,24
V0,dirt-oval,3,0,0,3,1.8997,0
V0,dirt-oval,4,0,0,1,0.0641,16
V0,dirt-oval,5,0,0,1,1.529,38
V0,dirt-oval,6,0,0,1,1.2005,24
V0,dirt-oval,7,1,0,0,6.68,20
V0,dirt-oval,8,0,0,2,1.1981,30
V0,dirt-oval,9,0,0,11,0.8738,26
V0,dirt-oval,10,0,0,2,1.1935,4
V0,dirt-oval,11,0,0,2,0.6057,33
V0,dirt-oval,12,0,0,3,1.1311,38
V0,dirt-oval,13,1,0,0,9.4713,11
V0,dirt-oval,14,0,0,2,2.7053,23
V0,dirt-oval,15,0,0,3,1.2019,26
V0,dirt-oval,16,0,0,4,1.0741,31
V0,dirt-oval,17,1,0,0,6.2047,38
V0,dirt-oval,18,0,0,0,4.4885,28
V0,dirt-oval,19,0,0,3,0.2302,20
V0,dirt-oval,20,0,0,1,2.7105,36
V0,dirt-oval,21,0,0,1,1.2051,35
V0,dirt-oval,22,0,0,6,0.0935,18
V0,dirt-oval,23,0,0,1,0.8516,0
V0,dirt-oval,24,0,0,4,0.8161,13
V0,dirt-oval,25,1,0,0,3.7156,19
V0,dirt-oval,26,1,0,0,4.5791,6
V0,dirt-oval,27,0,0,1,1.4978,17
V0,dirt-oval,28,0,0,5,0.9818,33
V0,dirt-oval,29,0,1,0,4.6432,19
V0,dirt-oval,30,1,0,0,7.2128,20
V0,dirt-oval,31,1,0,0,6.2603,22
V0,dirt-oval,32,0,0,4,0.568,39
V0,dirt-oval,33,1,0,0,6.5906,12
V0,dirt-oval,34,0,0,2,0.6433,32
V0,dirt-oval,35,1,0,0,3.0285,37
V0,dirt-oval,36,0,0,1,2.598,23
V0,dirt-oval,37,0,0,2,2.3149,17
V0,dirt-oval,38,0,0,1,0.7948,28
V0,dirt-oval,39,0,0,1,1.511,11
V0,dirt-oval,40,0,0,5,0.9526,17
V0,dirt-oval,41,1,0,0,3.5254,8
V0,dirt-oval,42,0,0,3,2.2801,13
V0,dirt-oval,43,0,0,2,1.2016,22
V0,dirt-oval,44,0,0,3,1.4994,27
V0,dirt-oval,45,0,0,1,2.5328,27
V0,dirt-oval,46,0,0,2,1.1959,14
V0,dirt-oval,47,0,0,2,1.2011,26
V0,dirt-oval,48,0,1,1,1.1977,6
V0,dirt-oval,49,0,0,8,0.5126,22
V0,dirt-oval,50,1,0,0,14.3109,35
V0,dirt-oval,51,0,0,2,1.2378,28
V0,dirt-oval,52,0,0,2,1.6244,22
V0,dirt-oval,53,0,0,4,0.8254,33
V0,dirt-oval,54,0,0,8,1.5545,7
V0,dirt-oval,55,0,0,2,1.4683,34
V0,dirt-oval,56,0,0,4,1.6002,18
V0,dirt-oval,57,0,0,2,1.982,3
V0,dirt-oval,58,0,0,2,1.4995,27
V0,dirt-oval,59,0,0,1,1.2002,22
V0,dirt-oval,60,1,0,0,10.6914,15
V0,dirt-oval,61,1,0,0,6.8991,5
V0,dirt-oval,62,1,0,0,3.8346,39
V0,dirt-oval,63,1,0,0,5.1099,19
V0,dirt-oval,64,0,0,3,0.002,29
V0,dirt-oval,65,0,0,2,1.1801,8
V0,dirt-oval,66,0,0,1,0.6801,11
V0,dirt-oval,67,1,0,0,4.4766,13
V0,dirt-oval,68,1,0,0,3.1317,2
V0,dirt-oval,69,0,0,2,0.2221,23
V0,dirt-oval,70,0,0,2,1.1134,3
V0,dirt-oval,71,1,0,0,4.6951,38
V0,dirt-oval,72,1,0,0,6.1797,39
V0,dirt-oval,73,0,0,4,1.4997,9
V0,dirt-oval,74,0,0,3,1.1776,14
V0,dirt-oval,75,0,1,2,0.6593,6
V0,dirt-oval,76,0,0,2,0.9416,10
V0,dirt-oval,77,1,0,0,4.2702,9
V0,dirt-oval,78,0,0,4,0.008,38
V0,dirt-oval,79,1,0,0,5.5566,8
V0,dirt-oval,80,0,0,3,0.0426,28
V0,dirt-oval,81,0,0,1,1.4801,21
V0,dirt-oval,82,0,0,1,2.6594,15
V0,dirt-oval,83,0,0,2,0.9119,5
V0,dirt-oval,84,0,0,2,1.1996,25
V0,dirt-oval,85,1,0,0,3.8281,14
V0,dirt-oval,86,1,0,0,4.5874,31
V0,dirt-oval,87,1,0,0,9.4163,8
V0,dirt-oval,88,1,0,0,7.647,12
V0,dirt-oval,89,0,0,2,0.1378,13
V0,dirt-oval,90,0,0,5,1.1418,14
V0,dirt-oval,91,0,0,5,0.0832,34
V0,dirt-oval,92,1,0,0,5.3824,21
V0,dirt-oval,93,1,0,0,4.0069,36
V0,dirt-oval,94,0,0,4,0.4854,0
V0,dirt-oval,95,0,0,1,2.7721,16
V0,dirt-oval,96,0,0,2,1.1052,15
V0,dirt-oval,97,0,0,3,0.5549,4
V0,dirt-oval,98,0,0,1,2.095,21
V0,dirt-oval,99,0,0,7,1.7114,19
V0,dirt-oval,100,0,0,4,0.9012,23
V0,dirt-oval,101,0,0,6,0.5135,27
V0,dirt-oval,102,0,0,5,1.4851,30
V0,dirt-oval,103,0,0,4,1.9705,18
V0,dirt-oval,104,0,0,9,0.2989,3
V0,dirt-oval,105,0,0,13,0.0609,28
V0,dirt-oval,106,0,0,3,0.2338,2
V0,dirt-oval,107,0,0,7,0.1112,9
V0,dirt-oval,108,0,0,3,0.497,26
V0,dirt-oval,109,1,0,0,4.4607,19
V0,dirt-oval,110,0,0,4,2.6127,18
V0,dirt-oval,111,1,0,0,3.3885,17
V0,dirt-oval,112,0,0,4,0.1944,16
V0,dirt-oval,113,0,0,5,1.2679,31
V0,dirt-oval,114,0,0,8,0.0096,35
V0,dirt-oval,115,0,0,1,1.6917,11
V0,dirt-oval,116,1,0,0,4.498,29
V0,dirt-oval,117,0,0,2,1.468,28
V0,dirt-oval,118,0,0,7,1.6987,17
V0,dirt-oval,119,0,0,2,1.338,39
V0,dirt-oval,120,0,0,1,1.9132,11
V0,dirt-oval,121,0,0,7,0.1676,31
V0,dirt-oval,122,0,0,1,2.671,5
V0,dirt-oval,123,0,0,1,1.2336,32
V0,dirt-oval,124,0,0,2,0.1508,1
V0,dirt-oval,125,0,0,1,1.3628,39
V0,dirt-oval,126,0,0,1,1.0539,36
V0,dirt-oval,127,0,0,1,2.5713,36
V0,dirt-oval,128,0,0,1,0.8857,24
V0,dirt-oval,129,0,0,1,0.3573,33
V0,dirt-oval,130,1,0,0,4.5386,30
V0,dirt-oval,131,0,0,3,1.0682,11
V0,dirt-oval,132,0,0,3,1.1988,38
V0,dirt-oval,133,1,0,0,3.3359,30
V0,dirt-oval,134,0,0,2,0.4855,24
V0,dirt-oval,135,0,0,3,0.2922,37
