arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,garden-path,1,0,0,1,1.5766,10
V0,garden-path,2,0,0,6,0.8777,15
V0,garden-path,3,0,1,3,0.0303,24
V0,garden-path,4,1,0,0,7.069,34
V0,garden-path,5,0,0,9,0.1939,16
V0,garden-path,6,1,0,0,5.9771,3
V0,garden-path,7,0,0,2,0.5824,9
V0,garden-path,8,0,0,2,1.2013,13
V0,garden-path,9,0,0,2,0.8239,4
V0,garden-path,10,0,0,5,0.5064,26
V0,garden-path,11,0,0,1,0.5609,39
V0,garden-path,12,0,0,1,0.1359,2
V0,garden-path,13,1,0,0,7.9976,39
V0,garden-path,14,0,0,2,1.9242,26
V0,garden-path,15,0,0,5,0.8317,21
V0,garden-path,16,0,0,3,0.5541,2
V0,garden-path,17,0,0,8,0.9424,34
V0,garden-path,18,1,0,0,12.2037,1
V0,garden-path,19,0,0,6,0.0068,12
V0,garden-path,20,1,0,0,3.1823,11
V0,garden-path,21,1,0,0,4.6804,13
V0,garden-path,22,0,0,4,1.5956,22
V0,garden-path,23,0,0,2,1.3299,5
V0,garden-path,24,1,0,0,6.8431,6
V0,garden-path,25,0,0,0,3.3495,34
V0,garden-path,26,1,0,0,4.001,24
V0,garden-path,27,0,0,3,1.4234,0
V0,garden-path,28,0,0,1,1.3845,3
V0,garden-path,29,0,0,2,1.8349,22
V0,garden-path,30,1,0,0,7.6534,35
V0,garden-path,31,0,0,5,0.7422,11
V0,garden-path,32,1,0,0,6.8366,31
V0,garden-path,33,1,0,0,3.3883,25
V0,garden-path,34,0,0,2,1.4011,17
V0,garden-path,35,0,0,3,0.6128,1
V0,garden-path,36,0,0,2,0.3921,38
V0,garden-path,37,0,0,3,1.1964,0
V0,garden-path,38,0,0,2,1.2715,35
V0,garden-path,39,0,0,1,1.5866,24
V0,garden-path,40,0,0,1,1.4195,19
V0,garden-path,41,0,0,1,2.0586,34
V0,garden-path,42,0,1,1,0.4246,25
V0,garden-path,43,0,0,10,0.3572,39
V0,garden-path,44,0,0,1,1.3446,7
V0,garden-path,45,1,0,0,3.6191,3
V0,garden-path,46,0,0,11,1.2378,14
V0,garden-path,47,1,0,0,12.433,19
V0,garden-path,48,1,0,0,6.1602,24
V0,garden-path,49,0,0,2,0.8873,30
V0,garden-path,50,0,0,1,2.9702,13
V0,garden-path,51,0,0,2,1.2023,8
V0,garden-path,52,1,0,0,8.8534,23
V0,garden-path,53,0,0,1,1.1989,9
V0,garden-path,54,0,0,1,2.6721,31
V0,garden-path,55,1,0,0,7.4459,16
V0,garden-path,56,0,0,5,1.2555,15
V0,garden-path,57,0,0,1,2.4082,3
V0,garden-path,58,0,0,4,0.1691,3
V0,garden-path,59,0,0,2,0.766,33
V0,garden-path,60,0,0,2,0.8369,8
V0,garden-path,61,0,0,1,2.7844,34
V0,garden-path,62,1,0,0,7.7798,16
V0,garden-path,63,0,0,1,1.1984,24
V0,garden-path,64,1,0,0,10.3659,29
V0,garden-path,65,0,0,11,0.3627,4
V0,garden-path,66,0,0,5,0.0505,39
V0,garden-path,67,0,0,1,1.4284,21
V0,garden-path,68,0,0,5,0.6035,35
V0,garden-path,69,0,0,3,1.2011,29
V0,garden-path,70,0,0,2,0.6036,5
V0,garden-path,71,0,0,1,0.6571,12
V0,garden-path,72,1,0,0,6.9992,34
V0,garden-path,73,0,0,1,1.2,31
V0,garden-path,74,0,0,3,1.4131,18
V0,garden-path,75,0,0,1,1.3472,34
V0,garden-path,76,0,0,4,1.7776,38
V0,garden-path,77,0,0,3,0.8365,34
V0,garden-path,78,0,0,2,1.4656,6
V0,garden-path,79,0,0,3,1.367,6
V0,garden-path,80,0,0,1,2.3273,19
V0,garden-path,81,0,0,6,0.6645,6
V0,garden-path,82,0,0,0,3.9939,25
V0,garden-path,83,1,0,0,4.3345,28
V0,garden-path,84,1,0,0,4.9086,18
V0,garden-path,85,0,0,1,1.1968,12
V0,garden-path,86,0,0,10,0.7825,18
V0,garden-path,87,0,0,6,0.0275,13
V0,garden-path,88,0,0,20,0.2773,15
V0,garden-path,89,0,0,1,0.0954,2
V0,garden-path,90,1,0,0,3.5714,26
V0,garden-path,91,0,1,1,0.7951,23
V0,garden-path,92,0,0,5,0.9956,16
V0,garden-path,93,1,0,0,7.5042,17
V0,garden-path,94,0,0,9,0.1143,15
V0,garden-path,95,0,0,1,2.6461,18
V0,garden-path,96,0,0,1,2.426,35
V0,garden-path,97,0,0,1,2.2507,3
V0,garden-path,98,0,0,1,1.4742,16
V0,garden-path,99,1,0,0,5.5739,32
V0,garden-path,100,1,0,0,3.9144,39
V0,garden-path,101,1,0,0,6.582,25
V0,garden-path,102,0,0,9,0.3129,6
V0,garden-path,103,0,0,9,0.0118,32
V0,garden-path,104,0,0,1,0.8543,5
V0,garden-path,105,1,0,0,4.8629,1
V0,garden-path,106,0,0,2,2.0405,35
V0,garden-path,107,0,0,2,1.4359,33
V0,garden-path,108,0,0,2,2.022,20
V0,garden-path,109,0,0,3,1.5006,17
V0,garden-path,110,0,0,9,0.0662,27
V0,garden-path,111,0,0,4,0.4706,7
V0,garden-path,112,0,0,1,2.9832,29
V0,garden-path,113,1,0,0,3.2502,35
V0,garden-path,114,0,0,6,1.8406,13
V0,garden-path,115,1,0,0,7.6725,17
V0,garden-path,116,0,0,1,1.1556,2
V0,garden-path,117,0,0,2,1.0577,1
V0,garden-path,118,1,0,0,3.6932,21
V0,garden-path,119,0,0,1,1.8034,25
V0,garden-path,120,0,0,1,0.795,31
V0,garden-path,121,1,0,0,6.2356,2
V0,garden-path,122,1,0,0,6.0057,34
V0,garden-path,123,0,0,2,1.1971,3
V0,garden-path,124,0,0,0,5.4348,32
V0,garden-path,125,0,0,1,1.1997,31
V0,garden-path,126,0,0,0,3.7341,24
V0,garden-path,127,0,0,2,1.1229,6
V0,garden-path,128,0,0,1,0.6476,17
V0,garden-path,129,0,0,1,2.2566,37
V0,garden-path,130,0,0,1,1.4651,15
V0,garden-path,131,0,0,2,1.1701,4
V0,garden-path,132,0,0,1,1.2038,12
V0,garden-path,133,0,0,2,0.6471,1
V0,garden-path,134,0,0,3,1.4618,16
V0,garden-path,135,0,0,6,1.1823,9
V0,garden-path,136,1,0,0,3.8703,19
