arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,ice-track,1,0,0,12,0.5435,16
V0,ice-track,2,0,0,1,0.4138,19
V0,ice-track,3,0,0,1,1.313,24
V0,ice-track,4,0,0,1,1.503,37
V0,ice-track,5,0,0,5,0.0594,10
V0,ice-track,6,0,0,2,1.2002,3
V0,ice-track,7,0,0,2,0.6495,21
V0,ice-track,8,0,0,1,0.3923,25
V0,ice-track,9,0,0,8,0.8636,11
V0,ice-track,10,1,0,0,9.4666,33
V0,ice-track,11,0,0,16,0.5107,17
V0,ice-track,12,0,0,4,1.5232,7
V0,ice-track,13,0,0,5,0.0625,12
V0,ice-track,14,0,1,1,0.325,1
V0,ice-track,15,0,1,1,1.3763,27
V0,ice-track,16,0,0,1,1.943,22
V0,ice-track,17,0,0,2,1.2214,10
V0,ice-track,18,1,0,0,11.3475,6
V0,ice-track,19,0,0,1,1.5183,35
V0,ice-track,20,0,0,4,0.2863,1
V0,ice-track,21,0,0,1,2.5684,8
V0,ice-track,22,1,0,0,8.5527,30
V0,ice-track,23,0,0,2,1.1873,30
V0,ice-track,24,0,0,1,2.4803,35
V0,ice-track,25,0,0,4,0.4206,7
V0,ice-track,26,1,0,0,7.7863,4
V0,ice-track,27,1,0,0,5.4573,12
V0,ice-track,28,0,0,1,1.9712,11
V0,ice-track,29,0,0,1,2.3411,30
V0,ice-track,30,0,0,7,0.8451,2
V0,ice-track,31,1,0,0,3.6997,38
V0,ice-track,32,0,0,12,0.3216,26
V0,ice-track,33,0,0,8,0.0378,19
V0,ice-track,34,0,0,1,1.3667,16
V0,ice-track,35,0,0,1,1.076,35
V0,ice-track,36,0,0,7,0.0141,8
V0,ice-track,37,0,0,1,1.2001,0
V0,ice-track,38,1,0,0,11.1276,14
V0,ice-track,39,0,0,1,2.2656,37
V0,ice-track,40,0,0,6,0.3079,13
V0,ice-track,41,0,0,13,0.0536,38
V0,ice-track,42,0,0,2,1.1961,15
V0,ice-track,43,1,0,0,9.4415,4
V0,ice-track,44,0,0,1,0.4202,24
V0,ice-track,45,1,0,0,3.0708,18
V0,ice-track,46,0,0,1,1.7784,18
V0,ice-track,47,1,0,0,4.4291,33
V0,ice-track,48,0,0,23,0.1479,4
V0,ice-track,49,0,0,3,0.263,17
V0,ice-track,50,1,0,0,6.869,4
V0,ice-track,51,1,0,0,3.3903,31
