arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,searound,1,1,0,0,7.3055,11
V0,searound,2,0,0,4,0.7204,19
V0,searound,3,0,0,1,0.9551,35
V0,searound,4,1,0,0,4.5829,20
V0,searound,5,0,0,1,0.2687,25
V0,searound,6,1,0,0,10.0541,11
V0,searound,7,0,0,2,0.7691,11
V0,searound,8,1,0,0,4.4105,13
V0,searound,9,0,0,6,0.9043,3
V0,searound,10,0,0,2,1.1955,13
V0,searound,11,0,0,1,1.0108,27
V0,searound,12,1,0,0,6.0926,11
V0,searound,13,0,0,3,0.4135,12
V0,searound,14,0,0,11,0.102,22
V0,searound,15,1,0,0,8.4407,33
V0,searound,16,0,0,1,1.0027,36
V0,searound,17,1,0,0,8.3521,32
V0,searound,18,1,0,0,4.6747,1
V0,searound,19,0,0,1,1.616,23
V0,searound,20,1,0,0,5.5495,33
V0,searound,21,0,0,1,2.3979,15
V0,searound,22,0,0,3,1.197,19
V0,searound,23,0,0,0,3.0328,18
V0,searound,24,0,0,9,0.7169,2
V0,searound,25,0,0,2,2.1085,13
V0,searound,26,0,0,1,2.1598,13
V0,searound,27,0,0,1,0.8764,4
V0,searound,28,0,0,4,0.9636,5
V0,searound,29,0,0,2,0.3151,37
V0,searound,30,1,0,0,4.2412,8
V0,searound,31,1,0,0,9.2766,14
V0,searound,32,0,0,8,1.2299,34
V0,searound,33,0,0,2,1.0333,36
V0,searound,34,1,0,0,3.4664,19
V0,searound,35,0,0,2,0.1275,23
V0,searound,36,0,1,1,2.8191,22
V0,searound,37,0,0,1,1.8197,28
V0,searound,38,0,0,1,1.9136,13
V0,searound,39,0,0,10,0.5296,10
V0,searound,40,1,0,0,3.2758,22
V0,searound,41,0,0,9,0.2337,22
V0,searound,42,0,0,6,0.1332,28
V0,searound,43,0,0,6,0.259,0
V0,searound,44,0,0,2,2.2605,39
V0,searound,45,0,0,5,0.1218,14
V0,searound,46,0,0,1,0.2279,4
V0,searound,47,1,0,0,9.4864,3
V0,searound,48,0,0,3,1.4227,38
V0,searound,49,0,0,7,0.4148,33
V0,searound,50,0,0,2,0.9891,11
V0,searound,51,0,0,2,1.3117,11
V0,searound,52,1,0,0,3.5814,11
V0,searound,53,1,0,0,3.2976,26
V0,searound,54,0,0,1,1.201,29
V0,searound,55,1,0,0,5.0793,20
V0,searound,56,0,0,1,0.6952,30
V0,searound,57,1,0,0,5.9975,35
V0,searound,58,0,0,3,1.1992,9
V0,searound,59,0,0,1,2.1964,33
V0,searound,60,0,0,1,2.5355,21
V0,searound,61,0,0,1,1.4325,23
V0,searound,62,0,0,4,0.8555,22
V0,searound,63,1,0,0,3.5942,13
V0,searound,64,0,0,1,0.2761,26
V0,searound,65,0,0,9,0.1261,29
V0,searound,66,0,0,1,1.0392,11
V0,searound,67,0,0,1,0.5385,20
V0,searound,68,1,0,0,6.319,8
V0,searound,69,0,0,3,0.0387,26
V0,searound,70,1,0,0,8.6596,9
V0,searound,71,0,0,3,0.3588,29
V0,searound,72,0,0,1,2.6446,16
V0,searound,73,0,0,2,0.7909,4
V0,searound,74,0,0,1,2.2735,19
V0,searound,75,1,0,0,10.5846,18
V0,searound,76,0,0,1,2.2193,35
V0,searound,77,1,0,0,5.0462,16
V0,searound,78,0,0,6,1.1307,34
V0,searound,79,0,0,1,1.3467,10
V0,searound,80,0,0,1,2.182,1
