arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,seatrack,1,0,0,2,0.5708,38
V0,seatrack,2,0,0,5,0.0831,8
V0,seatrack,3,0,0,1,1.494,5
V0,seatrack,4,0,0,2,0.1093,29
V0,seatrack,5,0,0,7,0.567,39
V0,seatrack,6,1,0,0,4.2967,7
V0,seatrack,7,0,0,1,1.237,13
V0,seatrack,8,0,0,1,0.0586,11
V0,seatrack,9,0,0,3,1.8882,35
V0,seatrack,10,0,0,3,1.4255,18
V0,seatrack,11,0,0,3,0.1457,29
V0,seatrack,12,0,0,3,0.8741,7
V0,seatrack,13,1,0,0,3.3573,17
V0,seatrack,14,0,0,6,0.5267,25
V0,seatrack,15,0,0,2,0.7671,33
V0,seatrack,16,0,0,4,1.429,20
V0,seatrack,17,0,0,2,1.4948,2
V0,seatrack,18,0,0,2,1.0457,22
V0,seatrack,19,0,0,1,1.2042,13
V0,seatrack,20,0,0,2,0.0507,15
V0,seatrack,21,1,0,0,3.0972,30
V0,seatrack,22,0,0,2,1.2566,11
V0,seatrack,23,0,0,1,1.2455,12
V0,seatrack,24,0,0,2,1.1566,36
V0,seatrack,25,0,0,6,0.597,7
V0,seatrack,26,0,0,1,0.902,34
V0,seatrack,27,0,0,2,0.6507,38
V0,seatrack,28,0,0,2,0.1285,15
V0,seatrack,29,0,0,2,0.1699,11
V0,seatrack,30,0,0,1,1.9914,23
V0,seatrack,31,0,0,1,1.9493,5
V0,seatrack,32,1,0,0,7.7371,34
V0,seatrack,33,1,0,0,6.206,12
V0,seatrack,34,0,0,1,2.9933,32
V0,seatrack,35,0,0,1,1.7474,13
V0,seatrack,36,0,0,5,0.9537,26
V0,seatrack,37,1,0,0,3.0227,26
V0,seatrack,38,1,0,0,3.2497,20
V0,seatrack,39,0,0,1,2.4619,29
V0,seatrack,40,0,0,3,0.4413,25
V0,seatrack,41,0,0,2,2.0335,25
V0,seatrack,42,0,0,3,0.2301,35
V0,seatrack,43,0,0,2,0.385,16
V0,seatrack,44,1,0,0,6.7021,9
V0,seatrack,45,0,0,1,0.9425,29
V0,seatrack,46,0,0,3,0.0763,0
V0,seatrack,47,0,0,7,0.4192,34
V0,seatrack,48,0,0,6,0.4456,5
V0,seatrack,49,0,0,3,1.678,28
V0,seatrack,50,0,0,1,2.309,5
V0,seatrack,51,0,0,3,0.9835,19
V0,seatrack,52,0,0,3,0.8008,37
V0,seatrack,53,0,0,1,2.1488,18
V0,seatrack,54,0,0,1,2.0363,35
V0,seatrack,55,0,0,2,2.3592,1
V0,seatrack,56,0,0,1,0.6853,19
V0,seatrack,57,0,0,5,1.5,1
V0,seatrack,58,0,0,6,0.5274,0
V0,seatrack,59,0,0,4,1.3873,11
V0,seatrack,60,1,0,0,4.8069,27
V0,seatrack,61,0,0,2,2.0143,26
V0,seatrack,62,0,0,2,1.812,39
V0,seatrack,63,1,0,0,4.7081,34
V0,seatrack,64,0,0,7,0.888,22
V0,seatrack,65,0,0,6,1.2124,35
V0,seatrack,66,0,0,1,2.911,38
V0,seatrack,67,0,0,1,1.8924,22
V0,seatrack,68,0,0,3,2.4301,20
V0,seatrack,69,0,0,3,0.2209,9
V0,seatrack,70,0,0,2,1.1813,8
V0,seatrack,71,1,0,0,3.841,4
V0,seatrack,72,0,0,2,0.9086,26
V0,seatrack,73,0,0,5,0.5587,9
V0,seatrack,74,0,0,1,1.1998,10
V0,seatrack,75,0,0,15,0.4312,16
V0,seatrack,76,0,0,2,0.4879,37
V0,seatrack,77,1,0,0,4.3755,25
V0,seatrack,78,0,0,3,1.5305,19
V0,seatrack,79,1,0,0,6.7585,35
V0,seatrack,80,0,0,3,0.1402,22
V0,seatrack,81,0,0,6,0.1585,2
V0,seatrack,82,1,0,0,3.8064,1
V0,seatrack,83,0,0,1,0.7321,28
V0,seatrack,84,0,0,2,1.2777,23
V0,seatrack,85,0,0,2,1.5128,10
V0,seatrack,86,0,0,4,0.8226,37
V0,seatrack,87,0,0,5,1.701,13
V0,seatrack,88,0,0,2,0.314,37
V0,seatrack,89,1,0,0,4.2828,9
V0,seatrack,90,0,0,5,1.0339,10
V0,seatrack,91,0,0,5,1.0145,15
V0,seatrack,92,0,0,1,1.1968,0
V0,seatrack,93,0,0,3,0.8693,8
V0,seatrack,94,1,0,0,4.3223,18
V0,seatrack,95,0,1,1,0.92,36
V0,seatrack,96,0,0,3,0.0318,13
V0,seatrack,97,0,0,1,1.6771,17
V0,seatrack,98,0,0,3,1.3421,38
V0,seatrack,99,1,0,0,6.0737,34
V0,seatrack,100,1,0,0,3.2205,31
V0,seatrack,101,0,0,9,0.6596,2
V0,seatrack,102,0,0,6,0.3382,36
V0,seatrack,103,1,0,0,4.2115,27
V0,seatrack,104,0,0,1,1.5854,24
V0,seatrack,105,0,0,2,0.2347,9
V0,seatrack,106,1,0,0,7.1661,28
V0,seatrack,107,0,0,2,1.4995,23
V0,seatrack,108,0,0,0,3.0173,6
V0,seatrack,109,1,0,0,7.0516,19
V0,seatrack,110,0,0,2,0.3986,22
V0,seatrack,111,1,0,0,8.1304,8
V0,seatrack,112,0,0,5,0.9044,20
V0,seatrack,113,0,0,1,1.1976,7
V0,seatrack,114,0,0,3,1.9855,6
V0,seatrack,115,0,0,2,1.1213,0
