arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,space-sprint,1,0,0,2,0.6447,27
V0,space-sprint,2,1,0,0,7.6552,18
V0,space-sprint,3,0,0,5,0.8487,6
V0,space-sprint,4,0,1,1,1.2053,36
V0,space-sprint,5,0,0,4,1.1049,24
V0,space-sprint,6,0,0,2,1.1595,4
V0,space-sprint,7,0,0,3,0.1529,32
V0,space-sprint,8,0,0,2,0.7102,24
V0,space-sprint,9,0,0,1,2.18,24
V0,space-sprint,10,0,0,6,1.028,24
V0,space-sprint,11,0,0,7,0.6565,5
V0,space-sprint,12,1,0,0,4.0593,35
V0,space-sprint,13,1,0,0,4.7666,1
V0,space-sprint,14,1,0,0,4.5531,0
V0,space-sprint,15,1,0,0,5.2281,30
V0,space-sprint,16,0,0,11,0.0992,17
V0,space-sprint,17,0,0,1,1.4186,3
V0,space-sprint,18,0,0,2,0.9929,10
V0,space-sprint,19,0,0,1,2.5547,19
V0,space-sprint,20,0,0,2,0.6963,11
V0,space-sprint,21,0,0,3,1.4953,21
V0,space-sprint,22,0,0,6,0.0678,20
V0,space-sprint,23,0,0,4,0.7902,9
V0,space-sprint,24,0,0,4,0.2661,12
V0,space-sprint,25,0,0,3,0.8252,4
V0,space-sprint,26,0,0,1,2.7235,10
V0,space-sprint,27,0,0,2,1.9205,26
V0,space-sprint,28,0,0,6,0.1264,0
V0,space-sprint,29,0,1,2,0.608,15
V0,space-sprint,30,0,0,2,1.264,8
V0,space-sprint,31,0,0,4,0.6784,5
V0,space-sprint,32,0,0,1,0.3603,5
V0,space-sprint,33,0,0,1,2.1378,1
V0,space-sprint,34,0,0,1,1.189,37
V0,space-sprint,35,1,0,0,4.6028,3
V0,space-sprint,36,1,0,0,3.0517,23
V0,space-sprint,37,0,0,8,0.1966,34
V0,space-sprint,38,0,0,2,0.7468,10
V0,space-sprint,39,0,0,4,1.1421,9
V0,space-sprint,40,0,0,2,0.1883,33
V0,space-sprint,41,0,0,2,0.7844,31
V0,space-sprint,42,0,0,5,0.6655,22
V0,space-sprint,43,0,0,2,2.2342,17
V0,space-sprint,44,0,0,7,0.1165,26
V0,space-sprint,45,0,0,2,0.9468,5
V0,space-sprint,46,0,0,3,1.7909,11
V0,space-sprint,47,1,0,0,5.7131,20
V0,space-sprint,48,1,0,0,4.7837,1
V0,space-sprint,49,0,0,2,0.6851,33
V0,space-sprint,50,0,0,3,1.501,23
V0,space-sprint,51,0,0,1,2.5203,10
V0,space-sprint,52,0,0,4,0.6148,6
V0,space-sprint,53,0,0,5,0.6398,9
V0,space-sprint,54,1,0,0,4.562,16
V0,space-sprint,55,0,0,2,0.8044,22
V0,space-sprint,56,0,0,3,0.7515,16
V0,space-sprint,57,0,0,1,2.4871,27
V0,space-sprint,58,0,0,3,0.4054,13
V0,space-sprint,59,0,0,2,1.201,37
V0,space-sprint,60,0,0,0,3.0431,11
V0,space-sprint,61,0,0,1,1.5123,35
V0,space-sprint,62,0,0,12,0.4302,4
V0,space-sprint,63,1,0,0,4.85,1
V0,space-sprint,64,0,0,0,3.561,23
V0,space-sprint,65,0,0,6,0.0514,19
V0,space-sprint,66,0,0,1,2.8594,5
V0,space-sprint,67,1,0,0,5.1372,18
V0,space-sprint,68,0,0,1,2.3464,8
V0,space-sprint,69,0,0,2,0.0966,27
V0,space-sprint,70,0,0,9,0.0627,15
V0,space-sprint,71,0,0,3,1.688,35
V0,space-sprint,72,0,0,3,1.7288,35
V0,space-sprint,73,0,0,1,1.8349,14
V0,space-sprint,74,0,0,6,0.539,19
V0,space-sprint,75,0,0,5,0.0617,6
V0,space-sprint,76,1,0,0,6.6623,21
V0,space-sprint,77,0,0,5,0.7008,7
V0,space-sprint,78,1,0,0,3.4259,32
V0,space-sprint,79,0,0,8,0.1586,19
V0,space-sprint,80,0,0,1,0.6906,1
V0,space-sprint,81,0,0,6,0.7157,16
V0,space-sprint,82,0,0,1,2.8832,36
V0,space-sprint,83,0,0,2,1.5009,15
V0,space-sprint,84,0,0,1,0.5085,12
V0,space-sprint,85,0,0,17,0.1779,10
V0,space-sprint,86,0,0,4,0.9402,15
V0,space-sprint,87,0,0,5,1.6585,9
V0,space-sprint,88,0,0,3,0.607,22
V0,space-sprint,89,0,0,2,0.7343,18
V0,space-sprint,90,0,0,1,1.4879,28
V0,space-sprint,91,0,0,2,1.1992,4
V0,space-sprint,92,1,0,0,6.784,17
V0,space-sprint,93,0,0,1,1.4991,14
V0,space-sprint,94,0,0,3,0.7272,4
V0,space-sprint,95,0,0,1,0.3399,36
V0,space-sprint,96,1,0,0,4.361,6
V0,space-sprint,97,0,0,4,0.0721,37
V0,space-sprint,98,0,0,6,1.5152,2
V0,space-sprint,99,0,0,1,1.5307,7
V0,space-sprint,100,0,0,6,2.3587,31
V0,space-sprint,101,0,0,2,1.4713,2
V0,space-sprint,102,0,0,1,2.8849,15
V0,space-sprint,103,0,0,1,1.6944,0
V0,space-sprint,104,0,0,5,0.2232,12
