track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
dirt-oval,closed,0,1,1,0,0.6426,1,0.691,1,0.4332,0.0688,1
dirt-oval,closed,1,2,0,0,0.5855,0,0.6421,0,0.5199,2.0535,0
dirt-oval,closed,2,3,0,0,0.8814,1,0.9351,1,0.379,0.4303,1
dirt-oval,closed,3,4,0,0,0.1609,0,1,1,0.3548,0.1146,0
dirt-oval,closed,4,5,0,0,0.1865,0,0.9999,1,0.1348,0.7225,0
dirt-oval,closed,5,6,0,0,0.6905,0,,,0.0871,0.3669,
dirt-oval,closed,6,7,1,0,0.2312,0,0.7025,1,0.997,0.2475,1
dirt-oval,closed,7,8,0,0,0.7178,0,0.9999,1,0.9681,0.3851,0
dirt-oval,closed,8,9,0,0,0.2178,0,,,0.2867,0.4987,
dirt-oval,closed,9,10,0,0,0.165,0,0.9999,1,1.0818,0.2785,0
dirt-oval,closed,10,11,0,0,0.98,1,0.9999,1,0.1525,1.1492,0
dirt-oval,closed,11,12,0,0,0.0782,0,0.9999,1,0.4019,0.3906,0
dirt-oval,closed,12,13,1,0,0.2022,0,0.2571,0,0.6932,0.1807,0
dirt-oval,closed,13,14,0,0,0.1357,0,1,1,0.4602,0.4415,0
dirt-oval,closed,14,15,0,0,0.2029,0,1,1,2.4527,0.8044,0
dirt-oval,closed,15,16,0,0,0.2213,0,1,1,0.0456,0.278,0
dirt-oval,closed,16,17,1,0,0.7104,1,0.7366,0,0.533,0.7309,1
dirt-oval,closed,17,18,0,0,0.228,0,0.7328,1,0.3017,0.5979,0
dirt-oval,closed,18,19,0,0,0.6507,0,,,0.133,0.3676,
dirt-oval,closed,19,20,0,0,0.1359,0,0.9999,1,0.149,1.8076,0
dirt-oval,closed,20,21,0,0,0.1642,0,1,1,0.3145,0.7407,0
dirt-oval,closed,21,22,0,0,0.2096,0,,,0.0258,0.4149,
dirt-oval,closed,22,23,0,0,0.1369,0,0.9999,1,0.3574,0.8927,0
dirt-oval,closed,23,24,0,0,0.6739,0,0.706,0,0.4935,0.4574,0
dirt-oval,closed,24,25,1,0,0.1408,0,0.8332,1,0.4451,0.3956,1
dirt-oval,closed,25,26,1,0,0.6597,1,0.705,1,0.2484,0.2691,1
dirt-oval,closed,26,27,0,0,0.7893,0,0.9833,1,0.711,0.3959,1
dirt-oval,closed,27,28,0,0,1,1,,,0.5514,0.7316,
dirt-oval,closed,28,29,0,1,0.6496,1,0.7012,1,0.4064,0.1446,1
dirt-oval,closed,29,30,1,0,0.1013,0,0.7815,1,1.3132,0.1367,1
dirt-oval,closed,30,31,1,0,0.135,0,0.806,1,0.5072,0.1527,1
dirt-oval,closed,31,32,0,0,0.1375,0,0.2004,0,1.0373,0.1154,0
dirt-oval,closed,32,33,1,0,0.1225,0,0.7061,1,0.0554,0.5031,1
dirt-oval,closed,33,34,0,0,0.2467,0,1,1,0.2732,0.298,0
dirt-oval,closed,34,35,1,0,0.6576,0,0.8971,1,0.4494,0.3698,1
dirt-oval,closed,35,36,0,0,0.7563,0,0.9087,1,0.0264,0.4434,1
dirt-oval,closed,36,37,0,0,0.6757,1,0.7153,0,0.0223,0.3846,1
dirt-oval,closed,37,38,0,0,0.1009,0,1,1,0.3335,0.8441,0
dirt-oval,closed,38,39,0,0,0.1491,0,0.2031,0,4.1568,0.1366,0
dirt-oval,closed,39,40,0,0,0.1097,0,1,1,0.7896,0.1843,0
dirt-oval,closed,40,41,1,0,0.6767,1,0.7825,1,0.3702,0.6284,1
