track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
luger-hill,open,0,1,0,0,,,,,0.5935,0.2437,
luger-hill,open,1,2,0,0,0.7946,1,1,1,0.1428,0.7832,0
luger-hill,open,2,3,1,0,0.6319,1,0.7547,1,0.2187,0.852,1
luger-hill,open,3,4,0,0,0.7212,0,0.9997,1,0.0344,0.2993,0
luger-hill,open,4,5,0,0,0.7007,0,,,0.0493,0.4977,
luger-hill,open,5,6,0,0,0.7715,0,,,0.4476,0.0659,
luger-hill,open,6,7,0,0,0.6433,0,1,1,0.2378,0.4662,0
luger-hill,open,7,8,1,0,0.7385,1,0.8033,1,0.631,0.3264,1
luger-hill,open,8,9,0,0,0.216,0,1,1,0.8458,0.7388,0
luger-hill,open,9,10,1,0,0.6975,1,0.7393,1,0.1633,0.2464,1
luger-hill,open,10,11,0,0,0.7533,0,,,0.2448,0.4331,
luger-hill,open,11,12,0,0,0.1484,0,0.9253,1,0.7508,0.338,1
luger-hill,open,12,13,0,0,0.7195,0,,,0.1738,0.1872,
luger-hill,open,13,14,0,0,0.9999,1,,,0.3459,0.0536,
luger-hill,open,14,15,0,0,0.8206,0,,,0.1137,0.255,
luger-hill,open,15,16,1,0,0.7351,1,0.7776,1,0.4185,0.6758,1
luger-hill,open,16,17,0,0,0.8179,1,,,0.1698,0.6264,
luger-hill,open,17,18,0,0,0.8167,1,0.9734,1,0.3242,0.3559,1
luger-hill,open,18,19,0,0,0.8616,1,1,1,0.0118,0.4166,0
luger-hill,open,19,20,0,0,1,1,,,0.0005,0.7345,
luger-hill,open,20,21,0,0,0.8879,1,0.9999,1,0.2308,0.1437,0
luger-hill,open,21,22,0,0,,,,,0.5931,0.5861,
luger-hill,open,22,23,0,0,0.9309,1,1,1,0.8752,0.0088,0
luger-hill,open,23,24,1,0,0.7126,1,0.757,1,0.1846,0.5171,1
luger-hill,open,24,25,1,0,0.8125,1,0.8896,1,0.2675,0.3699,1
luger-hill,open,25,26,1,0,0.7347,1,0.7758,1,0.2631,0.282,1
luger-hill,open,26,27,0,0,1,1,1,1,0.0102,0.2018,0
luger-hill,open,27,28,0,0,0.8019,0,,,0.32,0.2222,
luger-hill,open,28,29,0,0,0.1585,0,1,1,0.9245,0.3233,0
luger-hill,open,29,30,0,0,0.6334,0,1,1,0.608,0.5487,0
luger-hill,open,30,31,0,0,0.6499,0,1,1,0.5025,0.8535,0
luger-hill,open,31,32,0,0,1,1,,,0.3153,0.6499,
luger-hill,open,32,33,1,0,0.7547,1,0.8019,1,0.1055,0.4931,1
luger-hill,open,33,34,0,0,1,1,,,1.1701,0.3413,
luger-hill,open,34,35,0,0,0.7116,0,,,0.1887,0.1608,
luger-hill,open,35,36,0,0,0.7608,0,,,0.0756,0.1828,
luger-hill,open,36,37,0,0,0.1622,0,0.9294,1,1.2036,0.4396,1
luger-hill,open,37,38,0,0,0.6876,0,0.722,0,0.5709,0.3571,1
luger-hill,open,38,39,0,0,0.8735,1,1,1,0.1123,0.7815,0
luger-hill,open,39,40,0,0,0.7637,1,1,1,0.1914,0.3747,0
luger-hill,open,40,41,0,0,0.7336,0,,,0.3437,0.0361,
luger-hill,open,41,42,0,0,0.8043,1,0.9575,1,0.2107,0.0508,1
luger-hill,open,42,43,0,0,0.7841,1,,,0.3994,0.5084,
luger-hill,open,43,44,0,0,0.9485,1,,,0.6336,0.2416,
luger-hill,open,44,45,1,0,0.749,1,0.8792,1,0.4673,0.126,1
luger-hill,open,45,46,0,0,0.9997,1,1,1,0.4136,0.3891,0
luger-hill,open,46,47,0,0,1,1,,,0.8619,0.8446,
luger-hill,open,47,48,0,0,0.7291,1,0.9997,1,0.1167,0.1018,0
luger-hill,open,48,49,0,0,0.8466,1,0.9997,1,0.6843,0.3263,0
luger-hill,open,49,50,0,0,0.7285,0,1,1,0.0255,0.1459,0
luger-hill,open,50,51,0,0,,,,,0.7859,0.4784,
luger-hill,open,51,52,0,0,0.659,0,,,0.4336,0.1463,
luger-hill,open,52,53,0,0,0.9997,1,1,1,0.354,0.7301,0
luger-hill,open,53,54,1,0,0.7626,1,0.819,1,0.0111,0.0797,1
luger-hill,open,54,55,0,0,1,1,,,0.0417,0.76,
luger-hill,open,55,56,0,0,0.846,0,,,0.1044,0.7561,
luger-hill,open,56,57,0,0,1,1,,,0.0631,0.7027,
luger-hill,open,57,58,0,0,0.1935,0,,,1.3656,0.6211,
luger-hill,open,58,59,0,0,1,1,,,0.2427,0.4009,
luger-hill,open,59,60,0,0,0.2283,0,,,1.5545,0.8389,
luger-hill,open,60,61,0,0,0.7856,1,,,0.2967,0.0992,
luger-hill,open,61,62,0,0,0.7961,0,0.9695,1,0.2735,0.032,1
luger-hill,open,62,63,0,0,0.6988,0,1,1,0.0826,0.401,0
luger-hill,open,63,64,0,0,0.6996,1,0.7617,0,0.0248,0.2551,0
luger-hill,open,64,65,0,0,0.8546,1,0.9351,1,0.6105,0.3436,1
luger-hill,open,65,66,0,0,0.838,1,,,0.1621,0.1665,
luger-hill,open,66,67,0,0,0.7717,0,0.9999,1,0.5516,0.2941,0
luger-hill,open,67,68,0,0,0.9999,1,,,0.6954,0.2921,
luger-hill,open,68,69,1,0,0.1808,0,0.7121,0,1.1525,0.5849,1
luger-hill,open,69,70,0,0,1,1,,,1.0801,0.4912,
luger-hill,open,70,71,0,0,,,,,0.3372,0.5937,
luger-hill,open,71,72,0,0,0.7125,0,0.9999,1,0.0133,0.5098,0
luger-hill,open,72,73,0,0,0.7391,0,0.9999,1,0.2582,0.3404,0
luger-hill,open,73,74,0,0,0.1937,0,1,1,0.526,0.2493,0
luger-hill,open,74,75,1,0,0.6828,1,0.76,1,0.0085,0.7595,1
luger-hill,open,75,76,0,0,0.7144,0,0.9998,1,0.0119,0.1328,0
luger-hill,open,76,77,0,0,,,,,0.0744,0.2809,
luger-hill,open,77,78,0,0,0.864,1,,,0.1313,0.4458,
luger-hill,open,78,79,0,0,,,,,0.8784,0.1813,
luger-hill,open,79,80,0,0,0.8029,1,,,0.4833,0.7095,
luger-hill,open,80,81,0,0,0.7962,0,1,1,0.0804,0.0173,0
luger-hill,open,81,82,0,1,0.7877,0,0.9999,1,0.4682,0.3011,0
