track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
mountainstreet,open,0,1,1,0,0.7529,1,0.7852,1,0.1754,0.5421,1
mountainstreet,open,1,2,0,0,0.6478,0,0.9385,1,0.4226,0.6436,1
mountainstreet,open,2,3,0,1,0.5905,0,0.9997,1,0.0797,1.7664,0
mountainstreet,open,3,4,0,0,0.2187,0,0.9999,1,0.9096,0.4509,0
mountainstreet,open,4,5,0,0,0.3487,0,0.9999,1,0.4445,0.5044,0
mountainstreet,open,5,6,1,0,0.7524,1,0.7938,1,0.0344,1.0696,1
mountainstreet,open,6,7,1,0,0.2422,0,0.8036,1,0.1146,1.0069,1
mountainstreet,open,7,8,0,0,0.1842,0,1,1,0.4574,1.1853,0
mountainstreet,open,8,9,0,0,0.7519,1,0.7917,0,0.0146,0.5098,1
mountainstreet,open,9,10,0,0,0.6245,0,0.6673,0,0.1889,0.8705,0
mountainstreet,open,10,11,1,0,0.7437,1,0.8128,1,0.7376,0.467,1
mountainstreet,open,11,12,0,0,0.2356,0,0.6947,0,0.4222,0.4393,0
mountainstreet,open,12,13,0,0,0.9632,1,1,1,0.1552,0.4617,0
mountainstreet,open,13,14,1,0,0.6993,1,0.7535,1,0.5384,0.4656,1
mountainstreet,open,14,15,0,0,0.2439,0,1,1,0.0181,0.4518,0
mountainstreet,open,15,16,0,0,0.7179,0,0.98,1,0.0559,0.202,1
mountainstreet,open,16,17,0,0,0.1822,0,1,1,0.3238,0.3153,0
mountainstreet,open,17,18,0,0,0.8343,1,,,0.2418,0.3085,
mountainstreet,open,18,19,0,0,0.6659,0,1,1,0.8412,0.2205,0
mountainstreet,open,19,20,0,0,0.6676,0,0.7087,0,0.743,0.3679,1
mountainstreet,open,20,21,0,0,0.8304,1,0.9999,1,0.0545,0.0069,0
mountainstreet,open,21,22,0,0,0.5866,0,0.9999,1,0.4042,2.2506,0
mountainstreet,open,22,23,0,0,0.255,0,0.7412,0,1.0078,0.765,1
mountainstreet,open,23,24,0,0,0.7385,0,,,0.1036,0.1988,
mountainstreet,open,24,25,0,0,0.258,0,1,1,0.171,0.8934,0
mountainstreet,open,25,26,0,0,0.6845,0,0.9999,1,0.7207,0.3932,0
mountainstreet,open,26,27,1,0,0.6238,1,0.8221,1,0.4829,1.1192,1
mountainstreet,open,27,28,0,0,0.1558,0,,,0.229,0.503,
mountainstreet,open,28,29,0,0,0.7771,0,0.9997,1,0.6149,0.6703,0
mountainstreet,open,29,30,0,0,0.6669,0,1,1,0.3805,0.2962,0
mountainstreet,open,30,31,0,0,0.2044,0,0.7419,0,0.15,0.878,0
mountainstreet,open,31,32,1,0,0.1274,0,0.8399,1,0.1948,0.3404,1
mountainstreet,open,32,33,0,0,0.7997,1,0.9126,1,0.1293,1.1138,1
mountainstreet,open,33,34,0,0,0.8267,0,0.9999,1,0.0823,0.3807,0
mountainstreet,open,34,35,0,0,0.7146,0,0.9998,1,0.2627,0.208,0
mountainstreet,open,35,36,0,0,0.8574,0,,,0.0762,0.3006,
mountainstreet,open,36,37,0,0,0.7526,0,0.8018,0,0.2864,0.2848,1
mountainstreet,open,37,38,1,0,0.6862,1,0.7185,1,0.1642,0.5913,1
mountainstreet,open,38,39,0,0,0.9884,1,1,1,0.3214,0.2673,0
mountainstreet,open,39,40,1,0,0.6365,0,0.7992,1,0.1893,0.0573,1
mountainstreet,open,40,41,0,0,0.9489,1,,,0.2519,0.1738,
mountainstreet,open,41,42,0,0,0.7148,0,0.7385,0,0.2507,0.3365,0
mountainstreet,open,42,43,0,0,0.791,0,0.9999,1,0.6806,0.8214,0
mountainstreet,open,43,44,0,0,0.656,0,0.9014,1,0.7173,0.042,1
mountainstreet,open,44,45,1,0,0.7657,1,0.7982,1,0.5033,0.2434,1
mountainstreet,open,45,46,0,0,0.6169,0,0.651,0,0.4692,0.8297,0
mountainstreet,open,46,47,0,0,0.9101,1,1,1,0.0076,0.0907,0
mountainstreet,open,47,48,0,0,0.8007,0,,,0.5096,0.5016,
mountainstreet,open,48,49,0,0,0.667,0,0.9999,1,0.2562,0.5662,0
mountainstreet,open,49,50,0,0,0.6348,0,0.7488,0,0.2284,0.3162,1
mountainstreet,open,50,51,0,0,0.7652,0,1,1,0.1043,0.1063,0
mountainstreet,open,51,52,0,0,0.6954,0,0.7358,0,0.1463,0.24,0
mountainstreet,open,52,53,1,0,0.7351,1,0.8193,1,0.0788,0.4549,1
mountainstreet,open,53,54,1,0,0.7389,1,0.8932,1,0.814,0.599,1
mountainstreet,open,54,55,0,0,0.729,0,0.9999,1,0.3605,0.0977,0
mountainstreet,open,55,56,0,0,0.4986,0,,,0.5704,0.5245,
mountainstreet,open,56,57,0,0,0.7842,0,,,0.3359,0.2651,
