track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
searound,closed,0,1,1,0,0.1044,0,0.7172,1,0.5339,0.2623,1
searound,closed,1,2,0,0,0.1225,0,,,0.7377,0.2893,
searound,closed,2,3,0,0,0.1435,0,1,1,0.6108,1.5021,0
searound,closed,3,4,1,0,0.106,0,0.8071,1,1.5035,0.1886,1
searound,closed,4,5,0,0,0.6708,0,,,0.2876,1.1235,
searound,closed,5,6,1,0,0.6909,1,0.7147,1,0.4978,1.0064,1
searound,closed,6,7,0,0,0.1552,0,0.6785,0,0.1715,0.3329,0
searound,closed,7,8,1,0,0.2242,0,0.7655,1,0.4254,0.5249,1
searound,closed,8,9,0,0,0.1045,0,1,1,0.0113,1.0519,0
searound,closed,9,10,0,0,0.6363,0,0.7491,0,0.1747,0.2151,0
searound,closed,10,11,0,0,0.2153,0,0.9999,1,0.3129,0.1812,0
searound,closed,11,12,1,0,0.0566,0,0.8364,1,1.1879,0.3378,1
searound,closed,12,13,0,0,0.1081,0,1,1,0.0098,0.1056,0
searound,closed,13,14,0,0,0.1325,0,,,0.1729,0.9313,
searound,closed,14,15,1,0,0.2386,0,0.6564,0,1.5637,1.0429,0
searound,closed,15,16,0,0,0.1842,0,0.705,0,0.3593,1.0229,1
searound,closed,16,17,1,0,0.1197,0,0.7553,1,0.8132,0.4564,1
searound,closed,17,18,1,0,0.1456,0,0.8572,1,0.7114,0.6884,1
searound,closed,18,19,0,0,0.1318,0,0.7315,0,0.1139,0.4839,1
searound,closed,19,20,1,0,0.0911,0,0.2041,0,2.1706,0.4275,0
searound,closed,20,21,0,0,0.1554,0,0.7948,0,1.2009,0.3376,1
searound,closed,21,22,0,0,0.5331,0,1,1,0.2366,0.7871,0
searound,closed,22,23,0,0,0.1272,0,0.7484,1,0.2684,0.0966,1
searound,closed,23,24,0,0,0.0998,0,0.2386,0,0.8553,1.2577,0
searound,closed,24,25,0,0,0.0727,0,1,1,0.7434,1.4062,0
