arm,track,seed,span12,span13,span15
V0,luger-hill,1,0.7466,1.4963,1.5719
V0,luger-hill,2,2.2098,2.2952,4.53
V0,luger-hill,3,1.0489,2.5086,4.3829
V0,luger-hill,4,2.6348,6.4618,6.6772
V0,luger-hill,5,1.8908,3.6379,6.5193
V0,luger-hill,6,1.5629,3.314,4.2455
V0,luger-hill,7,0.0839,1.6176,1.9432
V0,luger-hill,8,3.36,5.5566,6.0481
V0,luger-hill,9,1.6415,3.1113,3.3601
V0,luger-hill,10,5.5955,9.2411,10.7485
V0,luger-hill,11,1.4239,3.0597,4.2237
V0,luger-hill,12,3.9053,3.9148,6.2646
V0,luger-hill,13,0.9245,1.1987,4.1222
V0,luger-hill,14,0.7779,1.1299,1.9274
V0,luger-hill,15,0.0105,0.5225,2.7712
V0,luger-hill,16,3.3903,6.6127,7.5502
V0,luger-hill,17,0.4974,2.7506,3.537
V0,luger-hill,18,3.0502,3.2755,3.8565
V0,luger-hill,19,2.5501,2.855,3.2407
V0,luger-hill,20,0.4851,0.8161,1.6805
V0,luger-hill,21,1.7529,2.7328,6.5095
V0,luger-hill,22,0.2296,0.5694,0.6364
V0,luger-hill,23,2.1816,2.4354,3.8043
V0,luger-hill,24,3.6422,4.8824,5.0751
V0,luger-hill,25,4.4462,5.6465,7.1322
V0,luger-hill,26,5.3267,6.2603,8.31
V0,luger-hill,27,1.4793,1.7154,3.2712
V0,luger-hill,28,0.8234,0.9652,3.2646
V0,luger-hill,29,0.8653,1.7402,4.7527
V0,luger-hill,30,1.1487,1.5311,1.8077
V0,luger-hill,31,1.8786,2.4857,3.4732
V0,luger-hill,32,0.3069,0.3336,0.8003
V0,luger-hill,33,6.6951,6.8711,8.4136
V0,luger-hill,34,0.0934,0.7348,2.322
V0,luger-hill,35,0.7361,0.767,0.89
V0,luger-hill,36,0.7363,1.045,1.582
V0,luger-hill,37,4.2977,5.4097,5.5544
V0,luger-hill,38,1.3514,6.1392,7
