arm,scope,v0Class,n,p1ContestRate,distinctLeaders_p25,distinctLeaders_med,distinctLeaders_p75,leadChangeCount_p25,leadChangeCount_med,leadChangeCount_p75,maxLeadHoldShare_p25,maxLeadHoldShare_med,maxLeadHoldShare_p75,frontContestFraction_p25,frontContestFraction_med,frontContestFraction_p75,p1LongestMultiSec_p25,p1LongestMultiSec_med,p1LongestMultiSec_p75
V0,overall,all,400,0.0525,1,1,2,0,0,1,0.6788,1,1,0.0202,0.5546,1,0.208,7.872,11.376
V0,overall,normal,306,0.0686,1,2,2,0,1,2,0.629,0.8823,1,0.4069,0.8365,1,5.248,10.544,12.896
V0,overall,runaway,94,0,1,1,1,0,0,0,1,1,1,0,0,0.0292,0,0,0.304
V0,overall,converted,0,,,,,,,,,,,,,,,,
V0,luger-hill,all,100,0.05,1,1,2,0,0,1,0.6934,1,1,0.1476,0.9304,1,1.44,9.424,11.04
V0,luger-hill,normal,82,0.061,1,2,2,0,1,1,0.6716,0.9837,1,0.4864,1,1,4.592,10.448,11.104
V0,luger-hill,runaway,18,0,1,1,1,0,0,0,1,1,1,0,0,0.1166,0,0,1.2
V0,luger-hill,converted,0,,,,,,,,,,,,,,,,
V0,mountainstreet,all,100,0.1,1,2,2,0,1,1,0.6855,0.9703,1,0.1362,0.6076,1,1.456,5.664,10.672
V0,mountainstreet,normal,82,0.122,1,2,2,0,1,2,0.657,0.8879,1,0.2862,0.788,1,3.008,7.536,10.768
V0,mountainstreet,runaway,18,0,1,1,1,0,0,0,1,1,1,0,0,0.1838,0,0,1.984
V0,mountainstreet,converted,0,,,,,,,,,,,,,,,,
V0,searound,all,100,0.03,1,1,2,0,0,1,0.666,1,1,0,0.3903,0.929,0,7.104,16.864
V0,searound,normal,70,0.0429,1,2,2,0,1,2,0.6002,0.8097,1,0.3675,0.7093,1,6.288,11.872,17.792
V0,searound,runaway,30,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
V0,searound,converted,0,,,,,,,,,,,,,,,,
V0,dirt-oval,all,100,0.03,1,1,2,0,0,1,0.6827,1,1,0.0472,0.5332,1,1.056,11.104,22.208
V0,dirt-oval,normal,72,0.0417,1,2,2,0,1,1,0.6213,0.8851,1,0.4685,0.7523,1,9.92,17.072,22.608
V0,dirt-oval,runaway,28,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
V0,dirt-oval,converted,0,,,,,,,,,,,,,,,,
R97-ON,overall,all,400,0.05,1,2,2,0,1,1,0.6385,0.8565,1,0.3718,0.7337,1,4.96,10.48,11.936
R97-ON,overall,normal,306,0.0621,1,2,2,0,1,2,0.6206,0.8193,1,0.4685,0.8688,1,6.752,10.752,13.248
R97-ON,overall,runaway,31,0,1,1,1,0,0,0,1,1,1,0,0,0.1381,0,0,2.256
R97-ON,overall,converted,63,0.0159,1,2,2,0,1,1,0.6593,0.8439,1,0.3564,0.5516,0.804,5.04,8.976,14.8
R97-ON,luger-hill,all,100,0.06,1,1,2,0,0,1,0.6849,1,1,0.3718,1,1,3.888,10.416,11.072
R97-ON,luger-hill,normal,82,0.0732,1,2,2,0,1,1,0.6357,0.9055,1,0.6037,1,1,6.224,10.56,11.12
R97-ON,luger-hill,runaway,10,0,1,1,1,0,0,0,1,1,1,0,0.1381,0.3881,0,1.44,2.752
R97-ON,luger-hill,converted,8,0,1,1,2,0,0,1,0.9601,1,1,0.0599,0.359,0.4181,0.72,4.16,5.008
R97-ON,mountainstreet,all,100,0.08,1,2,3,0,1,2,0.6145,0.8003,1,0.3734,0.7567,1,3.984,7.92,10.896
R97-ON,mountainstreet,normal,82,0.0976,2,2,3,1,1,2,0.5935,0.7607,0.9753,0.5798,0.8252,1,4.672,8.96,10.896
R97-ON,mountainstreet,runaway,5,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
R97-ON,mountainstreet,converted,13,0,1,2,2,0,1,1,0.6797,0.8465,1,0.3538,0.6009,1,4.048,5.008,11.68
R97-ON,searound,all,100,0.03,1,2,2,0,1,1,0.6527,0.8974,1,0.2379,0.5697,0.882,4.72,9.232,15.536
R97-ON,searound,normal,70,0.0429,1,2,3,0,1,2,0.6148,0.8222,1,0.3843,0.7595,1,7.04,12.72,17.728
R97-ON,searound,runaway,13,0,1,1,1,0,0,0,1,1,1,0,0,0.1237,0,0,2.256
R97-ON,searound,converted,17,0,1,2,2,0,1,1,0.6749,0.7489,1,0.2706,0.3822,0.653,5.088,7.072,11.632
R97-ON,dirt-oval,all,100,0.03,1,2,2,0,1,1,0.631,0.8018,1,0.4591,0.7525,1,9.44,16.608,22.768
R97-ON,dirt-oval,normal,72,0.0278,1,2,2,0,1,1,0.6788,0.8026,1,0.4655,0.7604,1,9.584,16.608,22.768
R97-ON,dirt-oval,runaway,3,0,1,1,2,0,0,1,1,1,1,0,0,0.442,0,0,9.44
R97-ON,dirt-oval,converted,25,0.04,2,2,2,1,1,1,0.5537,0.7621,0.9466,0.5251,0.7525,0.9554,11.936,17.776,23.312
