arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,dirt-oval,1,converted,0,0,2,1,0.5184,1,25.264,1580
R97-ON,dirt-oval,2,normal,0,0,2,1,0.8749,0.2676,6.112,1431
R97-ON,dirt-oval,3,normal,0,0,2,1,0.972,0.3238,7.376,1427
R97-ON,dirt-oval,4,normal,0,0,2,1,0.9221,0.4262,6.848,1464
R97-ON,dirt-oval,5,normal,0,0,2,1,0.7783,0.7625,16.88,1385
R97-ON,dirt-oval,6,normal,0,0,2,1,0.5703,0.7604,17.904,1473
R97-ON,dirt-oval,7,converted,0,0,2,1,0.8859,0.278,6.848,1543
R97-ON,dirt-oval,8,normal,0,0,2,1,0.7945,1,23.424,1465
R97-ON,dirt-oval,9,normal,0,0,1,0,1,1,23.584,1475
R97-ON,dirt-oval,10,normal,0,0,3,2,0.6992,1,22.8,1426
R97-ON,dirt-oval,11,normal,0,0,1,0,1,0.4611,10.496,1425
R97-ON,dirt-oval,12,normal,0,0,1,0,1,0.2899,6.432,1390
R97-ON,dirt-oval,13,converted,0,0,2,1,0.5023,1,24.16,1511
R97-ON,dirt-oval,14,normal,0,0,2,1,0.8815,0.3065,4.928,1426
R97-ON,dirt-oval,15,normal,0,0,1,0,1,0.7784,11.04,1399
R97-ON,dirt-oval,16,normal,0,0,2,2,0.7751,1,22.96,1436
R97-ON,dirt-oval,17,converted,0,0,2,1,0.8762,0.5992,14.624,1527
R97-ON,dirt-oval,18,normal,0,0,3,2,0.594,0.6834,16.736,1532
R97-ON,dirt-oval,19,normal,0,0,1,0,1,1,23.968,1499
R97-ON,dirt-oval,20,normal,0,0,2,1,0.881,0.5406,6.688,1454
R97-ON,dirt-oval,21,normal,0,0,1,0,1,0.0779,1.808,1463
R97-ON,dirt-oval,22,normal,0,0,2,1,0.5506,1,23.872,1493
R97-ON,dirt-oval,23,normal,0,0,2,1,0.6206,0.3197,6.752,1323
R97-ON,dirt-oval,24,normal,0,0,2,1,0.6889,0.7295,16.64,1427
R97-ON,dirt-oval,25,converted,0,0,2,1,0.5481,0.9419,19.904,1445
R97-ON,dirt-oval,26,converted,0,0,2,1,0.863,1,24.512,1533
R97-ON,dirt-oval,27,normal,0,0,1,0,1,0.2058,3.216,1370
R97-ON,dirt-oval,28,normal,0,0,1,0,1,1,23.696,1482
R97-ON,dirt-oval,29,normal,0,0,2,1,0.6788,0.7551,16.608,1376
R97-ON,dirt-oval,30,converted,0,0,1,0,1,0.9554,23.312,1526
R97-ON,dirt-oval,31,converted,0,0,2,1,0.5446,0.4533,10.464,1445
R97-ON,dirt-oval,32,normal,0,0,3,2,0.7044,1,22.336,1397
R97-ON,dirt-oval,33,converted,0,0,2,1,0.5963,0.7968,19.056,1496
R97-ON,dirt-oval,34,normal,0,0,1,0,1,0.7809,18.064,1447
R97-ON,dirt-oval,35,converted,0,0,1,0,1,0.3937,8.128,1293
R97-ON,dirt-oval,36,normal,0,0,1,0,1,0.2399,5.232,1367
R97-ON,dirt-oval,37,normal,0,0,2,1,0.8431,0.4135,8.464,1434
R97-ON,dirt-oval,38,normal,0,0,1,0,1,0.0063,0.128,1420
R97-ON,dirt-oval,39,normal,0,0,1,0,1,0.517,11.68,1414
R97-ON,dirt-oval,40,normal,0,0,4,3,0.8158,1,22.912,1433
R97-ON,dirt-oval,41,converted,0,0,2,1,0.6962,0.9323,22.224,1491
R97-ON,dirt-oval,42,normal,0,0,2,1,0.908,1,22.768,1424
R97-ON,dirt-oval,43,normal,0,0,1,0,1,1,21.904,1370
R97-ON,dirt-oval,44,normal,0,0,2,2,0.7268,0.7613,13.264,1391
R97-ON,dirt-oval,45,normal,0,1,3,5,0.439,1,23.312,1458
R97-ON,dirt-oval,46,normal,0,0,2,1,0.5055,0.4842,11.248,1454
R97-ON,dirt-oval,47,normal,0,0,1,0,1,1,22.56,1411
R97-ON,dirt-oval,48,normal,0,0,3,2,0.707,0.584,13.504,1447
R97-ON,dirt-oval,49,normal,0,0,2,1,0.795,1,23.008,1439
R97-ON,dirt-oval,50,converted,0,0,1,0,1,0.2422,5.84,1511
R97-ON,dirt-oval,51,normal,0,0,1,0,1,0.4505,8.816,1465
R97-ON,dirt-oval,52,normal,0,0,2,1,0.5613,0.9906,23.504,1484
R97-ON,dirt-oval,53,normal,0,0,2,1,0.7931,0.9154,16.16,1537
R97-ON,dirt-oval,54,normal,0,0,1,0,1,1,23.04,1441
R97-ON,dirt-oval,55,normal,0,0,2,1,0.6142,0.6149,13.984,1423
R97-ON,dirt-oval,56,normal,0,0,3,2,0.4796,0.8156,18.24,1399
R97-ON,dirt-oval,57,normal,0,0,3,2,0.7368,0.4166,9.936,1493
R97-ON,dirt-oval,58,normal,0,0,2,1,0.5795,0.6194,13.392,1353
R97-ON,dirt-oval,59,normal,0,0,1,0,1,0.6053,13.6,1406
R97-ON,dirt-oval,60,converted,0,0,3,2,0.4388,0.8285,19.92,1504
R97-ON,dirt-oval,61,converted,0,0,2,1,0.8439,1,23.664,1480
R97-ON,dirt-oval,62,converted,0,0,2,1,0.7621,0.5351,11.936,1551
R97-ON,dirt-oval,63,converted,0,0,3,2,0.7623,0.6045,14.88,1540
R97-ON,dirt-oval,64,normal,0,1,4,4,0.6989,1,22.784,1425
R97-ON,dirt-oval,65,normal,0,0,3,3,0.8198,0.635,15.264,1504
R97-ON,dirt-oval,66,normal,0,0,2,1,0.8438,1,23.44,1466
R97-ON,dirt-oval,67,converted,0,0,2,1,0.95,0.4591,7.568,1479
R97-ON,dirt-oval,68,converted,0,0,2,1,0.9466,1,23.968,1499
R97-ON,dirt-oval,69,normal,0,0,1,0,1,0.4104,9.184,1401
R97-ON,dirt-oval,70,normal,0,0,2,1,0.7718,0.7252,13.232,1481
R97-ON,dirt-oval,71,converted,0,0,2,1,0.5561,0.3854,8.832,1435
R97-ON,dirt-oval,72,runaway,1,0,1,0,1,0,0,1471
R97-ON,dirt-oval,73,normal,0,0,3,2,0.893,1,23.168,1449
R97-ON,dirt-oval,74,normal,0,0,1,0,1,1,23.68,1481
R97-ON,dirt-oval,75,normal,0,0,2,1,0.7125,1,22.576,1412
R97-ON,dirt-oval,76,normal,0,0,3,2,0.631,0.6303,14.384,1428
R97-ON,dirt-oval,77,converted,0,0,3,2,0.5812,0.7525,18.96,1576
R97-ON,dirt-oval,78,normal,0,0,2,1,0.5574,1,22.72,1421
R97-ON,dirt-oval,79,converted,0,0,1,0,1,0.6684,16.816,1574
R97-ON,dirt-oval,80,normal,0,0,2,1,0.6953,0.4722,10.72,1421
R97-ON,dirt-oval,81,normal,0,0,1,0,1,0.0443,1.056,1513
R97-ON,dirt-oval,82,normal,0,0,1,0,1,0.4655,10.016,1347
R97-ON,dirt-oval,83,normal,0,0,2,1,0.8026,0.3887,9.088,1464
R97-ON,dirt-oval,84,normal,0,0,1,0,1,0.6926,9.584,1516
R97-ON,dirt-oval,85,converted,0,0,1,0,1,0.5251,12.016,1512
R97-ON,dirt-oval,86,runaway,1,0,2,1,0.8018,0.442,9.44,1337
R97-ON,dirt-oval,87,converted,0,1,3,5,0.4437,1,24.288,1519
R97-ON,dirt-oval,88,converted,0,0,3,2,0.6855,0.8474,14.8,1520
R97-ON,dirt-oval,89,normal,0,0,2,1,0.6423,0.9378,21.712,1448
R97-ON,dirt-oval,90,normal,0,0,2,2,0.6121,1,23.616,1477
R97-ON,dirt-oval,91,normal,0,0,2,1,0.734,1,21.696,1357
R97-ON,dirt-oval,92,converted,0,0,2,1,0.5537,0.7463,17.776,1490
R97-ON,dirt-oval,93,runaway,1,0,1,0,1,0,0,1466
R97-ON,dirt-oval,94,normal,0,0,2,1,0.7551,1,22.72,1421
R97-ON,dirt-oval,95,normal,0,0,2,1,0.6019,0.5497,7.952,1379
R97-ON,dirt-oval,96,normal,0,0,2,1,0.8584,0.4299,9.408,1370
R97-ON,dirt-oval,97,normal,0,0,2,1,0.5048,1,23.408,1464
R97-ON,dirt-oval,98,normal,0,0,3,2,0.6468,0.4685,10.32,1379
R97-ON,dirt-oval,99,normal,0,0,2,2,0.5178,0.9258,21.152,1429
