arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,luger-hill,1,normal,0,0,1,0,1,1,11.232,703
R97-ON,luger-hill,2,normal,0,0,1,0,1,1,10.48,656
R97-ON,luger-hill,3,converted,0,0,2,1,0.7284,0.5265,6.032,718
R97-ON,luger-hill,4,normal,0,0,2,1,0.8567,0.0358,0.4,726
R97-ON,luger-hill,5,normal,0,0,1,0,1,0.6068,6.528,674
R97-ON,luger-hill,6,normal,0,0,1,0,1,0.4103,4.336,663
R97-ON,luger-hill,7,normal,0,1,4,3,0.4837,1,10.768,674
R97-ON,luger-hill,8,runaway,1,0,1,0,1,0.1487,1.616,686
R97-ON,luger-hill,9,normal,0,0,2,1,0.7033,0.9777,10.528,674
R97-ON,luger-hill,10,runaway,1,0,1,0,1,0,0,658
R97-ON,luger-hill,11,normal,0,0,1,0,1,0.8688,9.2,663
R97-ON,luger-hill,12,normal,0,0,1,0,1,0.3718,3.696,667
R97-ON,luger-hill,13,normal,0,0,3,2,0.5435,1,11.376,712
R97-ON,luger-hill,14,normal,0,0,3,2,0.5065,1,11.136,697
R97-ON,luger-hill,15,normal,0,0,2,1,0.9957,1,11.12,696
R97-ON,luger-hill,16,converted,0,0,1,0,1,0,0,694
R97-ON,luger-hill,17,normal,0,0,2,1,0.9055,1,10.992,688
R97-ON,luger-hill,18,normal,0,0,1,0,1,1,11.488,719
R97-ON,luger-hill,19,normal,0,0,1,0,1,1,10.672,668
R97-ON,luger-hill,20,normal,0,0,1,0,1,1,11.12,696
R97-ON,luger-hill,21,normal,0,0,1,0,1,1,10.88,681
R97-ON,luger-hill,22,normal,0,1,4,3,0.6719,1,11.104,695
R97-ON,luger-hill,23,normal,0,0,2,1,0.5378,1,10.784,675
R97-ON,luger-hill,24,converted,0,0,2,1,0.8549,0.4181,5.008,751
R97-ON,luger-hill,25,runaway,1,0,1,0,1,0.0524,0.512,630
R97-ON,luger-hill,26,runaway,1,0,1,0,1,0,0,637
R97-ON,luger-hill,27,normal,0,0,2,1,0.5286,1,11.184,700
R97-ON,luger-hill,28,normal,0,0,2,1,0.6849,1,10.496,657
