arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,mountainstreet,1,runaway,1,0,1,0,1,0,0,690
R97-ON,mountainstreet,2,normal,0,0,3,2,0.7124,0.6549,7.088,678
R97-ON,mountainstreet,3,normal,0,0,2,1,0.533,0.5698,6.192,681
R97-ON,mountainstreet,4,normal,0,0,2,1,0.9032,1,10.4,651
R97-ON,mountainstreet,5,normal,0,0,3,2,0.5635,1,11.2,701
R97-ON,mountainstreet,6,converted,0,0,2,1,0.9971,0.3734,4.112,691
R97-ON,mountainstreet,7,converted,0,0,2,1,0.8465,0.3538,3.856,684
R97-ON,mountainstreet,8,normal,0,0,1,0,1,1,10.544,660
R97-ON,mountainstreet,9,normal,0,0,1,0,1,0,0,695
R97-ON,mountainstreet,10,normal,0,0,2,2,0.8745,1,10.944,685
R97-ON,mountainstreet,11,runaway,1,0,1,0,1,0.0247,0.272,730
R97-ON,mountainstreet,12,normal,0,0,1,0,1,0.0143,0.144,699
R97-ON,mountainstreet,13,normal,0,0,2,1,0.5494,1,10.672,668
R97-ON,mountainstreet,14,runaway,1,0,1,0,1,0,0,711
R97-ON,mountainstreet,15,normal,0,1,4,3,0.6138,1,11.376,712
R97-ON,mountainstreet,16,normal,0,0,2,1,0.6662,1,11.872,743
R97-ON,mountainstreet,17,normal,0,0,3,2,0.4593,1,10.784,675
R97-ON,mountainstreet,18,normal,0,0,2,1,0.9844,1,11.232,703
R97-ON,mountainstreet,19,normal,0,0,3,2,0.7607,1,11.616,727
R97-ON,mountainstreet,20,normal,0,0,2,1,0.9206,0.6378,4.352,693
R97-ON,mountainstreet,21,normal,0,0,1,0,1,0.5251,5.68,678
R97-ON,mountainstreet,22,normal,0,0,2,1,0.8127,0.8204,8.464,646
R97-ON,mountainstreet,23,normal,0,1,3,3,0.6137,1,11.168,699
R97-ON,mountainstreet,24,normal,0,0,1,0,1,0.7921,7.584,659
R97-ON,mountainstreet,25,normal,0,0,2,1,0.5114,0.8864,9.968,704
R97-ON,mountainstreet,26,normal,0,0,2,1,0.9971,1,10.88,681
R97-ON,mountainstreet,27,converted,0,0,1,0,1,1,11.776,737
R97-ON,mountainstreet,28,normal,0,0,1,0,1,0.1435,1.568,690
R97-ON,mountainstreet,29,normal,0,0,2,1,0.6698,0.5798,5.856,633
R97-ON,mountainstreet,30,normal,0,1,4,3,0.5251,1,11.44,716
R97-ON,mountainstreet,31,normal,0,0,3,2,0.6376,0.3698,3.984,676
R97-ON,mountainstreet,32,converted,0,0,1,0,1,0.1577,1.632,653
R97-ON,mountainstreet,33,normal,0,0,2,1,0.9753,0.1543,1.68,687
R97-ON,mountainstreet,34,normal,0,0,2,1,0.6848,0.7231,4.128,679
R97-ON,mountainstreet,35,normal,0,0,2,2,0.8555,0,0,685
R97-ON,mountainstreet,36,normal,0,1,4,3,0.6801,1,11.488,719
R97-ON,mountainstreet,37,normal,0,0,2,2,0.8743,0.7337,7.92,676
R97-ON,mountainstreet,38,converted,0,0,2,1,0.6593,0.3518,4.048,722
R97-ON,mountainstreet,39,normal,0,1,4,3,0.5344,1,10.912,683
R97-ON,mountainstreet,40,converted,0,0,1,0,1,0,0,744
R97-ON,mountainstreet,41,normal,0,0,2,1,0.5935,0.9161,9.936,679
R97-ON,mountainstreet,42,normal,0,0,2,1,0.6577,0,0,745
R97-ON,mountainstreet,43,normal,0,0,2,1,0.8557,0.7085,6.416,686
R97-ON,mountainstreet,44,normal,0,0,2,1,0.9327,0.2826,2.368,683
R97-ON,mountainstreet,45,converted,0,0,2,1,0.6797,0.4551,5.008,690
R97-ON,mountainstreet,46,normal,0,0,2,1,0.6327,1,11.136,697
R97-ON,mountainstreet,47,normal,0,0,1,0,1,1,10.768,674
R97-ON,mountainstreet,48,normal,0,0,1,0,1,1,11.344,710
R97-ON,mountainstreet,49,normal,0,0,3,2,0.7523,1,10.576,662
R97-ON,mountainstreet,50,normal,0,0,2,1,0.6145,0.5875,6.592,703
R97-ON,mountainstreet,51,normal,0,0,1,0,1,1,10.88,681
R97-ON,mountainstreet,52,normal,0,0,3,2,0.4609,0.7539,8.464,703
R97-ON,mountainstreet,53,converted,0,0,4,3,0.8003,1,11.76,736
R97-ON,mountainstreet,54,converted,0,0,1,0,1,0.6912,4.768,667
R97-ON,mountainstreet,55,normal,1,0,1,0,1,0.1234,1.216,624
R97-ON,mountainstreet,56,normal,0,1,4,3,0.5783,1,11.328,709
R97-ON,mountainstreet,57,normal,0,0,2,2,0.7325,0.7167,4.672,699
