arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,searound,1,runaway,1,0,1,0,1,0,0,1203
R97-ON,searound,2,normal,0,0,2,1,0.7359,0.516,8.768,1064
R97-ON,searound,3,normal,0,0,2,1,0.6385,0.5396,9.584,1112
R97-ON,searound,4,converted,0,0,2,1,0.9132,0.2662,5.04,1187
R97-ON,searound,5,normal,0,0,2,1,0.8304,0.3705,7.008,1185
R97-ON,searound,6,runaway,1,0,1,0,1,0,0,1236
R97-ON,searound,7,normal,0,0,2,1,0.5277,0.8218,15.408,1173
R97-ON,searound,8,converted,0,0,2,1,0.7489,0.3822,7.072,1159
R97-ON,searound,9,normal,0,0,3,2,0.4359,1,19.072,1193
R97-ON,searound,10,normal,0,0,2,1,0.5424,0.806,14.272,1108
R97-ON,searound,11,normal,0,0,1,0,1,0.2901,5.856,1265
R97-ON,searound,12,runaway,1,0,1,0,1,0.0827,1.488,1136
R97-ON,searound,13,normal,0,0,3,2,0.6681,0.882,16.016,1136
R97-ON,searound,14,normal,0,0,3,2,0.4241,0.8669,15.616,1127
R97-ON,searound,15,runaway,1,0,1,0,1,0,0,1195
R97-ON,searound,16,normal,0,0,3,2,0.6513,0.9643,17.728,1150
R97-ON,searound,17,converted,0,0,2,1,0.8278,0.2706,5.088,1179
R97-ON,searound,18,runaway,1,0,1,0,1,0,0,1157
R97-ON,searound,19,normal,0,0,1,0,1,0,0,1153
R97-ON,searound,20,runaway,1,0,1,0,1,0.1974,2.928,1175
R97-ON,searound,21,normal,0,0,1,0,1,0.5968,10.048,1054
R97-ON,searound,22,normal,0,0,1,0,1,0.3843,5.744,1150
R97-ON,searound,23,normal,0,0,2,1,0.9418,0.3514,7.04,1255
R97-ON,searound,24,normal,0,0,3,2,0.4335,1,18.992,1188
R97-ON,searound,25,normal,0,0,1,0,1,0.2707,4.912,1138
R97-ON,searound,26,normal,0,0,3,2,0.5361,0.8755,14.72,1052
R97-ON,searound,27,normal,0,0,1,0,1,0.1679,2.72,1120
R97-ON,searound,28,normal,0,0,1,0,1,0.2379,4.72,1244
R97-ON,searound,29,normal,0,0,1,0,1,0.4388,7.616,1087
