arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
V0,dirt-oval,1,runaway,1,0,1,0,1,0,0,1528
V0,dirt-oval,2,normal,0,0,3,2,0.4112,1,23.216,1452
V0,dirt-oval,3,normal,0,0,3,2,0.7562,0.5752,12.896,1403
V0,dirt-oval,4,normal,0,0,1,0,1,0.4451,4.944,1357
V0,dirt-oval,5,normal,0,0,2,1,0.7108,0.4653,10.384,1397
V0,dirt-oval,6,normal,0,0,2,1,0.9387,0.4202,10.512,1566
V0,dirt-oval,7,runaway,1,0,1,0,1,0,0,1522
V0,dirt-oval,8,normal,0,0,2,1,0.7538,1,23.248,1454
V0,dirt-oval,9,normal,0,0,1,0,1,1,23.584,1475
V0,dirt-oval,10,normal,0,0,2,1,0.8006,0.9749,22.352,1434
V0,dirt-oval,11,normal,0,0,2,2,0.6055,0.5231,11.568,1384
V0,dirt-oval,12,normal,0,0,2,1,0.9466,1,22.448,1404
V0,dirt-oval,13,runaway,1,0,1,0,1,0,0,1420
V0,dirt-oval,14,normal,0,0,2,1,0.9238,0.3098,4.928,1430
V0,dirt-oval,15,normal,0,0,2,1,0.9222,1,22.208,1389
V0,dirt-oval,16,normal,0,0,1,0,1,1,22.512,1408
V0,dirt-oval,17,runaway,1,0,1,0,1,0,0,1395
V0,dirt-oval,18,normal,0,0,2,1,0.9968,0.2783,6.912,1556
V0,dirt-oval,19,normal,0,0,3,2,0.5559,1,24.016,1502
V0,dirt-oval,20,normal,0,0,1,0,1,0.2016,4.416,1374
V0,dirt-oval,21,normal,0,0,1,0,1,0.0937,2.192,1473
V0,dirt-oval,22,normal,0,0,2,1,0.519,1,24,1501
V0,dirt-oval,23,normal,0,0,2,1,0.6213,0.3265,6.896,1323
V0,dirt-oval,24,normal,0,0,2,1,0.7051,0.7492,17.952,1499
V0,dirt-oval,25,runaway,1,0,1,0,1,0.0835,1.824,1377
V0,dirt-oval,26,runaway,1,0,1,0,1,0,0,1386
V0,dirt-oval,27,normal,0,0,1,0,1,0.1679,3.664,1370
V0,dirt-oval,28,normal,0,0,1,0,1,1,23.696,1482
V0,dirt-oval,29,normal,0,0,1,0,1,0,0,1502
V0,dirt-oval,30,runaway,1,0,1,0,1,0,0,1365
V0,dirt-oval,31,runaway,1,0,1,0,1,0,0,1371
V0,dirt-oval,32,normal,0,0,2,1,0.5278,0.7196,16.736,1455
V0,dirt-oval,33,runaway,1,0,1,0,1,0,0,1362
V0,dirt-oval,34,normal,0,0,1,0,1,0.7523,17.328,1441
V0,dirt-oval,35,runaway,1,0,1,0,1,0.4246,8.768,1293
V0,dirt-oval,36,normal,0,0,1,0,1,0.2399,5.232,1367
V0,dirt-oval,37,normal,0,0,1,0,1,0.4044,9.024,1397
V0,dirt-oval,38,normal,0,0,2,1,0.6511,0.4279,9.52,1393
V0,dirt-oval,39,normal,0,0,1,0,1,0.4915,11.104,1414
V0,dirt-oval,40,normal,0,1,4,3,0.5488,1,23.104,1445
V0,dirt-oval,41,runaway,1,0,1,0,1,0,0,1456
V0,dirt-oval,42,normal,0,0,1,0,1,1,22.688,1419
V0,dirt-oval,43,normal,0,0,1,0,1,1,21.904,1370
V0,dirt-oval,44,normal,0,0,1,0,1,1,21.968,1374
