arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
V0,luger-hill,1,normal,0,0,1,0,1,1,11.232,703
V0,luger-hill,2,normal,0,0,1,0,1,1,10.304,645
V0,luger-hill,3,runaway,1,0,1,0,1,0.1215,1.376,716
V0,luger-hill,4,normal,0,0,2,2,0.7012,0.039,0.4,666
V0,luger-hill,5,normal,0,0,2,1,0.9757,0,0,658
V0,luger-hill,6,normal,0,0,1,0,1,0.4103,4.336,663
V0,luger-hill,7,normal,0,1,4,3,0.4714,1,10.88,681
V0,luger-hill,8,runaway,1,0,1,0,1,0,0,671
V0,luger-hill,9,normal,0,0,2,1,0.7033,0.9777,10.528,674
V0,luger-hill,10,runaway,1,0,1,0,1,0,0,627
V0,luger-hill,11,normal,0,0,1,0,1,0.9412,9.968,663
V0,luger-hill,12,normal,0,0,1,0,1,0.3545,3.648,646
V0,luger-hill,13,normal,0,0,1,0,1,1,11.056,692
V0,luger-hill,14,normal,0,0,3,2,0.5065,1,11.136,697
V0,luger-hill,15,normal,0,0,2,1,0.9957,1,11.12,696
V0,luger-hill,16,runaway,1,0,1,0,1,0,0,661
V0,luger-hill,17,normal,0,0,2,1,0.9247,1,11.04,691
V0,luger-hill,18,normal,0,0,1,0,1,0.8298,9.424,711
V0,luger-hill,19,normal,0,0,1,0,1,1,10.64,666
V0,luger-hill,20,normal,0,0,1,0,1,1,11.12,696
V0,luger-hill,21,normal,0,0,1,0,1,0.5867,3.952,675
V0,luger-hill,22,normal,0,1,4,3,0.6719,1,11.104,695
V0,luger-hill,23,normal,0,0,2,1,0.5378,1,10.784,675
V0,luger-hill,24,runaway,1,0,1,0,1,0,0,696
V0,luger-hill,25,runaway,1,0,1,0,1,0.0527,0.512,626
V0,luger-hill,26,runaway,1,0,1,0,1,0,0,627
V0,luger-hill,27,normal,0,0,2,1,0.5286,1,11.184,700
V0,luger-hill,28,normal,0,0,2,1,0.6849,1,10.496,657
V0,luger-hill,29,normal,0,0,2,1,0.584,1,10.56,661
V0,luger-hill,30,normal,0,0,2,1,0.8077,1,11.632,728
V0,luger-hill,31,normal,0,0,3,2,0.7519,1,10.432,653
V0,luger-hill,32,normal,0,0,3,3,0.7902,1,11.728,734
V0,luger-hill,33,runaway,1,0,1,0,1,0,0,667
V0,luger-hill,34,normal,0,0,1,0,1,1,11.104,695
V0,luger-hill,35,normal,0,0,2,1,0.6371,1,11.36,711
V0,luger-hill,36,normal,0,0,1,0,1,1,11.552,723
V0,luger-hill,37,normal,0,0,1,0,1,0.419,4.208,630
V0,luger-hill,38,normal,0,0,1,0,1,0,0,650
V0,luger-hill,39,normal,0,0,1,0,1,0.9304,7.296,632
V0,luger-hill,40,normal,0,0,1,0,1,0.4864,4.864,627
V0,luger-hill,41,normal,0,0,2,3,0.9027,1,11.328,709
V0,luger-hill,42,normal,0,0,1,0,1,0,0,640
V0,luger-hill,43,normal,0,0,1,0,1,0,0,666
V0,luger-hill,44,normal,0,0,1,0,1,1,11.072,693
V0,luger-hill,45,runaway,1,0,1,0,1,0.1166,1.2,652
V0,luger-hill,46,normal,0,0,2,1,0.8471,1,10.448,654
V0,luger-hill,47,normal,0,0,3,2,0.4441,1,11.872,743
V0,luger-hill,48,normal,0,0,1,0,1,0,0,632
V0,luger-hill,49,normal,0,0,1,0,1,0.1752,1.728,622
V0,luger-hill,50,normal,0,0,2,1,0.6921,1,10.896,682
V0,luger-hill,51,normal,0,0,1,0,1,0.9475,6.4,648
V0,luger-hill,52,normal,0,0,2,1,0.7361,1,11.504,720
